Date,Open,High,Low,Close,Volume
26-May-17,82.50,82.89,81.94,82.81,1910621
25-May-17,82.32,82.95,81.74,82.34,4015012
24-May-17,82.46,82.58,81.67,82.12,1751235
23-May-17,82.09,82.32,80.90,81.96,2146525
22-May-17,81.57,82.36,81.42,82.09,2009527
19-May-17,80.65,82.27,80.65,81.24,4024419
18-May-17,79.52,81.32,79.03,80.48,5026568
17-May-17,80.02,80.27,78.37,78.42,3591971
16-May-17,80.45,81.31,80.08,81.05,3011941
15-May-17,79.17,80.37,78.81,80.21,4034159
12-May-17,78.62,79.04,78.46,78.63,1975314
11-May-17,78.73,79.25,77.81,78.44,2288815
10-May-17,79.51,80.01,78.62,79.03,3944381
9-May-17,76.83,79.19,76.77,78.50,5266014
8-May-17,75.66,76.59,75.36,76.38,5040178
5-May-17,75.78,75.87,75.27,75.79,3283420
4-May-17,75.74,76.17,75.21,75.66,2300623
3-May-17,75.31,75.86,75.16,75.60,3131976
2-May-17,76.48,76.49,75.30,75.51,5528417
1-May-17,75.05,76.42,74.65,76.22,4571778
28-Apr-17,77.86,77.98,75.96,76.20,4316369
27-Apr-17,78.65,78.88,77.56,77.85,2375278
26-Apr-17,79.41,79.46,77.58,77.98,2998678
25-Apr-17,79.40,79.73,78.95,79.35,2570298
24-Apr-17,79.47,80.07,78.99,79.22,2993699
21-Apr-17,77.20,78.18,76.41,77.63,4476578
20-Apr-17,77.52,78.89,77.20,78.66,2898859
19-Apr-17,77.69,78.20,76.93,76.99,2625531
18-Apr-17,75.83,77.53,75.82,77.41,3342580
17-Apr-17,76.78,77.20,76.15,76.39,2462244
13-Apr-17,76.87,77.85,76.47,76.51,2223163
12-Apr-17,78.27,78.45,76.63,76.87,2904147
11-Apr-17,78.94,78.95,76.94,78.08,6040225
10-Apr-17,80.00,80.12,79.19,79.33,2906963
7-Apr-17,80.30,80.59,79.65,80.01,3308914
6-Apr-17,80.11,80.66,79.59,80.32,3970751
5-Apr-17,81.59,81.65,80.00,80.04,3514192
4-Apr-17,80.81,81.39,80.50,81.24,5040761
3-Apr-17,82.02,82.27,80.86,81.24,3084353
31-Mar-17,82.05,82.48,81.77,81.95,2337302
30-Mar-17,81.87,82.61,81.63,82.20,1337976
29-Mar-17,81.89,82.22,81.47,81.91,2040482
28-Mar-17,81.31,82.51,81.07,82.20,2916355
27-Mar-17,81.00,81.54,80.39,81.40,2450693
24-Mar-17,81.86,82.95,81.40,81.64,2223544
23-Mar-17,82.24,82.33,81.31,81.54,3394961
22-Mar-17,81.84,82.26,81.65,82.12,2604890
21-Mar-17,83.25,83.46,81.69,81.80,3316568
20-Mar-17,83.26,83.70,82.88,82.90,2713967
17-Mar-17,83.31,83.34,82.73,83.26,4184005
16-Mar-17,83.29,83.50,82.41,82.72,4107669
15-Mar-17,83.45,83.67,82.56,83.51,4499154
14-Mar-17,82.52,83.73,82.40,83.68,4881069
13-Mar-17,82.15,82.99,82.05,82.76,4873827
