Date,Open,High,Low,Close,Volume
26-May-17,101.23,101.53,100.91,101.35,1919119
25-May-17,100.27,101.43,100.03,101.16,1832479
24-May-17,99.49,100.06,99.43,99.98,1942989
23-May-17,99.37,99.54,99.06,99.53,1398899
22-May-17,98.48,99.56,98.44,99.45,2015167
19-May-17,98.34,98.92,97.89,98.62,2790653
18-May-17,97.15,98.65,96.80,98.35,2197346
17-May-17,97.70,98.08,97.23,97.30,2802578
16-May-17,98.39,98.76,98.15,98.32,2213286
15-May-17,97.01,98.54,96.76,98.45,3364035
12-May-17,96.57,97.30,96.25,97.17,1957341
11-May-17,96.53,96.60,95.87,96.46,3029071
10-May-17,96.97,97.50,95.85,96.63,2919989
9-May-17,96.63,97.43,96.17,97.08,2625166
8-May-17,99.50,99.65,96.42,96.70,4799832
5-May-17,99.35,99.53,98.64,99.29,1858701
4-May-17,98.31,99.13,97.59,99.10,3377997
3-May-17,98.95,99.62,95.50,97.51,6336007
2-May-17,104.19,104.43,103.60,104.01,2254321
1-May-17,104.29,104.41,103.59,103.97,1406147
28-Apr-17,105.03,105.28,104.29,104.49,1610922
27-Apr-17,105.26,105.68,104.65,105.16,1505235
26-Apr-17,104.51,105.15,104.31,104.86,1431106
25-Apr-17,104.14,105.22,104.09,105.01,1306521
24-Apr-17,104.00,104.19,103.10,104.14,1887063
21-Apr-17,103.04,103.48,102.49,102.69,1528866
20-Apr-17,102.34,103.32,102.23,103.04,1218209
19-Apr-17,102.10,102.56,101.78,102.07,1113025
18-Apr-17,101.57,102.47,100.08,101.93,1570970
17-Apr-17,101.95,102.00,101.36,101.86,1215383
13-Apr-17,102.26,102.26,101.24,101.26,1218656
12-Apr-17,101.73,102.10,101.49,101.95,1812265
11-Apr-17,101.88,102.43,101.33,102.09,908733
10-Apr-17,102.16,102.68,101.79,102.14,979983
7-Apr-17,101.87,102.42,101.46,102.19,1601267
6-Apr-17,101.89,101.91,101.45,101.75,1087075
5-Apr-17,101.81,103.01,101.24,101.93,1693915
4-Apr-17,101.33,101.53,100.86,101.45,1143284
3-Apr-17,102.23,102.57,101.02,101.27,1637602
31-Mar-17,102.14,102.62,101.98,102.39,1374619
30-Mar-17,102.07,102.44,101.77,102.17,1225705
29-Mar-17,102.91,103.03,101.88,102.13,2245094
28-Mar-17,102.53,103.62,102.21,103.28,1485979
27-Mar-17,102.73,103.26,102.37,102.91,1504466
24-Mar-17,103.75,104.17,103.06,103.38,1359886
23-Mar-17,103.49,104.25,103.10,103.52,1010177
22-Mar-17,103.35,103.74,102.89,103.68,2011038
21-Mar-17,104.90,104.96,102.99,103.12,1612663
20-Mar-17,105.17,105.18,104.22,104.45,1323403
17-Mar-17,104.31,105.20,104.03,105.11,2890349
16-Mar-17,104.65,104.89,103.90,104.25,1231091
15-Mar-17,104.27,104.79,103.66,104.67,1500187
14-Mar-17,104.66,104.76,103.69,103.97,1848326
13-Mar-17,104.49,104.90,104.14,104.84,1802650
10-Mar-17,103.87,104.63,103.54,104.55,1556780
9-Mar-17,103.57,104.08,102.92,103.40,1393832
8-Mar-17,103.62,104.13,103.34,103.71,1577185
7-Mar-17,104.54,104.85,103.90,104.27,1881528
6-Mar-17,103.88,105.00,103.88,104.95,1678307
3-Mar-17,103.95,104.61,103.63,104.50,1216370
2-Mar-17,104.14,104.37,103.86,104.07,1697190
1-Mar-17,103.66,104.71,103.23,104.53,1828233
28-Feb-17,102.68,102.81,102.24,102.62,2060663
27-Feb-17,102.93,103.14,102.47,102.70,1188346
