Date,Open,High,Low,Close,Volume
26-May-17,114.24,114.42,112.87,113.03,2109782
25-May-17,112.97,114.68,112.97,113.89,2540209
24-May-17,113.86,114.06,111.85,112.48,3317361
23-May-17,113.25,114.25,112.43,112.97,2638273
22-May-17,109.80,114.02,109.76,113.36,4152169
19-May-17,108.00,112.18,106.87,109.91,10091614
18-May-17,94.04,96.25,93.07,95.83,2877482
17-May-17,96.87,97.92,93.87,93.97,3055725
16-May-17,97.24,98.05,96.55,98.03,1800173
15-May-17,95.73,97.20,95.69,96.63,2762329
12-May-17,95.27,95.68,94.76,95.39,1511380
11-May-17,95.50,95.90,93.87,95.41,1974060
10-May-17,94.75,96.30,94.54,95.87,2031613
9-May-17,94.41,95.30,93.99,94.74,2615050
8-May-17,93.37,93.66,93.08,93.39,1313377
5-May-17,92.32,93.47,92.18,93.24,2147594
4-May-17,93.41,93.99,92.93,93.25,1497892
3-May-17,93.42,93.94,92.85,93.35,2250591
2-May-17,92.22,93.48,91.29,93.45,1706232
1-May-17,91.75,92.71,91.17,91.98,1845196
28-Apr-17,90.77,90.77,89.20,90.07,1628866
27-Apr-17,90.66,90.77,90.04,90.63,1168152
26-Apr-17,90.31,90.54,89.44,90.23,1615980
25-Apr-17,90.80,90.80,89.81,90.32,1761537
24-Apr-17,89.70,90.94,89.64,90.14,2439751
21-Apr-17,88.63,88.88,88.10,88.58,2111419
20-Apr-17,88.30,88.82,87.16,88.41,1594459
19-Apr-17,86.79,88.59,86.60,87.93,2375609
18-Apr-17,85.39,86.53,85.08,86.41,1321886
17-Apr-17,85.37,86.25,85.29,85.99,1191388
13-Apr-17,85.20,86.18,84.10,84.91,1970859
12-Apr-17,85.87,86.65,84.99,85.62,2405480
11-Apr-17,85.35,86.08,84.48,85.99,1362210
10-Apr-17,84.91,85.88,84.62,85.66,1292762
7-Apr-17,84.07,84.95,83.55,84.79,1920449
6-Apr-17,83.49,84.76,82.70,84.07,1793653
5-Apr-17,85.27,85.79,83.24,83.54,1885286
4-Apr-17,85.16,85.97,84.58,84.95,1497391
3-Apr-17,85.24,87.12,84.66,85.39,2478579
31-Mar-17,86.02,86.90,85.37,86.47,1251607
30-Mar-17,86.38,87.25,85.78,86.32,946246
29-Mar-17,85.31,86.47,84.98,86.40,1841568
28-Mar-17,85.43,86.10,85.16,85.47,1086768
27-Mar-17,85.41,86.06,83.81,85.44,1774159
24-Mar-17,86.00,87.39,85.59,86.48,2059460
23-Mar-17,84.61,86.07,84.24,85.69,2238329
22-Mar-17,83.90,84.72,83.07,84.60,1567003
21-Mar-17,86.50,86.64,83.53,83.64,2565918
