Date,Open,High,Low,Close,Volume
31-May-17,47.52,47.56,46.81,47.15,1991159
30-May-17,47.29,47.67,47.05,47.43,1617691
26-May-17,48.00,48.17,47.14,47.39,1446053
25-May-17,47.68,48.40,47.56,48.06,3859733
24-May-17,47.54,47.92,47.16,47.62,1957835
23-May-17,47.86,47.91,47.32,47.41,2326002
22-May-17,47.60,47.99,47.58,47.75,1704906
19-May-17,47.18,47.66,47.05,47.38,2788526
18-May-17,47.50,47.70,46.90,47.00,4305810
17-May-17,48.80,48.85,47.46,47.50,4037600
16-May-17,50.07,50.24,49.12,49.15,2783502
15-May-17,49.50,50.07,49.50,49.83,2662230
12-May-17,49.60,49.82,49.28,49.43,2287084
11-May-17,49.76,50.07,49.42,49.85,2698379
10-May-17,50.47,50.50,49.65,49.85,3708313
9-May-17,50.48,50.71,50.16,50.40,4523834
8-May-17,52.09,52.17,50.12,50.17,5951968
5-May-17,52.86,52.86,51.80,52.13,3882009
4-May-17,53.13,54.04,52.78,52.86,4593535
3-May-17,53.90,54.86,52.01,52.80,15062973
2-May-17,61.59,62.58,60.97,62.50,3000773
1-May-17,61.19,61.79,60.77,61.48,1597529
28-Apr-17,59.79,60.96,59.53,60.94,1767750
27-Apr-17,60.34,60.43,58.96,59.75,4224075
26-Apr-17,61.81,62.43,61.57,62.24,1155722
25-Apr-17,61.42,61.86,61.33,61.80,1745750
24-Apr-17,60.86,61.73,60.79,61.39,1954289
21-Apr-17,60.39,60.52,60.01,60.28,843146
20-Apr-17,59.87,60.55,59.65,60.20,1558110
19-Apr-17,59.00,59.91,58.96,59.68,1860380
18-Apr-17,58.77,59.30,58.72,58.95,1004756
17-Apr-17,59.07,59.20,58.69,58.82,1152312
13-Apr-17,58.83,59.20,58.51,58.80,1437697
12-Apr-17,58.83,59.09,58.54,58.88,1413691
11-Apr-17,58.62,59.23,58.43,59.01,2130245
10-Apr-17,58.36,58.82,57.99,58.51,1974447
7-Apr-17,58.65,58.74,58.00,58.10,2256905
6-Apr-17,59.07,59.70,58.39,58.75,1902512
5-Apr-17,59.30,59.73,58.65,58.80,1982841
4-Apr-17,58.19,59.41,58.19,59.30,4459654
3-Apr-17,59.74,59.99,57.86,58.10,3522721
31-Mar-17,60.56,60.91,59.50,59.70,3600890
30-Mar-17,63.17,64.07,60.37,60.53,6001102
29-Mar-17,63.28,63.70,63.08,63.44,2068314
28-Mar-17,63.06,63.61,63.00,63.25,2299231
27-Mar-17,62.88,63.44,62.51,63.09,1836706
24-Mar-17,63.82,64.31,63.46,63.63,1008272
23-Mar-17,63.69,64.42,63.40,63.66,980728
22-Mar-17,63.14,63.76,62.93,63.68,921366
21-Mar-17,65.41,65.65,62.92,62.95,2295918
20-Mar-17,64.96,65.04,64.33,64.86,922432
17-Mar-17,64.94,65.22,64.62,65.00,2912911
16-Mar-17,64.71,64.93,64.43,64.63,1083760
15-Mar-17,64.00,64.56,63.39,64.39,1327778
14-Mar-17,64.53,64.95,63.54,63.63,1197993
13-Mar-17,64.34,65.20,64.18,64.59,1341265
10-Mar-17,64.37,64.74,63.76,64.22,1259832
9-Mar-17,63.64,64.35,63.40,64.20,1336622
8-Mar-17,63.30,63.85,62.96,63.55,1292691
7-Mar-17,63.10,64.52,63.10,63.30,1658780
6-Mar-17,63.16,63.25,62.83,63.06,1067045
3-Mar-17,63.55,63.55,63.13,63.36,1325819
2-Mar-17,63.24,64.50,63.07,63.79,2158360
1-Mar-17,62.82,63.59,62.79,63.38,1382745
28-Feb-17,62.80,63.11,62.31,62.60,1589551
27-Feb-17,62.76,63.12,62.46,62.86,861775
24-Feb-17,62.50,62.88,62.39,62.87,1363846
23-Feb-17,63.05,63.13,62.64,62.70,1125622
22-Feb-17,62.50,63.15,62.50,63.01,1350407
21-Feb-17,62.50,63.15,62.46,62.64,1808256
17-Feb-17,63.83,63.87,62.00,62.34,3981112
16-Feb-17,64.22,64.77,63.75,64.24,1761011
15-Feb-17,63.30,64.10,63.21,63.90,1371170
14-Feb-17,63.75,64.13,63.37,63.55,2180921
13-Feb-17,64.20,64.20,63.35,63.60,1769882
10-Feb-17,63.85,64.28,63.50,63.95,2507586
9-Feb-17,63.83,64.58,63.61,63.85,4080896
8-Feb-17,66.58,66.59,61.54,63.55,15940222
7-Feb-17,70.00,71.34,69.58,71.12,3881686
6-Feb-17,69.22,69.71,68.63,69.71,1629953
3-Feb-17,69.85,69.85,69.01,69.55,1420030
2-Feb-17,68.37,69.67,67.83,69.40,1333635
1-Feb-17,68.67,68.80,67.76,68.70,1579525
31-Jan-17,67.57,68.85,67.20,68.59,1548738
30-Jan-17,67.99,68.35,67.36,67.81,1893901
27-Jan-17,68.04,68.08,67.55,67.97,1535748
26-Jan-17,68.54,68.70,67.73,67.78,1416256
25-Jan-17,68.35,68.82,67.79,68.73,2188161
24-Jan-17,67.97,68.28,67.47,67.74,1566053
23-Jan-17,69.05,69.35,67.84,67.97,1456303
20-Jan-17,69.36,69.60,68.85,69.15,1447099
19-Jan-17,69.36,69.74,68.96,68.98,1409747
18-Jan-17,69.74,69.81,68.94,69.60,1075488
17-Jan-17,69.81,70.00,69.18,69.79,1016719
13-Jan-17,70.23,70.42,69.86,70.02,1491651
12-Jan-17,70.01,70.30,69.15,69.93,1259741
11-Jan-17,70.59,71.64,70.09,70.12,2247657
10-Jan-17,70.00,70.48,69.82,70.28,1462164
9-Jan-17,69.74,70.29,69.70,70.00,1550617
6-Jan-17,69.38,70.51,68.92,69.79,1967305
5-Jan-17,68.12,69.75,68.12,69.55,1780057
4-Jan-17,67.51,68.48,67.19,68.33,1174309
3-Jan-17,67.27,68.37,67.11,67.57,1077494
30-Dec-16,67.25,67.55,66.35,66.68,967732
29-Dec-16,67.14,67.83,66.88,67.04,589411
28-Dec-16,68.13,68.30,67.12,67.27,710304
27-Dec-16,67.63,68.39,67.27,68.09,607126
23-Dec-16,67.31,67.75,67.11,67.63,571520
22-Dec-16,68.16,68.68,67.24,67.37,965929
21-Dec-16,68.85,69.26,67.79,67.87,1024293
20-Dec-16,67.82,68.84,67.80,68.70,1274622
19-Dec-16,67.34,68.07,66.44,67.76,925435
16-Dec-16,67.92,68.43,66.63,67.19,2734400
15-Dec-16,66.81,68.18,66.47,67.58,1543430
14-Dec-16,67.00,68.36,66.57,66.99,3129056
13-Dec-16,64.61,65.92,64.48,65.14,1344805
12-Dec-16,64.79,64.84,63.68,64.25,1055494
9-Dec-16,66.37,66.57,64.82,64.94,1224125
8-Dec-16,65.86,66.79,65.58,66.31,1099800
7-Dec-16,64.71,66.18,64.40,66.15,1310173
6-Dec-16,64.41,64.98,64.04,64.93,1235759
5-Dec-16,64.00,64.59,63.62,64.31,1972314
2-Dec-16,63.34,64.14,62.83,63.87,2284018
1-Dec-16,66.48,66.50,63.50,63.51,2888765
30-Nov-16,67.30,67.48,66.44,66.70,1752466
29-Nov-16,66.34,67.76,66.11,67.28,1897794
28-Nov-16,66.52,66.79,65.90,66.17,989736
25-Nov-16,66.70,66.97,66.10,66.95,439745
23-Nov-16,66.80,66.93,65.86,66.48,1361978
22-Nov-16,66.26,67.03,66.26,66.82,1892880
21-Nov-16,66.50,67.10,66.05,66.90,2356660
18-Nov-16,66.63,66.74,66.08,66.44,1515604
17-Nov-16,66.25,66.93,66.10,66.60,2343467
16-Nov-16,65.40,66.10,65.21,65.90,2153610
15-Nov-16,65.77,66.30,65.30,65.47,3692068
14-Nov-16,65.77,65.86,65.08,65.44,2375853
11-Nov-16,65.93,66.16,65.11,65.45,2926291
10-Nov-16,66.85,67.63,65.00,66.22,2153068
9-Nov-16,64.99,66.98,64.77,66.53,2761036
8-Nov-16,66.31,66.76,65.75,66.37,2761666
7-Nov-16,67.32,67.50,66.21,66.52,2617312
4-Nov-16,66.33,67.04,65.68,65.81,3087659
3-Nov-16,67.42,67.54,66.48,66.52,2483634
2-Nov-16,68.00,68.22,67.21,67.31,3685333
1-Nov-16,69.39,69.55,67.52,68.10,5326018
31-Oct-16,69.76,71.04,69.35,69.47,3711311
28-Oct-16,68.63,70.10,68.47,69.91,4018116
27-Oct-16,68.09,69.95,67.02,68.81,6585245
26-Oct-16,64.36,68.47,64.10,67.70,13754496
25-Oct-16,59.00,59.20,58.44,59.07,3407448
24-Oct-16,57.97,59.18,57.84,58.84,2852923
21-Oct-16,56.73,57.81,56.25,57.67,1800564
20-Oct-16,56.57,56.88,56.33,56.73,1072674
19-Oct-16,56.18,56.98,56.00,56.62,1697985
18-Oct-16,55.69,56.30,55.58,55.92,1937320
17-Oct-16,54.52,54.99,54.11,54.94,1265953
14-Oct-16,54.80,55.24,54.07,54.66,1521051
13-Oct-16,53.87,54.58,53.19,54.45,1400578
12-Oct-16,54.03,54.36,53.57,54.28,993833
11-Oct-16,55.30,55.30,53.61,54.13,1795787
10-Oct-16,55.22,55.74,55.07,55.31,1256995
7-Oct-16,55.33,55.33,54.58,54.95,1162359
6-Oct-16,55.80,55.91,54.60,54.86,1973496
5-Oct-16,54.90,56.05,54.73,55.98,2973634
4-Oct-16,53.75,54.78,53.20,54.64,2633563
3-Oct-16,52.96,53.74,52.63,53.71,1848293
30-Sep-16,52.63,53.19,52.13,52.99,1354713
29-Sep-16,52.27,53.64,52.27,52.41,2268609
28-Sep-16,52.57,52.70,51.36,52.28,1967070
27-Sep-16,51.85,52.83,51.80,52.65,1562407
26-Sep-16,51.84,52.25,51.51,51.76,1299109
23-Sep-16,52.11,52.63,52.11,52.25,1307373
22-Sep-16,52.70,52.93,52.17,52.43,2073632
21-Sep-16,51.48,52.30,51.28,52.21,1690189
20-Sep-16,51.98,52.26,51.36,51.36,1907517
19-Sep-16,51.18,51.90,51.14,51.62,2429964
16-Sep-16,51.20,51.40,50.76,50.98,2415117
15-Sep-16,51.31,51.71,50.91,51.38,3071969
14-Sep-16,51.81,52.46,51.33,51.65,2365671
13-Sep-16,52.50,52.82,51.43,51.87,1904962
12-Sep-16,52.38,53.28,52.31,53.09,2117054
9-Sep-16,53.04,53.73,52.43,52.50,2208981
8-Sep-16,53.90,54.31,53.24,53.50,3483993
7-Sep-16,55.37,55.43,53.91,54.08,2394807
6-Sep-16,55.29,55.82,55.08,55.50,1737377
2-Sep-16,55.40,55.78,55.00,55.33,1149093
1-Sep-16,54.82,55.08,54.16,55.07,1770093
31-Aug-16,54.97,55.14,54.29,54.90,1304417
30-Aug-16,55.05,55.56,54.61,54.89,1168802
29-Aug-16,55.25,55.30,54.66,55.04,1173252
26-Aug-16,54.56,55.94,54.18,55.31,2222253
25-Aug-16,53.80,54.68,53.76,54.56,1971270
24-Aug-16,53.68,54.44,53.63,53.98,1984640
23-Aug-16,53.06,54.28,52.95,53.60,1379082
22-Aug-16,52.81,53.00,52.25,52.98,1286074
19-Aug-16,52.30,52.96,52.00,52.95,1391247
18-Aug-16,52.35,52.64,52.00,52.35,1108053
17-Aug-16,52.24,52.40,51.98,52.34,1608480
16-Aug-16,52.07,52.63,52.00,52.00,1241019
15-Aug-16,52.05,53.01,52.02,52.05,1960670
12-Aug-16,52.19,52.57,51.96,51.97,1979593
11-Aug-16,52.15,52.30,51.30,51.41,1582287
