Date,Open,High,Low,Close,Volume
26-May-17,44.87,45.50,44.75,45.50,6633378
25-May-17,44.76,45.33,44.55,45.02,8662611
24-May-17,45.00,45.13,44.47,44.63,7570534
23-May-17,44.81,44.94,44.30,44.91,8541940
22-May-17,44.19,45.00,43.62,44.73,12606288
19-May-17,45.05,45.74,43.91,44.08,23338575
18-May-17,43.10,44.10,42.84,43.91,21882225
17-May-17,44.58,44.70,42.73,42.76,20062012
16-May-17,44.80,45.08,44.31,45.07,13410525
15-May-17,43.88,44.42,43.71,44.32,12098120
12-May-17,43.53,43.64,43.06,43.44,9365074
11-May-17,43.02,43.48,42.73,43.48,11149880
10-May-17,42.53,43.09,42.47,42.87,11555055
9-May-17,41.82,42.25,41.72,42.04,8074643
8-May-17,41.90,41.96,41.44,41.54,6380021
5-May-17,41.85,41.89,41.30,41.83,4748163
4-May-17,41.65,41.81,41.41,41.62,5016859
3-May-17,41.71,41.71,41.20,41.55,5673883
2-May-17,41.72,41.75,41.13,41.71,6950795
1-May-17,40.98,41.71,40.85,41.70,7478348
28-Apr-17,41.10,41.33,40.58,40.61,9209031
27-Apr-17,40.96,41.82,40.94,41.33,8312470
26-Apr-17,40.78,40.92,40.42,40.71,5578304
25-Apr-17,40.62,40.87,40.28,40.79,7236945
24-Apr-17,40.37,40.61,40.09,40.44,6925408
21-Apr-17,39.90,40.08,39.47,39.79,8762041
20-Apr-17,39.54,39.97,39.15,39.89,9402816
19-Apr-17,39.20,39.66,39.15,39.25,13394449
18-Apr-17,37.79,38.11,37.60,38.05,6047326
17-Apr-17,37.64,38.03,37.57,38.02,5242480
13-Apr-17,37.67,38.25,37.41,37.52,5753986
12-Apr-17,38.35,38.37,37.63,37.77,6802507
11-Apr-17,38.69,38.69,37.60,38.20,10549694
10-Apr-17,38.82,39.20,38.74,38.86,7339629
7-Apr-17,38.45,39.03,38.45,38.93,6318103
6-Apr-17,38.35,38.65,37.85,38.58,7158874
5-Apr-17,39.16,39.35,38.38,38.38,6927418
4-Apr-17,38.71,39.02,38.66,39.00,7241421
3-Apr-17,38.99,39.06,38.52,38.89,7165262
31-Mar-17,38.80,39.04,38.53,38.90,8567565
30-Mar-17,38.91,39.13,38.80,38.89,5997692
29-Mar-17,38.82,38.95,38.66,38.87,6404366
28-Mar-17,38.74,39.20,38.71,38.82,7924875
27-Mar-17,38.45,39.00,38.30,38.86,6823948
24-Mar-17,39.38,39.68,38.74,38.97,9059928
23-Mar-17,38.84,39.11,38.61,38.85,6904579
22-Mar-17,38.48,38.83,38.34,38.82,9075725
21-Mar-17,39.70,39.81,38.30,38.58,13550141
20-Mar-17,39.33,39.76,39.21,39.57,6916906
17-Mar-17,39.34,39.38,39.08,39.28,11023657
16-Mar-17,39.00,39.28,38.85,39.05,8305248
15-Mar-17,38.41,38.95,38.30,38.92,9405810
14-Mar-17,38.35,38.44,37.78,38.27,9646912
13-Mar-17,38.20,38.59,38.17,38.44,9111376
10-Mar-17,37.66,38.19,37.65,38.12,11486540
9-Mar-17,37.03,37.48,37.02,37.38,8494054
8-Mar-17,37.01,37.23,36.96,37.19,8052683
7-Mar-17,36.81,37.26,36.75,36.97,7841451
6-Mar-17,36.68,36.96,36.51,36.86,9219071
3-Mar-17,36.44,36.88,36.42,36.87,7257496
2-Mar-17,36.71,36.95,36.33,36.49,7854762
1-Mar-17,36.52,36.93,36.50,36.85,7298251
28-Feb-17,36.33,36.44,36.10,36.22,8585589
27-Feb-17,36.47,36.50,36.10,36.43,6491371
24-Feb-17,35.81,36.32,35.55,36.30,7505777
23-Feb-17,36.56,36.66,35.90,36.16,7852525
22-Feb-17,36.45,36.67,36.21,36.51,10380015
21-Feb-17,35.52,36.82,35.52,36.58,13814798
17-Feb-17,34.97,35.80,34.72,35.67,14892760
16-Feb-17,35.62,35.65,34.58,35.18,21684867
15-Feb-17,35.46,35.74,35.26,35.49,17409981
14-Feb-17,35.50,35.55,35.12,35.23,9956599
13-Feb-17,35.72,35.83,35.37,35.46,11900268
10-Feb-17,35.64,35.64,35.09,35.32,11636382
9-Feb-17,35.75,35.85,35.38,35.41,6515495
8-Feb-17,35.80,35.80,35.18,35.60,8735864
7-Feb-17,35.38,35.64,35.07,35.54,8155222
6-Feb-17,35.32,35.39,35.01,35.18,5877077
3-Feb-17,34.98,35.39,34.98,35.31,8560301
2-Feb-17,34.97,35.03,34.64,34.94,7517981
1-Feb-17,34.59,35.05,34.50,35.03,15244891
31-Jan-17,34.14,34.32,33.93,34.25,9468804
30-Jan-17,34.79,34.83,33.77,34.34,11183818
27-Jan-17,34.26,35.15,34.22,35.04,11055855
26-Jan-17,34.42,34.47,33.85,33.98,9375456
25-Jan-17,34.30,34.83,34.22,34.42,12230219
24-Jan-17,33.89,34.21,33.88,34.03,9702805
23-Jan-17,33.76,34.20,33.56,33.75,7254438
20-Jan-17,33.92,34.18,33.76,33.84,8571730
19-Jan-17,33.70,34.13,33.67,33.75,8333520
18-Jan-17,33.68,34.00,33.53,33.69,10609448
17-Jan-17,33.79,33.83,33.09,33.30,6428559
13-Jan-17,33.32,33.90,33.30,33.79,6911166
12-Jan-17,33.25,33.34,32.60,33.31,6484120
11-Jan-17,33.21,33.48,32.80,33.47,10620118
10-Jan-17,32.87,33.20,32.74,33.13,8753286
9-Jan-17,32.27,33.07,32.21,32.78,9271782
6-Jan-17,32.04,32.23,31.86,32.04,7063604
5-Jan-17,32.30,32.40,31.91,32.10,7290175
4-Jan-17,32.09,32.51,32.06,32.24,9460624
3-Jan-17,32.36,32.71,31.66,31.94,13209441
30-Dec-16,32.86,32.91,32.18,32.27,5887732
29-Dec-16,32.80,32.99,32.48,32.66,4472486
28-Dec-16,33.55,33.68,32.88,32.90,5388563
27-Dec-16,33.15,33.46,33.10,33.33,5008470
23-Dec-16,32.92,33.00,32.66,32.90,4028103
22-Dec-16,32.95,33.62,32.86,33.01,9492894
21-Dec-16,32.50,32.99,32.50,32.58,6521240
20-Dec-16,32.75,32.91,32.35,32.61,8185615
19-Dec-16,32.25,32.76,32.25,32.44,10385088
16-Dec-16,33.40,33.40,32.42,32.51,13336491
15-Dec-16,32.34,33.10,31.96,33.06,11742550
14-Dec-16,31.93,32.36,31.87,32.14,10482847
13-Dec-16,32.04,32.37,31.95,32.03,6321986
12-Dec-16,32.18,32.32,31.67,32.00,7709169
9-Dec-16,32.78,32.83,31.91,32.35,10774375
8-Dec-16,32.78,32.92,32.45,32.71,10131405
7-Dec-16,31.80,32.65,31.29,32.51,12588974
6-Dec-16,31.71,31.83,31.21,31.61,10087976
5-Dec-16,31.70,31.84,31.34,31.53,13035877
2-Dec-16,30.20,31.45,30.06,31.44,15229645
1-Dec-16,32.14,32.18,29.85,30.10,25173904
30-Nov-16,32.16,32.54,32.05,32.20,14878917
29-Nov-16,31.67,32.35,31.57,32.16,8982904
28-Nov-16,31.84,32.16,31.62,31.84,8412891
25-Nov-16,31.71,31.97,31.44,31.88,4703898
23-Nov-16,31.64,31.95,31.50,31.88,9876745
22-Nov-16,31.53,31.80,31.35,31.67,8955598
21-Nov-16,30.88,31.45,30.84,31.35,13076803
18-Nov-16,30.47,31.25,30.35,30.74,23958862
17-Nov-16,30.39,30.85,30.00,30.73,18374962
16-Nov-16,30.00,30.30,29.54,30.02,16103223
15-Nov-16,29.31,29.64,29.10,29.61,12678706
14-Nov-16,29.40,29.50,28.93,28.99,12293754
11-Nov-16,28.50,28.84,28.24,28.82,12748367
10-Nov-16,29.21,29.90,28.10,28.18,14796754
9-Nov-16,29.33,29.33,28.36,29.13,12558628
8-Nov-16,29.34,29.67,29.11,29.51,7395779
7-Nov-16,28.67,29.35,28.63,29.33,12024855
4-Nov-16,28.05,28.64,28.02,28.22,8665773
3-Nov-16,28.52,28.59,28.12,28.27,12013760
2-Nov-16,28.74,29.09,28.47,28.59,9944303
1-Nov-16,29.11,29.23,28.51,28.90,10437813
31-Oct-16,28.73,29.16,28.71,29.08,10929238
28-Oct-16,28.96,29.18,28.57,28.66,11541636
27-Oct-16,29.07,29.30,28.67,28.86,9128007
26-Oct-16,28.71,29.02,28.62,28.85,7343464
25-Oct-16,29.08,29.30,28.75,28.86,9773198
24-Oct-16,28.71,29.16,28.65,29.15,12300692
21-Oct-16,28.26,28.56,28.05,28.43,9875721
20-Oct-16,28.22,28.45,28.02,28.38,12119108
19-Oct-16,27.98,28.43,27.95,28.32,11794033
18-Oct-16,28.24,28.34,27.96,28.02,11970776
17-Oct-16,28.65,28.65,27.74,27.80,11038569
14-Oct-16,27.95,28.40,27.82,28.07,12138271
13-Oct-16,28.25,28.26,27.56,27.86,16963790
12-Oct-16,28.66,28.80,28.26,28.64,11687678
11-Oct-16,29.37,29.39,28.30,28.64,20018667
10-Oct-16,29.97,30.00,29.35,29.38,10270686
7-Oct-16,29.83,29.91,29.48,29.75,11641487
6-Oct-16,30.05,30.07,29.44,29.89,13015401
5-Oct-16,29.74,30.18,29.59,29.94,7940018
4-Oct-16,29.90,30.13,29.52,29.61,8483142
3-Oct-16,30.18,30.40,29.80,29.92,9867563
30-Sep-16,29.68,30.21,29.66,30.15,13210894
29-Sep-16,29.66,29.82,29.30,29.58,11533967
28-Sep-16,29.73,29.98,29.47,29.74,14034816
27-Sep-16,29.35,29.76,29.26,29.64,17381889
26-Sep-16,29.49,29.62,29.22,29.35,12610260
23-Sep-16,30.33,30.42,29.61,29.66,13971788
22-Sep-16,30.76,31.07,30.17,30.29,15660404
21-Sep-16,30.43,30.67,30.00,30.57,21288337
20-Sep-16,30.60,30.71,30.19,30.39,13183700
19-Sep-16,30.44,30.78,30.27,30.30,13655492
16-Sep-16,30.38,30.44,29.89,30.05,16245771
15-Sep-16,29.58,30.38,29.52,30.15,15579797
14-Sep-16,29.38,29.50,29.27,29.43,12259396
13-Sep-16,29.29,29.62,29.08,29.38,13010389
12-Sep-16,28.64,29.77,28.53,29.59,16269116
9-Sep-16,29.50,29.65,28.67,28.86,14681876
8-Sep-16,29.86,29.96,29.64,29.79,8170398
7-Sep-16,30.03,30.25,29.87,29.91,11248833
6-Sep-16,30.04,30.22,29.79,29.98,14689448
2-Sep-16,30.39,30.41,29.82,30.02,11523479
1-Sep-16,29.94,30.29,29.82,30.29,10705194
31-Aug-16,29.89,29.91,29.55,29.84,10595677
30-Aug-16,30.19,30.20,29.70,29.99,12069319
29-Aug-16,29.92,30.27,29.60,30.05,9799140
26-Aug-16,29.78,30.16,29.70,29.97,12175151
25-Aug-16,29.63,29.96,29.59,29.65,10441738
24-Aug-16,29.95,30.00,29.61,29.70,12402095
