Date,Open,High,Low,Close,Volume
26-May-17,59.16,59.20,58.01,58.28,7019197
25-May-17,58.97,59.44,58.73,59.22,7899082
24-May-17,57.94,58.53,56.88,58.51,7288999
23-May-17,59.37,60.13,57.14,57.80,10327412
22-May-17,56.20,57.23,55.76,57.12,6976629
19-May-17,55.32,55.98,54.94,55.88,6032635
18-May-17,53.90,55.38,53.66,55.15,9242439
17-May-17,56.10,56.14,54.18,54.23,10298444
16-May-17,56.71,57.30,56.46,56.78,5304627
15-May-17,56.01,56.60,55.91,56.41,6882339
12-May-17,55.90,56.10,55.51,56.01,3793941
11-May-17,55.97,55.98,55.31,55.75,4864297
10-May-17,55.26,56.23,54.96,55.99,8243695
9-May-17,53.94,54.79,53.76,54.62,4718103
8-May-17,53.81,54.10,53.35,53.99,5184860
5-May-17,54.00,54.75,53.08,53.83,10514098
4-May-17,52.97,53.38,52.46,53.10,7891776
3-May-17,53.15,53.31,52.55,52.84,4775948
2-May-17,53.17,53.39,52.77,53.03,4662280
1-May-17,52.63,53.03,52.32,52.70,5212388
28-Apr-17,51.90,52.27,51.51,52.25,6311751
27-Apr-17,51.53,52.28,51.41,51.91,4145184
26-Apr-17,51.36,51.50,50.91,51.36,4502512
25-Apr-17,51.02,51.66,51.00,51.36,6042214
24-Apr-17,50.50,50.91,50.36,50.88,3798185
21-Apr-17,49.99,50.04,49.58,49.87,3352030
20-Apr-17,49.64,50.06,49.40,49.95,3965322
19-Apr-17,49.21,49.66,49.17,49.35,3216774
18-Apr-17,48.62,49.36,48.51,49.17,3751327
17-Apr-17,48.56,49.26,48.50,48.80,5390589
13-Apr-17,48.71,49.19,48.41,48.42,3906306
12-Apr-17,48.91,49.02,48.44,48.64,3634926
11-Apr-17,48.90,49.14,48.62,49.08,3558930
10-Apr-17,49.50,49.64,48.87,49.04,4273297
7-Apr-17,49.30,49.72,49.22,49.61,4050379
6-Apr-17,49.19,49.39,48.95,49.36,3412127
5-Apr-17,49.19,49.75,48.86,49.20,4606867
4-Apr-17,49.37,49.50,48.88,49.04,5724924
3-Apr-17,49.86,50.07,49.25,49.53,4992237
