Date,Open,High,Low,Close,Volume
31-May-17,88.29,88.95,86.52,87.64,1734763
30-May-17,88.18,88.51,87.50,87.89,869331
26-May-17,87.65,88.65,87.65,88.00,933838
25-May-17,89.15,89.15,87.15,87.33,835481
24-May-17,88.38,88.54,87.15,88.03,1336637
23-May-17,90.71,90.71,88.14,88.36,881456
22-May-17,89.27,90.73,88.81,90.49,731641
19-May-17,90.89,90.90,89.15,89.23,700160
18-May-17,90.19,91.26,89.06,89.99,1192983
17-May-17,91.73,92.49,89.61,89.77,709769
16-May-17,91.50,92.94,90.88,92.45,930597
15-May-17,89.62,92.01,89.55,91.50,1992498
12-May-17,89.23,90.46,88.81,89.85,734791
11-May-17,90.00,90.22,88.36,89.31,750939
10-May-17,91.12,91.12,89.67,90.02,750843
9-May-17,90.80,91.49,90.09,91.15,1264957
8-May-17,93.17,94.35,90.36,90.72,1914766
5-May-17,99.00,100.51,94.05,94.23,2403010
4-May-17,96.36,98.00,95.97,97.78,1250717
3-May-17,96.00,96.49,94.76,95.95,1053168
2-May-17,96.74,97.60,95.15,95.93,1152158
1-May-17,96.03,97.79,95.72,97.61,948914
28-Apr-17,96.93,97.00,95.00,95.84,1240163
27-Apr-17,95.72,98.95,95.01,96.26,2471293
26-Apr-17,94.65,96.21,93.96,96.07,1368444
25-Apr-17,94.00,94.93,92.69,94.19,1366459
24-Apr-17,90.48,94.94,90.24,93.52,3006366
21-Apr-17,90.31,90.31,87.38,88.47,1456569
20-Apr-17,90.61,90.89,89.45,90.23,825515
19-Apr-17,91.21,91.70,89.80,90.17,868878
18-Apr-17,92.45,92.45,90.06,90.95,940783
17-Apr-17,89.91,90.99,89.39,90.70,559294
13-Apr-17,88.72,90.50,87.78,89.91,857272
12-Apr-17,88.94,89.19,87.84,88.38,741799
11-Apr-17,88.59,88.88,87.61,88.53,726038
10-Apr-17,87.64,88.96,87.34,88.23,983126
7-Apr-17,86.93,88.30,86.60,87.95,942487
6-Apr-17,85.45,86.96,85.45,86.89,1250066
5-Apr-17,86.25,87.04,85.80,86.12,1227817
4-Apr-17,86.63,87.27,85.49,86.03,998141
3-Apr-17,87.56,88.69,86.55,86.62,1052972
31-Mar-17,88.93,89.07,87.64,87.78,974250
30-Mar-17,89.76,89.77,87.20,89.12,978825
29-Mar-17,89.15,89.85,89.01,89.58,690076
28-Mar-17,88.18,89.59,88.00,89.10,919604
27-Mar-17,86.83,88.36,86.71,88.23,679753
24-Mar-17,87.52,87.93,86.82,87.37,1121370
23-Mar-17,87.31,87.90,86.69,86.84,792355
22-Mar-17,87.28,88.00,86.28,87.42,991890
21-Mar-17,90.19,90.50,86.86,87.03,1120126
20-Mar-17,90.97,91.05,89.44,90.00,890847
17-Mar-17,91.07,91.40,89.80,90.90,1003472
16-Mar-17,92.77,93.16,90.18,90.96,1798659
15-Mar-17,91.42,92.60,90.93,92.50,893480
14-Mar-17,92.77,92.77,90.70,91.65,710356
13-Mar-17,92.68,93.46,91.90,93.12,759471
10-Mar-17,91.09,92.60,90.57,92.53,874656
9-Mar-17,90.18,91.16,89.79,90.96,537230
8-Mar-17,89.24,90.70,89.00,90.40,940949
7-Mar-17,90.56,91.69,89.04,89.23,1070413
6-Mar-17,93.32,93.91,91.76,91.90,926075
3-Mar-17,93.19,94.28,91.82,93.95,927901
2-Mar-17,93.50,95.79,93.02,93.42,1229117
1-Mar-17,94.50,95.48,92.84,93.81,1974119
28-Feb-17,91.60,94.05,91.21,93.93,2354269
27-Feb-17,87.26,91.74,87.26,91.62,1340772
24-Feb-17,87.99,88.82,85.88,87.51,2390386
23-Feb-17,89.76,90.62,88.87,89.29,1175190
22-Feb-17,90.46,90.96,89.69,89.79,960492
21-Feb-17,90.24,90.45,89.42,90.24,1344772
17-Feb-17,90.50,91.29,89.20,89.87,1290223
16-Feb-17,91.77,92.42,89.87,90.53,1706495
15-Feb-17,91.39,91.74,90.15,91.48,1037528
14-Feb-17,90.46,91.60,90.09,91.19,787167
13-Feb-17,90.33,90.94,90.03,90.89,486325
10-Feb-17,91.23,91.27,89.37,90.13,617451
9-Feb-17,90.89,92.19,90.62,91.15,810037
8-Feb-17,88.70,91.23,87.83,90.90,1050754
7-Feb-17,90.00,90.20,88.12,88.91,857292
6-Feb-17,88.57,88.94,87.98,88.74,893323
3-Feb-17,89.23,89.81,88.32,88.81,954550
2-Feb-17,88.50,89.01,87.38,88.38,1008783
1-Feb-17,87.79,89.15,87.44,88.59,1267894
31-Jan-17,84.90,88.10,84.00,87.63,1129571
30-Jan-17,86.49,86.89,84.38,85.54,868872
27-Jan-17,85.99,87.00,85.31,86.56,964701
26-Jan-17,84.00,85.48,83.88,85.28,1198818
25-Jan-17,84.44,84.98,83.46,83.85,1116101
24-Jan-17,83.27,84.42,82.57,84.34,838504
23-Jan-17,84.62,85.41,82.99,83.30,750495
20-Jan-17,86.70,87.50,84.36,84.62,1030818
19-Jan-17,86.90,87.34,85.88,86.15,875623
18-Jan-17,86.19,87.25,85.69,87.16,944658
17-Jan-17,86.34,86.54,84.43,85.21,1167409
13-Jan-17,86.16,88.13,85.91,86.92,1037735
12-Jan-17,85.47,87.57,84.44,86.16,1309558
11-Jan-17,89.84,90.37,84.66,86.07,2063706
10-Jan-17,91.31,92.00,88.51,90.40,1146553
9-Jan-17,89.79,92.20,87.51,91.03,2091598
6-Jan-17,87.19,87.97,86.13,86.85,776503
5-Jan-17,87.00,87.67,84.93,86.29,1083846
4-Jan-17,86.96,87.52,85.51,86.87,1340560
3-Jan-17,83.30,86.57,83.00,85.84,1298938
30-Dec-16,83.35,83.74,81.50,82.84,1267233
29-Dec-16,83.84,84.71,82.97,83.35,811445
28-Dec-16,85.08,86.59,83.74,84.15,927558
27-Dec-16,86.00,87.61,85.01,85.08,655513
23-Dec-16,83.06,86.00,83.06,85.66,715975
22-Dec-16,84.91,85.21,82.89,83.54,987954
21-Dec-16,85.09,86.68,82.84,85.05,1712427
20-Dec-16,84.41,85.42,83.64,84.98,660177
19-Dec-16,85.15,85.91,83.97,84.38,925325
16-Dec-16,85.32,86.40,84.75,85.36,2014946
15-Dec-16,85.72,86.10,84.41,85.35,1300513
14-Dec-16,83.26,85.61,82.72,85.58,1410288
13-Dec-16,82.44,84.36,82.40,83.44,1136684
12-Dec-16,82.37,82.75,80.67,82.01,1284268
9-Dec-16,84.67,87.52,82.58,82.68,1843346
8-Dec-16,81.70,83.72,80.50,83.51,1135169
7-Dec-16,81.36,82.34,79.50,81.02,1814489
6-Dec-16,82.99,83.48,81.89,82.99,1393595
5-Dec-16,82.51,84.59,81.86,82.45,1702139
2-Dec-16,83.39,84.02,81.89,82.21,1142525
1-Dec-16,85.97,86.46,82.51,83.33,1194580
30-Nov-16,86.64,87.90,85.53,85.63,1471535
29-Nov-16,87.46,88.00,85.86,86.70,1116323
28-Nov-16,89.00,89.10,87.01,88.36,1388567
25-Nov-16,88.06,89.10,86.52,89.00,647620
23-Nov-16,84.59,88.39,83.62,88.10,1299103
22-Nov-16,87.51,88.30,84.42,85.43,1047011
21-Nov-16,89.13,89.99,86.74,87.50,1132414
18-Nov-16,90.42,91.21,88.92,89.00,824650
17-Nov-16,89.15,92.30,88.70,90.74,1114066
16-Nov-16,91.61,92.31,89.31,89.40,935140
15-Nov-16,91.93,92.65,89.40,92.21,1167121
14-Nov-16,91.78,93.85,90.13,92.91,1620357
11-Nov-16,93.28,93.28,90.12,91.46,1243367
10-Nov-16,92.80,95.56,91.46,93.54,2166262
9-Nov-16,89.00,98.34,88.52,91.83,3871635
8-Nov-16,82.79,84.46,82.12,83.43,1240213
7-Nov-16,82.64,84.07,81.64,83.54,1882700
4-Nov-16,79.65,84.58,78.74,82.00,2098975
3-Nov-16,81.43,81.43,78.42,78.62,1471786
2-Nov-16,82.38,82.71,80.77,80.90,1224216
1-Nov-16,80.30,82.88,79.31,82.71,1182177
31-Oct-16,81.26,81.26,80.00,80.52,1139332
28-Oct-16,79.73,83.32,78.56,81.13,1923009
27-Oct-16,82.29,83.39,80.30,81.02,1293675
26-Oct-16,81.26,82.60,81.00,81.75,951271
25-Oct-16,82.28,82.28,80.54,80.96,779681
24-Oct-16,82.67,82.89,81.44,82.14,895833
21-Oct-16,84.00,84.02,81.85,82.28,1037604
20-Oct-16,84.41,85.62,83.71,84.20,1172382
19-Oct-16,85.35,86.43,83.65,84.32,749430
18-Oct-16,86.15,87.34,85.20,85.40,1036394
17-Oct-16,84.83,85.60,82.19,85.45,1399434
14-Oct-16,87.58,88.67,84.58,85.04,1238159
13-Oct-16,86.31,88.46,86.00,86.87,1914815
12-Oct-16,91.46,92.20,87.73,87.95,1013483
11-Oct-16,93.09,93.66,90.72,91.67,1157051
10-Oct-16,94.07,94.98,92.42,93.55,673013
7-Oct-16,93.19,93.92,91.55,93.51,863707
6-Oct-16,95.13,95.76,92.12,92.63,1239380
5-Oct-16,94.69,96.55,94.32,95.92,873100
4-Oct-16,94.59,95.26,94.04,95.13,799730
3-Oct-16,91.98,94.49,91.19,94.34,1130534
30-Sep-16,93.08,93.32,91.20,92.52,1476016
29-Sep-16,96.02,96.17,92.43,92.78,1046414
28-Sep-16,98.19,98.19,94.42,96.03,1194396
27-Sep-16,95.43,97.19,94.25,97.05,1183690
26-Sep-16,96.86,97.52,95.43,95.87,823786
23-Sep-16,96.63,99.70,96.63,97.40,812600
22-Sep-16,98.00,98.94,95.69,97.45,1053706
21-Sep-16,97.97,99.97,95.00,97.57,1307825
20-Sep-16,98.97,99.40,97.52,97.95,926973
19-Sep-16,96.62,101.27,95.23,98.11,2106637
16-Sep-16,94.82,97.22,94.02,96.86,2261637
15-Sep-16,95.23,96.94,94.01,95.38,1018446
14-Sep-16,94.50,96.74,93.79,95.30,1256470
13-Sep-16,95.60,95.72,92.85,93.88,1222448
12-Sep-16,93.33,96.53,93.00,96.24,1100492
9-Sep-16,96.21,97.50,94.02,94.03,1295300
8-Sep-16,96.08,98.22,95.04,97.44,1177885
7-Sep-16,94.95,96.23,93.60,96.14,1475689
6-Sep-16,95.96,97.65,94.92,95.59,1083017
2-Sep-16,95.30,96.49,93.86,95.73,801788
1-Sep-16,93.70,95.49,92.79,95.19,1012496
31-Aug-16,95.29,95.95,93.02,93.89,1275966
30-Aug-16,95.75,96.61,94.84,94.95,712516
29-Aug-16,96.26,96.79,94.88,95.74,800206
26-Aug-16,95.09,96.36,94.42,96.22,1294891
25-Aug-16,95.75,96.97,92.35,94.97,1633078
24-Aug-16,99.22,102.06,94.50,95.13,2482655
23-Aug-16,99.11,99.95,97.44,99.43,1696076
22-Aug-16,95.67,98.50,95.18,98.17,3985359
19-Aug-16,93.07,93.40,91.76,91.99,698638
18-Aug-16,92.85,93.88,92.02,93.52,965548
17-Aug-16,92.14,94.06,91.00,93.30,1499346
16-Aug-16,92.75,93.23,90.91,91.74,1481008
15-Aug-16,92.90,94.22,92.30,93.11,1835337
12-Aug-16,91.49,92.49,91.02,92.44,1346784
11-Aug-16,91.93,92.81,90.66,92.01,1342818
10-Aug-16,94.89,95.10,90.92,91.45,2209815
9-Aug-16,94.62,95.94,93.74,95.15,5180259
8-Aug-16,99.29,99.62,97.70,99.02,1442198
5-Aug-16,100.88,101.67,98.50,98.94,2088914
4-Aug-16,102.41,102.49,99.14,99.62,1458037
3-Aug-16,99.03,101.70,98.76,101.46,1684809
2-Aug-16,99.96,100.90,97.40,99.07,1926746
1-Aug-16,99.33,101.30,98.51,100.25,2102667
29-Jul-16,98.18,99.62,96.17,99.42,1448311
28-Jul-16,98.80,99.50,96.64,98.20,2503207
27-Jul-16,91.58,98.71,90.52,98.09,5832323
26-Jul-16,93.27,93.43,91.21,92.02,2160802
25-Jul-16,94.02,94.43,92.55,92.79,1162488
22-Jul-16,93.78,95.48,93.36,93.58,1235183
21-Jul-16,92.00,94.87,91.91,93.36,1859457
20-Jul-16,91.57,94.02,90.66,93.76,1506427
19-Jul-16,93.49,94.00,90.20,90.42,1150650
18-Jul-16,92.23,94.38,89.57,92.86,2381621
15-Jul-16,89.79,94.75,89.19,92.08,2916697
14-Jul-16,88.19,89.64,86.16,89.03,1448512
13-Jul-16,88.44,88.48,85.86,87.12,1943935
12-Jul-16,88.83,89.98,87.43,87.48,1725473
11-Jul-16,91.82,91.82,88.59,88.59,1884052
8-Jul-16,87.81,93.04,87.50,91.49,3766690
7-Jul-16,86.58,90.20,86.14,88.16,6732235
6-Jul-16,80.34,81.13,77.98,80.81,1402516
5-Jul-16,80.64,80.69,79.23,79.86,1353936
1-Jul-16,77.59,81.67,77.04,81.38,1651570
30-Jun-16,78.71,79.85,76.27,77.80,1853451
29-Jun-16,80.52,81.08,78.20,78.37,2142117
28-Jun-16,76.23,79.71,76.02,79.49,1585069
27-Jun-16,75.87,77.01,73.45,74.61,2023293
24-Jun-16,79.56,83.40,76.76,77.01,2572521
23-Jun-16,82.87,83.83,81.70,83.65,1398796
22-Jun-16,80.81,83.98,80.34,82.18,1233487
21-Jun-16,84.05,84.05,80.54,81.22,1427880
20-Jun-16,82.77,85.80,82.76,84.06,1682707
17-Jun-16,84.30,84.97,82.01,83.86,3994713
16-Jun-16,83.19,84.50,78.16,80.80,3146365
15-Jun-16,81.40,85.53,81.31,84.01,1912620
14-Jun-16,80.22,82.66,79.55,81.05,1143132
13-Jun-16,81.09,83.98,79.50,80.11,1253238
10-Jun-16,82.35,82.48,79.52,81.10,1080973
9-Jun-16,83.75,84.61,82.71,82.94,897295
8-Jun-16,85.36,85.64,83.04,84.10,1025995
7-Jun-16,88.64,89.30,85.23,85.50,1181620
6-Jun-16,89.14,90.05,87.21,89.52,722380
3-Jun-16,91.15,91.49,88.02,90.00,1107650
2-Jun-16,89.04,92.48,87.17,91.52,1950583
1-Jun-16,88.69,88.90,86.01,87.40,1286808
31-May-16,89.35,91.26,88.94,89.65,1377237
27-May-16,87.57,89.22,86.41,89.09,846254
26-May-16,88.04,88.39,86.21,87.26,856635
25-May-16,88.31,89.85,87.50,88.81,1062649
24-May-16,86.32,88.88,86.16,87.95,909118
23-May-16,86.85,88.15,85.35,85.51,829064
20-May-16,84.94,86.63,84.34,86.45,869066
19-May-16,86.46,87.44,83.40,84.75,865197
18-May-16,83.54,87.51,83.21,87.16,1186155
17-May-16,85.73,87.50,82.89,84.05,1565724
16-May-16,82.82,86.80,82.82,86.47,1072121
13-May-16,79.79,84.39,79.79,82.71,1359916
12-May-16,82.51,83.02,78.20,79.79,987658
11-May-16,87.24,87.24,82.09,82.22,893823
10-May-16,84.55,87.62,82.73,87.37,1430851
9-May-16,81.10,85.06,80.57,83.98,1035433
6-May-16,80.36,82.35,79.40,80.80,794303
5-May-16,82.16,82.63,79.32,80.74,1073214
4-May-16,84.15,84.74,81.72,82.14,1512358
3-May-16,86.00,87.41,84.91,85.09,1009958
2-May-16,85.71,86.98,83.92,86.90,1112123
29-Apr-16,83.44,87.50,83.02,84.68,1704163
28-Apr-16,86.95,87.38,84.60,85.10,1472049
27-Apr-16,87.01,88.61,86.22,87.72,1009814
26-Apr-16,90.07,91.00,86.73,88.71,1225684
