Date,Open,High,Low,Close,Volume
31-May-17,31.94,31.96,31.60,31.77,2422922
30-May-17,31.72,31.94,31.52,31.90,1910163
26-May-17,31.91,32.01,31.81,31.82,1187514
25-May-17,31.69,31.97,31.60,31.91,1552006
24-May-17,31.58,31.80,31.08,31.61,2038631
23-May-17,31.77,31.80,31.46,31.50,3369458
22-May-17,31.28,31.93,31.17,31.89,4941309
19-May-17,31.13,31.34,30.93,31.26,2902655
18-May-17,31.26,31.36,30.92,31.04,3157792
17-May-17,31.46,31.65,31.10,31.21,3513115
16-May-17,31.70,31.84,31.39,31.71,3677980
15-May-17,31.55,31.77,31.40,31.69,3987449
12-May-17,33.28,33.35,31.38,31.61,6130906
11-May-17,32.22,32.22,31.65,32.04,4386971
10-May-17,32.07,32.35,31.91,32.27,3433439
9-May-17,32.28,32.29,31.96,32.05,3437376
8-May-17,32.67,32.72,32.31,32.32,3328304
5-May-17,33.08,33.15,32.65,32.69,2955812
4-May-17,32.78,33.02,32.72,32.96,1836764
3-May-17,32.60,32.78,32.53,32.72,2264789
2-May-17,32.85,32.85,32.55,32.61,1820889
1-May-17,32.93,32.94,32.62,32.80,1402496
28-Apr-17,32.86,32.91,32.43,32.83,2764726
27-Apr-17,32.71,32.89,32.32,32.85,1418238
26-Apr-17,32.65,32.85,32.56,32.70,1211585
25-Apr-17,32.57,32.71,32.54,32.60,1782395
24-Apr-17,32.29,32.55,32.04,32.53,2182568
21-Apr-17,32.20,32.27,31.93,31.93,1956304
20-Apr-17,32.18,32.22,31.81,32.14,3116107
19-Apr-17,31.96,32.24,31.90,32.00,1651714
18-Apr-17,31.72,31.93,31.66,31.86,1049916
17-Apr-17,31.78,31.87,31.62,31.79,1057915
13-Apr-17,31.75,32.01,31.63,31.65,1631570
12-Apr-17,31.92,32.02,31.68,31.71,2050054
11-Apr-17,31.75,31.99,31.61,31.98,1592410
10-Apr-17,31.83,32.04,31.75,31.82,1974460
7-Apr-17,31.85,31.97,31.69,31.88,1588982
6-Apr-17,31.66,31.89,31.58,31.80,1990977
5-Apr-17,31.67,32.07,31.51,31.73,2169257
4-Apr-17,31.50,31.68,31.40,31.65,2033366
3-Apr-17,31.78,31.93,31.30,31.59,3170434
31-Mar-17,31.76,31.90,31.70,31.72,1636758
30-Mar-17,31.87,31.98,31.65,31.78,1788032
29-Mar-17,31.80,31.93,31.70,31.86,1460501
28-Mar-17,31.71,31.93,31.60,31.84,1625442
27-Mar-17,31.71,31.77,31.42,31.70,1709454
24-Mar-17,32.02,32.14,31.80,31.86,2539647
23-Mar-17,31.98,32.12,31.84,31.91,2445683
22-Mar-17,31.94,32.08,31.79,32.01,1251771
21-Mar-17,32.49,32.58,31.82,31.86,3154035
