Date,Open,High,Low,Close,Volume
19-May-17,117.73,118.42,116.88,116.93,3093067
18-May-17,117.07,119.09,117.07,117.40,3645022
17-May-17,118.45,118.80,117.00,117.10,3672459
16-May-17,119.17,119.84,118.55,119.36,3003719
15-May-17,119.33,119.54,118.68,119.04,2979980
12-May-17,119.85,120.20,118.90,119.32,2649654
11-May-17,119.07,119.58,118.26,119.52,2592064
10-May-17,120.04,120.47,118.92,119.68,3207906
9-May-17,118.81,120.21,118.59,120.10,4317810
8-May-17,122.09,122.52,117.31,118.36,6154257
5-May-17,123.97,124.15,121.70,122.41,3910441
4-May-17,123.69,124.73,123.63,124.46,2460075
3-May-17,123.87,124.13,122.95,123.43,2433478
2-May-17,123.96,124.37,123.09,123.82,3282926
1-May-17,124.09,124.70,123.78,124.06,3518702
28-Apr-17,124.21,124.33,123.20,124.05,3544305
27-Apr-17,122.48,124.98,122.12,123.97,4638696
26-Apr-17,126.26,126.53,125.06,125.20,3625449
25-Apr-17,124.00,126.22,123.74,125.52,3986050
24-Apr-17,123.63,123.90,122.98,123.15,3269846
21-Apr-17,123.55,123.78,121.71,122.26,2913961
20-Apr-17,123.35,123.80,122.33,123.27,2972267
19-Apr-17,123.53,123.70,122.76,122.92,3265194
18-Apr-17,124.48,125.00,122.25,123.01,3064526
17-Apr-17,124.50,125.16,124.19,125.07,1883724
13-Apr-17,125.25,125.82,124.42,124.45,2623661
12-Apr-17,125.18,125.54,124.48,125.15,3249154
11-Apr-17,125.69,126.45,124.11,125.06,3095371
10-Apr-17,125.81,126.40,125.07,125.92,3279121
7-Apr-17,124.46,126.32,124.00,125.58,2675200
6-Apr-17,124.10,124.74,123.65,124.30,2883292
5-Apr-17,125.28,126.66,123.91,124.18,3406185
4-Apr-17,123.64,124.85,123.54,124.77,2293700
3-Apr-17,124.92,125.69,123.70,124.05,3728614
31-Mar-17,124.03,124.85,123.63,124.43,2866309
30-Mar-17,123.93,124.49,123.37,124.34,1908686
29-Mar-17,124.28,125.06,123.96,124.09,2055284
28-Mar-17,124.61,125.45,123.76,124.43,3059647
27-Mar-17,122.25,125.99,122.15,124.86,4370158
24-Mar-17,123.72,124.13,122.95,123.38,2845493
23-Mar-17,123.19,124.13,122.47,123.22,2785755
22-Mar-17,124.05,124.60,122.17,123.37,3991773
21-Mar-17,126.67,127.04,123.44,123.82,4435918
20-Mar-17,125.57,127.15,125.34,126.51,2878400
17-Mar-17,126.73,127.64,125.51,125.77,6142409
16-Mar-17,127.05,127.25,124.82,126.62,4110071
15-Mar-17,124.95,127.44,124.65,126.88,4879019
14-Mar-17,124.40,125.33,124.03,124.68,2955071
13-Mar-17,124.18,124.57,123.01,124.43,2833523
10-Mar-17,126.50,126.50,123.24,124.00,5096906
9-Mar-17,123.30,126.16,123.10,125.13,5599524
8-Mar-17,122.01,123.30,121.56,123.04,3529555
7-Mar-17,122.17,122.72,121.21,122.08,3590991
6-Mar-17,123.45,124.02,122.50,123.52,2809430
3-Mar-17,122.08,123.89,121.31,123.66,3229181
2-Mar-17,123.64,124.20,121.72,122.24,3782542
1-Mar-17,124.79,124.79,122.70,123.70,4528950
28-Feb-17,121.86,124.56,121.70,123.51,6513617
27-Feb-17,118.30,122.00,118.01,121.78,4220447
24-Feb-17,118.50,119.31,117.28,118.23,4485995
23-Feb-17,119.86,119.95,117.70,119.46,4410062
22-Feb-17,119.48,120.50,118.84,119.27,3834874
21-Feb-17,121.39,122.22,119.12,119.44,4641754
17-Feb-17,119.13,121.19,118.80,121.16,4858957
16-Feb-17,120.16,120.77,118.25,118.66,3384330
15-Feb-17,117.13,120.63,117.03,120.47,5229593
14-Feb-17,116.13,117.21,115.09,117.02,3536621
13-Feb-17,116.02,116.85,115.70,116.42,2350847
