Date,Open,High,Low,Close,Volume
19-May-17,63.77,64.39,63.57,64.10,3758883
18-May-17,63.69,64.21,63.46,63.82,3996741
17-May-17,64.19,64.34,63.62,63.66,2087696
16-May-17,64.40,65.06,64.36,64.83,2106740
15-May-17,64.75,64.91,64.20,64.29,4858914
12-May-17,64.80,64.89,63.92,64.36,1887791
11-May-17,64.74,64.94,64.12,64.75,2237391
10-May-17,64.75,65.24,64.20,64.73,1889330
9-May-17,64.50,65.31,64.29,64.85,3674637
8-May-17,64.90,65.02,64.50,64.61,3861320
5-May-17,64.39,65.07,64.10,64.89,3864345
4-May-17,64.32,64.62,63.41,64.12,2938684
3-May-17,65.33,65.34,64.22,64.28,3033477
2-May-17,64.84,65.78,64.49,65.28,3874546
1-May-17,64.63,65.81,64.43,65.27,3477632
28-Apr-17,62.59,66.27,62.16,64.75,10486026
27-Apr-17,59.52,60.46,59.37,60.06,4554218
26-Apr-17,59.64,59.96,59.45,59.53,3771047
25-Apr-17,59.35,60.24,59.13,59.45,2658970
24-Apr-17,59.50,59.50,58.64,59.29,2139465
21-Apr-17,59.38,59.48,58.68,58.97,1379046
20-Apr-17,58.75,59.48,58.37,59.35,1461099
19-Apr-17,58.61,59.04,58.51,58.67,1779914
18-Apr-17,58.76,58.77,58.08,58.31,1580213
17-Apr-17,58.53,59.00,58.39,58.78,1779236
13-Apr-17,58.70,58.99,58.48,58.61,1534964
12-Apr-17,59.12,59.78,58.52,58.77,2184356
11-Apr-17,59.18,59.69,59.02,59.64,1944605
10-Apr-17,59.57,59.61,59.04,59.24,1618367
7-Apr-17,59.53,59.79,58.97,59.60,2552478
6-Apr-17,59.08,59.51,58.86,59.49,2492857
5-Apr-17,59.15,59.98,58.92,59.06,2357509
4-Apr-17,58.82,59.18,58.57,59.15,2390737
3-Apr-17,58.72,59.14,58.41,59.00,4364207
31-Mar-17,59.13,59.25,58.73,58.85,2443946
30-Mar-17,58.92,59.22,58.53,59.17,2283770
29-Mar-17,59.02,59.83,58.91,59.14,2663166
28-Mar-17,59.12,59.42,58.97,59.26,2040124
27-Mar-17,57.61,59.49,57.48,59.29,6087888
24-Mar-17,56.79,58.13,56.51,57.77,3796603
23-Mar-17,56.44,56.83,56.17,56.53,2363332
22-Mar-17,56.91,57.00,56.20,56.40,3471932
21-Mar-17,56.77,57.05,56.25,56.81,3056261
20-Mar-17,56.68,56.78,56.32,56.57,2301041
