Date,Open,High,Low,Close,Volume
26-May-17,111.16,111.87,110.78,111.21,642615
25-May-17,110.21,112.04,110.21,111.40,873259
24-May-17,109.85,110.02,109.38,109.95,864470
23-May-17,109.88,110.29,109.01,109.62,675854
22-May-17,108.59,109.85,108.59,109.57,695745
19-May-17,108.65,109.16,108.24,108.43,871831
18-May-17,108.37,109.16,107.39,108.69,838537
17-May-17,109.86,110.30,108.30,108.38,971472
16-May-17,110.84,111.24,109.62,110.47,1180779
15-May-17,110.50,110.86,108.26,110.36,2616970
12-May-17,106.01,107.61,105.76,107.60,963293
11-May-17,105.57,106.32,105.20,105.72,633570
10-May-17,106.04,106.21,105.62,106.05,707405
9-May-17,106.18,106.33,106.00,106.04,656591
8-May-17,105.67,106.38,105.50,106.32,735680
5-May-17,106.10,106.37,105.29,106.00,720353
4-May-17,104.87,106.28,104.60,106.25,909872
3-May-17,104.70,104.82,104.05,104.38,671444
2-May-17,104.11,105.04,103.70,104.44,747236
1-May-17,104.04,104.39,103.40,103.81,1232444
28-Apr-17,105.19,105.48,103.11,104.01,1121975
27-Apr-17,103.00,105.20,102.00,104.39,1603395
26-Apr-17,105.01,105.35,103.78,104.22,2060751
25-Apr-17,104.70,105.71,104.56,105.36,914461
24-Apr-17,104.87,105.72,103.45,104.38,1041587
21-Apr-17,103.10,103.54,102.72,103.41,1035638
20-Apr-17,102.87,102.92,102.06,102.64,778083
19-Apr-17,102.91,103.01,102.50,102.82,1127040
18-Apr-17,104.45,104.45,102.27,102.47,1625976
17-Apr-17,103.35,104.06,102.87,103.10,1253959
13-Apr-17,103.85,104.64,103.26,103.53,888785
12-Apr-17,103.94,104.41,103.54,104.00,946626
11-Apr-17,103.35,103.63,102.18,103.36,489554
10-Apr-17,103.23,103.62,102.88,103.30,485071
7-Apr-17,102.85,103.35,102.55,103.16,561806
6-Apr-17,102.93,103.16,102.28,102.60,620841
5-Apr-17,103.14,103.76,102.60,102.87,738394
4-Apr-17,103.01,103.50,102.71,102.80,474299
3-Apr-17,102.74,103.30,102.17,103.21,1530593
31-Mar-17,102.98,103.08,102.45,102.66,950799
30-Mar-17,103.40,103.99,102.92,103.12,526512
29-Mar-17,103.66,104.20,103.00,103.42,708184
28-Mar-17,103.89,104.20,103.36,103.79,880850
27-Mar-17,102.56,103.99,102.15,103.71,858628
24-Mar-17,103.87,104.35,103.15,103.38,1164260
23-Mar-17,102.80,103.93,102.43,103.40,1129462
22-Mar-17,100.95,103.25,100.68,102.84,1344474
21-Mar-17,101.80,102.05,101.06,101.11,1366208
20-Mar-17,101.61,102.05,101.30,101.69,836562
17-Mar-17,102.09,102.24,101.27,101.42,1330723
16-Mar-17,100.90,102.13,100.51,101.92,1228347
15-Mar-17,99.47,100.85,99.33,100.73,644783
14-Mar-17,99.90,100.40,99.47,99.54,698717
13-Mar-17,99.97,100.46,99.64,100.40,815233
10-Mar-17,99.41,100.04,98.86,99.92,732527
9-Mar-17,99.65,99.78,98.52,98.80,762897
8-Mar-17,98.59,100.08,98.50,99.80,909426
7-Mar-17,98.63,99.49,98.54,98.68,738033
6-Mar-17,98.84,99.56,98.60,98.96,692509
3-Mar-17,99.20,99.76,98.80,99.36,873540
2-Mar-17,99.56,99.57,98.76,99.17,950521
1-Mar-17,98.98,99.92,98.25,99.34,1299183
28-Feb-17,99.20,99.43,98.59,98.91,1005374
27-Feb-17,99.53,99.95,98.25,99.22,1385847
24-Feb-17,99.20,99.76,98.51,99.45,1773646
23-Feb-17,100.94,101.06,99.70,99.81,1324437
22-Feb-17,101.12,101.32,100.53,100.56,783096
21-Feb-17,101.31,101.36,100.43,101.11,1535617
17-Feb-17,100.57,101.73,100.17,101.21,922119
16-Feb-17,100.70,101.35,100.60,101.00,869555
15-Feb-17,101.00,101.31,100.30,100.85,1107626
14-Feb-17,100.38,101.47,100.30,100.97,678287
13-Feb-17,101.77,101.77,100.27,100.94,782946
10-Feb-17,100.25,101.63,100.15,101.19,1057629
9-Feb-17,99.68,100.52,99.58,100.45,1378837
8-Feb-17,100.45,100.63,98.98,99.56,1521362
7-Feb-17,100.52,100.87,99.13,100.27,2215108
6-Feb-17,98.82,99.27,98.30,98.96,1661492
3-Feb-17,98.69,99.57,98.20,99.40,1399580
2-Feb-17,97.33,98.71,97.26,98.43,972488
1-Feb-17,98.56,98.86,97.31,97.91,1281962
31-Jan-17,98.54,99.38,98.24,98.77,1059399
30-Jan-17,99.21,99.21,97.74,98.45,1345603
27-Jan-17,98.00,99.69,97.50,99.46,2338333
26-Jan-17,96.60,98.49,96.60,98.15,1555187
25-Jan-17,99.74,99.74,96.25,96.63,2345616
24-Jan-17,98.07,99.36,97.36,98.89,2012990
23-Jan-17,97.27,98.25,96.64,97.79,1941583
20-Jan-17,96.99,97.89,96.30,97.79,2354085
19-Jan-17,95.00,97.92,94.50,96.34,7119767
18-Jan-17,90.90,90.90,88.91,89.61,2929728
17-Jan-17,90.57,90.89,89.82,90.39,1588644
13-Jan-17,89.46,92.23,89.43,90.71,3289086
12-Jan-17,88.35,89.25,87.70,89.19,1131071
11-Jan-17,88.48,89.27,88.28,88.49,2276146
10-Jan-17,87.19,88.93,87.05,88.21,1681453
9-Jan-17,87.33,87.64,86.90,87.20,1104937
6-Jan-17,86.66,87.75,85.61,87.24,1876180
5-Jan-17,84.68,86.73,84.60,86.66,1144867
4-Jan-17,84.52,85.27,84.00,84.92,1896696
3-Jan-17,84.73,85.24,84.01,84.57,1318079
30-Dec-16,85.25,85.63,84.29,84.46,754528
29-Dec-16,84.89,86.13,84.59,85.05,1140390
28-Dec-16,86.25,86.47,85.02,85.18,729709
27-Dec-16,85.16,86.70,85.01,86.33,788805
23-Dec-16,84.77,85.96,84.64,84.89,446014
22-Dec-16,85.93,85.97,84.50,84.95,1262018
21-Dec-16,85.69,86.00,85.24,85.66,947548
20-Dec-16,85.70,86.53,85.50,85.90,1095892
19-Dec-16,85.22,85.62,85.00,85.38,787600
16-Dec-16,85.46,86.17,84.64,84.99,1562288
15-Dec-16,84.81,85.83,84.60,85.05,1366449
14-Dec-16,84.39,85.27,84.33,84.92,1135598
13-Dec-16,84.78,85.31,84.05,84.58,1179989
12-Dec-16,85.18,85.18,84.24,84.64,748288
9-Dec-16,84.29,85.39,84.00,85.22,844907
8-Dec-16,84.72,85.41,84.55,84.59,841466
7-Dec-16,83.89,84.67,83.10,84.59,766603
6-Dec-16,83.69,83.87,82.00,83.85,992544
5-Dec-16,81.99,83.91,81.89,83.36,1174578
2-Dec-16,81.20,83.00,80.78,81.89,1043270
1-Dec-16,82.28,82.51,81.21,81.31,2050552
30-Nov-16,81.85,82.59,81.61,82.33,1316722
29-Nov-16,82.36,82.92,81.39,81.59,1318226
28-Nov-16,82.94,83.35,82.44,82.53,956497
25-Nov-16,83.38,83.59,83.08,83.23,327752
23-Nov-16,83.69,84.00,82.88,83.03,1014223
22-Nov-16,83.00,84.49,82.22,83.74,1214936
21-Nov-16,83.84,84.35,83.59,83.96,774097
18-Nov-16,83.84,84.21,83.36,83.41,708617
17-Nov-16,83.06,83.90,82.38,83.80,824507
16-Nov-16,82.08,83.16,82.08,83.15,1553641
15-Nov-16,84.28,84.75,82.66,82.70,1830442
14-Nov-16,84.07,84.95,83.19,84.07,954659
11-Nov-16,84.99,85.25,83.77,84.44,1792431
10-Nov-16,84.82,85.85,83.95,85.15,1218120
9-Nov-16,82.40,85.47,81.45,84.78,1827397
8-Nov-16,83.84,83.96,82.80,83.40,1356690
7-Nov-16,83.74,84.33,83.00,84.12,1258604
4-Nov-16,82.03,83.31,81.98,82.65,924871
3-Nov-16,83.42,83.96,82.74,82.83,963903
2-Nov-16,83.00,84.14,82.71,83.33,1425083
1-Nov-16,84.28,84.85,81.79,83.10,3322638
31-Oct-16,83.74,84.98,82.79,84.56,3960135
28-Oct-16,78.98,81.08,78.78,80.98,3612067
27-Oct-16,79.00,79.38,78.86,79.05,1302368
26-Oct-16,78.42,78.97,78.31,78.85,1011256
25-Oct-16,78.45,78.73,78.15,78.52,934282
24-Oct-16,77.83,78.49,77.77,78.38,756832
21-Oct-16,77.36,77.88,76.87,77.67,788845
20-Oct-16,77.36,77.42,76.68,77.10,893346
19-Oct-16,77.34,77.54,76.98,77.18,808637
18-Oct-16,76.75,77.51,76.57,77.23,828940
17-Oct-16,75.84,76.48,75.65,76.20,1024575
14-Oct-16,76.53,77.49,76.00,76.17,1175661
13-Oct-16,76.50,76.56,75.42,76.35,1110192
12-Oct-16,75.03,77.10,74.34,76.77,1653512
11-Oct-16,77.59,77.64,76.56,76.63,1133685
10-Oct-16,78.50,78.51,77.50,77.59,1163172
7-Oct-16,78.13,79.06,77.80,78.07,1415972
6-Oct-16,78.38,78.69,77.19,77.76,2698898
5-Oct-16,78.20,79.34,78.01,78.69,1260843
4-Oct-16,77.54,78.62,77.54,78.18,1852955
3-Oct-16,77.26,77.94,77.26,77.57,971041
30-Sep-16,76.99,77.68,76.50,77.61,1131983
29-Sep-16,77.03,77.16,76.60,76.73,947096
28-Sep-16,76.62,77.25,76.54,77.06,1023740
27-Sep-16,74.86,76.32,74.84,76.30,807251
26-Sep-16,75.09,75.56,74.88,74.96,854320
23-Sep-16,76.24,76.67,75.41,75.70,2077238
22-Sep-16,76.00,76.57,75.88,76.05,842674
21-Sep-16,75.05,76.00,74.93,75.89,1024626
20-Sep-16,75.06,75.37,74.54,74.81,816051
19-Sep-16,75.58,75.58,74.81,75.03,1419175
16-Sep-16,75.74,75.74,74.82,75.00,1399529
15-Sep-16,74.85,75.76,74.62,75.51,1577277
14-Sep-16,76.23,76.86,75.03,75.04,2167857
13-Sep-16,76.55,77.49,76.50,76.76,1698235
12-Sep-16,75.00,77.60,75.00,77.46,1595993
9-Sep-16,76.31,77.33,76.06,76.77,2278869
8-Sep-16,77.59,77.61,76.63,76.68,1700770
7-Sep-16,77.62,77.82,77.49,77.64,656334
6-Sep-16,78.32,79.00,77.66,77.75,1763265
2-Sep-16,77.46,78.14,76.79,77.98,1564464
1-Sep-16,76.68,77.18,76.25,76.96,1426786
31-Aug-16,76.23,77.04,75.31,76.74,2514873
30-Aug-16,76.28,76.69,75.81,76.02,920859
29-Aug-16,77.02,77.32,76.09,76.22,1061288
26-Aug-16,76.15,77.45,75.94,77.33,2232964
25-Aug-16,75.99,76.41,75.65,75.94,785856
24-Aug-16,75.73,76.50,75.37,76.05,1102190
23-Aug-16,75.97,76.24,75.14,76.19,1101968
22-Aug-16,75.86,75.97,75.30,75.40,1593222
19-Aug-16,75.71,76.72,75.50,75.97,1963964
18-Aug-16,75.04,76.07,74.90,75.91,1987944
17-Aug-16,75.40,75.42,74.51,74.82,1357877
16-Aug-16,75.31,75.70,74.51,75.12,1758427
15-Aug-16,74.87,75.57,74.75,75.32,2148039
12-Aug-16,74.87,75.24,74.76,74.83,1132101
11-Aug-16,74.77,75.21,74.69,75.18,1689904
10-Aug-16,74.89,75.24,74.38,74.60,1104526
9-Aug-16,75.29,75.44,74.61,74.91,2373057
8-Aug-16,76.21,76.25,75.06,75.10,1421944
5-Aug-16,76.10,76.72,75.85,75.88,1206175
4-Aug-16,75.81,75.94,75.28,75.89,1621670
3-Aug-16,74.94,75.84,74.50,75.60,2025299
2-Aug-16,75.86,75.89,74.80,75.05,3183272
1-Aug-16,76.88,77.54,75.96,76.09,2816118
29-Jul-16,77.70,78.19,76.41,76.88,2096723
28-Jul-16,78.20,78.32,77.64,77.91,2030783
27-Jul-16,80.38,80.38,78.06,78.10,2828254
26-Jul-16,79.50,81.97,78.39,80.53,4574757
25-Jul-16,81.82,84.00,81.74,83.64,2926588
22-Jul-16,81.67,81.82,80.93,81.73,1636651
21-Jul-16,81.90,82.17,81.15,81.35,882785
20-Jul-16,81.97,82.74,81.06,82.26,1035949
19-Jul-16,81.51,82.20,80.92,81.19,876709
18-Jul-16,81.58,82.49,81.16,81.97,928668
15-Jul-16,82.15,82.37,81.10,81.16,907024
14-Jul-16,82.19,82.42,81.55,81.67,1022671
13-Jul-16,81.76,82.24,80.86,81.92,1209301
12-Jul-16,82.45,82.46,81.21,81.45,2537115
11-Jul-16,82.10,82.80,81.41,82.48,1325111
8-Jul-16,82.06,83.20,81.97,83.15,1275989
7-Jul-16,81.48,81.99,81.27,81.86,1600285
6-Jul-16,79.26,81.91,79.11,81.63,2788372
5-Jul-16,79.00,79.90,78.54,79.74,1243815
1-Jul-16,80.00,80.24,79.20,79.62,1238940
30-Jun-16,78.11,79.88,77.85,79.68,2011213
29-Jun-16,77.88,78.17,76.52,77.99,2807858
28-Jun-16,78.27,78.50,76.90,77.40,1592287
27-Jun-16,77.49,77.81,76.58,77.07,1758576
24-Jun-16,79.01,80.70,78.11,78.17,1735334
23-Jun-16,81.75,82.02,81.34,81.98,1264754
22-Jun-16,81.42,82.00,80.90,80.98,1013277
21-Jun-16,81.50,81.85,81.07,81.52,1075257
20-Jun-16,81.54,81.91,80.81,81.24,1930459
17-Jun-16,81.96,82.00,80.79,81.15,2110956
16-Jun-16,82.40,82.93,81.07,81.70,2714724
15-Jun-16,84.37,84.89,84.15,84.28,794010
14-Jun-16,83.64,84.48,83.43,84.33,751677
13-Jun-16,83.84,85.01,83.46,84.40,594930
10-Jun-16,84.55,84.90,84.00,84.40,926048
9-Jun-16,85.65,85.82,84.96,85.20,880078
8-Jun-16,84.80,85.67,84.80,85.59,1337144
7-Jun-16,85.32,85.68,84.69,84.77,1201677
6-Jun-16,85.01,85.42,84.76,85.30,1346429
3-Jun-16,85.23,85.46,84.29,84.97,1085101
2-Jun-16,84.71,86.02,84.48,85.77,1268089
1-Jun-16,84.50,84.84,83.53,84.80,1391379
31-May-16,83.49,85.03,82.65,84.97,7987938
27-May-16,84.24,84.55,82.74,83.60,2580416
26-May-16,85.93,86.12,85.25,85.81,1263014
25-May-16,86.22,86.46,85.64,85.93,1446376
24-May-16,83.88,86.13,83.74,86.06,1446574
23-May-16,83.26,84.32,83.26,83.40,1123405
20-May-16,82.54,83.79,82.41,83.45,1366987
19-May-16,82.65,83.27,81.72,82.37,1291785
18-May-16,82.26,83.73,82.23,83.21,804123
17-May-16,83.00,83.57,82.21,82.52,817359
16-May-16,82.87,83.63,82.57,82.99,967568
13-May-16,81.87,83.20,81.64,82.42,1169343
12-May-16,81.72,82.36,81.14,81.62,729531
11-May-16,82.60,82.92,81.20,81.21,1409016
10-May-16,81.25,82.77,81.25,82.50,1418007
9-May-16,83.13,83.13,81.83,82.48,1030323
6-May-16,81.01,81.90,80.46,81.89,815428
5-May-16,82.01,82.42,81.66,81.85,631336
4-May-16,81.55,82.33,81.07,82.01,1213014
3-May-16,82.68,82.73,81.45,82.16,1096950
2-May-16,82.78,83.18,82.01,82.79,1378190
29-Apr-16,82.42,84.29,81.78,82.87,888563
28-Apr-16,83.57,84.13,82.41,82.60,838694
27-Apr-16,83.34,84.60,83.03,83.50,1223585
26-Apr-16,84.47,84.68,83.14,83.83,1236835
25-Apr-16,82.93,84.38,82.62,84.34,1655155
22-Apr-16,83.29,84.39,82.10,82.93,2472907
21-Apr-16,86.79,86.79,84.12,84.22,2966241
20-Apr-16,83.73,86.66,83.01,86.06,5537041
19-Apr-16,89.93,89.98,87.87,88.88,2526054
18-Apr-16,87.78,89.92,87.47,89.66,1734565
15-Apr-16,88.50,89.07,88.10,88.40,1353524
14-Apr-16,87.90,89.20,87.50,88.33,2418654
13-Apr-16,85.88,88.22,85.86,88.07,1835977
12-Apr-16,85.10,86.31,84.06,85.52,1382001
11-Apr-16,84.95,85.96,84.83,84.91,698054
8-Apr-16,85.92,86.12,84.77,85.14,826028
7-Apr-16,86.70,87.38,85.30,85.64,1353930
6-Apr-16,85.31,86.47,84.76,86.29,978481
5-Apr-16,84.81,85.35,84.49,84.77,1112611
4-Apr-16,87.06,87.06,85.50,85.71,1259662
1-Apr-16,86.80,86.84,85.89,86.77,910125
31-Mar-16,85.78,87.98,85.65,87.47,2312080
30-Mar-16,84.72,86.57,84.11,86.34,1856586
29-Mar-16,83.00,84.02,83.00,83.83,521862
28-Mar-16,82.91,83.45,82.28,83.14,580979
24-Mar-16,82.86,83.36,82.28,82.83,608717
23-Mar-16,83.49,83.74,82.96,83.19,1068185
22-Mar-16,82.90,83.61,82.88,83.35,1356540
21-Mar-16,83.35,83.54,82.78,83.25,1259827
18-Mar-16,82.83,83.39,81.83,82.98,1856153
17-Mar-16,82.55,83.35,82.00,82.54,1260164
16-Mar-16,81.78,83.39,81.77,82.90,1102810
15-Mar-16,82.04,82.61,81.78,82.42,1100863
14-Mar-16,82.93,83.04,81.98,82.26,1238164
11-Mar-16,82.74,83.28,81.80,83.00,1878260
10-Mar-16,84.58,84.58,81.90,82.90,1040145
9-Mar-16,83.72,84.26,83.21,83.78,826712
8-Mar-16,82.77,83.81,82.52,83.10,1064671
7-Mar-16,84.30,84.48,82.94,83.40,1355975
4-Mar-16,85.51,85.52,84.19,84.35,2402381
3-Mar-16,85.23,85.25,82.92,85.19,1156538
2-Mar-16,84.50,84.99,83.50,83.98,1110582
1-Mar-16,83.92,85.00,83.49,84.69,1564410
29-Feb-16,82.94,84.56,82.31,83.07,1674373
26-Feb-16,84.51,84.63,82.06,82.68,1377273
25-Feb-16,83.24,83.65,82.01,83.62,1068259
24-Feb-16,81.32,82.98,81.19,82.80,853474
23-Feb-16,82.39,82.59,81.65,82.00,1110130
22-Feb-16,82.26,83.14,81.83,82.31,1917187
19-Feb-16,81.18,81.75,80.84,81.61,1888419
18-Feb-16,81.74,81.80,80.39,81.46,1523110
17-Feb-16,80.79,81.50,80.19,81.39,1205400
16-Feb-16,79.86,80.90,79.27,80.40,1416541
12-Feb-16,78.09,78.78,77.04,78.67,1430914
11-Feb-16,75.93,78.48,75.50,77.91,1265037
10-Feb-16,77.32,78.89,76.91,77.33,1268436
9-Feb-16,75.41,77.93,75.20,76.69,1518865
8-Feb-16,76.72,77.49,75.20,76.91,1992626
5-Feb-16,79.00,79.00,77.07,78.02,1691107
4-Feb-16,79.72,79.72,78.49,79.69,1349500
3-Feb-16,80.03,80.24,78.39,79.77,1852599
2-Feb-16,79.80,80.34,78.31,78.58,1383094
1-Feb-16,79.55,80.95,78.34,80.63,2020517
29-Jan-16,77.19,78.84,77.12,78.81,2372989
28-Jan-16,78.94,79.95,75.74,76.84,3182287
27-Jan-16,76.10,76.30,74.75,75.20,2070921
26-Jan-16,76.46,76.63,74.00,76.05,1530093
25-Jan-16,75.41,76.29,75.22,75.45,2446490
22-Jan-16,74.77,75.95,73.28,75.43,1876445
21-Jan-16,74.56,74.85,72.44,72.76,2743276
20-Jan-16,74.44,75.11,71.64,74.55,3990662
19-Jan-16,77.04,77.55,75.29,75.92,2036202
