Date,Open,High,Low,Close,Volume
19-May-17,315.01,318.40,313.92,315.78,1920804
18-May-17,314.16,317.87,312.56,315.88,1797353
17-May-17,319.14,320.36,312.49,313.11,2390074
16-May-17,322.36,324.05,319.21,320.01,1459293
15-May-17,322.24,324.30,320.63,321.07,1944126
12-May-17,324.80,326.60,321.80,322.00,1523690
11-May-17,325.28,327.12,323.20,324.61,1071121
10-May-17,324.53,327.18,323.09,325.58,940339
9-May-17,323.30,327.83,320.12,325.52,1476522
8-May-17,329.52,331.00,321.72,323.81,3222049
5-May-17,324.61,334.87,324.51,334.78,1988962
4-May-17,324.89,327.40,322.25,322.60,1782282
3-May-17,335.40,337.48,321.44,324.49,4124340
2-May-17,338.89,340.13,333.20,337.69,2490997
1-May-17,346.29,347.25,341.87,344.14,1528264
28-Apr-17,349.83,349.99,342.78,345.16,1251677
27-Apr-17,346.10,350.35,346.10,348.80,865528
26-Apr-17,345.51,350.38,344.85,345.40,1495368
25-Apr-17,341.98,345.30,340.89,344.50,1405590
24-Apr-17,340.03,342.14,338.74,340.36,1138235
21-Apr-17,336.44,339.64,335.74,338.48,1092173
20-Apr-17,335.28,337.05,333.18,335.59,887984
19-Apr-17,330.01,335.96,328.31,333.61,1011041
18-Apr-17,329.62,331.00,325.95,328.18,1392556
17-Apr-17,331.73,332.71,329.08,330.36,730304
13-Apr-17,335.28,335.70,329.65,330.00,705184
12-Apr-17,331.01,335.69,330.54,334.57,1061588
11-Apr-17,330.42,332.66,328.00,332.30,877273
10-Apr-17,330.45,333.15,329.56,331.37,965591
7-Apr-17,337.67,338.51,330.55,330.65,1494521
6-Apr-17,331.75,336.96,330.55,336.80,1638123
5-Apr-17,332.21,338.75,329.55,331.99,1535056
4-Apr-17,328.40,334.00,326.96,331.52,1618863
3-Apr-17,327.50,330.81,325.02,328.27,1121558
31-Mar-17,326.73,330.91,326.03,327.32,1050238
30-Mar-17,325.13,328.55,322.58,328.12,850636
29-Mar-17,323.90,327.12,323.28,325.94,810841
28-Mar-17,322.05,325.73,320.60,324.08,1190400
27-Mar-17,323.74,325.76,319.61,323.14,1168924
24-Mar-17,324.94,327.74,323.64,325.35,1442045
23-Mar-17,320.50,326.75,319.50,323.62,1001453
22-Mar-17,321.44,322.26,318.93,321.20,803912
21-Mar-17,325.23,326.27,319.98,320.66,801099
20-Mar-17,326.06,326.31,322.43,324.99,752794
17-Mar-17,324.95,326.27,322.48,325.81,1450970
16-Mar-17,324.69,326.82,323.34,323.72,724981
15-Mar-17,324.84,326.89,323.82,325.38,1124998
14-Mar-17,323.69,326.16,323.63,324.64,551632
13-Mar-17,323.19,325.56,323.00,324.34,732495
10-Mar-17,325.57,325.81,322.74,323.48,729054
9-Mar-17,322.87,326.10,321.43,323.14,921449
8-Mar-17,323.17,325.08,321.68,322.60,1030004
7-Mar-17,323.91,327.04,322.36,323.24,1093502
6-Mar-17,321.26,324.54,319.45,323.77,765471
3-Mar-17,323.57,323.57,320.51,322.32,1130975
2-Mar-17,324.68,324.68,321.83,323.95,897024
1-Mar-17,325.76,328.10,321.66,325.17,1492977
28-Feb-17,326.03,326.78,320.25,323.06,1292888
27-Feb-17,326.92,328.70,324.91,326.73,918701
24-Feb-17,324.38,327.31,322.72,326.75,1160153
23-Feb-17,326.09,326.10,321.17,324.43,1530162
22-Feb-17,323.30,326.12,322.46,325.14,1475398
21-Feb-17,324.30,326.97,321.51,325.15,1283794
17-Feb-17,323.87,327.10,319.72,326.55,1532231
16-Feb-17,320.00,327.33,317.02,324.46,2050804
15-Feb-17,321.85,326.18,320.02,325.18,1380220
14-Feb-17,321.91,323.78,320.26,322.00,1091534
13-Feb-17,325.00,325.12,319.40,323.02,1708519
10-Feb-17,325.07,325.98,321.61,324.56,1035139
9-Feb-17,325.84,326.46,321.24,325.07,1224596
8-Feb-17,323.55,327.50,323.20,325.73,982675
7-Feb-17,322.98,325.39,321.33,323.37,1892097
6-Feb-17,327.83,328.28,319.18,322.60,2395678
3-Feb-17,325.43,329.10,324.12,328.71,1105797
2-Feb-17,325.64,326.84,324.19,324.41,842630
1-Feb-17,323.85,327.01,321.94,326.85,944235
31-Jan-17,322.65,325.27,321.03,323.95,1005911
30-Jan-17,323.48,325.26,316.99,324.80,2104052
27-Jan-17,332.92,334.12,316.96,323.55,2748909
26-Jan-17,333.37,341.50,324.81,333.15,12359709
25-Jan-17,309.15,311.20,307.16,310.31,1120498
24-Jan-17,309.74,310.21,307.01,308.35,1058864
23-Jan-17,307.20,309.85,306.17,308.70,1763048
20-Jan-17,307.64,309.18,306.16,308.44,1327003
19-Jan-17,302.93,307.76,301.28,306.13,1140409
18-Jan-17,306.15,307.32,302.09,303.69,1220621
17-Jan-17,294.02,306.37,292.84,306.14,3908041
13-Jan-17,297.31,300.07,296.89,298.43,1023551
12-Jan-17,298.05,298.24,294.56,297.19,1415481
11-Jan-17,297.45,300.04,296.10,299.54,1237962
10-Jan-17,296.66,300.15,293.46,298.20,1510062
9-Jan-17,297.20,297.94,294.71,296.26,1719599
6-Jan-17,296.12,298.79,294.46,298.16,1101253
5-Jan-17,289.75,297.13,289.73,296.17,1711872
4-Jan-17,286.98,292.08,284.23,291.55,1632480
3-Jan-17,290.24,291.44,282.54,285.77,1697792
30-Dec-16,292.16,292.99,285.05,287.92,1327768
29-Dec-16,291.02,294.87,290.11,292.19,1030956
28-Dec-16,293.01,293.73,290.43,291.12,882580
27-Dec-16,291.55,293.29,290.00,291.80,837165
23-Dec-16,290.73,292.97,288.94,290.43,627474
22-Dec-16,291.03,291.79,287.47,291.02,770329
21-Dec-16,290.63,292.84,288.01,291.24,813057
20-Dec-16,288.46,291.61,288.09,290.38,880081
19-Dec-16,288.96,292.00,287.09,288.91,929906
16-Dec-16,292.62,294.66,287.65,288.44,2331965
15-Dec-16,288.16,293.74,287.99,291.16,1843315
14-Dec-16,283.90,293.42,281.99,288.26,2460112
13-Dec-16,279.59,285.10,275.34,283.86,1485439
12-Dec-16,281.04,281.95,275.98,277.92,1490787
9-Dec-16,279.74,280.49,276.51,278.81,1317208
8-Dec-16,285.40,285.40,278.61,279.00,1757656
7-Dec-16,276.44,287.27,275.11,284.25,2007704
6-Dec-16,272.17,277.09,271.32,276.32,1233270
5-Dec-16,268.36,273.96,267.01,270.93,1765022
2-Dec-16,273.04,274.11,265.78,266.67,1751489
1-Dec-16,273.55,276.00,269.95,272.55,1401249
30-Nov-16,280.49,281.08,272.02,275.31,2486277
29-Nov-16,272.14,281.43,271.14,280.49,2657337
28-Nov-16,275.71,275.82,270.28,270.82,1706953
25-Nov-16,273.00,275.93,272.06,275.50,626949
23-Nov-16,272.34,273.95,270.65,272.31,1358511
22-Nov-16,264.94,273.26,264.26,273.02,2800375
21-Nov-16,263.82,265.71,260.17,264.10,1581799
18-Nov-16,264.19,266.00,260.00,262.70,1796842
17-Nov-16,262.20,266.57,261.20,265.48,1335216
16-Nov-16,260.00,262.64,258.63,261.99,2344420
15-Nov-16,263.21,267.86,259.95,260.20,2688198
14-Nov-16,272.29,273.99,263.06,263.14,2474958
11-Nov-16,269.07,273.79,265.32,272.44,2111928
10-Nov-16,271.20,281.36,266.58,270.87,5210954
