Date,Open,High,Low,Close,Volume
19-May-17,38.33,38.90,38.20,38.85,18739647
18-May-17,38.45,39.01,38.10,38.67,20337393
17-May-17,38.68,38.74,37.92,38.10,22168775
16-May-17,39.09,39.09,38.69,38.82,17815916
15-May-17,38.89,39.15,38.87,38.97,11901960
12-May-17,39.22,39.23,38.89,38.98,12480984
11-May-17,38.86,39.32,38.85,39.26,13484033
10-May-17,39.02,39.10,38.78,39.10,12920699
9-May-17,39.19,39.28,38.83,39.08,12511483
8-May-17,39.33,39.36,38.78,39.20,17214371
5-May-17,38.53,39.02,38.28,39.01,17640743
4-May-17,38.38,38.67,37.90,38.29,17685295
3-May-17,39.43,39.45,38.16,38.54,26298704
2-May-17,39.32,39.35,39.06,39.34,14481846
1-May-17,39.42,39.45,38.99,39.19,15976779
28-Apr-17,39.50,39.54,38.99,39.19,19451970
27-Apr-17,39.55,40.62,39.18,39.59,35177237
26-Apr-17,38.68,39.18,38.50,38.79,31464127
25-Apr-17,38.01,38.55,38.01,38.49,12523771
24-Apr-17,38.59,38.63,37.99,38.01,20030013
21-Apr-17,37.97,38.25,37.93,38.16,17106889
20-Apr-17,37.77,38.12,37.65,38.00,17250139
19-Apr-17,37.82,37.99,37.49,37.53,15479790
18-Apr-17,37.18,37.79,37.05,37.59,23066988
17-Apr-17,37.30,37.40,37.08,37.20,14475655
13-Apr-17,37.37,37.39,36.99,37.14,18033853
12-Apr-17,37.45,37.51,37.12,37.29,17486028
11-Apr-17,37.67,37.67,37.18,37.23,20042446
10-Apr-17,37.95,38.07,37.56,37.67,12640006
7-Apr-17,38.26,38.27,37.92,38.02,14346179
6-Apr-17,37.28,38.36,37.27,38.13,23316466
5-Apr-17,37.83,37.98,37.24,37.34,18128588
4-Apr-17,37.56,37.93,37.56,37.79,13177025
3-Apr-17,37.47,37.89,37.38,37.56,16497712
31-Mar-17,37.42,37.69,37.26,37.59,15556514
30-Mar-17,37.13,37.55,37.13,37.51,10232291
29-Mar-17,36.90,37.31,36.85,37.22,10407821
28-Mar-17,36.95,37.28,36.69,37.09,14389630
27-Mar-17,37.19,37.31,36.90,37.11,13473664
24-Mar-17,37.24,37.57,37.08,37.38,17814764
23-Mar-17,37.01,37.48,36.85,37.22,11690930
22-Mar-17,37.18,37.26,36.81,37.04,11088919
21-Mar-17,37.49,37.61,37.00,37.07,18806735
20-Mar-17,37.53,37.75,37.41,37.48,11040960
17-Mar-17,37.87,37.96,37.37,37.46,32703073
16-Mar-17,37.70,37.99,37.58,37.68,13028309
15-Mar-17,37.52,37.83,37.41,37.75,11142551
14-Mar-17,37.21,37.61,37.16,37.41,9592094
13-Mar-17,37.32,37.49,37.14,37.30,10991800
10-Mar-17,37.60,37.61,37.13,37.32,12435027
9-Mar-17,37.18,37.45,37.12,37.38,11213343
8-Mar-17,37.16,37.34,37.09,37.11,12934265
7-Mar-17,37.42,37.64,37.27,37.42,14812434
6-Mar-17,37.07,37.50,36.90,37.44,13181617
3-Mar-17,37.46,37.50,37.18,37.22,11069227
2-Mar-17,37.52,37.55,37.19,37.45,11116071
1-Mar-17,37.72,37.83,37.52,37.59,16486480
28-Feb-17,37.62,37.62,37.18,37.42,16872258
27-Feb-17,37.76,37.80,37.50,37.53,9563628
24-Feb-17,37.72,37.90,37.47,37.89,11557826
23-Feb-17,38.12,38.16,37.56,37.65,13258356
22-Feb-17,37.87,38.22,37.82,37.94,13126051
21-Feb-17,38.03,38.03,37.41,37.89,13556274
17-Feb-17,37.97,38.02,37.51,37.66,19599952
16-Feb-17,38.22,38.22,37.84,38.00,16599476
15-Feb-17,37.88,38.33,37.84,38.30,13849182
14-Feb-17,37.80,38.12,37.72,38.04,15477494
13-Feb-17,37.60,37.86,37.55,37.86,20421818
10-Feb-17,37.50,37.64,37.40,37.58,12684104
9-Feb-17,37.50,37.62,37.28,37.52,14329328
8-Feb-17,37.43,37.46,37.29,37.34,14212182
7-Feb-17,37.33,37.60,37.26,37.43,15812560
6-Feb-17,37.60,37.60,37.22,37.27,16223032
3-Feb-17,37.65,37.72,37.47,37.63,13852078
2-Feb-17,37.72,37.82,37.50,37.54,15387864
1-Feb-17,37.64,38.10,37.62,37.80,18004222
31-Jan-17,37.52,37.74,37.24,37.71,26926210
30-Jan-17,37.92,37.96,37.25,37.67,26341780
27-Jan-17,37.74,38.00,37.30,37.98,23326780
26-Jan-17,36.56,38.44,36.50,37.75,52161460
25-Jan-17,36.80,36.94,36.55,36.72,26648446
24-Jan-17,36.60,36.90,36.50,36.80,17553090
23-Jan-17,36.78,36.87,36.44,36.63,16937116
20-Jan-17,36.54,36.80,36.37,36.78,25014552
19-Jan-17,36.09,36.48,36.06,36.30,14470912
18-Jan-17,36.34,36.38,36.10,36.14,18013804
17-Jan-17,36.10,36.37,35.91,36.28,21143488
13-Jan-17,36.00,36.47,35.88,36.38,23293556
12-Jan-17,35.80,35.83,35.42,35.71,14599618
11-Jan-17,35.86,35.87,35.35,35.86,23324904
10-Jan-17,35.31,35.88,35.22,35.46,24547224
9-Jan-17,35.07,35.48,35.02,35.42,18135982
6-Jan-17,35.10,35.27,34.91,35.14,13528092
5-Jan-17,34.80,35.13,34.70,35.08,16985988
4-Jan-17,34.76,35.13,34.59,34.94,22010818
3-Jan-17,34.84,34.94,34.12,34.52,23670334
30-Dec-16,34.98,35.02,34.46,34.52,24376728
29-Dec-16,35.20,35.33,34.98,35.04,11986958
28-Dec-16,35.43,35.50,35.18,35.22,9248474
27-Dec-16,35.40,35.66,35.25,35.44,6139284
23-Dec-16,35.50,35.54,35.23,35.32,8513520
22-Dec-16,35.30,35.51,35.11,35.51,18988694
21-Dec-16,34.74,35.55,34.74,35.42,11220040
20-Dec-16,35.16,35.60,34.99,35.50,20764464
19-Dec-16,35.08,35.22,34.88,35.08,14040122
16-Dec-16,35.10,35.20,34.78,34.93,29901146
15-Dec-16,35.09,35.32,34.80,34.94,20198176
14-Dec-16,34.97,35.34,34.82,35.01,20540530
13-Dec-16,34.54,35.12,34.46,34.99,18628320
12-Dec-16,34.52,34.64,34.26,34.50,14967054
9-Dec-16,34.74,34.74,34.46,34.72,17161754
8-Dec-16,34.58,34.74,34.47,34.62,17552540
7-Dec-16,34.38,34.72,34.04,34.66,21098798
6-Dec-16,34.31,34.49,34.11,34.35,21342506
5-Dec-16,34.51,34.66,34.19,34.34,19691288
2-Dec-16,34.98,35.17,34.32,34.39,26722730
1-Dec-16,34.70,35.02,34.62,34.93,19346858
30-Nov-16,35.04,35.14,34.62,34.76,23009000
29-Nov-16,34.25,35.11,34.14,35.07,30491230
28-Nov-16,34.40,34.50,34.01,34.16,19572456
25-Nov-16,34.46,34.62,34.40,34.58,6963552
23-Nov-16,34.56,34.96,34.46,34.48,18862980
22-Nov-16,34.13,34.58,34.10,34.51,26432816
21-Nov-16,34.16,34.36,33.98,34.10,17255248
18-Nov-16,34.12,34.30,33.96,34.17,20925136
17-Nov-16,33.70,34.36,33.40,34.24,23362160
16-Nov-16,33.39,33.76,33.30,33.74,22868890
15-Nov-16,33.54,33.85,33.28,33.49,31409348
14-Nov-16,33.09,34.06,33.09,33.63,37671616
11-Nov-16,32.37,33.28,32.30,33.23,31766780
10-Nov-16,31.76,32.96,31.75,32.55,54804802
9-Nov-16,31.00,32.05,31.00,31.72,40324138
8-Nov-16,30.82,31.46,30.72,31.26,22331646
7-Nov-16,30.76,30.88,30.52,30.76,19343000
4-Nov-16,30.23,30.62,30.02,30.33,21598622
3-Nov-16,30.78,30.98,30.42,30.48,19073986
2-Nov-16,30.68,30.82,30.55,30.74,23440670
1-Nov-16,31.26,31.26,30.57,30.72,21027980
31-Oct-16,31.10,31.24,30.85,30.91,19390752
28-Oct-16,30.74,31.36,30.74,30.94,28923272
27-Oct-16,31.32,31.38,30.30,30.74,44967712
26-Oct-16,32.46,32.46,31.19,31.28,42837574
25-Oct-16,32.50,32.82,32.20,32.26,30403058
24-Oct-16,32.80,32.80,32.31,32.48,19291786
21-Oct-16,31.98,32.16,31.78,32.03,22887354
20-Oct-16,32.39,32.45,32.09,32.18,21401148
19-Oct-16,32.56,32.76,32.36,32.46,17066422
18-Oct-16,32.74,32.75,32.40,32.44,15356362
17-Oct-16,32.57,32.79,32.49,32.51,10784236
14-Oct-16,32.60,32.87,32.50,32.60,15327680
13-Oct-16,32.44,32.65,32.11,32.56,14289662
12-Oct-16,32.54,32.78,32.46,32.62,12826002
11-Oct-16,32.86,32.86,32.44,32.48,14763696
10-Oct-16,32.74,33.00,32.72,32.89,14850010
7-Oct-16,32.86,32.86,32.48,32.68,14943236
6-Oct-16,32.80,32.90,32.54,32.70,14495324
5-Oct-16,33.07,33.12,32.78,32.90,16502810
4-Oct-16,33.04,33.19,32.82,32.92,14590072
3-Oct-16,32.94,33.18,32.85,33.10,13470024
30-Sep-16,33.27,33.28,33.10,33.17,21135692
29-Sep-16,33.34,33.34,32.89,33.12,18663912
28-Sep-16,33.08,33.36,33.00,33.34,15612254
27-Sep-16,32.88,33.20,32.80,33.08,17255954
26-Sep-16,33.62,33.62,32.85,32.90,15644926
23-Sep-16,33.34,33.75,33.34,33.58,18402430
22-Sep-16,33.75,33.76,33.43,33.65,17430964
21-Sep-16,33.09,33.67,33.04,33.58,16920356
20-Sep-16,33.16,33.38,33.01,33.12,15151722
19-Sep-16,32.99,33.16,32.79,32.92,13588692
16-Sep-16,32.99,33.07,32.64,32.96,27162722
15-Sep-16,32.46,33.22,32.41,33.12,20281602
14-Sep-16,32.49,32.72,32.38,32.58,15221148
13-Sep-16,32.64,32.77,32.37,32.38,25159340
12-Sep-16,32.48,32.95,32.42,32.88,17208186
9-Sep-16,32.62,32.94,32.41,32.56,28324920
8-Sep-16,33.11,33.22,32.93,33.08,16220100
7-Sep-16,33.06,33.22,33.00,33.18,14253432
6-Sep-16,33.02,33.20,32.81,33.17,14561952
2-Sep-16,33.19,33.28,32.98,33.08,12015742
1-Sep-16,32.80,33.04,32.64,32.94,17725108
31-Aug-16,32.67,32.84,32.49,32.63,13573852
30-Aug-16,32.84,32.84,32.56,32.78,12781158
29-Aug-16,32.84,33.00,32.78,32.83,11631818
26-Aug-16,32.87,33.10,32.58,32.76,13464584
25-Aug-16,32.88,32.94,32.72,32.78,12947970
24-Aug-16,32.74,32.94,32.69,32.84,17686188
23-Aug-16,33.35,33.36,32.67,32.83,20159972
22-Aug-16,33.18,33.24,32.91,33.22,11404084
19-Aug-16,33.58,33.62,33.09,33.14,25660510
18-Aug-16,33.94,33.94,33.54,33.70,11327314
17-Aug-16,33.66,33.94,33.52,33.88,10986998
16-Aug-16,33.62,33.83,33.58,33.66,9433452
15-Aug-16,33.76,33.98,33.73,33.76,9572788
12-Aug-16,33.66,33.90,33.66,33.76,8224804
11-Aug-16,33.62,33.90,33.58,33.84,11836522
10-Aug-16,33.45,33.68,33.32,33.61,15082226
9-Aug-16,33.60,33.71,33.42,33.45,16782938
8-Aug-16,33.55,33.60,33.38,33.54,14609540
5-Aug-16,33.76,33.91,33.57,33.70,13828622
4-Aug-16,33.34,33.64,33.34,33.59,13459406
3-Aug-16,33.50,33.64,33.21,33.42,14937152
2-Aug-16,33.82,33.82,33.44,33.45,14091434
1-Aug-16,33.70,33.88,33.67,33.77,13197172
29-Jul-16,33.94,33.97,33.54,33.62,19854844
28-Jul-16,33.86,34.18,33.84,33.93,17688290
27-Jul-16,34.10,34.16,33.26,33.96,23705284
26-Jul-16,33.64,33.74,33.33,33.59,16980962
25-Jul-16,33.78,33.85,33.64,33.74,12056176
22-Jul-16,33.75,33.88,33.52,33.73,15377778
21-Jul-16,33.48,33.68,33.31,33.51,14993678
20-Jul-16,33.51,33.60,33.11,33.56,11885126
19-Jul-16,33.34,33.61,33.24,33.54,15721154
18-Jul-16,33.38,33.59,33.34,33.43,10137686
15-Jul-16,33.78,33.82,33.34,33.44,14575534
14-Jul-16,33.63,33.68,33.44,33.51,14941806
13-Jul-16,33.59,33.68,33.35,33.42,17041310
12-Jul-16,33.84,33.98,33.50,33.58,19438598
11-Jul-16,33.76,33.84,33.46,33.70,15106430
8-Jul-16,33.30,33.59,33.15,33.56,27918534
7-Jul-16,32.40,33.21,32.38,33.13,30780208
6-Jul-16,32.52,32.60,32.34,32.55,21475726
5-Jul-16,32.36,32.64,32.28,32.50,18344670
1-Jul-16,32.46,32.72,32.14,32.64,17591350
30-Jun-16,32.12,32.71,32.00,32.60,29341022
29-Jun-16,31.83,32.08,31.59,31.97,20626786
28-Jun-16,31.53,31.57,31.11,31.54,21480804
27-Jun-16,30.51,31.36,30.48,31.23,31704516
24-Jun-16,30.42,31.30,30.33,30.82,35744888
23-Jun-16,31.67,31.74,31.32,31.48,14291890
22-Jun-16,31.27,31.58,31.10,31.32,11586628
21-Jun-16,31.24,31.40,31.02,31.27,17769772
20-Jun-16,31.46,31.72,31.21,31.23,15595858
17-Jun-16,31.58,31.58,31.07,31.18,23925742
16-Jun-16,31.10,31.62,30.92,31.55,15080840
15-Jun-16,31.23,31.55,31.12,31.18,16346716
14-Jun-16,31.00,31.35,30.97,31.32,14937716
13-Jun-16,31.36,31.56,31.11,31.20,15353022
10-Jun-16,31.10,31.48,31.06,31.40,15732362
9-Jun-16,31.44,31.56,31.27,31.46,11233064
8-Jun-16,31.64,31.76,31.53,31.61,13385122
7-Jun-16,31.68,31.84,31.60,31.62,12818252
6-Jun-16,31.86,31.95,31.61,31.70,11913202
3-Jun-16,31.84,31.89,31.50,31.78,11913268
2-Jun-16,31.84,31.91,31.70,31.83,12857688
1-Jun-16,31.72,31.92,31.52,31.86,15397838
31-May-16,31.41,31.70,31.25,31.65,23842776
27-May-16,31.30,31.58,31.24,31.44,16153624
26-May-16,31.28,31.44,31.04,31.14,13549582
25-May-16,31.30,31.58,30.84,31.30,17898064
24-May-16,31.04,31.25,30.84,31.22,19858472
23-May-16,30.72,31.24,30.72,30.90,23493056
20-May-16,30.06,30.94,30.06,30.88,22234740
19-May-16,30.00,30.30,29.81,30.12,17773294
18-May-16,30.26,30.42,29.93,30.19,26537370
17-May-16,30.86,30.88,30.17,30.22,31370310
16-May-16,30.74,31.26,30.68,31.00,17505946
13-May-16,31.01,31.26,30.82,30.92,16437368
12-May-16,31.18,31.33,30.91,31.13,16656192
11-May-16,31.24,31.38,30.94,31.04,16188988
10-May-16,30.72,31.36,30.70,31.32,21562248
9-May-16,30.78,30.94,30.59,30.71,12855354
6-May-16,30.44,30.72,30.30,30.71,15559434
5-May-16,30.52,30.73,30.27,30.52,16668458
4-May-16,30.30,30.80,30.25,30.44,21236834
3-May-16,30.46,30.90,30.32,30.48,22420280
2-May-16,30.54,30.76,30.28,30.62,21290854
29-Apr-16,30.26,30.52,30.01,30.38,29307854
28-Apr-16,30.36,31.00,30.25,30.58,28094996
27-Apr-16,31.10,31.40,30.24,30.65,34118324
26-Apr-16,30.51,30.78,30.44,30.52,17541482
25-Apr-16,30.51,30.55,30.24,30.50,24381938
22-Apr-16,30.44,30.75,30.30,30.55,21871660
21-Apr-16,30.62,30.68,30.19,30.47,28458426
20-Apr-16,31.30,31.30,30.66,30.73,26835736
19-Apr-16,31.22,31.46,31.02,31.14,18762522
18-Apr-16,30.84,31.33,30.77,31.24,17212606
15-Apr-16,31.06,31.22,30.70,30.98,16393876
14-Apr-16,31.08,31.15,30.84,30.92,13642916
13-Apr-16,31.09,31.20,30.86,30.98,15658004
12-Apr-16,30.70,31.03,30.63,30.86,14858220
11-Apr-16,30.96,31.05,30.72,30.72,14277326
8-Apr-16,30.82,30.98,30.64,30.80,11421340
7-Apr-16,31.02,31.16,30.51,30.70,19195282
6-Apr-16,30.52,31.13,30.50,31.10,21644864
5-Apr-16,30.42,30.72,30.40,30.56,14369050
4-Apr-16,30.76,30.90,30.56,30.72,14668572
1-Apr-16,30.30,31.00,30.20,30.94,21308126
31-Mar-16,30.36,30.68,30.32,30.54,17589842
30-Mar-16,30.46,30.62,30.26,30.40,15971182
29-Mar-16,29.90,30.44,29.84,30.38,15752050
28-Mar-16,29.78,30.18,29.72,30.04,14524928
24-Mar-16,29.38,30.09,29.34,30.00,19702056
23-Mar-16,29.56,29.85,29.50,29.62,16764944
22-Mar-16,29.65,30.15,29.65,29.94,15467412
21-Mar-16,29.86,30.03,29.81,29.92,12213150
18-Mar-16,30.42,30.45,29.76,29.88,37354122
17-Mar-16,29.96,30.57,29.86,30.38,21077924
16-Mar-16,29.32,30.14,29.32,29.96,18214212
15-Mar-16,29.35,29.71,29.35,29.70,15979290
14-Mar-16,29.52,29.72,29.44,29.62,12885766
11-Mar-16,29.54,29.61,29.26,29.58,14031906
10-Mar-16,29.30,29.57,29.03,29.18,18001870
9-Mar-16,29.35,29.55,29.15,29.39,15719800
8-Mar-16,29.44,29.50,29.02,29.14,20621094
7-Mar-16,29.61,29.88,29.31,29.48,21590140
4-Mar-16,30.00,30.02,29.66,29.87,15418348
3-Mar-16,29.72,30.14,29.72,29.96,19431144
2-Mar-16,29.48,29.71,29.42,29.68,17922484
