Date,Open,High,Low,Close,Volume
31-May-17,54.97,55.23,54.46,54.65,3617154
30-May-17,55.30,55.49,54.47,55.17,2587567
26-May-17,55.99,56.08,54.96,55.32,1777729
25-May-17,55.43,56.04,54.94,55.71,2609545
24-May-17,54.82,55.01,54.30,54.94,2166684
23-May-17,55.64,55.66,54.37,54.68,3584358
22-May-17,56.16,56.50,55.27,55.37,3938618
19-May-17,55.45,56.40,55.11,56.15,3561391
18-May-17,53.85,55.72,53.44,55.47,3286473
17-May-17,55.44,56.12,54.84,54.89,4341640
16-May-17,55.25,56.56,54.95,56.43,6600712
15-May-17,55.37,55.70,54.96,55.16,4238959
12-May-17,54.59,55.39,54.40,55.33,5376561
11-May-17,53.86,54.79,52.72,54.15,9494386
10-May-17,55.86,56.75,55.30,56.13,8346382
9-May-17,53.70,55.48,53.37,55.33,8656467
8-May-17,53.10,53.12,52.54,52.97,4129352
5-May-17,52.31,52.72,51.73,52.68,3034957
4-May-17,52.22,52.27,51.48,52.20,2970815
3-May-17,53.19,53.19,51.87,52.31,2130311
2-May-17,52.12,53.11,52.08,52.38,4814183
1-May-17,52.22,52.50,50.45,52.08,5937234
28-Apr-17,50.30,50.57,49.94,50.51,4166596
27-Apr-17,49.80,50.39,49.55,50.24,4290200
26-Apr-17,49.43,49.75,48.65,49.64,3836302
25-Apr-17,48.48,49.51,48.29,49.10,5011307
24-Apr-17,47.96,48.04,47.37,47.55,4004949
21-Apr-17,47.17,47.46,46.98,47.16,4305747
20-Apr-17,47.62,48.21,47.00,47.02,6063217
19-Apr-17,49.41,50.15,46.64,47.15,14684334
18-Apr-17,48.21,49.40,48.20,48.98,3290457
17-Apr-17,48.29,48.79,48.28,48.61,1712778
13-Apr-17,48.59,49.21,48.24,48.29,2003560
12-Apr-17,48.96,49.08,48.56,48.59,2700555
11-Apr-17,49.92,50.43,48.39,48.90,3533562
10-Apr-17,50.11,50.61,49.67,49.85,3741990
7-Apr-17,49.04,50.77,48.88,50.09,4656931
6-Apr-17,49.02,49.28,48.86,49.13,1778424
5-Apr-17,49.65,49.70,48.84,48.99,3014461
4-Apr-17,49.52,49.79,49.14,49.39,3243786
3-Apr-17,49.48,49.74,49.22,49.52,2877958
31-Mar-17,49.55,49.55,48.70,49.15,4028092
30-Mar-17,49.69,49.88,49.40,49.69,2230341
29-Mar-17,49.43,49.79,48.97,49.69,2464008
28-Mar-17,49.27,49.84,48.89,49.53,2542154
27-Mar-17,48.88,49.40,48.46,49.29,2010511
24-Mar-17,48.99,49.42,48.74,49.18,4078014
23-Mar-17,48.07,49.07,47.97,48.62,5499067
22-Mar-17,48.05,48.25,47.59,48.20,2841201
21-Mar-17,49.80,50.16,47.79,48.04,6671416
20-Mar-17,49.03,49.90,48.92,49.76,3284893
