Date,Open,High,Low,Close,Volume
31-May-17,66.64,67.10,66.43,66.91,3847906
30-May-17,66.69,66.69,66.29,66.49,5077526
26-May-17,67.13,67.13,66.70,66.79,2559411
25-May-17,66.67,67.04,66.54,66.88,4639756
24-May-17,66.17,66.61,65.85,66.49,3141783
23-May-17,66.00,66.30,65.66,66.01,4913145
22-May-17,65.40,65.86,65.17,65.79,3313689
19-May-17,65.11,65.52,64.90,65.42,3559680
18-May-17,64.16,65.32,63.96,65.02,4029632
17-May-17,64.74,65.00,64.29,64.50,3892923
16-May-17,64.64,65.25,64.26,65.19,3239812
15-May-17,64.40,64.72,64.13,64.49,6625291
12-May-17,64.32,64.68,64.04,64.39,4268792
11-May-17,63.60,64.32,63.60,64.25,3053031
10-May-17,63.99,64.30,63.66,63.97,3430070
9-May-17,63.51,64.34,63.39,64.17,3534020
8-May-17,63.19,64.43,63.00,64.28,6847989
5-May-17,61.69,63.34,61.50,63.22,8224676
4-May-17,60.76,61.15,60.56,60.75,5479645
3-May-17,60.72,60.80,60.21,60.56,3562530
2-May-17,60.33,60.81,60.20,60.49,3963254
1-May-17,60.40,60.75,60.16,60.35,5007155
28-Apr-17,59.74,60.40,59.44,60.23,4694358
27-Apr-17,59.45,59.72,59.31,59.70,3230201
26-Apr-17,59.05,59.65,58.97,59.42,3920733
25-Apr-17,58.93,59.37,58.76,59.09,3112331
24-Apr-17,58.64,59.19,58.45,58.89,4201668
21-Apr-17,57.98,57.98,57.64,57.85,4882033
20-Apr-17,58.01,58.24,57.50,57.78,5152199
19-Apr-17,57.97,58.32,57.86,57.97,4071255
18-Apr-17,58.35,58.41,57.65,57.87,5333546
17-Apr-17,58.63,58.82,58.51,58.70,2931828
13-Apr-17,58.77,59.06,58.29,58.35,3872285
12-Apr-17,58.94,59.01,58.48,58.66,2590719
11-Apr-17,58.73,59.20,58.40,58.88,3612932
10-Apr-17,58.29,59.10,58.20,58.97,4501007
