Date,Open,High,Low,Close,Volume
31-May-17,82.45,82.60,81.33,82.54,1761960
30-May-17,82.18,82.44,81.66,82.15,1821488
26-May-17,82.84,83.04,82.25,82.49,1028926
25-May-17,82.53,83.40,82.30,83.15,965154
24-May-17,82.44,82.44,81.56,82.30,874891
23-May-17,83.12,83.47,81.95,82.06,991358
22-May-17,82.64,83.35,82.56,82.95,1487361
19-May-17,82.78,83.57,82.50,82.79,1420425
18-May-17,82.52,83.04,81.80,82.59,1182019
17-May-17,83.97,84.38,82.70,82.74,2193894
16-May-17,86.66,86.78,83.80,84.83,3462701
15-May-17,86.21,86.74,86.14,86.33,1187892
12-May-17,87.08,87.08,85.90,85.92,1522365
11-May-17,86.39,87.17,86.21,87.11,1236621
10-May-17,86.86,87.28,86.50,86.99,877023
9-May-17,86.98,87.18,86.50,86.82,2242960
8-May-17,87.19,87.48,86.34,87.19,1043762
5-May-17,86.62,87.50,86.33,87.48,1634890
4-May-17,86.98,87.15,85.93,86.55,3313421
3-May-17,87.52,87.95,86.06,87.05,4006118
2-May-17,82.03,82.03,81.03,81.29,1553191
1-May-17,81.24,81.90,81.01,81.75,1349524
28-Apr-17,81.48,81.64,80.10,80.94,2528427
27-Apr-17,84.60,84.82,80.53,81.44,3705931
26-Apr-17,84.65,84.66,83.50,84.12,1581279
25-Apr-17,84.73,84.73,83.80,84.05,1463842
24-Apr-17,84.43,84.50,83.31,84.37,1614284
21-Apr-17,83.64,83.77,82.86,83.09,1297129
20-Apr-17,83.69,83.93,83.19,83.67,1747463
19-Apr-17,83.53,84.11,83.08,83.23,1756176
18-Apr-17,83.35,83.63,82.55,83.12,890271
17-Apr-17,83.37,83.73,83.00,83.44,1187190
13-Apr-17,83.06,83.68,82.77,82.96,747144
12-Apr-17,83.70,83.89,82.80,83.00,584652
11-Apr-17,83.24,83.83,82.76,83.68,1329414
10-Apr-17,83.20,83.68,82.94,83.44,711047
7-Apr-17,83.00,83.57,82.74,83.15,2021201
6-Apr-17,83.10,83.34,82.51,83.06,1828551
5-Apr-17,83.70,84.27,82.70,82.96,1076442
4-Apr-17,83.42,83.98,82.67,83.30,964647
3-Apr-17,83.54,84.08,82.79,83.44,1901826
31-Mar-17,83.55,84.12,83.37,83.39,1391453
30-Mar-17,83.46,84.25,83.46,84.11,1074089
29-Mar-17,83.55,83.83,82.33,83.59,1097374
28-Mar-17,83.97,84.20,83.23,83.99,1893058
27-Mar-17,82.70,84.35,81.88,83.57,1885523
24-Mar-17,83.67,84.75,82.94,83.14,1474966
23-Mar-17,82.07,84.14,81.73,83.39,3846168
22-Mar-17,81.81,82.68,81.33,82.20,1106184
21-Mar-17,82.74,82.83,81.46,81.51,2175844
20-Mar-17,82.81,82.96,81.95,82.49,1246785
17-Mar-17,83.03,83.07,82.10,82.72,2412131
16-Mar-17,82.77,82.99,81.91,82.57,1546801
15-Mar-17,81.65,83.22,81.45,82.51,3211466
14-Mar-17,84.51,84.77,81.04,82.02,5427900
13-Mar-17,79.58,87.99,79.05,84.93,5459013
10-Mar-17,79.36,79.79,79.06,79.53,1388820
9-Mar-17,79.91,80.07,78.49,79.03,1668799
8-Mar-17,79.92,80.58,79.42,79.92,1169028
7-Mar-17,79.72,80.39,79.39,79.90,1528350
6-Mar-17,79.90,80.00,79.11,79.66,2189172
3-Mar-17,79.51,80.11,78.88,79.95,1296239
2-Mar-17,80.40,80.40,79.19,79.33,2021847
1-Mar-17,79.72,80.97,79.23,80.77,2369527
28-Feb-17,79.47,79.82,78.91,78.95,1868485
27-Feb-17,80.13,80.34,79.56,80.16,769778
24-Feb-17,79.73,80.19,78.93,80.18,1279848
23-Feb-17,80.32,80.47,79.31,79.93,1514607
22-Feb-17,80.43,80.89,79.81,80.17,1847174
21-Feb-17,80.52,81.10,80.18,80.77,2540382
17-Feb-17,79.75,80.77,79.68,80.50,2056915
16-Feb-17,80.43,80.74,79.46,79.94,2195346
15-Feb-17,78.72,80.54,78.14,80.16,2649415
14-Feb-17,78.60,79.36,78.05,78.93,2234871
13-Feb-17,78.55,79.36,78.55,78.78,4205607
10-Feb-17,78.47,79.01,77.83,78.55,2115397
9-Feb-17,77.91,79.38,77.64,78.42,3971827
8-Feb-17,77.24,78.16,76.88,77.69,2808129
7-Feb-17,76.57,78.49,76.32,77.65,3263259
6-Feb-17,76.39,76.73,75.54,76.30,3794864
3-Feb-17,75.65,76.94,75.22,76.70,3980322
2-Feb-17,71.00,75.57,71.00,74.95,4667432
1-Feb-17,74.27,75.00,70.24,71.24,5760295
31-Jan-17,45.52,45.63,44.90,45.60,4451432
30-Jan-17,44.96,45.67,44.62,45.56,6104188
27-Jan-17,44.85,45.34,44.82,45.13,4923810
26-Jan-17,45.34,45.92,44.30,44.76,9477774
25-Jan-17,47.50,47.95,47.02,47.87,5618972
24-Jan-17,46.40,47.37,46.28,47.18,2331006
23-Jan-17,46.48,46.73,45.70,46.22,2580148
20-Jan-17,46.52,47.04,46.35,46.50,2102560
19-Jan-17,46.70,46.75,46.14,46.32,2126998
18-Jan-17,45.56,46.82,45.40,46.78,4164034
17-Jan-17,45.89,46.14,45.26,45.45,3039968
13-Jan-17,45.62,46.06,45.58,45.90,3386160
12-Jan-17,45.64,45.76,44.93,45.55,1632322
11-Jan-17,45.26,45.88,45.26,45.78,3013386
10-Jan-17,45.44,45.75,45.24,45.32,1538222
9-Jan-17,45.38,45.64,45.00,45.40,4845714
6-Jan-17,45.26,45.72,45.02,45.50,2008774
5-Jan-17,45.03,45.30,44.82,45.12,1340086
4-Jan-17,45.10,45.26,45.00,45.14,2259898
3-Jan-17,45.12,45.46,44.74,45.06,2092834
30-Dec-16,45.20,45.32,44.52,44.66,1348094
29-Dec-16,44.98,45.28,44.91,45.01,1360312
28-Dec-16,45.58,45.59,44.96,45.04,1133138
27-Dec-16,45.60,45.86,45.46,45.48,1061736
23-Dec-16,45.22,45.50,45.06,45.42,1021840
22-Dec-16,45.70,45.70,45.12,45.22,2335540
21-Dec-16,45.98,46.14,45.74,46.03,2159948
20-Dec-16,45.86,45.96,45.64,45.86,1480014
19-Dec-16,45.40,45.87,45.31,45.72,1159872
16-Dec-16,46.13,46.20,45.28,45.34,3559542
15-Dec-16,45.42,46.16,45.24,45.88,2359610
14-Dec-16,45.21,45.60,45.06,45.22,3466144
13-Dec-16,44.68,45.54,44.44,45.22,2106710
12-Dec-16,44.52,44.70,44.25,44.44,1522310
9-Dec-16,45.19,45.28,44.58,44.66,1681130
8-Dec-16,44.32,45.12,44.19,45.00,3192346
7-Dec-16,43.80,44.56,43.46,44.54,2542378
6-Dec-16,44.46,44.46,43.72,43.81,3019346
5-Dec-16,43.30,44.54,43.02,44.50,3920822
2-Dec-16,42.67,42.83,42.22,42.81,2400540
1-Dec-16,43.25,43.68,42.49,42.74,2712120
30-Nov-16,43.96,44.16,43.24,43.36,2395454
29-Nov-16,43.66,44.27,43.66,43.97,1843478
28-Nov-16,43.98,44.28,43.71,43.73,2078876
25-Nov-16,44.02,44.19,43.80,44.16,893934
23-Nov-16,44.04,44.18,43.42,43.84,2130704
22-Nov-16,44.08,44.24,43.78,44.21,1171824
21-Nov-16,43.60,44.08,43.51,43.99,1306116
18-Nov-16,44.06,44.19,43.36,43.41,1949762
17-Nov-16,43.28,44.10,42.95,43.99,2146668
16-Nov-16,42.86,43.37,42.56,43.34,2180300
15-Nov-16,41.96,43.10,41.84,43.02,2409782
14-Nov-16,42.94,43.21,41.62,41.77,2485640
11-Nov-16,43.20,43.30,42.58,42.78,2993270
10-Nov-16,43.10,43.78,42.21,43.36,2904066
9-Nov-16,41.73,43.08,41.16,42.98,2368334
8-Nov-16,42.75,42.88,42.41,42.62,1314782
7-Nov-16,42.41,42.90,42.14,42.76,1948368
4-Nov-16,41.50,42.04,41.50,41.62,1498724
3-Nov-16,42.08,42.20,41.70,41.72,1619436
2-Nov-16,42.48,42.57,41.81,41.90,2404668
1-Nov-16,42.58,42.70,42.08,42.50,2744212
31-Oct-16,42.46,42.60,42.16,42.40,3402128
28-Oct-16,41.70,42.60,41.69,42.26,3573552
27-Oct-16,42.32,42.50,41.55,41.68,2123930
26-Oct-16,42.46,42.81,41.93,41.95,1913876
25-Oct-16,42.96,43.15,42.37,42.45,2542142
24-Oct-16,43.00,43.36,42.89,43.08,4534792
21-Oct-16,43.04,43.46,42.50,42.60,6087834
20-Oct-16,44.82,44.92,43.06,43.17,7902492
19-Oct-16,42.72,43.46,42.56,43.15,5034190
18-Oct-16,42.10,42.80,42.00,42.66,3794714
17-Oct-16,41.90,42.16,41.55,41.58,2202064
14-Oct-16,41.96,42.32,41.72,41.82,3619250
13-Oct-16,41.43,42.04,40.68,41.70,4479084
12-Oct-16,41.60,42.00,41.42,41.66,1784546
11-Oct-16,42.28,42.37,41.22,41.54,2612054
10-Oct-16,42.42,42.85,42.28,42.35,1183058
7-Oct-16,42.50,42.56,41.84,42.15,943612
6-Oct-16,42.53,42.67,42.10,42.46,1145644
5-Oct-16,42.28,42.68,42.01,42.48,1428818
4-Oct-16,42.42,42.45,41.82,42.06,1858530
3-Oct-16,42.24,42.45,41.62,42.08,2139820
30-Sep-16,42.68,42.92,42.38,42.61,2200092
29-Sep-16,43.02,43.10,42.46,42.47,1164228
28-Sep-16,42.60,43.04,42.49,43.02,1339006
27-Sep-16,42.10,42.70,41.98,42.62,1108348
26-Sep-16,42.37,42.56,42.06,42.28,1312434
23-Sep-16,42.59,42.73,42.28,42.46,1946356
22-Sep-16,42.54,42.70,42.40,42.58,2351476
21-Sep-16,41.89,42.34,41.68,42.26,1993918
20-Sep-16,42.00,42.09,41.56,41.60,1999916
19-Sep-16,41.80,42.05,41.40,41.68,2634418
16-Sep-16,41.80,41.90,41.38,41.48,3520356
15-Sep-16,40.30,42.22,40.30,41.93,2206182
14-Sep-16,41.72,42.04,41.42,41.62,1777846
13-Sep-16,41.68,42.20,41.28,41.68,2985546
12-Sep-16,41.33,42.06,41.14,42.02,3198646
9-Sep-16,42.70,43.00,41.60,41.60,2871602
8-Sep-16,43.42,43.58,43.08,43.12,1286092
7-Sep-16,43.78,43.87,43.44,43.61,1418340
6-Sep-16,43.41,43.78,43.34,43.77,2363644
2-Sep-16,43.88,43.96,43.21,43.49,2217468
1-Sep-16,43.47,43.99,43.20,43.64,2248370
31-Aug-16,43.96,44.05,43.30,43.60,3642106
30-Aug-16,44.26,44.45,43.76,43.94,1595494
29-Aug-16,44.11,44.44,44.10,44.27,1638574
26-Aug-16,44.20,44.74,43.80,44.06,2102320
25-Aug-16,44.05,44.24,43.90,44.14,1259570
24-Aug-16,44.01,44.28,43.80,44.03,1986662
23-Aug-16,43.92,44.28,43.91,44.16,2655388
22-Aug-16,43.68,43.89,43.62,43.73,1338634
19-Aug-16,43.98,43.98,43.63,43.80,1864438
18-Aug-16,43.34,44.02,43.26,43.94,2449476
17-Aug-16,43.38,43.63,43.05,43.50,2267974
16-Aug-16,43.62,43.72,43.24,43.32,1960474
15-Aug-16,43.58,43.91,43.40,43.73,1683300
12-Aug-16,43.39,43.66,43.14,43.58,2447982
11-Aug-16,42.83,43.63,42.52,43.59,3275602
10-Aug-16,42.70,42.80,42.52,42.80,2273088
9-Aug-16,42.42,42.69,42.42,42.56,1929412
8-Aug-16,42.61,42.85,42.38,42.48,2873824
5-Aug-16,42.18,42.61,42.12,42.50,2077148
4-Aug-16,42.40,42.74,41.90,41.98,2997278
3-Aug-16,41.72,42.48,41.70,42.40,3945976
2-Aug-16,43.08,43.10,41.68,41.74,5873750
1-Aug-16,43.86,44.38,43.24,43.31,6465328
29-Jul-16,44.50,44.60,44.02,44.56,3828532
28-Jul-16,44.09,44.69,44.09,44.53,3438276
27-Jul-16,42.88,44.12,42.50,43.99,9483234
26-Jul-16,44.16,44.75,44.04,44.66,6299184
25-Jul-16,43.57,44.16,43.26,44.14,3138954
22-Jul-16,42.71,43.55,42.45,43.54,2447572
21-Jul-16,42.97,43.11,42.48,42.61,2575034
20-Jul-16,42.64,43.12,42.40,43.00,1467934
19-Jul-16,42.34,42.92,42.34,42.54,1809558
18-Jul-16,42.48,42.68,42.28,42.36,1593814
15-Jul-16,42.64,42.64,42.18,42.42,1281516
14-Jul-16,42.46,42.62,42.18,42.44,1404730
13-Jul-16,42.00,42.24,41.58,42.04,2776734
12-Jul-16,42.00,42.18,41.54,41.98,2268824
11-Jul-16,41.98,42.20,41.50,41.62,2552718
8-Jul-16,40.72,41.90,40.47,41.77,3460124
7-Jul-16,39.78,40.54,39.58,40.34,2457236
6-Jul-16,39.40,39.89,39.28,39.78,2225444
5-Jul-16,40.04,40.44,39.30,39.63,2174416
1-Jul-16,39.93,40.32,39.70,40.18,3007846
30-Jun-16,40.38,40.48,39.64,40.04,3704712
29-Jun-16,39.74,40.34,39.68,40.32,3129866
28-Jun-16,39.01,39.80,38.93,39.62,4488290
27-Jun-16,39.80,39.85,38.12,38.51,5200918
24-Jun-16,41.16,41.75,40.24,40.28,4717486
23-Jun-16,42.78,43.25,42.61,43.18,2802428
22-Jun-16,42.70,42.94,42.50,42.56,1547824
21-Jun-16,42.77,42.90,42.44,42.62,2169780
20-Jun-16,42.48,42.84,42.38,42.57,2441780
17-Jun-16,42.04,42.16,41.71,41.90,3008404
16-Jun-16,42.00,42.24,41.66,42.21,2511878
15-Jun-16,42.76,42.92,42.20,42.24,2665150
14-Jun-16,42.70,42.85,42.45,42.67,2114740
13-Jun-16,42.76,43.52,42.53,42.76,2777572
10-Jun-16,43.34,43.50,42.95,43.01,1819248
9-Jun-16,43.81,44.08,43.63,43.84,2159634
8-Jun-16,43.70,44.23,43.24,44.09,3103124
7-Jun-16,43.08,43.65,42.84,43.64,3726068
6-Jun-16,42.78,43.11,42.62,43.06,2585768
3-Jun-16,43.10,43.14,42.40,42.64,1746912
2-Jun-16,42.66,43.28,42.14,43.24,3743896
1-Jun-16,42.36,43.02,42.27,42.90,2101000
31-May-16,42.86,42.90,42.23,42.46,2683096
27-May-16,42.36,42.76,42.24,42.75,1571952
26-May-16,41.88,42.74,41.81,42.43,3352332
25-May-16,42.96,43.00,41.50,41.57,6058080
24-May-16,42.18,43.00,42.02,42.94,2653006
23-May-16,41.65,42.50,41.60,41.84,3348054
20-May-16,41.34,41.69,41.16,41.60,2162328
19-May-16,41.23,41.36,40.57,41.12,2030292
18-May-16,41.14,41.52,40.87,41.37,1870296
17-May-16,41.48,41.55,40.94,41.15,1963068
16-May-16,41.22,41.80,41.06,41.50,2696908
13-May-16,41.36,41.72,41.06,41.12,1369086
