Date,Open,High,Low,Close,Volume
26-May-17,25.66,25.87,25.55,25.87,1837517
25-May-17,25.52,25.86,25.45,25.60,2521991
24-May-17,25.73,25.80,25.27,25.46,2927898
23-May-17,26.16,26.20,25.47,25.63,3219790
22-May-17,25.81,26.27,25.77,26.21,2855383
19-May-17,25.13,25.93,25.08,25.87,2324250
18-May-17,25.02,25.40,24.88,25.18,1896404
17-May-17,25.43,25.56,25.07,25.11,3577495
16-May-17,26.01,26.06,25.22,25.58,3456109
15-May-17,26.04,26.19,25.89,26.01,2565400
12-May-17,26.32,26.39,26.00,26.07,1791274
11-May-17,26.10,26.39,25.90,26.33,3150723
10-May-17,26.49,26.60,26.00,26.11,5312282
9-May-17,26.47,26.90,25.79,26.66,6171752
8-May-17,27.40,27.40,26.56,27.25,5843834
5-May-17,26.78,27.12,26.74,27.09,4073285
4-May-17,26.72,26.99,26.00,26.63,7961204
3-May-17,27.82,27.87,26.39,26.78,7581919
2-May-17,28.08,28.28,27.38,27.96,3994382
1-May-17,28.94,29.00,27.96,27.98,4344623
28-Apr-17,29.35,29.35,28.44,28.78,3527919
27-Apr-17,29.48,29.48,29.24,29.39,1716591
26-Apr-17,29.37,29.50,29.23,29.39,1823413
25-Apr-17,29.41,29.57,29.26,29.29,1927896
24-Apr-17,29.64,29.71,29.32,29.40,1938124
21-Apr-17,29.31,29.47,29.11,29.16,1440630
20-Apr-17,30.25,30.25,29.02,29.32,2126299
19-Apr-17,28.68,29.15,28.68,28.92,1809920
18-Apr-17,28.44,28.70,28.33,28.61,2202080
17-Apr-17,28.41,28.59,28.25,28.50,1435108
13-Apr-17,28.66,28.75,28.22,28.29,2493089
12-Apr-17,28.99,29.03,28.63,28.69,2869281
11-Apr-17,29.24,29.24,28.83,29.04,1644865
10-Apr-17,29.23,29.44,29.14,29.19,1616822
7-Apr-17,29.33,29.41,29.12,29.21,2298262
6-Apr-17,29.34,29.50,29.02,29.30,3256890
5-Apr-17,29.42,29.88,29.32,29.36,4305430
4-Apr-17,28.88,29.29,28.88,29.27,2385364
3-Apr-17,29.10,29.26,28.59,28.93,3830636
31-Mar-17,28.72,29.18,28.52,29.09,3415193
30-Mar-17,28.05,28.73,28.01,28.70,2101075
29-Mar-17,27.61,28.13,27.49,28.06,2732232
28-Mar-17,27.65,27.82,27.42,27.68,1679991
27-Mar-17,27.48,27.66,27.31,27.63,2530925
24-Mar-17,27.73,27.73,27.43,27.54,2470953
23-Mar-17,27.50,27.80,27.35,27.67,1361710
22-Mar-17,27.48,27.67,27.15,27.54,1616506
21-Mar-17,27.90,28.00,27.36,27.44,1466391
20-Mar-17,27.99,28.04,27.73,27.73,2267740
17-Mar-17,28.25,28.25,27.83,28.01,2310873
16-Mar-17,27.98,28.35,27.42,28.15,3074855
15-Mar-17,27.46,28.10,27.31,28.00,2610688
14-Mar-17,27.47,27.82,27.23,27.46,1763889
13-Mar-17,27.70,27.72,27.30,27.50,2155618
10-Mar-17,27.98,28.02,27.48,27.69,1807772
9-Mar-17,27.85,28.17,27.65,27.86,2115334
8-Mar-17,27.81,28.24,27.81,27.98,3091346
7-Mar-17,27.67,28.12,27.50,27.75,4586465
6-Mar-17,27.77,27.86,27.32,27.78,4676712
3-Mar-17,28.48,28.52,27.86,27.89,3517790
2-Mar-17,28.41,28.50,27.84,28.49,4948439
1-Mar-17,29.01,29.02,28.48,28.52,2360166
28-Feb-17,29.17,29.17,28.58,28.76,2100690
27-Feb-17,29.19,29.38,28.84,29.05,2091496
24-Feb-17,29.46,29.51,29.00,29.27,2028849
23-Feb-17,29.60,29.91,29.30,29.50,1850148
22-Feb-17,29.41,29.73,29.27,29.51,3441817
21-Feb-17,28.62,29.89,28.61,29.62,5847558
17-Feb-17,28.58,28.96,28.55,28.68,1987534
16-Feb-17,28.57,28.86,28.48,28.57,3025101
15-Feb-17,28.47,28.92,28.35,28.49,3837237
14-Feb-17,28.75,28.93,27.66,28.53,7141243
13-Feb-17,28.51,29.20,28.51,29.03,5129571
10-Feb-17,28.00,28.56,27.92,28.48,2915788
9-Feb-17,27.59,28.29,27.55,27.96,2436592
8-Feb-17,28.01,28.01,27.34,27.53,2140098
7-Feb-17,27.96,28.09,27.58,27.99,1448290
6-Feb-17,27.98,28.26,27.86,27.97,2060037
3-Feb-17,27.87,28.15,27.83,28.09,1497164
2-Feb-17,27.96,28.02,27.61,27.79,2294995
1-Feb-17,28.32,28.57,27.68,28.04,2662711
31-Jan-17,27.95,28.68,27.50,28.35,3789816
30-Jan-17,28.07,28.16,27.67,27.98,1665712
27-Jan-17,27.96,28.34,27.68,28.06,2106055
26-Jan-17,27.80,28.20,27.54,27.90,3511240
25-Jan-17,28.62,28.98,27.41,27.58,6362556
24-Jan-17,28.32,28.54,28.04,28.49,1499671
23-Jan-17,27.89,28.33,27.81,28.27,2241714
20-Jan-17,28.04,28.22,27.82,27.89,2059140
19-Jan-17,28.10,28.20,27.76,28.00,2148808
18-Jan-17,27.95,28.22,27.74,28.01,2497281
17-Jan-17,27.39,27.84,27.21,27.81,2651880
13-Jan-17,27.17,27.48,27.01,27.40,2285604
12-Jan-17,26.36,27.28,26.34,27.20,3818809
11-Jan-17,26.34,26.53,26.12,26.51,5780425
10-Jan-17,26.39,26.78,26.16,26.34,5619032
9-Jan-17,27.31,27.42,26.84,26.87,2382625
6-Jan-17,27.23,27.81,27.13,27.48,3337409
5-Jan-17,27.82,28.17,27.14,27.20,3664168
4-Jan-17,27.98,28.45,27.92,28.29,2017811
3-Jan-17,27.66,28.31,27.66,27.96,2626287
30-Dec-16,27.68,27.75,27.25,27.41,1573174
29-Dec-16,27.88,28.02,27.60,27.69,1131049
28-Dec-16,28.12,28.24,27.80,27.89,1197786
27-Dec-16,28.13,28.30,27.62,28.12,1341707
23-Dec-16,28.17,28.27,27.92,28.00,1114430
22-Dec-16,28.45,28.46,27.72,28.13,2061448
21-Dec-16,28.39,28.60,28.30,28.44,1233922
20-Dec-16,28.17,28.53,28.14,28.49,1892734
19-Dec-16,28.49,28.66,28.08,28.17,2093298
16-Dec-16,28.94,29.09,28.36,28.39,3359746
15-Dec-16,28.70,29.00,28.53,28.85,2779832
14-Dec-16,28.74,29.07,28.55,28.68,2178094
13-Dec-16,28.61,29.00,28.61,28.77,1859464
12-Dec-16,28.83,28.88,27.97,28.58,4393922
9-Dec-16,29.55,29.63,28.61,29.10,4909706
8-Dec-16,28.74,29.72,28.73,29.55,2829303
7-Dec-16,27.83,28.86,27.74,28.80,2616356
6-Dec-16,27.42,27.80,27.22,27.79,2188915
5-Dec-16,26.76,27.59,26.72,27.39,3065992
2-Dec-16,27.01,27.52,26.52,26.60,2426432
1-Dec-16,27.22,27.51,27.08,27.15,2909732
30-Nov-16,27.72,28.00,27.09,27.09,2766650
29-Nov-16,27.25,27.66,27.16,27.65,2647923
28-Nov-16,27.49,27.50,26.77,27.22,2467639
25-Nov-16,27.33,27.62,27.10,27.54,647352
23-Nov-16,27.44,27.53,27.17,27.35,1897265
22-Nov-16,27.53,27.97,27.29,27.46,3218967
21-Nov-16,27.50,27.96,27.49,27.55,2003366
18-Nov-16,27.91,28.13,27.46,27.50,2588850
17-Nov-16,27.50,28.17,27.45,28.03,3578180
16-Nov-16,27.76,28.23,27.59,27.63,2678567
15-Nov-16,28.35,28.35,27.30,27.80,5461485
14-Nov-16,26.50,28.46,26.49,28.35,7012886
11-Nov-16,25.61,26.51,25.51,26.44,3238742
10-Nov-16,25.95,26.47,25.71,26.03,4515304
9-Nov-16,25.00,26.10,24.95,25.90,3128242
8-Nov-16,25.50,25.94,25.33,25.85,3443598
7-Nov-16,26.19,26.19,25.53,25.55,3777884
4-Nov-16,25.73,26.54,25.62,25.64,5612967
3-Nov-16,25.33,26.02,25.33,25.78,5001620
2-Nov-16,25.69,25.70,24.99,25.20,3609440
1-Nov-16,25.84,26.05,24.75,25.79,6898290
31-Oct-16,26.02,26.39,25.77,26.11,5694342
28-Oct-16,26.19,26.34,25.77,25.85,2344705
27-Oct-16,26.50,26.58,26.02,26.16,2609262
26-Oct-16,26.16,26.48,26.02,26.44,1829922
25-Oct-16,26.65,26.74,26.15,26.18,2230163
24-Oct-16,26.77,26.97,26.43,26.62,4068311
21-Oct-16,25.56,27.57,25.50,26.64,10706236
20-Oct-16,25.56,25.78,25.37,25.71,2949970
19-Oct-16,25.27,25.62,25.24,25.61,2193564
18-Oct-16,25.60,25.69,25.18,25.21,1501187
17-Oct-16,25.29,25.50,25.20,25.29,2260308
14-Oct-16,25.76,25.94,25.16,25.34,3253515
13-Oct-16,25.89,25.95,25.36,25.68,2746656
12-Oct-16,26.40,26.52,26.14,26.17,2448288
11-Oct-16,27.00,27.29,26.27,26.40,3297658
10-Oct-16,27.39,27.50,27.03,27.04,2103305
7-Oct-16,27.87,27.87,27.13,27.17,3578695
6-Oct-16,27.63,28.26,27.51,27.84,2476920
5-Oct-16,27.52,27.86,27.33,27.69,3702725
4-Oct-16,27.38,27.53,27.10,27.40,3373486
3-Oct-16,26.91,27.45,26.77,27.39,4270577
