Date,Open,High,Low,Close,Volume
19-May-17,107.41,107.95,106.33,107.64,2282384
18-May-17,104.71,107.65,104.34,106.93,3174477
17-May-17,108.71,109.38,105.00,105.24,7457905
16-May-17,111.23,112.16,110.44,111.76,2963366
15-May-17,108.99,111.26,108.85,110.90,3279795
12-May-17,108.19,109.25,107.46,109.09,3169436
11-May-17,107.55,109.32,106.83,108.58,5750574
10-May-17,105.97,110.61,104.76,108.16,11166163
9-May-17,95.86,96.34,95.25,96.01,6184879
8-May-17,95.92,96.49,95.45,95.73,5318594
5-May-17,95.39,95.87,94.59,95.74,5175934
4-May-17,94.11,95.08,93.92,94.76,4549472
3-May-17,95.45,95.45,93.62,94.11,2872320
2-May-17,94.69,95.32,94.12,94.25,2332609
1-May-17,95.21,95.42,94.71,94.79,2314846
28-Apr-17,94.45,94.91,93.82,94.82,1938028
27-Apr-17,94.00,94.99,93.71,94.24,1516449
26-Apr-17,93.21,93.73,92.31,93.50,1543015
25-Apr-17,93.39,93.40,92.69,92.99,2041393
24-Apr-17,92.86,93.06,92.51,92.81,2020879
21-Apr-17,91.27,91.96,91.10,91.94,1831778
20-Apr-17,90.10,91.48,89.79,91.21,2024287
19-Apr-17,89.54,90.23,89.14,89.65,2021396
18-Apr-17,89.12,89.44,88.72,89.20,1393082
17-Apr-17,89.27,90.14,88.82,89.21,2160062
13-Apr-17,90.09,90.20,88.85,89.02,2966230
12-Apr-17,89.95,90.02,89.15,89.95,1909089
11-Apr-17,88.78,89.69,88.37,89.68,1763935
10-Apr-17,88.55,89.09,88.33,88.74,1423994
7-Apr-17,88.40,88.83,88.07,88.73,1740835
6-Apr-17,88.47,88.77,87.94,88.56,1319611
5-Apr-17,89.47,89.61,88.09,88.40,2673891
4-Apr-17,88.58,89.32,88.51,89.28,1870372
3-Apr-17,89.90,89.90,88.79,89.11,1522269
31-Mar-17,90.10,90.17,88.85,89.52,1737741
30-Mar-17,89.50,90.30,89.23,90.26,2073893
29-Mar-17,89.52,89.97,88.95,89.78,1771994
28-Mar-17,89.00,90.02,88.55,89.74,2084421
27-Mar-17,88.59,89.24,88.06,89.02,2109195
24-Mar-17,88.85,90.06,88.61,89.35,1878075
23-Mar-17,88.59,89.35,88.24,88.61,1910037
22-Mar-17,88.43,88.86,88.25,88.74,2326651
21-Mar-17,89.22,90.09,88.23,88.41,3278632
20-Mar-17,88.82,89.35,87.90,89.16,4278095
17-Mar-17,90.92,90.98,88.55,89.59,6446578
16-Mar-17,91.60,91.82,89.52,90.20,5153060
15-Mar-17,90.99,91.55,90.12,91.51,3197323
14-Mar-17,90.52,91.18,90.33,90.90,1967162
13-Mar-17,89.83,90.81,89.35,90.73,2753324
10-Mar-17,89.59,89.88,88.92,89.81,2005278
9-Mar-17,89.32,89.79,88.73,89.03,3127072
8-Mar-17,88.52,89.36,88.20,89.00,2579065
7-Mar-17,87.30,88.85,87.10,88.30,3016947
6-Mar-17,87.19,87.52,86.74,87.14,1882327
