Date,Open,High,Low,Close,Volume
26-May-17,60.05,60.33,59.57,59.76,2311990
25-May-17,59.92,60.24,59.83,60.09,2975591
24-May-17,59.97,60.33,59.58,59.86,2823915
23-May-17,60.23,60.33,59.75,60.15,3596425
22-May-17,59.97,60.56,59.76,60.31,2986719
19-May-17,59.20,60.20,59.14,60.11,5759300
18-May-17,60.43,60.49,59.21,59.26,5296696
17-May-17,59.47,60.26,59.44,59.73,5428502
16-May-17,60.31,60.34,59.58,60.16,3653953
15-May-17,59.87,60.46,59.71,60.32,4342316
12-May-17,60.68,60.78,59.40,59.63,7360527
11-May-17,60.80,61.00,60.28,60.66,4996352
10-May-17,61.83,62.10,60.83,61.02,4897363
9-May-17,61.61,62.23,61.40,62.08,3940798
8-May-17,61.78,62.02,61.30,61.60,3047940
5-May-17,61.85,61.96,61.18,61.58,3517209
4-May-17,62.39,63.13,61.70,61.79,4803844
3-May-17,61.60,62.50,61.23,62.26,4268768
2-May-17,61.06,61.98,60.58,61.70,5150096
1-May-17,61.42,61.68,60.87,60.92,3539955
28-Apr-17,61.62,61.64,60.84,61.34,6560967
27-Apr-17,61.22,62.05,61.18,61.40,6468532
26-Apr-17,62.10,62.65,61.00,61.28,14621191
25-Apr-17,58.72,61.17,57.80,60.01,36851442
24-Apr-17,67.27,67.51,66.97,67.25,8621174
21-Apr-17,67.02,67.15,65.98,66.46,2843351
20-Apr-17,66.45,67.35,66.10,67.05,2789192
19-Apr-17,66.42,66.51,65.97,66.36,2363734
18-Apr-17,66.30,66.48,65.62,66.09,3622254
17-Apr-17,66.76,66.96,66.46,66.67,3294313
13-Apr-17,66.68,66.87,66.45,66.47,2329041
12-Apr-17,66.26,66.69,66.25,66.54,3168777
11-Apr-17,66.95,67.07,66.50,66.77,2427266
10-Apr-17,66.57,67.28,66.32,66.90,3953647
7-Apr-17,66.04,66.80,65.88,66.51,3881050
6-Apr-17,65.74,66.08,65.24,65.79,4972847
5-Apr-17,65.91,66.71,65.70,66.07,4246839
4-Apr-17,65.68,66.30,65.51,65.89,3800296
3-Apr-17,66.06,66.12,65.56,65.86,3560570
31-Mar-17,66.20,66.20,65.48,65.91,6980049
30-Mar-17,64.97,66.60,64.82,66.56,6149206
29-Mar-17,64.64,65.34,64.36,65.04,4019176
28-Mar-17,64.27,64.99,64.25,64.84,3382522
27-Mar-17,64.01,64.79,63.89,64.60,3757553
24-Mar-17,64.00,64.35,63.75,64.11,3106266
23-Mar-17,63.91,64.84,63.78,64.02,5489255
22-Mar-17,64.00,64.21,63.46,63.99,4039506
21-Mar-17,64.69,64.80,63.22,63.84,5139578
20-Mar-17,65.08,65.09,63.84,64.37,5556264
17-Mar-17,65.19,65.36,64.65,65.09,7076930
16-Mar-17,65.96,65.98,64.45,64.83,7275674
15-Mar-17,65.80,66.67,65.26,66.06,6937942
14-Mar-17,67.25,67.55,66.44,66.84,2995746
13-Mar-17,67.76,68.00,66.86,67.47,4093201
10-Mar-17,67.44,67.84,66.93,67.64,3760374
9-Mar-17,67.79,67.91,66.26,66.86,6623458
8-Mar-17,67.44,68.45,67.40,67.62,6486986
7-Mar-17,68.89,69.08,67.24,67.39,8651646
6-Mar-17,71.27,71.39,70.04,70.05,4618196
3-Mar-17,72.09,72.11,70.88,71.58,2850724
2-Mar-17,71.51,72.09,71.23,71.96,4222828
1-Mar-17,71.16,72.10,71.03,71.71,3997609
28-Feb-17,71.77,71.78,70.44,70.65,3974691
27-Feb-17,71.38,71.85,71.11,71.75,2534369
24-Feb-17,70.97,71.76,70.56,71.55,2830594
23-Feb-17,70.81,71.12,70.30,70.93,2319734
22-Feb-17,71.15,71.24,70.49,70.73,2611136
21-Feb-17,69.95,71.37,69.86,71.37,4550083
17-Feb-17,68.96,70.00,68.94,69.97,2716030
16-Feb-17,69.66,69.78,68.48,69.23,3143068
15-Feb-17,69.10,70.94,68.53,69.46,6935203
14-Feb-17,69.03,69.79,68.57,69.63,3696195
