Date,Open,High,Low,Close,Volume
19-May-17,42.99,43.98,42.83,43.58,3031753
18-May-17,42.21,43.16,41.91,42.94,4327391
17-May-17,43.61,43.81,42.26,42.30,4695508
16-May-17,44.09,44.28,43.63,43.96,3654115
15-May-17,45.01,45.03,43.94,44.20,3050535
12-May-17,44.87,45.02,44.53,44.74,1905002
11-May-17,45.26,45.35,44.37,44.98,2276583
10-May-17,45.47,45.71,45.03,45.49,2128874
9-May-17,45.80,45.99,45.29,45.50,2498217
8-May-17,45.60,45.96,45.45,45.80,2110301
5-May-17,45.49,45.84,45.01,45.68,2337670
4-May-17,46.22,46.60,45.10,45.53,4117525
3-May-17,44.80,45.60,44.80,45.25,3017673
2-May-17,44.81,45.13,44.67,45.08,3001293
1-May-17,44.87,44.87,43.86,44.53,3715047
28-Apr-17,45.39,45.39,44.62,44.68,2493490
27-Apr-17,45.88,45.97,45.11,45.38,2591771
26-Apr-17,45.78,46.00,45.60,45.81,2132112
25-Apr-17,45.53,45.94,45.30,45.72,3022841
24-Apr-17,46.22,46.33,45.22,45.41,3306732
21-Apr-17,45.60,45.88,45.19,45.74,2765556
20-Apr-17,45.56,45.93,45.33,45.47,3631758
19-Apr-17,45.03,45.50,44.62,45.45,6431303
18-Apr-17,45.03,45.59,44.23,44.26,6794724
17-Apr-17,45.60,45.86,45.20,45.80,3119175
13-Apr-17,46.50,47.05,45.53,45.54,4826612
12-Apr-17,48.00,48.17,46.23,46.29,12223210
11-Apr-17,50.39,50.50,49.48,50.34,3888158
10-Apr-17,50.39,50.64,49.87,50.43,2821807
7-Apr-17,51.00,51.13,50.05,50.23,3065870
6-Apr-17,51.72,51.75,50.84,50.95,2859311
5-Apr-17,52.08,52.74,51.60,51.71,2576155
4-Apr-17,51.16,51.95,51.03,51.76,2052339
3-Apr-17,51.18,51.98,50.75,51.33,2432172
31-Mar-17,51.24,51.78,50.91,51.50,1909846
30-Mar-17,51.16,51.36,50.80,51.32,1079316
29-Mar-17,50.75,51.38,50.50,51.22,2099881
28-Mar-17,49.98,51.01,49.70,50.88,1647094
27-Mar-17,50.11,50.25,49.51,50.04,2340808
24-Mar-17,51.15,51.44,50.49,50.76,1449570
23-Mar-17,51.62,51.83,50.98,51.01,1681460
22-Mar-17,51.33,51.90,50.99,51.72,1668103
21-Mar-17,51.86,52.07,50.92,51.16,2198829
20-Mar-17,51.78,52.00,51.47,51.80,1570606
17-Mar-17,51.54,51.99,51.07,51.87,2894983
16-Mar-17,51.59,51.75,51.13,51.25,1465688
15-Mar-17,50.97,51.80,50.77,51.61,1365224
14-Mar-17,51.23,51.23,50.66,50.69,1436362
13-Mar-17,50.67,51.43,50.29,51.40,1848636
10-Mar-17,50.52,51.01,50.52,50.80,1735914
9-Mar-17,51.42,51.84,49.94,50.18,2466859
8-Mar-17,51.44,51.62,51.15,51.44,1530576
7-Mar-17,52.12,52.47,51.25,51.37,2107816
6-Mar-17,51.83,52.64,51.52,52.22,3852234
3-Mar-17,50.65,51.86,50.57,51.80,2588343
2-Mar-17,50.82,51.40,50.54,50.63,2209630
1-Mar-17,50.56,51.17,50.51,50.98,2162988
28-Feb-17,50.39,50.44,49.88,50.03,1666270
27-Feb-17,50.16,50.40,50.02,50.35,1263206
24-Feb-17,49.64,50.10,49.40,50.10,1310500
23-Feb-17,51.07,51.24,49.66,49.79,1819470
22-Feb-17,50.82,50.99,50.63,50.87,1170080
21-Feb-17,50.62,50.90,50.40,50.87,1513799
17-Feb-17,50.44,50.71,50.08,50.71,1683163
16-Feb-17,50.45,50.61,49.93,50.61,1141557
15-Feb-17,50.14,50.63,49.89,50.46,1470947
14-Feb-17,49.97,50.51,49.86,50.39,1210897
13-Feb-17,50.68,50.83,50.10,50.13,1096697
10-Feb-17,50.44,50.69,50.04,50.34,1148434
9-Feb-17,49.88,50.34,49.54,50.25,1194950
8-Feb-17,49.74,49.98,49.42,49.82,1355633
7-Feb-17,50.10,50.45,49.74,49.81,2782479
6-Feb-17,49.45,51.18,49.45,50.39,3985271
3-Feb-17,49.26,49.80,48.88,49.04,2533153
2-Feb-17,49.28,49.50,48.69,49.00,2035349
1-Feb-17,49.85,50.05,49.28,49.62,2059285
31-Jan-17,50.11,50.21,49.31,49.68,2013444
30-Jan-17,49.80,50.24,49.24,50.20,3462289
27-Jan-17,50.41,50.41,49.93,50.17,2550059
26-Jan-17,50.82,51.02,50.22,50.37,2460182
25-Jan-17,51.01,51.51,50.57,50.79,4106923
24-Jan-17,51.30,51.37,50.26,50.81,4292994
23-Jan-17,51.21,51.44,50.72,50.98,2442049
20-Jan-17,50.83,51.42,50.75,51.24,2789681
19-Jan-17,50.86,51.30,50.48,50.55,3834449
