Date,Open,High,Low,Close,Volume
19-May-17,120.12,121.11,119.47,120.68,883468
18-May-17,119.30,120.37,118.95,120.04,717076
17-May-17,119.01,120.01,118.73,119.13,880469
16-May-17,120.25,121.14,119.49,119.75,770582
15-May-17,119.63,120.94,119.63,120.90,728544
12-May-17,119.64,119.91,119.19,119.78,527931
11-May-17,118.97,119.90,118.10,119.86,608495
10-May-17,119.42,119.89,119.09,119.25,603570
9-May-17,120.00,120.20,119.39,119.73,959646
8-May-17,119.98,120.18,119.41,119.84,619231
5-May-17,120.34,120.41,119.26,120.00,634264
4-May-17,118.63,121.18,117.75,120.25,1085222
3-May-17,118.63,118.64,117.33,118.46,1132580
2-May-17,119.44,119.44,118.29,118.64,934189
1-May-17,119.50,119.63,118.83,119.09,637391
28-Apr-17,120.12,120.12,118.37,119.14,827680
27-Apr-17,120.85,122.91,119.55,119.89,1324703
26-Apr-17,119.45,120.44,119.17,119.99,1081121
25-Apr-17,119.97,120.09,119.24,119.62,866996
24-Apr-17,119.59,120.00,118.91,119.44,965778
21-Apr-17,117.70,118.57,117.40,118.40,1021422
20-Apr-17,117.09,117.99,116.57,117.79,598919
19-Apr-17,116.44,117.05,116.00,116.55,614634
18-Apr-17,116.16,116.61,116.03,116.35,478605
17-Apr-17,115.71,116.49,115.71,116.45,632132
13-Apr-17,115.99,116.58,115.17,115.19,666788
12-Apr-17,115.53,116.13,115.47,115.79,646979
11-Apr-17,115.70,116.26,115.12,116.26,564230
10-Apr-17,115.45,116.54,115.28,115.93,780110
7-Apr-17,115.89,116.14,115.36,115.82,732448
6-Apr-17,115.30,115.99,115.15,115.66,503333
5-Apr-17,115.68,116.97,115.36,115.57,715167
4-Apr-17,115.36,116.10,115.01,115.38,779487
3-Apr-17,115.50,116.01,114.95,115.64,1134394
31-Mar-17,115.52,116.02,115.29,115.31,827738
30-Mar-17,115.51,116.47,115.51,115.93,465416
29-Mar-17,115.59,116.09,115.13,115.91,612290
28-Mar-17,115.38,116.25,114.82,115.79,1044984
27-Mar-17,115.23,115.86,114.82,115.49,800368
24-Mar-17,116.10,116.54,115.49,115.94,710642
23-Mar-17,115.74,116.52,115.06,115.85,928680
22-Mar-17,113.29,116.45,113.29,115.88,1362882
21-Mar-17,117.12,117.30,115.52,116.16,1384528
20-Mar-17,117.91,117.94,116.32,116.70,805813
17-Mar-17,117.78,118.21,117.17,117.79,1690717
16-Mar-17,117.76,117.93,116.71,117.26,713174
15-Mar-17,118.06,118.06,116.80,117.65,869245
14-Mar-17,117.86,118.11,116.93,117.37,585252
13-Mar-17,117.20,117.94,117.07,117.89,630132
10-Mar-17,118.21,118.30,116.86,117.28,976525
9-Mar-17,117.67,118.03,116.88,117.45,1059594
8-Mar-17,117.24,117.98,116.68,117.45,1030688
