Date,Open,High,Low,Close,Volume
19-May-17,26.86,27.26,26.76,27.11,7472391
18-May-17,26.87,27.05,26.72,26.86,6924519
17-May-17,27.11,27.19,26.74,26.85,12848048
16-May-17,27.70,27.79,27.02,27.34,17352247
15-May-17,28.00,28.20,27.69,27.73,18546791
12-May-17,28.38,28.64,27.88,27.94,29191415
11-May-17,28.45,28.76,27.65,28.52,31149159
10-May-17,28.07,28.27,27.77,27.90,27522977
9-May-17,28.35,28.51,28.04,28.23,14809518
8-May-17,29.14,29.19,28.32,28.40,16399102
5-May-17,29.16,29.39,28.45,29.14,15438488
4-May-17,28.80,29.32,27.75,29.04,17172820
3-May-17,30.50,30.50,28.70,28.88,21623877
2-May-17,30.44,30.51,30.28,30.43,6276105
1-May-17,30.67,30.67,30.19,30.39,7265979
28-Apr-17,30.60,30.60,30.30,30.54,6681951
27-Apr-17,30.81,30.83,30.49,30.56,4276265
26-Apr-17,30.68,30.93,30.57,30.74,5125973
25-Apr-17,30.47,30.73,30.41,30.61,6240261
24-Apr-17,31.11,31.13,30.16,30.35,9132305
21-Apr-17,31.05,31.16,30.64,30.70,5615095
20-Apr-17,30.59,31.16,30.39,31.07,7219875
19-Apr-17,30.77,30.92,30.38,30.39,9324061
18-Apr-17,30.68,30.78,30.42,30.66,5407575
17-Apr-17,30.59,30.80,30.53,30.73,4017268
13-Apr-17,30.75,31.03,30.43,30.43,7498808
12-Apr-17,30.89,31.13,30.46,30.65,8697939
11-Apr-17,31.13,31.28,30.79,31.15,5244927
10-Apr-17,31.08,31.41,31.07,31.24,7836575
7-Apr-17,31.14,31.25,30.83,31.07,4968497
6-Apr-17,31.27,31.36,30.65,31.12,9208274
5-Apr-17,31.78,31.84,31.26,31.38,8602257
4-Apr-17,32.01,32.17,31.61,31.75,9084920
3-Apr-17,32.48,32.54,32.03,32.15,5842386
31-Mar-17,32.22,32.60,32.20,32.39,6709777
30-Mar-17,32.04,32.39,32.01,32.36,4124697
29-Mar-17,32.31,32.48,32.07,32.11,7239136
28-Mar-17,31.76,32.58,31.75,32.44,11092308
27-Mar-17,31.40,32.05,31.31,31.90,11019121
24-Mar-17,31.38,31.84,31.26,31.52,10347802
23-Mar-17,30.97,31.55,30.88,31.33,11218625
22-Mar-17,30.63,31.09,30.49,30.97,6602471
21-Mar-17,30.77,30.86,30.52,30.56,9621313
20-Mar-17,30.85,31.01,30.58,30.63,4134043
17-Mar-17,30.97,31.03,30.65,30.82,9432188
16-Mar-17,30.68,30.78,30.42,30.76,8728050
15-Mar-17,30.67,30.92,30.44,30.74,4065243
14-Mar-17,30.49,30.61,30.32,30.52,4307010
13-Mar-17,30.40,30.55,30.35,30.50,5352321
10-Mar-17,30.83,30.92,30.40,30.55,7785827
9-Mar-17,30.36,30.83,30.36,30.70,6664232
8-Mar-17,30.59,30.60,30.32,30.35,4993331
7-Mar-17,30.61,30.77,30.23,30.52,6845864
6-Mar-17,30.41,31.03,30.29,30.69,10712346
3-Mar-17,30.20,30.52,30.03,30.46,4421880
2-Mar-17,30.33,30.48,30.09,30.20,6699193
1-Mar-17,30.20,30.73,30.15,30.41,8348620
28-Feb-17,30.33,30.42,29.90,29.92,8553473
27-Feb-17,30.51,30.70,30.29,30.43,6475846
24-Feb-17,30.44,30.62,30.26,30.61,4930196
23-Feb-17,30.29,30.68,30.17,30.34,4368924
22-Feb-17,30.39,30.60,30.39,30.47,4596911
21-Feb-17,30.24,30.80,30.23,30.55,9231386
17-Feb-17,30.42,30.51,30.16,30.35,5004146
16-Feb-17,30.58,30.75,30.41,30.51,4313938
15-Feb-17,30.08,30.70,30.07,30.70,7597440
14-Feb-17,29.74,30.40,29.57,30.30,9255701
13-Feb-17,30.09,30.12,29.51,29.72,6974038
10-Feb-17,30.19,30.28,29.81,29.91,8876308
9-Feb-17,30.35,30.51,30.09,30.12,5773121
8-Feb-17,30.47,30.57,29.96,30.21,7847467
7-Feb-17,30.85,31.46,30.14,30.48,15176576
6-Feb-17,31.19,31.50,30.96,31.06,13631820
3-Feb-17,31.46,31.62,31.16,31.40,7520514
2-Feb-17,31.53,31.59,31.29,31.46,4731048
1-Feb-17,31.32,31.75,31.32,31.62,7434994
31-Jan-17,31.20,31.44,31.05,31.38,5170587
30-Jan-17,31.28,31.40,31.00,31.37,9097541
27-Jan-17,31.14,31.52,30.88,31.29,8259271
26-Jan-17,30.43,31.61,30.31,31.00,12695620
25-Jan-17,30.37,30.44,30.17,30.30,5237626
24-Jan-17,30.11,30.30,29.89,30.28,4774729
23-Jan-17,30.06,30.17,29.82,30.00,5811647
20-Jan-17,29.88,30.12,29.84,30.05,6710560
19-Jan-17,30.16,30.37,29.71,29.80,9174522
18-Jan-17,30.01,30.33,29.92,30.27,7185858
17-Jan-17,29.89,30.11,29.86,29.93,4861846
13-Jan-17,29.77,30.09,29.62,30.03,5500638
12-Jan-17,30.05,30.07,29.67,29.81,6010260
11-Jan-17,29.72,30.10,29.59,30.08,8220874
10-Jan-17,29.58,30.08,29.25,29.67,8469290
9-Jan-17,29.58,29.66,29.25,29.47,6543488
6-Jan-17,29.03,29.60,28.85,29.52,8338445
5-Jan-17,28.83,29.17,28.65,29.00,6325439
4-Jan-17,28.88,29.19,28.76,29.02,8645596
3-Jan-17,28.42,29.04,28.27,28.72,10598360
30-Dec-16,28.29,28.37,27.92,28.04,6161189
29-Dec-16,28.60,28.61,28.21,28.28,5835625
28-Dec-16,28.52,28.62,28.33,28.45,6370123
27-Dec-16,28.45,28.65,28.32,28.54,4923965
23-Dec-16,28.35,28.48,28.24,28.38,4032009
22-Dec-16,26.53,28.47,26.53,28.43,7453861
21-Dec-16,28.16,28.46,27.90,28.45,5902525
20-Dec-16,28.28,28.48,28.05,28.18,5098722
19-Dec-16,28.10,28.30,27.94,28.12,5850408
16-Dec-16,28.05,28.49,27.87,28.03,11759751
15-Dec-16,28.20,28.32,27.67,27.99,15070989
14-Dec-16,27.24,28.19,27.06,28.02,22334131
13-Dec-16,26.30,27.04,26.28,27.04,17486831
12-Dec-16,27.92,27.99,26.12,26.34,26683468
9-Dec-16,28.62,30.42,27.54,28.21,41508725
8-Dec-16,28.24,28.66,28.14,28.64,10707290
7-Dec-16,27.48,28.14,27.39,28.11,10107852
6-Dec-16,27.54,27.67,27.25,27.50,12706336
5-Dec-16,27.54,27.61,26.82,27.56,13905732
2-Dec-16,28.33,28.33,27.20,27.40,10884796
1-Dec-16,28.07,28.43,27.96,28.20,8997579
30-Nov-16,28.39,28.54,28.11,28.11,9929028
29-Nov-16,28.42,28.52,28.17,28.47,7374635
28-Nov-16,28.24,28.50,28.12,28.31,7427007
25-Nov-16,28.34,28.44,28.24,28.36,3017494
23-Nov-16,28.28,28.49,28.16,28.40,5235110
22-Nov-16,27.89,28.37,27.78,28.27,6961904
21-Nov-16,27.78,27.88,27.64,27.80,4766605
18-Nov-16,27.82,28.00,27.73,27.82,9043673
17-Nov-16,27.61,27.92,27.43,27.92,8169876
16-Nov-16,27.45,27.65,27.36,27.54,5694253
15-Nov-16,27.51,27.58,27.37,27.45,8671778
14-Nov-16,27.10,27.55,27.10,27.52,11503855
11-Nov-16,27.12,27.20,26.70,27.14,11672279
10-Nov-16,27.45,27.77,27.09,27.16,13125619
9-Nov-16,26.57,27.54,26.40,27.46,14749555
8-Nov-16,27.46,27.46,26.96,27.09,12120654
7-Nov-16,27.42,27.43,27.12,27.39,13183176
4-Nov-16,27.49,27.70,26.90,26.94,15951465
3-Nov-16,26.76,27.84,26.70,27.71,29028596
2-Nov-16,26.28,26.28,25.72,25.83,12848950
1-Nov-16,26.26,26.31,25.95,26.19,13792373
31-Oct-16,26.32,26.55,26.21,26.27,13676555
28-Oct-16,26.13,26.34,26.08,26.25,9204388
27-Oct-16,26.45,26.53,25.99,26.11,9854552
26-Oct-16,25.63,26.45,25.50,26.40,17805156
25-Oct-16,25.59,25.70,25.47,25.56,8028883
24-Oct-16,26.05,26.22,25.33,25.57,15518813
21-Oct-16,25.08,26.03,25.01,25.83,21050822
20-Oct-16,25.12,25.40,24.96,25.27,18002129
19-Oct-16,25.02,25.16,24.93,25.12,8852846
18-Oct-16,24.89,25.10,24.78,24.96,10781063
17-Oct-16,24.75,24.81,24.64,24.68,8475590
14-Oct-16,24.62,24.91,24.55,24.73,9448536
13-Oct-16,24.33,24.66,24.22,24.56,8737314
12-Oct-16,24.64,24.66,24.44,24.55,7649038
11-Oct-16,24.73,24.77,24.49,24.64,14842280
10-Oct-16,24.43,24.75,24.43,24.71,5962132
7-Oct-16,24.62,24.68,24.23,24.35,6874885
6-Oct-16,24.57,24.74,24.33,24.53,6765409
5-Oct-16,24.79,24.87,24.63,24.66,7410271
4-Oct-16,24.72,24.98,24.53,24.74,10434065
3-Oct-16,24.09,24.81,24.04,24.73,10975222
30-Sep-16,24.21,24.42,24.04,24.22,9680353
29-Sep-16,24.17,24.41,24.01,24.04,7997685
28-Sep-16,24.29,24.53,24.20,24.31,13911291
27-Sep-16,23.79,24.27,23.74,24.20,7748674
26-Sep-16,23.84,23.95,23.60,23.79,13316807
23-Sep-16,24.28,24.44,23.93,23.93,9741135
22-Sep-16,24.19,24.48,24.09,24.30,11647392
21-Sep-16,23.87,24.04,23.78,24.00,12887015
20-Sep-16,24.10,24.10,23.86,23.89,11610401
19-Sep-16,23.97,24.07,23.81,23.93,13480128
16-Sep-16,23.48,23.94,23.33,23.90,27403457
15-Sep-16,23.63,23.90,23.44,23.84,17393193
14-Sep-16,23.75,23.93,23.56,23.70,13331784
13-Sep-16,23.70,23.85,23.41,23.71,14556840
12-Sep-16,23.36,24.20,23.34,23.95,22765946
9-Sep-16,24.53,24.65,23.56,23.57,20104861
8-Sep-16,24.40,24.77,24.37,24.75,13602689
7-Sep-16,24.38,24.61,24.34,24.38,10982907
6-Sep-16,24.53,24.55,24.09,24.42,8132323
2-Sep-16,24.70,24.82,24.51,24.55,4933083
1-Sep-16,24.61,24.63,24.42,24.54,6085629
31-Aug-16,24.50,24.72,24.47,24.54,7270858
30-Aug-16,24.72,24.77,24.50,24.55,4514463
29-Aug-16,24.61,24.85,24.55,24.74,6535568
26-Aug-16,24.67,24.73,24.41,24.54,8062806
25-Aug-16,24.72,24.87,24.51,24.57,6391321
24-Aug-16,24.91,24.98,24.72,24.80,8276219
23-Aug-16,25.15,25.32,24.85,24.89,9037228
22-Aug-16,25.11,25.36,25.01,25.12,8374153
19-Aug-16,25.05,25.17,24.86,25.15,13575122
18-Aug-16,25.44,25.52,24.99,25.08,14877159
17-Aug-16,25.49,25.60,25.32,25.48,13351565
16-Aug-16,25.73,25.74,25.45,25.46,12208911
15-Aug-16,26.13,26.14,25.83,25.85,6609002
12-Aug-16,26.05,26.37,25.95,26.02,10590192
11-Aug-16,25.66,26.27,25.63,26.16,15405248
10-Aug-16,25.53,25.71,25.32,25.58,8030948
9-Aug-16,25.46,25.60,25.26,25.48,7564206
8-Aug-16,25.51,25.62,25.37,25.41,7922124
5-Aug-16,25.71,25.91,25.60,25.64,13454562
4-Aug-16,26.04,26.45,25.25,25.59,46749866
3-Aug-16,26.60,27.16,26.31,27.04,14283952
2-Aug-16,26.59,26.79,26.49,26.70,12317546
1-Aug-16,26.64,26.78,26.47,26.62,8558952
29-Jul-16,26.67,26.82,26.45,26.64,8840576
28-Jul-16,26.72,26.86,26.57,26.76,8370640
27-Jul-16,26.82,26.86,26.62,26.74,12577150
26-Jul-16,26.85,27.02,26.60,26.74,8893838
25-Jul-16,27.06,27.15,26.84,26.85,10287196
22-Jul-16,27.24,27.30,27.03,27.11,6601899
21-Jul-16,26.93,27.32,26.77,27.18,7551194
20-Jul-16,27.80,27.94,26.96,27.00,22780470
19-Jul-16,27.90,27.98,27.73,27.75,10367419
18-Jul-16,28.10,28.20,27.96,28.02,10827516
15-Jul-16,28.33,28.33,27.79,28.03,9852557
14-Jul-16,28.18,28.34,28.04,28.12,5923666
13-Jul-16,27.99,28.04,27.70,27.92,8214617
12-Jul-16,27.79,28.12,27.75,27.83,6810170
11-Jul-16,27.73,27.99,27.63,27.77,6318849
8-Jul-16,27.18,27.75,27.15,27.70,8527138
7-Jul-16,26.71,27.06,26.63,26.93,8552717
6-Jul-16,26.56,26.80,26.21,26.74,9902018
5-Jul-16,27.27,27.28,26.52,26.65,10038987
1-Jul-16,27.06,27.37,26.91,27.26,8418546
30-Jun-16,27.13,27.27,26.86,27.05,15012081
29-Jun-16,26.77,27.08,26.73,27.00,7479649
28-Jun-16,26.54,26.99,26.48,26.65,9266211
27-Jun-16,26.61,26.77,26.23,26.37,15234234
24-Jun-16,27.97,28.18,26.89,26.94,23189448
23-Jun-16,29.15,29.33,28.99,29.20,5166312
22-Jun-16,28.91,29.17,28.65,28.92,4667437
21-Jun-16,29.16,29.21,28.72,28.80,5265782
20-Jun-16,29.10,29.41,29.06,29.19,7519432
17-Jun-16,29.13,29.13,28.68,28.80,13198435
16-Jun-16,28.85,29.32,28.54,29.13,6620659
15-Jun-16,28.88,29.21,28.86,28.96,6454375
14-Jun-16,28.84,29.00,28.56,28.87,7230302
13-Jun-16,28.88,29.19,28.78,28.91,6012947
10-Jun-16,28.94,29.08,28.76,28.93,7303162
9-Jun-16,29.34,29.40,28.98,29.32,6787725
8-Jun-16,29.24,29.46,29.18,29.44,5622600
7-Jun-16,29.44,29.58,29.29,29.30,8910987
6-Jun-16,29.48,29.59,29.34,29.44,4752257
3-Jun-16,28.94,29.49,28.82,29.38,5960443
2-Jun-16,29.33,29.60,29.26,29.55,8428069
1-Jun-16,28.96,29.41,28.93,29.35,11707792
31-May-16,29.09,29.09,28.70,28.88,6662026
27-May-16,28.78,29.06,28.74,28.93,5160759
26-May-16,28.90,29.19,28.75,28.76,7624534
25-May-16,28.60,29.00,28.09,28.90,5394113
24-May-16,28.33,28.64,28.30,28.57,4587422
23-May-16,28.33,28.62,28.16,28.19,6910128
20-May-16,27.98,28.35,27.96,28.14,6174305
19-May-16,28.09,28.16,27.68,27.92,9021098
18-May-16,28.65,28.75,28.02,28.15,9088298
17-May-16,28.92,29.13,28.56,28.69,7542343
