Date,Open,High,Low,Close,Volume
31-May-17,26.98,27.07,26.78,26.90,1719472
30-May-17,26.90,27.02,26.77,26.96,2248086
26-May-17,27.32,27.32,26.90,26.95,2155747
25-May-17,26.80,27.71,26.55,27.23,3490506
24-May-17,26.62,26.72,26.47,26.67,1177478
23-May-17,27.05,27.06,26.49,26.53,2036273
22-May-17,27.05,27.09,26.84,27.00,2260971
19-May-17,26.72,27.15,26.64,27.02,3060941
18-May-17,26.66,26.94,26.63,26.78,2000651
17-May-17,27.00,27.02,26.61,26.77,3676186
16-May-17,27.71,27.71,26.89,27.11,3198456
15-May-17,27.97,28.12,27.63,27.67,4418453
12-May-17,28.22,28.49,27.73,27.90,8152639
11-May-17,28.02,28.49,27.41,28.32,6264669
10-May-17,27.84,27.95,27.54,27.68,3754414
9-May-17,27.95,28.08,27.63,27.96,2905589
8-May-17,28.62,28.66,27.91,28.03,3399022
5-May-17,28.62,28.86,28.03,28.58,3127543
4-May-17,28.25,28.70,27.31,28.50,5263604
3-May-17,29.85,29.85,28.26,28.35,3762465
2-May-17,29.63,29.91,29.60,29.85,2179951
1-May-17,29.95,29.95,29.56,29.69,2280503
28-Apr-17,29.99,29.99,29.64,29.86,1925298
27-Apr-17,30.04,30.14,29.82,29.93,2973757
26-Apr-17,29.93,30.21,29.85,30.05,1911541
25-Apr-17,29.79,30.06,29.78,29.89,4720183
24-Apr-17,30.50,30.58,29.65,29.75,3197209
21-Apr-17,30.56,30.66,30.14,30.22,1798357
20-Apr-17,29.98,30.64,29.81,30.55,3395499
19-Apr-17,30.13,30.29,29.81,29.81,2924613
18-Apr-17,30.04,30.17,29.79,30.05,1818175
17-Apr-17,29.96,30.22,29.94,30.16,1906172
13-Apr-17,30.24,30.44,29.86,29.86,1611000
12-Apr-17,30.36,30.46,29.95,30.14,2172287
11-Apr-17,30.49,30.62,30.17,30.47,1822499
10-Apr-17,30.62,30.82,30.46,30.60,2371344
7-Apr-17,30.60,30.68,30.29,30.54,1592146
6-Apr-17,30.81,30.81,30.08,30.55,3229907
5-Apr-17,31.20,31.26,30.73,30.83,2357388
4-Apr-17,31.50,31.55,31.05,31.21,1909945
3-Apr-17,31.77,31.94,31.43,31.57,1681118
31-Mar-17,31.58,31.88,31.58,31.78,2018551
30-Mar-17,31.45,31.70,31.34,31.67,1490562
29-Mar-17,31.66,31.79,31.47,31.51,1627574
28-Mar-17,31.16,31.92,31.15,31.82,3456494
27-Mar-17,30.83,31.37,30.68,31.25,2672410
24-Mar-17,30.84,31.18,30.64,30.88,2496218
23-Mar-17,30.40,30.94,30.27,30.75,3010282
22-Mar-17,30.17,30.53,30.02,30.42,2250647
21-Mar-17,30.23,30.33,30.02,30.09,2703347
20-Mar-17,30.27,30.46,30.06,30.09,1010655
17-Mar-17,30.41,30.48,30.06,30.27,3243312
16-Mar-17,30.25,30.30,30.00,30.20,2141831
15-Mar-17,30.05,30.43,29.92,30.32,2329074
14-Mar-17,29.88,30.04,29.78,29.92,1254621
13-Mar-17,29.95,30.05,29.85,29.95,1585948
10-Mar-17,30.27,30.40,29.83,29.96,3588970
9-Mar-17,30.00,30.36,30.00,30.26,3041348
8-Mar-17,30.09,30.16,29.88,29.98,2257992
7-Mar-17,30.02,30.21,29.77,30.11,2752302
6-Mar-17,29.89,30.48,29.78,30.20,2573741
3-Mar-17,29.71,29.99,29.49,29.95,1888147
2-Mar-17,29.77,29.86,29.51,29.71,2360594
1-Mar-17,29.51,30.08,29.51,29.86,3895249
28-Feb-17,29.96,29.98,29.33,29.35,5615077
27-Feb-17,30.09,30.28,29.78,30.01,2232394
24-Feb-17,30.16,30.24,29.93,30.23,2689559
23-Feb-17,30.16,30.32,29.78,30.00,2604962
22-Feb-17,29.97,30.23,29.96,30.15,1681656
21-Feb-17,29.95,30.28,29.78,30.06,2645449
17-Feb-17,30.05,30.12,29.75,29.92,2438244
16-Feb-17,30.31,30.31,29.95,30.08,1984041
15-Feb-17,29.80,30.33,29.77,30.33,2194068
14-Feb-17,29.50,30.08,29.35,30.02,2676206
13-Feb-17,29.85,29.86,29.26,29.48,3461498
10-Feb-17,29.80,29.85,29.53,29.65,3051973
9-Feb-17,29.95,30.10,29.64,29.71,1932516
8-Feb-17,30.08,30.19,29.58,29.82,3864297
7-Feb-17,30.45,31.08,29.80,30.16,5893165
6-Feb-17,30.94,31.12,30.68,30.72,2339490
3-Feb-17,31.30,31.30,30.87,31.09,1658307
2-Feb-17,31.21,31.23,30.94,31.16,1929127
1-Feb-17,31.03,31.30,30.94,31.24,2918255
31-Jan-17,30.81,31.08,30.64,31.01,2274168
30-Jan-17,30.83,30.99,30.53,30.98,2027296
27-Jan-17,30.70,30.96,30.42,30.85,1815080
26-Jan-17,29.85,30.97,29.82,30.59,3083025
25-Jan-17,29.89,29.98,29.72,29.80,2568601
24-Jan-17,29.61,29.81,29.38,29.79,1667930
23-Jan-17,29.49,29.61,29.25,29.51,1523378
20-Jan-17,29.40,29.55,29.16,29.55,2532322
19-Jan-17,29.52,29.61,29.08,29.21,2026413
18-Jan-17,29.32,29.56,29.20,29.52,1983365
17-Jan-17,29.14,29.34,29.10,29.25,1804773
13-Jan-17,29.02,29.31,28.92,29.25,1912909
12-Jan-17,29.34,29.41,28.97,29.08,3124030
11-Jan-17,28.89,29.45,28.82,29.44,3484244
10-Jan-17,28.71,29.29,28.56,28.92,2829212
9-Jan-17,28.80,28.89,28.55,28.77,1827309
6-Jan-17,28.40,28.89,28.21,28.85,2005112
5-Jan-17,28.13,28.42,27.90,28.34,4393701
4-Jan-17,28.00,28.38,28.00,28.25,2740956
3-Jan-17,27.74,28.15,27.54,28.00,2938360
30-Dec-16,27.50,27.52,27.08,27.25,2885413
29-Dec-16,27.65,27.81,27.44,27.48,1249328
28-Dec-16,27.90,27.94,27.64,27.66,2014309
27-Dec-16,27.82,27.99,27.69,27.84,1284490
23-Dec-16,27.78,27.80,27.57,27.70,1382776
22-Dec-16,27.60,27.80,27.50,27.75,3776492
21-Dec-16,27.62,27.75,27.46,27.74,3436462
20-Dec-16,27.65,27.92,27.51,27.59,2780285
19-Dec-16,27.81,27.90,27.54,27.63,2557243
16-Dec-16,27.45,28.08,27.31,27.73,10140475
15-Dec-16,27.68,27.80,27.22,27.39,6104069
14-Dec-16,26.94,27.84,26.92,27.59,8526687
13-Dec-16,26.27,26.91,26.23,26.90,5311981
12-Dec-16,27.74,27.78,25.94,26.19,7466272
9-Dec-16,28.54,29.63,27.42,27.92,13266743
8-Dec-16,28.01,28.49,27.98,28.48,2825025
7-Dec-16,27.22,27.97,27.22,27.95,4722205
6-Dec-16,27.50,27.63,27.19,27.37,4177026
5-Dec-16,27.49,27.57,26.82,27.53,3648957
2-Dec-16,28.13,28.19,27.21,27.37,2858366
1-Dec-16,28.01,28.27,27.89,28.08,4193964
30-Nov-16,28.32,28.44,27.98,28.06,5197506
29-Nov-16,28.29,28.42,28.13,28.36,3465601
28-Nov-16,28.16,28.31,27.99,28.19,3241602
25-Nov-16,28.21,28.30,28.13,28.26,1991098
23-Nov-16,28.15,28.36,28.03,28.28,3264574
22-Nov-16,27.83,28.19,27.68,28.14,2923285
21-Nov-16,27.73,27.75,27.54,27.73,2215507
18-Nov-16,27.74,27.91,27.64,27.69,3242426
17-Nov-16,27.36,27.81,27.31,27.81,2339233
16-Nov-16,27.39,27.55,27.28,27.49,2415766
15-Nov-16,27.30,27.48,27.21,27.40,3858069
14-Nov-16,27.08,27.38,26.99,27.33,5015343
11-Nov-16,27.11,27.14,26.70,27.00,3689819
10-Nov-16,27.35,27.64,26.99,27.16,4615392
9-Nov-16,26.40,27.46,26.30,27.33,6291709
8-Nov-16,27.22,27.30,26.84,27.08,4453364
7-Nov-16,27.17,27.22,26.86,27.19,4168224
4-Nov-16,27.22,27.47,26.66,26.69,8693503
3-Nov-16,26.70,27.70,26.66,27.53,10103792
2-Nov-16,26.21,26.23,25.70,25.75,6825856
1-Nov-16,26.41,26.41,25.99,26.19,7137066
31-Oct-16,26.30,26.50,26.24,26.39,4552712
28-Oct-16,26.21,26.42,26.14,26.24,3112861
27-Oct-16,26.57,26.61,26.12,26.24,2360224
26-Oct-16,25.71,26.58,25.61,26.52,3107169
25-Oct-16,25.68,25.84,25.60,25.71,1939030
24-Oct-16,26.12,26.27,25.48,25.67,3235236
21-Oct-16,25.23,26.15,25.11,25.91,4106774
20-Oct-16,25.18,25.49,25.04,25.36,8615528
19-Oct-16,25.18,25.57,25.10,25.32,2972595
18-Oct-16,25.02,25.22,24.92,25.07,2540553
17-Oct-16,24.85,24.96,24.77,24.79,4320581
14-Oct-16,24.81,25.04,24.74,24.86,4783563
13-Oct-16,24.54,24.84,24.40,24.76,2853019
12-Oct-16,24.77,24.90,24.64,24.76,2708459
11-Oct-16,25.03,25.08,24.72,24.83,3133754
10-Oct-16,24.75,25.08,24.75,25.01,1309684
7-Oct-16,25.21,25.77,24.56,24.68,1830434
6-Oct-16,24.92,25.11,24.74,24.90,1755091
5-Oct-16,25.27,25.32,25.00,25.01,2261454
4-Oct-16,25.13,25.44,25.01,25.15,2533533
3-Oct-16,24.69,25.25,24.61,25.17,2549825
30-Sep-16,24.75,24.97,24.65,24.74,3193650
29-Sep-16,24.82,24.97,24.58,24.62,1678711
28-Sep-16,24.78,25.05,24.75,24.89,2215326
27-Sep-16,24.36,24.82,24.33,24.80,2340801
26-Sep-16,24.40,24.47,24.16,24.31,2780663
23-Sep-16,24.68,24.81,24.48,24.49,3154453
22-Sep-16,24.45,24.82,24.37,24.74,3608992
21-Sep-16,24.27,24.38,24.09,24.30,6217961
20-Sep-16,24.33,24.46,24.20,24.24,5293587
19-Sep-16,24.38,24.46,24.17,24.29,2653916
16-Sep-16,24.16,24.32,23.88,24.28,13343091
15-Sep-16,24.09,24.46,23.97,24.32,7581502
14-Sep-16,24.23,24.44,24.06,24.19,6880763
13-Sep-16,24.50,24.58,24.05,24.20,4672899
12-Sep-16,23.92,24.80,23.91,24.66,6808436
9-Sep-16,24.81,24.92,24.08,24.12,5681917
