Date,Open,High,Low,Close,Volume
26-May-17,64.37,64.75,64.31,64.50,4021883
25-May-17,64.50,64.83,64.21,64.56,5659024
24-May-17,64.73,64.79,64.23,64.31,5993126
23-May-17,64.36,64.80,64.30,64.69,5094633
22-May-17,64.24,64.64,64.12,64.36,7162917
19-May-17,64.38,64.80,64.08,64.23,8429358
18-May-17,64.45,64.67,63.88,64.43,7925979
17-May-17,65.37,65.62,64.46,64.51,8976053
16-May-17,65.74,66.03,65.48,65.72,5960979
15-May-17,66.08,66.17,65.73,65.95,6202813
12-May-17,66.87,66.90,65.74,66.06,8091201
11-May-17,66.77,66.84,66.06,66.71,8055549
10-May-17,67.69,67.80,66.71,66.92,7190500
9-May-17,67.22,67.75,67.10,67.61,5557392
8-May-17,67.78,67.82,67.08,67.21,7126917
5-May-17,68.10,68.45,67.51,67.80,5788814
4-May-17,67.42,68.57,67.33,68.08,8702934
3-May-17,67.11,67.58,66.27,67.21,13591221
2-May-17,68.29,69.16,68.16,68.59,12987185
1-May-17,68.54,68.81,68.05,68.11,5372585
28-Apr-17,68.83,68.96,68.24,68.55,6257542
27-Apr-17,68.17,68.76,68.05,68.58,6734653
26-Apr-17,67.41,68.60,67.27,68.22,15156261
25-Apr-17,66.60,67.53,66.56,67.12,9007022
24-Apr-17,66.49,66.49,65.71,66.25,9117141
21-Apr-17,66.54,66.68,65.75,65.93,7241809
20-Apr-17,66.36,66.67,66.16,66.50,6380448
19-Apr-17,66.19,66.40,65.89,66.28,5343052
18-Apr-17,66.59,66.87,65.70,66.06,7358074
17-Apr-17,66.81,67.15,66.60,66.70,5684319
13-Apr-17,66.18,66.82,66.09,66.51,6098366
12-Apr-17,66.33,66.37,65.79,66.22,7819118
11-Apr-17,66.43,66.53,65.82,66.02,7329370
10-Apr-17,66.56,67.24,66.39,66.42,6549610
7-Apr-17,66.42,66.84,66.27,66.58,7618920
6-Apr-17,66.43,66.80,66.23,66.48,8716029
5-Apr-17,66.98,67.12,66.40,66.47,7113649
4-Apr-17,67.04,67.14,66.65,66.98,5895010
3-Apr-17,67.85,68.02,66.75,67.10,8446719
31-Mar-17,67.37,68.33,67.37,67.92,8876466
30-Mar-17,67.36,67.78,67.10,67.53,5198714
29-Mar-17,67.10,67.56,66.91,67.26,7224725
28-Mar-17,67.45,67.48,66.80,67.10,8509127
27-Mar-17,67.11,67.82,66.97,67.50,5455289
24-Mar-17,67.57,67.87,67.20,67.51,6037791
23-Mar-17,67.61,67.92,67.26,67.49,6174908
22-Mar-17,67.80,68.05,67.50,67.83,5402777
