Date,Open,High,Low,Close,Volume
26-May-17,969.70,974.98,965.03,971.47,1252010
25-May-17,957.33,972.63,955.47,969.54,1660474
24-May-17,952.98,955.09,949.50,954.96,1034199
23-May-17,947.92,951.47,942.58,948.82,1270817
22-May-17,935.00,941.88,935.00,941.86,1120385
19-May-17,931.47,937.76,931.00,934.01,1393024
18-May-17,921.00,933.17,918.75,930.24,1596897
17-May-17,935.67,939.33,918.14,919.62,2362072
16-May-17,940.00,943.11,937.58,943.00,969479
15-May-17,932.95,938.25,929.34,937.08,1108496
12-May-17,931.53,933.44,927.85,932.22,1050601
11-May-17,925.32,932.53,923.03,930.60,835386
10-May-17,931.98,932.00,925.16,928.78,1173925
9-May-17,936.95,937.50,929.53,932.17,1581809
8-May-17,926.12,936.92,925.26,934.30,1329825
5-May-17,933.54,934.90,925.20,927.13,1911275
4-May-17,926.07,935.93,924.59,931.66,1422144
3-May-17,914.86,928.10,912.54,927.04,1499532
2-May-17,909.62,920.77,909.45,916.44,1587219
1-May-17,901.94,915.68,901.45,912.57,2115993
28-Apr-17,910.66,916.85,905.77,905.96,3276255
27-Apr-17,873.60,875.40,870.38,874.25,2026816
26-Apr-17,874.23,876.05,867.75,871.73,1237167
25-Apr-17,865.00,875.00,862.81,872.30,1671972
24-Apr-17,851.20,863.45,849.86,862.76,1372541
21-Apr-17,842.88,843.88,840.60,843.19,1323583
20-Apr-17,841.44,845.20,839.32,841.65,959031
19-Apr-17,839.79,842.22,836.29,838.21,954330
18-Apr-17,834.22,838.93,832.71,836.82,836722
17-Apr-17,825.01,837.75,824.47,837.17,895015
13-Apr-17,822.14,826.38,821.44,823.56,1122362
12-Apr-17,821.93,826.66,821.02,824.32,900480
11-Apr-17,824.71,827.43,817.02,823.35,1079732
10-Apr-17,825.39,829.35,823.77,824.73,978905
7-Apr-17,827.96,828.48,820.51,824.67,1057253
6-Apr-17,832.40,836.39,826.46,827.88,1254433
5-Apr-17,835.51,842.45,830.72,831.41,1555328
