Date,Open,High,Low,Close,Volume
26-May-17,104.39,104.79,103.72,104.21,637496
25-May-17,104.38,104.82,103.98,104.17,954325
24-May-17,101.73,104.11,101.54,103.96,1171370
23-May-17,101.65,101.73,100.51,100.98,608387
22-May-17,100.68,102.08,100.50,101.26,782736
19-May-17,99.57,101.58,98.27,101.05,748920
18-May-17,99.35,99.83,98.62,99.53,668988
17-May-17,100.55,101.08,99.40,99.47,713145
16-May-17,101.13,101.21,100.60,101.02,650743
15-May-17,101.23,101.82,100.88,101.29,502724
12-May-17,101.06,101.55,100.85,101.37,472651
11-May-17,101.27,101.52,100.45,101.38,588692
10-May-17,101.12,101.86,100.72,101.82,1090782
9-May-17,99.60,101.20,99.43,101.19,1094170
8-May-17,100.45,100.77,99.65,99.75,430467
5-May-17,99.60,100.22,99.12,100.20,488540
4-May-17,99.30,99.71,98.91,99.37,786829
3-May-17,99.65,99.92,98.67,99.08,826468
2-May-17,99.40,100.02,98.98,99.67,977336
1-May-17,99.48,99.48,98.01,98.78,1317028
28-Apr-17,100.30,100.36,98.50,99.11,1475383
27-Apr-17,100.81,101.04,99.73,100.52,1284740
26-Apr-17,101.37,101.99,100.90,101.04,1129647
25-Apr-17,101.17,102.80,100.93,101.57,1713536
24-Apr-17,102.28,104.14,99.68,101.70,5714965
21-Apr-17,94.84,96.52,94.79,96.03,1997742
20-Apr-17,96.02,96.56,95.52,96.01,1018419
19-Apr-17,96.16,96.51,94.98,95.51,982623
18-Apr-17,95.76,96.19,95.40,95.69,673677
17-Apr-17,95.74,96.19,95.07,95.83,709445
13-Apr-17,96.11,96.53,95.46,95.50,916033
12-Apr-17,96.21,96.99,95.64,96.46,946335
11-Apr-17,95.43,96.33,94.87,96.29,849003
10-Apr-17,95.87,96.14,94.76,95.78,805230
7-Apr-17,96.69,96.77,95.54,95.75,971092
6-Apr-17,96.49,96.88,96.04,96.43,1598245
5-Apr-17,98.01,98.21,96.33,96.56,2022976
4-Apr-17,99.23,99.81,97.61,97.85,865428
3-Apr-17,99.90,100.35,99.23,99.59,1323234
31-Mar-17,99.60,100.54,99.44,99.82,840430
30-Mar-17,99.36,99.71,99.10,99.58,665058
29-Mar-17,99.05,99.69,98.84,99.65,819505
28-Mar-17,99.06,99.99,98.28,99.40,925242
27-Mar-17,99.28,99.70,98.75,99.05,1171478
24-Mar-17,100.01,100.46,99.72,99.97,887424
23-Mar-17,99.15,100.23,99.00,99.93,998237
22-Mar-17,98.65,99.17,98.03,98.78,1492796
21-Mar-17,100.72,101.00,98.72,98.76,818593
20-Mar-17,100.22,101.08,99.53,100.55,1355341
17-Mar-17,98.99,100.55,98.69,100.25,1341255
16-Mar-17,99.66,100.14,99.01,99.24,953711
15-Mar-17,98.32,99.83,97.93,99.51,1267114
14-Mar-17,97.88,98.73,97.49,98.18,943475
13-Mar-17,97.41,97.90,97.27,97.69,913552
10-Mar-17,97.88,97.88,97.23,97.47,949805
9-Mar-17,97.68,97.87,97.00,97.35,1001137
8-Mar-17,97.23,97.73,96.92,97.38,835992
7-Mar-17,96.79,97.77,96.79,97.20,1022252
