Date,Open,High,Low,Close,Volume
19-May-17,12.70,12.82,12.39,12.41,790525
18-May-17,12.22,12.69,12.05,12.62,851587
17-May-17,12.73,12.73,12.22,12.29,1053511
16-May-17,13.24,13.34,12.62,12.94,1725044
15-May-17,13.48,13.76,13.20,13.24,1069410
12-May-17,12.55,13.56,12.47,13.42,1653231
11-May-17,12.37,12.69,12.21,12.55,673312
10-May-17,12.07,12.76,11.92,12.44,1827147
9-May-17,11.01,12.48,11.00,12.13,2595085
8-May-17,11.11,11.14,10.85,11.05,1399534
5-May-17,11.00,11.17,10.69,11.15,2896165
4-May-17,10.15,10.25,9.93,10.10,2060412
3-May-17,10.46,10.53,9.93,10.14,883450
2-May-17,10.40,10.58,10.36,10.53,752308
1-May-17,10.46,10.51,10.40,10.49,722097
28-Apr-17,10.57,10.57,10.28,10.41,831398
27-Apr-17,10.41,10.64,10.38,10.57,627510
26-Apr-17,10.15,10.45,10.15,10.40,494038
25-Apr-17,10.24,10.27,10.03,10.18,758323
24-Apr-17,10.28,10.33,10.00,10.11,719160
21-Apr-17,10.55,10.60,10.09,10.12,677002
20-Apr-17,10.62,10.69,10.54,10.55,398018
19-Apr-17,10.65,10.74,10.53,10.61,968935
18-Apr-17,10.40,10.68,10.37,10.63,1350717
17-Apr-17,10.63,10.78,10.50,10.67,484554
13-Apr-17,10.73,10.83,10.48,10.62,204304
12-Apr-17,10.95,11.07,10.69,10.75,285211
11-Apr-17,10.89,11.04,10.61,11.00,453488
10-Apr-17,10.69,10.95,10.62,10.91,490939
7-Apr-17,10.81,10.88,10.60,10.67,733195
6-Apr-17,10.82,10.95,10.63,10.84,583022
5-Apr-17,10.77,11.43,10.77,10.79,1481698
4-Apr-17,10.32,10.92,10.32,10.75,1237658
3-Apr-17,9.83,10.39,9.72,10.35,896181
31-Mar-17,9.69,9.93,9.65,9.81,555320
30-Mar-17,9.80,9.94,9.63,9.73,296974
29-Mar-17,9.48,9.83,9.48,9.74,365912
28-Mar-17,9.36,9.68,9.27,9.48,213675
27-Mar-17,9.15,9.52,9.10,9.36,720593
24-Mar-17,9.31,9.49,9.19,9.31,250643
23-Mar-17,9.45,9.52,9.27,9.31,313079
22-Mar-17,9.54,9.72,9.23,9.44,397459
21-Mar-17,9.97,10.16,9.55,9.57,497254
20-Mar-17,10.05,10.15,9.92,9.96,506247
17-Mar-17,9.91,10.08,9.86,10.04,644363
16-Mar-17,9.77,9.96,9.76,9.90,612869
15-Mar-17,9.44,9.74,9.34,9.71,675108
14-Mar-17,9.69,9.75,9.21,9.46,634438
13-Mar-17,9.65,9.97,9.58,9.79,379042
10-Mar-17,9.88,10.08,9.80,9.93,449178
9-Mar-17,9.89,10.00,9.75,9.83,144757
8-Mar-17,9.88,10.05,9.74,9.86,422275
7-Mar-17,9.94,10.07,9.84,9.89,235241
6-Mar-17,9.86,10.05,9.71,9.98,444673
3-Mar-17,9.95,10.03,9.72,9.90,333443
2-Mar-17,10.10,10.26,9.91,10.00,654206
1-Mar-17,10.04,10.30,9.94,10.12,629299
28-Feb-17,10.09,10.16,9.84,9.94,460729
27-Feb-17,9.94,10.20,9.78,10.12,786734
24-Feb-17,10.01,10.02,9.76,9.93,443379
23-Feb-17,10.32,10.33,10.04,10.07,374330
22-Feb-17,10.41,10.52,10.22,10.27,352079
21-Feb-17,10.53,10.63,10.34,10.46,382433
17-Feb-17,10.51,10.66,10.40,10.54,411756
16-Feb-17,10.59,10.74,10.45,10.50,393557
15-Feb-17,10.42,10.74,10.38,10.64,747366
14-Feb-17,9.82,10.61,9.81,10.54,947150
13-Feb-17,10.48,10.89,10.29,10.51,1064347
10-Feb-17,11.30,11.59,10.52,10.65,3451263
9-Feb-17,9.90,10.27,9.90,10.17,724978
8-Feb-17,10.20,10.41,9.80,9.89,805532
7-Feb-17,10.08,10.44,10.05,10.21,530001
6-Feb-17,9.92,10.09,9.87,10.06,402619
3-Feb-17,9.72,10.00,9.72,9.99,704679
2-Feb-17,9.44,9.68,9.32,9.57,812270
1-Feb-17,9.80,9.83,9.33,9.54,520012
31-Jan-17,9.35,9.74,9.32,9.70,509674
30-Jan-17,9.35,9.85,9.27,9.32,1225565
27-Jan-17,8.87,9.00,8.80,8.90,300294
26-Jan-17,9.05,9.23,8.83,8.83,318259
25-Jan-17,9.11,9.31,9.06,9.08,322262
24-Jan-17,8.87,9.05,8.80,9.00,336537
23-Jan-17,8.98,9.19,8.80,8.85,637192
20-Jan-17,8.88,9.31,8.88,9.00,630525
19-Jan-17,9.05,9.36,8.84,8.88,411090
18-Jan-17,9.03,9.07,8.93,9.03,437197
17-Jan-17,9.28,9.30,8.74,8.98,601533
13-Jan-17,9.24,9.48,9.18,9.31,348619
12-Jan-17,9.29,9.47,9.05,9.20,443632
11-Jan-17,9.37,9.60,9.27,9.39,785691
10-Jan-17,9.07,9.42,9.02,9.20,452155
9-Jan-17,9.02,9.24,8.92,9.06,374018
6-Jan-17,9.05,9.12,8.86,9.00,247015
5-Jan-17,8.95,9.24,8.79,9.03,510373
4-Jan-17,8.74,9.14,8.73,9.07,534453
3-Jan-17,8.42,8.82,8.41,8.71,544992
30-Dec-16,8.20,8.46,8.08,8.31,682806
29-Dec-16,8.19,8.31,8.02,8.15,836914
28-Dec-16,8.41,8.49,8.11,8.18,486698
27-Dec-16,8.32,8.57,8.30,8.36,327337
23-Dec-16,8.19,8.33,8.11,8.29,357843
22-Dec-16,8.93,8.93,8.04,8.20,1375079
21-Dec-16,9.34,9.48,8.86,8.94,603569
20-Dec-16,9.07,9.35,9.01,9.32,846486
