Date,Open,High,Low,Close,Volume
26-May-17,43.51,43.62,42.86,43.35,2720432
25-May-17,43.01,43.64,42.93,43.50,2299579
24-May-17,42.93,43.17,42.80,43.00,2320316
23-May-17,43.36,43.44,42.74,42.89,2711635
22-May-17,43.00,43.26,42.92,43.18,2278585
19-May-17,43.08,43.23,42.84,43.00,2648635
18-May-17,42.86,43.26,42.67,43.08,3481015
17-May-17,43.06,43.20,42.66,42.86,3114471
16-May-17,43.36,43.58,43.09,43.44,3896054
15-May-17,42.58,43.38,42.44,43.24,4185482
12-May-17,43.66,43.77,42.56,42.63,5535669
11-May-17,43.04,44.25,43.00,43.62,8400988
10-May-17,45.42,46.05,45.15,45.96,5106400
9-May-17,44.86,45.72,44.86,45.57,2454731
8-May-17,45.05,45.35,44.98,45.31,2474412
5-May-17,45.11,45.21,44.78,45.04,2332998
4-May-17,45.23,45.29,44.87,45.10,2620482
3-May-17,45.07,45.33,44.86,45.10,2526750
2-May-17,45.40,45.51,45.18,45.30,1818453
1-May-17,45.21,45.40,44.81,45.36,2030208
28-Apr-17,44.59,45.20,44.45,45.15,2147719
27-Apr-17,44.60,44.89,44.46,44.58,1650172
26-Apr-17,43.88,44.66,43.33,44.60,2314865
25-Apr-17,44.38,44.58,44.28,44.43,2945717
24-Apr-17,43.86,44.32,43.67,44.23,3780222
21-Apr-17,43.10,43.31,42.92,43.30,2496367
20-Apr-17,42.75,43.30,42.49,43.26,1762319
19-Apr-17,42.44,42.82,42.29,42.69,1990915
18-Apr-17,42.50,42.65,42.12,42.23,2738661
17-Apr-17,42.49,42.73,42.42,42.64,1208541
13-Apr-17,42.46,42.64,42.24,42.42,1028141
12-Apr-17,42.51,42.55,42.29,42.50,1287624
11-Apr-17,42.45,42.73,42.28,42.59,1785207
10-Apr-17,42.66,42.85,42.27,42.46,2153969
7-Apr-17,42.47,42.92,42.35,42.75,2516804
6-Apr-17,42.52,42.70,42.36,42.44,2337268
5-Apr-17,42.40,42.85,42.24,42.61,3158261
4-Apr-17,42.92,43.01,42.32,42.42,2579259
3-Apr-17,42.40,43.08,42.40,43.03,2865218
31-Mar-17,42.56,42.73,42.40,42.55,1580847
30-Mar-17,42.62,42.92,42.48,42.71,1649732
29-Mar-17,42.41,42.75,42.31,42.63,2995751
28-Mar-17,42.72,42.75,42.28,42.53,1927459
