Date,Open,High,Low,Close,Volume
26-May-17,183.25,183.44,182.08,182.68,214096
25-May-17,182.02,183.84,181.67,183.26,317338
24-May-17,182.60,182.87,181.13,181.63,304346
23-May-17,180.99,182.25,179.89,182.10,311928
22-May-17,177.79,181.24,177.52,180.91,506267
19-May-17,176.84,178.78,175.97,177.81,598646
18-May-17,174.76,177.65,174.34,177.05,554390
17-May-17,175.83,176.90,174.35,174.56,318162
16-May-17,176.46,176.99,175.66,176.84,413714
15-May-17,175.29,176.22,175.04,176.12,289015
12-May-17,175.82,176.48,174.86,175.62,326288
11-May-17,175.32,176.54,174.31,176.40,355175
10-May-17,177.34,177.64,175.54,176.08,490919
9-May-17,180.00,182.48,175.98,177.41,843662
8-May-17,178.37,178.72,174.20,175.02,628947
5-May-17,178.82,179.30,177.58,178.35,317913
4-May-17,176.17,178.16,175.73,178.08,361326
3-May-17,175.25,176.29,175.18,175.69,459961
2-May-17,173.52,175.63,173.52,175.42,311137
1-May-17,173.85,174.07,172.75,173.60,242519
28-Apr-17,173.76,174.44,173.23,173.80,356115
27-Apr-17,173.47,174.69,173.23,174.18,358252
26-Apr-17,170.35,173.36,170.21,173.18,607530
25-Apr-17,170.19,171.00,169.65,170.22,401937
24-Apr-17,169.98,170.21,168.52,169.80,339872
21-Apr-17,169.56,169.86,167.62,168.11,298116
20-Apr-17,168.16,169.76,166.93,169.40,505317
19-Apr-17,168.37,168.85,166.86,167.98,281355
18-Apr-17,168.44,168.47,166.78,167.70,311628
17-Apr-17,168.28,169.23,167.60,168.87,252355
13-Apr-17,169.10,169.11,167.73,167.85,217649
12-Apr-17,166.22,169.43,166.22,168.73,457436
11-Apr-17,168.57,170.30,168.57,170.06,399525
10-Apr-17,167.71,169.44,167.36,168.92,384836
7-Apr-17,168.95,169.42,167.46,167.55,343668
6-Apr-17,168.45,169.05,167.30,168.90,355260
5-Apr-17,168.68,170.74,168.01,168.19,524452
4-Apr-17,169.23,169.71,168.18,168.82,311255
3-Apr-17,170.22,171.15,168.75,169.05,446275
31-Mar-17,170.35,170.75,169.71,169.97,297444
30-Mar-17,170.42,171.14,170.30,170.83,191087
29-Mar-17,171.37,171.60,170.07,170.89,310595
28-Mar-17,171.05,171.56,170.62,171.09,388449
27-Mar-17,170.29,172.02,170.14,171.26,263743
24-Mar-17,171.77,172.61,170.77,171.25,275541
23-Mar-17,171.80,173.50,171.08,171.46,341490
22-Mar-17,171.36,172.26,169.82,171.85,323072
21-Mar-17,172.00,172.90,170.52,170.80,466507
20-Mar-17,170.86,172.50,169.96,171.41,366792
17-Mar-17,171.64,172.00,170.19,171.25,909124
16-Mar-17,172.50,172.89,170.17,171.17,590424
15-Mar-17,171.51,173.13,170.67,172.72,339618
14-Mar-17,172.08,172.08,170.44,171.25,278045
13-Mar-17,172.01,172.38,170.88,172.22,363619
10-Mar-17,171.65,172.73,170.46,172.17,470954
9-Mar-17,170.89,171.77,170.43,170.94,267334
8-Mar-17,171.06,171.88,170.53,170.89,359439
7-Mar-17,170.48,171.35,169.88,171.06,414804
6-Mar-17,170.43,171.50,169.89,170.90,415248
3-Mar-17,170.98,171.87,170.62,171.57,376450
2-Mar-17,170.88,171.61,170.15,171.03,650979
1-Mar-17,172.45,172.82,171.14,172.00,702656
28-Feb-17,172.81,172.90,170.48,171.56,800698
27-Feb-17,173.67,174.32,173.12,173.54,387918
24-Feb-17,171.71,173.58,171.07,173.53,411624
23-Feb-17,172.85,173.20,171.51,171.92,623503
22-Feb-17,173.05,174.92,172.62,172.64,665241
21-Feb-17,171.00,176.50,170.00,173.01,1274793
17-Feb-17,166.90,168.13,165.50,168.11,900761
16-Feb-17,167.79,168.27,166.40,167.25,716501
15-Feb-17,166.01,168.02,165.80,167.90,504572
14-Feb-17,165.25,167.12,165.12,166.65,479978
13-Feb-17,165.92,166.15,164.33,165.11,487404
10-Feb-17,164.47,165.72,161.99,165.07,278080
9-Feb-17,163.48,165.49,162.82,164.85,476458
8-Feb-17,163.63,164.63,163.11,163.61,638451
7-Feb-17,162.74,164.06,162.22,163.98,719005
6-Feb-17,162.01,162.67,161.01,162.59,398234
3-Feb-17,162.12,162.93,160.90,162.66,345576
2-Feb-17,159.56,161.41,158.78,161.22,404405
1-Feb-17,159.99,160.40,158.36,159.86,456715
31-Jan-17,158.23,159.94,157.34,159.86,511831
30-Jan-17,159.38,159.76,157.66,158.32,515347
27-Jan-17,159.63,159.72,158.25,159.65,350294
26-Jan-17,159.95,160.19,158.39,159.22,491545
25-Jan-17,157.40,160.49,156.92,160.29,522883
24-Jan-17,155.60,157.21,154.36,156.92,387366
23-Jan-17,156.90,157.63,154.76,155.35,378045
20-Jan-17,158.15,158.67,155.97,156.90,685988
19-Jan-17,159.29,159.57,157.51,157.73,324501
18-Jan-17,159.36,159.86,158.34,159.69,361652
17-Jan-17,158.62,159.35,158.07,158.78,348318
13-Jan-17,157.05,159.10,157.05,159.05,455622
12-Jan-17,156.86,157.43,155.31,157.13,445069
11-Jan-17,157.60,158.74,155.74,157.76,618569
10-Jan-17,157.39,159.36,156.85,158.09,662733
9-Jan-17,156.14,157.37,155.00,157.25,432440
6-Jan-17,155.72,156.49,154.68,156.18,414300
5-Jan-17,156.28,156.63,154.81,155.71,290360
4-Jan-17,156.38,157.19,155.38,156.55,418293
3-Jan-17,154.24,156.37,151.01,155.93,858648
30-Dec-16,153.35,153.35,151.39,151.71,709632
29-Dec-16,152.35,153.74,151.87,153.12,342828
28-Dec-16,153.10,153.68,152.05,152.25,244911
27-Dec-16,152.68,153.92,152.34,153.21,251539
23-Dec-16,152.72,153.64,152.30,152.79,198199
22-Dec-16,152.79,152.99,151.10,152.38,339314
21-Dec-16,151.86,153.95,151.53,153.04,581088
20-Dec-16,152.40,152.97,151.46,152.05,334223
19-Dec-16,153.47,154.16,151.20,152.03,553407
16-Dec-16,154.24,154.98,152.56,153.76,1025673
15-Dec-16,153.51,154.70,152.56,154.18,732037
14-Dec-16,154.18,154.57,151.76,152.83,664905
13-Dec-16,151.84,153.57,151.24,153.49,645383
12-Dec-16,151.81,152.58,150.72,151.16,547276
9-Dec-16,150.79,152.88,150.06,152.19,415088
8-Dec-16,149.10,150.80,148.48,150.43,504526
7-Dec-16,149.65,150.06,148.46,149.33,978507
6-Dec-16,148.89,150.37,147.22,149.89,683001
5-Dec-16,150.54,151.65,149.33,149.94,709258
2-Dec-16,149.51,151.35,148.72,149.57,514888
1-Dec-16,149.24,150.30,148.96,149.26,985924
30-Nov-16,152.55,152.94,148.81,148.96,2002495
29-Nov-16,151.74,153.58,150.60,153.24,981014
28-Nov-16,150.59,151.43,148.67,151.36,928162
25-Nov-16,152.87,154.17,150.65,151.18,332635
23-Nov-16,152.77,153.89,150.67,152.96,1030224
