Date,Open,High,Low,Close,Volume
19-May-17,161.75,162.39,160.98,161.63,470595
18-May-17,161.20,162.76,160.51,161.59,627504
17-May-17,163.92,164.06,160.91,161.04,488600
16-May-17,164.90,164.97,163.70,164.72,370553
15-May-17,163.15,164.56,162.71,164.48,375195
12-May-17,163.17,164.00,162.59,163.22,377208
11-May-17,162.07,163.27,161.83,163.17,383582
10-May-17,162.08,163.63,161.55,163.01,678721
9-May-17,160.80,162.25,160.80,162.06,475665
8-May-17,161.89,162.65,160.56,161.66,418240
5-May-17,161.02,162.76,160.11,162.47,771065
4-May-17,160.47,161.02,158.83,160.46,789251
3-May-17,163.73,164.86,160.18,160.28,794739
2-May-17,164.20,164.20,162.39,163.73,834114
1-May-17,168.30,168.30,162.25,163.73,1231186
28-Apr-17,166.02,172.00,165.25,167.73,1710434
27-Apr-17,162.80,163.39,161.19,162.76,799523
26-Apr-17,162.70,163.37,161.36,162.82,660709
25-Apr-17,162.39,163.29,162.21,162.43,470624
24-Apr-17,161.92,162.99,161.18,161.87,739901
21-Apr-17,159.61,159.92,158.23,159.12,455639
20-Apr-17,157.81,159.77,156.75,159.52,492499
19-Apr-17,156.55,157.65,155.86,157.08,477335
18-Apr-17,155.10,155.99,154.20,155.68,552427
17-Apr-17,154.28,155.78,153.24,155.28,492159
13-Apr-17,153.75,155.19,153.38,153.60,369315
12-Apr-17,155.27,155.35,153.84,154.20,437259
11-Apr-17,154.24,154.94,153.75,154.69,471390
10-Apr-17,155.47,156.36,153.99,154.58,374406
7-Apr-17,154.84,156.14,154.74,155.48,530698
6-Apr-17,154.59,155.13,153.33,154.56,579647
5-Apr-17,155.08,157.03,154.10,154.72,617755
4-Apr-17,156.54,156.54,153.88,155.12,508511
3-Apr-17,155.07,155.74,153.59,155.28,481211
31-Mar-17,154.00,155.65,153.69,154.61,466473
30-Mar-17,154.45,154.99,153.90,154.52,244427
29-Mar-17,153.57,154.90,153.57,154.72,397978
28-Mar-17,153.51,154.41,152.34,153.81,423183
27-Mar-17,152.98,154.49,151.80,153.96,460058
24-Mar-17,153.22,154.57,152.87,153.74,538419
23-Mar-17,152.44,153.69,151.65,152.89,522088
22-Mar-17,152.22,153.94,150.56,152.88,618481
21-Mar-17,151.90,152.34,148.61,150.11,680347
20-Mar-17,152.18,152.42,150.49,151.54,764524
17-Mar-17,151.77,152.43,151.30,151.95,3389175
16-Mar-17,153.94,153.94,151.28,151.62,1033559
15-Mar-17,151.45,153.87,151.07,153.68,583579
14-Mar-17,151.73,151.89,150.44,151.21,388728
13-Mar-17,150.66,151.97,150.19,151.60,500890
10-Mar-17,150.33,151.99,149.10,150.28,725131
9-Mar-17,146.77,149.57,146.42,149.41,628446
8-Mar-17,147.35,147.70,146.51,146.88,412618
7-Mar-17,146.74,147.70,145.24,147.03,752590
6-Mar-17,146.36,147.75,145.52,147.08,638106
3-Mar-17,146.66,147.67,146.22,147.13,658902
2-Mar-17,147.00,147.26,145.75,146.10,523140
1-Mar-17,145.84,148.22,145.37,147.01,796928
28-Feb-17,143.94,146.17,143.80,144.94,744706
27-Feb-17,143.35,144.33,142.50,143.61,573370
24-Feb-17,142.81,143.92,141.02,143.06,571682
23-Feb-17,142.63,143.56,141.83,143.02,510486
22-Feb-17,142.16,143.05,141.80,142.25,584507
21-Feb-17,142.30,143.06,141.52,142.40,539709
17-Feb-17,141.71,142.70,141.12,142.23,426961
16-Feb-17,141.93,142.38,140.99,141.95,407324
15-Feb-17,140.89,142.09,140.65,141.74,859407
14-Feb-17,141.11,142.00,140.63,141.60,682783
13-Feb-17,142.73,142.90,141.32,141.70,570982
10-Feb-17,142.07,142.51,141.49,141.83,435483
9-Feb-17,141.48,142.54,140.86,142.11,776761
8-Feb-17,142.83,143.09,141.00,141.11,1358731
7-Feb-17,142.23,143.47,141.79,143.13,864817
6-Feb-17,142.00,142.32,140.21,142.01,1145044
3-Feb-17,139.53,142.86,138.52,142.02,1758148
2-Feb-17,125.50,139.90,125.02,139.07,2796731
