Date,Open,High,Low,Close,Volume
31-May-17,174.70,177.46,173.26,177.36,1442870
30-May-17,175.19,176.51,173.02,173.58,723979
26-May-17,174.01,177.14,173.80,175.91,959273
25-May-17,174.77,174.77,172.34,173.76,1215749
24-May-17,175.34,175.98,173.78,174.48,1252728
23-May-17,175.00,176.31,174.19,174.72,1001444
22-May-17,176.36,176.50,174.49,174.92,1176727
19-May-17,175.88,177.50,174.85,177.01,1061794
18-May-17,176.29,177.48,174.81,175.89,936953
17-May-17,176.98,177.92,175.25,175.56,964357
16-May-17,180.04,180.04,176.52,178.24,1217895
15-May-17,180.76,181.08,179.00,180.05,1251882
12-May-17,181.91,182.51,180.69,182.38,641351
11-May-17,182.14,182.41,179.28,181.74,822662
10-May-17,182.97,183.96,180.19,182.11,977621
9-May-17,184.35,185.27,182.71,183.59,1125237
8-May-17,186.10,186.39,183.10,184.65,1051031
5-May-17,188.33,189.48,186.63,187.14,880684
4-May-17,188.66,188.97,186.78,188.85,677939
3-May-17,187.07,188.99,186.69,187.72,1114041
2-May-17,186.62,187.88,185.40,186.71,759122
1-May-17,186.32,188.48,185.33,186.81,953329
28-Apr-17,184.62,185.95,182.95,184.86,1083986
27-Apr-17,183.94,184.47,181.96,183.74,1967679
26-Apr-17,178.79,184.96,177.32,184.58,2751512
25-Apr-17,180.40,182.42,179.79,181.50,1376961
24-Apr-17,177.65,180.36,177.33,180.20,820478
21-Apr-17,177.20,177.23,173.59,175.29,1303066
20-Apr-17,179.15,179.15,175.51,177.16,1085103
19-Apr-17,175.82,180.62,175.34,178.03,1144825
18-Apr-17,173.22,175.58,173.09,175.29,676446
17-Apr-17,174.63,175.89,173.38,174.42,586452
13-Apr-17,173.09,175.45,171.93,173.68,1142660
12-Apr-17,174.98,176.10,171.80,172.95,784682
11-Apr-17,172.29,178.99,172.24,175.01,1666482
10-Apr-17,171.94,173.60,171.10,171.52,764823
7-Apr-17,171.11,173.85,169.71,172.39,851950
6-Apr-17,167.68,171.43,167.18,170.44,836006
5-Apr-17,170.61,171.10,167.16,167.48,1148357
4-Apr-17,170.80,171.84,169.51,169.92,518389
3-Apr-17,171.00,172.29,169.30,170.75,736173
31-Mar-17,172.78,173.64,170.53,170.64,818536
30-Mar-17,172.02,174.32,171.28,173.16,785922
29-Mar-17,171.05,172.80,168.55,172.66,778998
