Date,Open,High,Low,Close,Volume
31-May-17,917.85,921.83,910.63,914.68,312631
30-May-17,906.10,915.48,903.10,914.43,310101
26-May-17,913.44,914.76,908.25,910.36,208947
25-May-17,903.86,911.41,900.02,907.57,199756
24-May-17,897.21,902.00,892.63,899.87,268761
23-May-17,897.55,902.10,893.00,897.04,307549
22-May-17,877.00,897.36,876.09,892.04,444297
19-May-17,863.13,874.54,860.35,870.33,415283
18-May-17,852.81,861.39,850.93,859.98,265443
17-May-17,855.28,859.86,850.63,850.98,389797
16-May-17,857.33,864.76,853.48,859.47,302114
15-May-17,841.87,851.30,841.87,850.67,202971
12-May-17,846.28,848.30,843.32,843.72,210990
11-May-17,843.94,846.82,838.20,844.93,232351
10-May-17,844.11,845.00,838.74,843.06,314230
9-May-17,839.42,845.34,837.26,843.17,310067
8-May-17,850.00,851.64,839.00,840.79,449150
5-May-17,849.39,851.00,845.75,850.54,163960
4-May-17,846.31,848.52,844.78,847.22,180654
3-May-17,844.74,847.75,840.86,845.33,181362
2-May-17,837.21,845.45,837.21,844.77,206656
1-May-17,838.58,841.99,836.38,839.57,245206
28-Apr-17,836.67,844.46,832.76,835.87,390265
27-Apr-17,834.63,840.75,834.02,836.56,294122
26-Apr-17,825.93,835.97,825.50,834.02,311647
25-Apr-17,822.20,833.05,820.45,827.24,486289
24-Apr-17,817.00,824.03,813.17,822.18,378961
21-Apr-17,811.67,814.55,807.30,813.43,411261
20-Apr-17,806.50,815.41,802.85,814.45,394608
19-Apr-17,800.00,817.20,790.98,807.70,1132074
18-Apr-17,768.00,768.00,753.38,759.34,588579
17-Apr-17,768.92,773.26,765.33,768.28,386646
13-Apr-17,765.43,768.65,762.48,764.79,252827
12-Apr-17,761.87,765.00,760.87,764.26,247065
11-Apr-17,766.10,769.55,760.62,764.83,274960
10-Apr-17,765.01,769.41,765.00,767.04,228021
7-Apr-17,764.03,768.34,761.09,767.12,250672
6-Apr-17,762.14,765.95,760.33,762.77,260306
5-Apr-17,760.88,775.91,759.46,762.80,366019
4-Apr-17,765.99,767.26,759.34,762.34,199562
3-Apr-17,765.64,771.57,760.45,764.71,320679
31-Mar-17,765.37,769.98,764.32,766.47,307306
30-Mar-17,765.90,768.98,762.43,766.26,177729
29-Mar-17,763.02,767.52,759.50,765.68,246416
28-Mar-17,767.32,770.28,764.28,764.47,281051
27-Mar-17,755.43,769.12,753.20,767.32,392176
24-Mar-17,749.77,761.51,747.67,758.00,445378
23-Mar-17,747.40,751.47,744.54,746.18,189036
22-Mar-17,747.63,750.17,742.51,748.31,182507
21-Mar-17,753.50,757.98,745.40,745.95,395934
20-Mar-17,747.57,755.55,747.02,750.03,374843
17-Mar-17,748.15,752.20,745.68,749.83,668969
16-Mar-17,749.05,750.51,739.50,743.53,271241
15-Mar-17,736.86,751.43,735.99,746.67,568290
14-Mar-17,728.85,740.30,728.44,740.08,454534
13-Mar-17,733.13,736.31,727.38,733.89,262087
10-Mar-17,740.00,740.00,732.64,734.16,245304
9-Mar-17,727.13,736.97,727.13,736.02,316711
8-Mar-17,731.00,734.51,726.79,728.11,320904
7-Mar-17,732.68,736.34,729.14,730.15,385104
6-Mar-17,740.68,742.96,734.45,735.70,399851
3-Mar-17,740.44,746.28,738.92,744.79,214240
2-Mar-17,741.00,745.80,739.72,742.57,268068
1-Mar-17,736.80,744.59,733.08,741.09,315993
28-Feb-17,732.00,739.03,729.61,737.00,395394
27-Feb-17,737.37,739.00,732.61,734.03,296795
24-Feb-17,733.40,738.80,731.33,736.86,281668
23-Feb-17,731.30,736.63,730.56,735.35,268561
22-Feb-17,729.80,734.12,728.59,732.08,278518
21-Feb-17,725.00,733.17,723.57,732.17,482058
17-Feb-17,718.43,727.36,717.64,724.66,387769
16-Feb-17,714.43,721.74,712.60,721.47,289550
15-Feb-17,711.63,719.30,710.51,716.74,303246
14-Feb-17,712.42,718.00,710.25,714.92,308306
13-Feb-17,705.00,711.29,700.98,710.70,258659
10-Feb-17,705.92,708.67,703.45,705.52,268841
9-Feb-17,701.96,709.54,700.24,705.38,270395
8-Feb-17,701.51,704.64,699.32,702.67,345117
7-Feb-17,704.08,706.32,701.50,704.24,379451
6-Feb-17,700.05,706.05,696.71,704.96,324149
3-Feb-17,700.00,702.95,697.77,702.13,324273
2-Feb-17,693.14,700.99,691.04,700.16,349185
1-Feb-17,690.05,698.00,687.98,697.02,358394
31-Jan-17,688.23,697.54,684.56,692.69,385067
30-Jan-17,687.40,690.45,683.66,690.13,312998
27-Jan-17,684.38,695.26,682.14,691.29,421366
26-Jan-17,696.31,699.00,684.43,687.56,553946
25-Jan-17,675.00,700.42,672.02,700.00,1134313
24-Jan-17,657.66,669.78,653.68,666.05,469731
23-Jan-17,657.54,661.98,651.57,655.03,272376
20-Jan-17,661.22,661.22,654.24,656.75,258082
19-Jan-17,662.42,664.14,654.10,658.06,250330
18-Jan-17,663.79,668.00,660.15,663.07,197277
17-Jan-17,664.51,667.34,655.00,663.74,262387
13-Jan-17,668.00,674.98,662.59,664.71,291282
12-Jan-17,677.57,677.57,661.05,664.88,415734
11-Jan-17,675.90,688.64,670.09,678.16,632038
10-Jan-17,642.53,664.00,641.74,662.20,396557
9-Jan-17,635.19,643.26,635.19,641.30,386485
