Date,Open,High,Low,Close,Volume
19-May-17,40.47,41.72,40.42,41.06,12501170
18-May-17,39.02,40.40,38.59,40.16,12521356
17-May-17,40.20,40.96,39.96,40.04,10284555
16-May-17,40.28,41.00,40.23,40.77,14975910
15-May-17,40.99,41.01,39.91,40.23,12498618
12-May-17,39.82,40.72,39.77,40.56,13923142
11-May-17,39.15,40.00,38.75,39.76,13039746
10-May-17,38.55,39.36,38.42,39.32,16745122
9-May-17,38.84,38.99,38.28,38.53,16211102
8-May-17,37.88,39.09,37.69,38.55,31389643
5-May-17,35.50,35.90,35.16,35.78,9033875
4-May-17,35.26,35.50,34.96,35.40,10001587
3-May-17,35.53,35.53,34.51,35.15,7920871
2-May-17,35.35,35.56,34.87,35.45,5194750
1-May-17,35.14,35.45,35.02,35.34,5712699
28-Apr-17,35.50,35.50,34.73,35.07,4759964
27-Apr-17,35.05,35.32,34.97,35.30,4982978
26-Apr-17,35.06,35.08,34.80,34.94,6069918
25-Apr-17,35.00,35.07,34.88,34.96,6890089
24-Apr-17,34.78,34.94,34.36,34.57,9606789
21-Apr-17,34.14,34.72,34.00,34.35,11713477
20-Apr-17,34.04,34.14,33.45,33.97,7963522
19-Apr-17,33.16,34.00,33.10,33.36,10268606
18-Apr-17,32.67,33.00,32.55,32.84,4273453
17-Apr-17,32.67,33.09,32.58,32.72,4383267
13-Apr-17,32.74,32.87,32.45,32.47,3029646
12-Apr-17,32.31,32.88,32.31,32.71,6817951
11-Apr-17,32.70,33.28,32.22,32.30,8054205
10-Apr-17,32.16,32.92,32.15,32.67,8303755
7-Apr-17,32.20,32.25,31.57,32.01,5651022
6-Apr-17,31.69,32.26,31.49,32.23,5840730
5-Apr-17,31.58,32.06,31.44,31.53,5368448
4-Apr-17,31.80,31.89,31.23,31.44,4927524
3-Apr-17,31.43,32.10,31.27,31.92,7934878
31-Mar-17,31.40,31.56,31.08,31.11,5975227
30-Mar-17,31.50,31.89,31.47,31.56,4907678
29-Mar-17,31.50,31.67,31.42,31.58,3152826
28-Mar-17,31.33,32.00,31.21,31.46,5862345
27-Mar-17,31.00,31.55,30.76,31.38,4055379
24-Mar-17,31.42,31.84,31.10,31.26,5826837
23-Mar-17,30.85,31.35,30.61,31.29,8940535
22-Mar-17,30.18,30.61,29.88,30.58,6790040
21-Mar-17,31.88,31.93,30.14,30.32,9364436
20-Mar-17,31.57,31.87,31.54,31.72,4270760
17-Mar-17,31.77,31.77,31.34,31.56,6464095
16-Mar-17,31.87,32.21,31.44,31.54,6367450
15-Mar-17,31.35,31.53,31.08,31.38,4368827
14-Mar-17,31.46,31.59,31.11,31.37,4364713
13-Mar-17,31.27,31.82,31.15,31.69,6473455
10-Mar-17,31.35,31.55,30.94,31.06,6038544
9-Mar-17,31.15,31.51,30.96,31.20,5546220
8-Mar-17,30.61,31.64,30.60,31.34,8226569
7-Mar-17,30.20,30.94,29.96,30.75,7488251
6-Mar-17,30.97,30.98,30.24,30.41,8109765
3-Mar-17,31.32,31.58,30.87,30.93,9199263
2-Mar-17,31.74,32.47,30.48,30.93,22176037
1-Mar-17,30.83,30.99,30.56,30.67,7942571
28-Feb-17,30.97,31.16,30.36,30.57,8639465
27-Feb-17,30.30,30.91,30.25,30.80,5946260
24-Feb-17,30.50,30.52,30.03,30.27,4641515
23-Feb-17,30.75,30.88,30.23,30.61,9921265
