Date,Open,High,Low,Close,Volume
26-May-17,92.90,93.09,92.52,92.99,1308005
25-May-17,92.69,93.01,92.38,92.81,1665648
24-May-17,92.00,92.66,91.78,92.59,1814952
23-May-17,91.21,92.00,91.01,91.87,1803653
22-May-17,90.11,91.33,90.04,91.18,1830532
19-May-17,89.75,90.55,89.40,90.28,2707630
18-May-17,89.65,90.73,88.91,90.16,2854738
17-May-17,88.91,90.14,88.51,89.51,3867238
16-May-17,89.26,89.83,88.85,89.11,1974606
15-May-17,88.76,89.47,88.56,89.45,2029672
12-May-17,89.34,89.45,88.67,88.95,1827328
11-May-17,88.80,89.46,88.80,89.28,1402517
10-May-17,89.11,89.40,88.94,89.33,1654366
9-May-17,89.23,89.65,88.87,89.20,2299192
8-May-17,89.58,89.77,89.00,89.48,2311646
5-May-17,89.86,90.10,89.18,89.63,2267257
4-May-17,88.00,91.80,87.14,89.70,6391177
3-May-17,90.22,90.22,88.90,89.14,2695311
2-May-17,89.64,89.83,88.76,89.00,3058604
1-May-17,90.65,90.75,89.35,89.47,3363636
28-Apr-17,91.20,91.23,89.83,90.39,2894535
27-Apr-17,90.92,91.42,90.66,90.83,2290675
26-Apr-17,92.32,92.33,90.88,90.92,2736569
25-Apr-17,92.64,92.90,92.28,92.29,1882406
24-Apr-17,92.01,92.87,92.01,92.56,2185402
21-Apr-17,92.13,92.24,91.56,91.60,1969817
20-Apr-17,92.11,92.40,91.55,92.04,1787936
19-Apr-17,92.43,92.45,91.69,91.85,1978523
18-Apr-17,91.54,92.63,91.33,92.50,2135091
17-Apr-17,91.80,91.96,91.03,91.58,1803779
13-Apr-17,92.05,92.05,91.48,91.50,1816348
12-Apr-17,91.03,92.14,91.01,91.93,2007448
11-Apr-17,90.89,91.07,90.39,90.83,1396543
10-Apr-17,90.65,91.00,90.16,90.89,3496948
7-Apr-17,91.17,91.49,90.67,90.70,2000297
6-Apr-17,91.49,91.79,90.65,90.95,2096946
5-Apr-17,91.10,92.42,91.03,91.42,2694733
4-Apr-17,90.70,91.25,90.27,91.22,2193999
3-Apr-17,90.80,91.28,90.63,91.06,3414988
31-Mar-17,90.88,91.19,90.57,90.81,2205051
30-Mar-17,91.43,91.67,91.04,91.10,1143400
29-Mar-17,91.20,91.60,91.06,91.49,1462578
28-Mar-17,90.78,91.66,90.78,91.41,2223337
27-Mar-17,91.50,91.59,91.09,91.25,1699017
24-Mar-17,92.24,92.40,91.32,91.68,1703782
23-Mar-17,92.05,92.78,91.90,92.01,1833318
22-Mar-17,92.25,92.75,92.04,92.29,1540330
21-Mar-17,92.31,92.78,91.59,91.90,2373303
20-Mar-17,92.03,92.95,91.89,92.36,2062998
17-Mar-17,93.60,93.67,91.82,91.98,5655915
16-Mar-17,92.74,93.27,92.16,92.77,4139046
15-Mar-17,91.59,92.14,91.09,91.84,2076292
14-Mar-17,91.16,91.35,90.67,91.06,2097343
13-Mar-17,91.37,91.50,91.02,91.18,2182943
10-Mar-17,92.08,92.09,91.26,91.51,2277111
9-Mar-17,90.77,91.58,90.62,91.53,2108524
8-Mar-17,90.67,91.17,90.44,90.90,2034763
7-Mar-17,90.81,91.44,90.72,90.80,1490968
6-Mar-17,91.02,91.51,90.79,91.16,2044942
3-Mar-17,91.25,91.50,90.81,91.50,1653039
2-Mar-17,91.50,91.69,90.78,91.28,2552714
1-Mar-17,91.77,91.91,90.65,91.43,2858644
28-Feb-17,90.68,91.98,90.35,91.51,4267732
27-Feb-17,92.60,92.87,90.33,90.61,6085677
24-Feb-17,93.51,93.80,92.57,93.08,2670483
23-Feb-17,93.29,93.62,92.35,92.94,2901140
22-Feb-17,94.85,95.00,92.99,93.36,5000119
21-Feb-17,91.82,95.48,91.35,94.87,14423224
17-Feb-17,92.00,97.77,91.85,96.65,30007660
16-Feb-17,89.10,89.84,86.35,87.28,10584747
15-Feb-17,91.13,91.30,90.26,91.10,3083858
14-Feb-17,90.57,91.06,90.10,90.81,2323242
13-Feb-17,90.31,90.60,89.70,90.58,1812547
10-Feb-17,89.60,90.54,89.34,90.20,1882092
9-Feb-17,89.27,90.39,89.04,89.78,2708309
8-Feb-17,88.81,89.31,88.79,89.19,3300398
7-Feb-17,88.71,89.02,88.50,88.81,2599297
6-Feb-17,89.30,89.40,88.64,88.70,1359780
3-Feb-17,89.21,89.35,88.64,89.27,2205056
2-Feb-17,88.51,89.10,88.32,88.61,1826675
1-Feb-17,88.89,89.34,88.31,88.41,1816784
31-Jan-17,88.90,89.56,88.84,89.29,2650528
30-Jan-17,89.09,89.50,88.63,89.08,2233590
27-Jan-17,88.96,89.77,88.78,89.43,1842940
26-Jan-17,89.49,89.90,88.72,89.41,3092073
25-Jan-17,88.93,89.27,88.41,88.84,2267495
24-Jan-17,88.91,89.19,88.32,88.69,2171124
23-Jan-17,88.66,88.95,88.20,88.80,2654131
20-Jan-17,88.35,89.00,88.01,88.95,2795514
19-Jan-17,88.18,88.43,87.55,87.85,1690802
18-Jan-17,87.80,88.59,87.80,88.35,2881765
17-Jan-17,86.71,87.98,86.71,87.92,2304841
13-Jan-17,87.42,87.43,86.58,87.03,1799100
12-Jan-17,86.83,87.77,86.50,87.42,2484719
11-Jan-17,86.12,87.04,86.04,86.76,2754510
10-Jan-17,85.85,86.30,85.41,85.91,2539939
9-Jan-17,86.25,86.48,85.59,86.07,2482512
6-Jan-17,86.53,86.63,85.83,86.31,2450244
5-Jan-17,86.90,87.30,86.08,86.53,3037390
4-Jan-17,87.52,87.97,86.90,87.03,2274880
3-Jan-17,87.85,87.97,86.40,87.53,3104614
30-Dec-16,88.02,88.16,87.07,87.32,2051740
29-Dec-16,87.30,88.15,87.30,87.93,1837797
28-Dec-16,87.50,87.77,87.03,87.31,1384774
27-Dec-16,87.66,88.08,87.30,87.58,1993198
23-Dec-16,87.10,87.62,86.96,87.57,2488277
22-Dec-16,86.45,87.29,86.30,87.28,1966288
21-Dec-16,85.93,86.99,85.80,86.61,2202026
20-Dec-16,86.28,86.60,85.33,85.98,2665452
19-Dec-16,86.35,86.89,85.72,86.60,3365385
16-Dec-16,85.88,86.56,84.86,86.46,6037676
15-Dec-16,85.13,86.06,84.13,85.37,4410125
14-Dec-16,84.98,85.40,83.72,84.36,3348594
13-Dec-16,84.60,85.60,84.03,84.94,3644132
12-Dec-16,83.60,84.83,83.29,84.20,2536296
9-Dec-16,82.55,83.79,82.07,83.78,2381487
8-Dec-16,82.59,82.79,81.86,82.31,2497664
7-Dec-16,80.44,83.21,80.27,82.95,4870172
6-Dec-16,80.61,80.88,79.69,79.96,3566761
5-Dec-16,80.91,81.15,80.12,80.28,4415506
2-Dec-16,80.74,81.52,80.35,80.91,2779307
1-Dec-16,81.51,81.78,79.93,80.49,4044063
30-Nov-16,83.10,83.51,81.65,81.65,3309895
29-Nov-16,83.40,84.50,83.13,84.00,3744596
28-Nov-16,82.95,83.67,82.36,83.22,2642268
25-Nov-16,82.63,83.29,82.63,82.95,1230342
23-Nov-16,83.80,84.31,81.73,82.44,3459998
22-Nov-16,83.86,84.47,83.70,84.09,2647972
21-Nov-16,82.53,83.82,82.20,83.64,2508635
18-Nov-16,82.70,82.93,82.02,82.53,2715717
17-Nov-16,82.31,82.84,81.50,82.84,3161607
16-Nov-16,81.38,82.75,81.29,82.40,3327175
15-Nov-16,80.57,81.72,80.22,81.14,5723931
14-Nov-16,81.01,81.63,79.92,80.08,4463441
11-Nov-16,81.00,81.74,80.16,81.21,4151058
10-Nov-16,85.03,85.53,80.56,81.42,7643625
9-Nov-16,86.18,86.97,84.18,84.94,5097213
8-Nov-16,86.23,88.84,86.07,88.34,2791206
7-Nov-16,85.32,86.09,84.30,86.03,4101146
4-Nov-16,82.03,85.24,81.00,84.05,7825153
3-Nov-16,88.12,88.37,86.13,86.25,5041946
2-Nov-16,88.63,88.69,87.98,88.15,1917836
1-Nov-16,89.00,89.18,88.11,88.37,2542688
31-Oct-16,88.44,89.16,88.31,88.95,3578117
28-Oct-16,87.48,88.67,87.48,88.08,1771052
27-Oct-16,88.17,88.37,87.18,87.69,2127848
26-Oct-16,88.51,88.70,87.91,88.08,1513368
25-Oct-16,89.23,89.68,88.17,88.36,3220140
24-Oct-16,88.61,89.22,88.51,88.91,1744473
21-Oct-16,87.65,88.18,86.98,87.92,2086578
20-Oct-16,87.22,88.76,87.22,87.96,2662129
19-Oct-16,88.93,88.95,87.55,88.08,2720953
18-Oct-16,90.09,90.15,88.90,88.93,2739950
17-Oct-16,88.72,89.00,88.03,88.83,2208358
14-Oct-16,87.34,88.70,87.06,88.53,2388906
13-Oct-16,86.79,87.32,86.50,87.05,2861894
12-Oct-16,88.46,88.46,87.00,87.14,3072897
11-Oct-16,88.24,88.50,87.06,87.24,2508653
10-Oct-16,87.44,88.67,87.44,88.50,2012548
7-Oct-16,87.76,87.76,86.70,87.40,1723648
6-Oct-16,87.03,87.66,86.78,87.49,1172102
5-Oct-16,88.32,88.32,87.34,87.38,1910963
4-Oct-16,89.29,89.29,87.69,88.02,1940530
3-Oct-16,89.25,89.46,88.75,89.08,1857873
30-Sep-16,89.00,89.91,88.85,89.51,2499174
29-Sep-16,89.23,89.43,88.41,88.57,1411764
28-Sep-16,89.58,89.62,88.81,89.55,1628667
27-Sep-16,88.76,89.49,88.52,89.23,1530325
26-Sep-16,88.78,88.98,88.06,88.53,1487435
23-Sep-16,89.19,89.50,88.67,88.83,1466988
22-Sep-16,88.63,89.16,88.34,89.05,1516795
21-Sep-16,87.26,88.16,86.76,87.91,2592413
20-Sep-16,87.48,87.72,87.10,87.12,3018384
19-Sep-16,88.88,89.00,86.90,86.97,4032444
16-Sep-16,88.83,89.13,87.65,88.94,4476758
15-Sep-16,87.36,89.26,87.32,89.17,1967612
14-Sep-16,88.13,88.82,87.38,87.68,1910701
13-Sep-16,89.27,89.27,87.45,88.27,2579768
12-Sep-16,85.58,88.70,85.35,88.56,3014953
9-Sep-16,88.24,88.37,85.95,85.97,3837863
8-Sep-16,89.70,89.79,88.71,89.19,2191620
7-Sep-16,89.23,89.81,88.96,89.79,3344795
6-Sep-16,89.69,90.18,89.13,89.74,1786384
2-Sep-16,89.90,90.54,89.11,89.61,2057913
1-Sep-16,89.57,89.71,88.54,89.48,2215474
31-Aug-16,88.11,89.82,88.11,89.49,2696431
30-Aug-16,88.63,88.82,87.77,87.97,1841543
29-Aug-16,88.35,88.81,88.13,88.57,1685105
26-Aug-16,89.04,89.45,87.92,88.17,1863591
25-Aug-16,88.99,89.94,88.69,88.90,1825891
24-Aug-16,88.84,88.99,88.03,88.95,2581185
