Date,Open,High,Low,Close,Volume
31-May-17,105.10,105.15,103.38,104.00,2005734
30-May-17,104.85,105.67,104.52,104.54,1062827
26-May-17,104.75,104.80,103.90,104.74,566490
25-May-17,103.50,105.14,103.35,104.85,691938
24-May-17,103.11,103.64,102.61,103.28,681357
23-May-17,102.97,103.08,102.04,102.49,952108
22-May-17,102.20,102.88,101.63,102.71,902316
19-May-17,101.36,102.56,101.10,101.78,970966
18-May-17,99.65,101.12,99.16,100.85,1387697
17-May-17,101.42,101.53,99.83,99.88,1343637
16-May-17,101.67,102.37,101.46,102.33,1158191
15-May-17,100.09,101.81,100.09,101.25,1506266
12-May-17,100.39,101.00,99.50,100.04,907509
11-May-17,100.29,100.73,99.57,100.26,867054
10-May-17,101.14,101.29,100.40,100.76,1155040
9-May-17,100.70,101.47,100.61,100.81,787807
8-May-17,101.01,101.02,100.25,100.50,968398
5-May-17,101.47,101.80,99.80,100.94,986052
4-May-17,100.20,100.85,99.59,100.81,903485
3-May-17,99.68,100.02,99.08,99.45,1019348
2-May-17,99.37,99.79,98.47,99.72,1483879
1-May-17,98.71,99.50,97.47,99.17,1802029
28-Apr-17,100.28,103.98,97.84,98.22,3066458
27-Apr-17,101.29,104.22,101.29,103.59,2706251
26-Apr-17,101.78,101.78,100.63,100.80,791110
25-Apr-17,101.12,101.81,100.44,101.71,1007736
24-Apr-17,99.71,100.98,99.21,100.83,1419037
21-Apr-17,98.57,98.65,97.67,98.37,799113
20-Apr-17,98.00,98.82,97.62,98.51,1021989
19-Apr-17,95.69,97.66,95.56,97.59,1563146
18-Apr-17,94.94,95.85,94.32,94.60,1416702
17-Apr-17,94.52,95.74,94.33,95.50,1542877
13-Apr-17,94.98,96.31,94.22,95.33,1134903
12-Apr-17,95.76,95.98,94.73,95.21,1041037
11-Apr-17,96.15,96.19,93.61,95.50,1406113
10-Apr-17,96.75,96.97,95.85,96.33,1472725
7-Apr-17,96.24,96.66,96.08,96.54,1128126
6-Apr-17,95.73,96.19,94.88,96.17,980730
5-Apr-17,96.47,97.49,95.56,95.73,1122973
4-Apr-17,95.97,96.66,95.87,96.46,967115
3-Apr-17,95.34,96.38,94.81,95.97,963438
31-Mar-17,95.38,96.43,94.74,95.07,772359
30-Mar-17,95.74,96.12,95.46,95.64,395735
29-Mar-17,95.44,95.67,95.04,95.45,637231
28-Mar-17,95.79,96.20,95.21,95.65,732954
27-Mar-17,95.33,96.10,94.61,95.80,572022
24-Mar-17,96.05,96.91,95.30,95.72,514617
23-Mar-17,95.58,96.00,94.85,95.23,766765
22-Mar-17,94.53,95.64,93.99,95.57,1076846
21-Mar-17,95.34,95.74,93.24,94.19,1110306
20-Mar-17,95.02,96.34,94.61,95.12,1013585
17-Mar-17,94.43,95.27,93.99,94.69,1982335
16-Mar-17,93.61,94.66,93.53,94.20,843595
15-Mar-17,93.10,93.65,92.64,93.61,784871
14-Mar-17,92.86,93.39,92.05,92.87,712250
13-Mar-17,92.97,93.35,92.41,92.86,1113696
10-Mar-17,92.59,93.22,91.89,93.20,1386573
9-Mar-17,91.77,91.92,91.06,91.79,1022122
8-Mar-17,91.27,91.89,90.79,91.55,1089434
7-Mar-17,90.52,91.43,89.52,91.04,879071
6-Mar-17,90.03,91.06,89.60,90.82,774930
3-Mar-17,90.93,91.02,89.87,90.42,751666
2-Mar-17,91.35,91.58,90.65,90.73,1091305
1-Mar-17,90.66,91.65,89.86,91.44,1314195
28-Feb-17,90.26,90.46,89.78,90.12,989938
27-Feb-17,90.46,90.46,89.51,90.22,437144
24-Feb-17,89.46,90.35,89.11,90.29,762448
23-Feb-17,90.35,90.88,89.34,89.90,808626
22-Feb-17,90.15,90.40,89.56,90.27,836588
21-Feb-17,88.70,90.50,88.30,90.45,1301332
17-Feb-17,88.26,88.47,87.41,88.46,1431179
16-Feb-17,87.91,88.58,87.16,88.53,1936323
15-Feb-17,86.99,87.86,86.69,87.68,743737
14-Feb-17,87.16,87.29,86.36,86.99,1408884
13-Feb-17,86.80,87.48,86.72,87.22,698770
10-Feb-17,86.96,87.24,86.33,86.64,1422066
9-Feb-17,86.85,87.29,86.49,86.74,811672
8-Feb-17,87.76,87.83,86.87,86.87,1031752
7-Feb-17,86.89,87.72,86.89,87.66,1256964
6-Feb-17,87.27,87.90,86.90,87.00,1160861
3-Feb-17,87.91,88.12,87.18,87.59,1298064
2-Feb-17,85.94,87.57,85.33,87.36,1612911
1-Feb-17,85.54,86.06,84.90,86.04,1399605
31-Jan-17,86.23,86.23,84.57,85.11,1492809
30-Jan-17,85.99,86.56,85.18,86.25,1635158
27-Jan-17,85.97,87.96,85.23,86.16,3253500
26-Jan-17,84.65,84.82,82.97,83.25,2715731
25-Jan-17,83.60,85.14,83.13,84.67,2007413
24-Jan-17,82.23,83.05,81.88,82.80,1135093
23-Jan-17,81.69,82.11,81.39,82.10,1029770
20-Jan-17,81.00,81.88,80.68,81.56,965097
19-Jan-17,81.67,81.89,80.82,81.15,911245
18-Jan-17,80.34,81.69,80.03,81.63,1297461
17-Jan-17,81.38,81.38,79.20,80.00,1198991
13-Jan-17,80.13,81.58,80.11,81.44,1148201
12-Jan-17,80.18,80.21,79.47,80.10,903990
11-Jan-17,79.24,80.46,79.02,80.27,1208074
10-Jan-17,79.60,79.70,78.83,79.33,561899
9-Jan-17,79.21,80.10,79.17,79.59,1040649
6-Jan-17,78.63,79.17,77.92,79.13,942696
5-Jan-17,78.76,79.27,77.86,78.42,1317168
4-Jan-17,79.20,79.47,78.43,79.13,1165699
3-Jan-17,78.97,80.45,78.48,79.41,1330860
30-Dec-16,79.29,79.54,78.12,78.68,784268
29-Dec-16,79.58,79.78,78.52,79.29,636150
28-Dec-16,80.96,81.69,79.72,79.76,1057889
27-Dec-16,79.19,80.48,79.09,80.02,733429
23-Dec-16,79.22,79.32,78.53,79.12,488480
22-Dec-16,78.98,79.35,78.38,79.15,1507342
21-Dec-16,79.10,79.33,78.66,78.98,798466
20-Dec-16,79.73,79.99,78.68,78.88,908634
19-Dec-16,79.42,80.68,78.82,79.37,1916370
16-Dec-16,79.62,80.43,77.84,78.19,7673964
15-Dec-16,77.92,80.68,77.34,79.36,2226801
14-Dec-16,79.33,80.45,77.51,77.81,2241095
13-Dec-16,77.58,79.04,77.58,77.97,1356683
12-Dec-16,77.34,77.50,76.56,77.32,1388167
9-Dec-16,79.02,79.02,76.81,77.21,1538866
8-Dec-16,79.25,79.71,78.32,78.85,1031294
7-Dec-16,78.02,80.00,77.90,79.26,1765261
6-Dec-16,76.99,78.37,76.45,78.12,1277247
5-Dec-16,76.26,77.94,76.21,77.03,1402409
2-Dec-16,76.00,76.84,74.66,76.26,2718969
1-Dec-16,79.69,79.97,74.76,75.93,3435433
30-Nov-16,81.78,82.00,79.84,79.84,2218518
29-Nov-16,82.58,82.69,81.65,81.68,1460554
28-Nov-16,81.99,83.14,81.97,82.51,839705
25-Nov-16,81.91,82.28,81.66,82.27,400170
23-Nov-16,83.00,83.00,81.43,81.83,3174246
22-Nov-16,81.21,83.23,81.13,83.04,3431123
21-Nov-16,80.05,81.75,79.74,80.96,1823742
18-Nov-16,79.03,80.24,78.49,80.04,2012282
17-Nov-16,77.88,79.84,77.70,79.05,1670983
16-Nov-16,77.47,77.86,77.24,77.70,930284
15-Nov-16,76.35,77.83,75.44,77.75,1745829
14-Nov-16,75.79,76.43,75.47,75.48,1270883
11-Nov-16,74.24,75.50,74.20,75.46,1010695
10-Nov-16,75.45,76.34,74.28,74.51,1955701
9-Nov-16,74.26,75.68,73.99,75.49,1614761
8-Nov-16,75.67,75.86,75.05,75.53,2535255
7-Nov-16,75.40,75.79,74.65,75.54,2336463
4-Nov-16,74.75,75.19,74.35,74.52,1452936
3-Nov-16,74.86,75.12,74.54,74.68,2100702
2-Nov-16,73.78,75.01,73.51,74.73,2078571
1-Nov-16,75.04,75.19,73.30,73.90,1555572
31-Oct-16,74.80,75.37,74.52,75.11,1934757
28-Oct-16,74.73,75.12,74.10,74.66,1783704
27-Oct-16,75.49,75.50,74.37,74.72,2494687
26-Oct-16,74.50,75.40,74.35,75.29,1878859
25-Oct-16,74.34,75.00,73.87,74.90,3117282
24-Oct-16,73.67,74.61,73.67,74.56,2409794
21-Oct-16,74.98,75.00,72.88,73.64,4214882
20-Oct-16,71.93,72.55,71.11,71.99,3070648
19-Oct-16,72.08,72.17,71.36,71.94,2791766
18-Oct-16,72.47,72.47,71.94,72.09,1475502
17-Oct-16,73.40,73.40,71.78,71.99,2990294
14-Oct-16,71.81,72.36,71.47,71.97,2832301
13-Oct-16,71.58,71.59,70.72,71.34,2704776
12-Oct-16,72.30,72.49,71.45,72.10,2818238
11-Oct-16,73.50,73.67,72.11,72.39,3804966
10-Oct-16,72.99,73.71,72.75,73.54,4908023
7-Oct-16,72.22,72.79,71.46,72.67,7733661
6-Oct-16,71.96,72.40,70.37,71.79,15108929
5-Oct-16,70.43,71.33,70.03,71.21,1659470
4-Oct-16,70.36,70.79,70.02,70.30,1795408
3-Oct-16,69.95,70.98,69.75,70.41,1822580
30-Sep-16,68.90,69.86,68.63,69.71,1466204
29-Sep-16,69.49,69.56,68.43,68.77,3468218
28-Sep-16,70.00,70.24,69.50,69.85,1056367
27-Sep-16,68.94,70.00,68.92,70.00,1227454
26-Sep-16,69.26,69.86,68.76,69.00,846632
23-Sep-16,69.22,69.92,69.18,69.32,553361
22-Sep-16,70.31,70.31,69.32,69.51,1565794
21-Sep-16,69.16,70.21,69.11,69.79,1452669
20-Sep-16,70.03,70.10,69.18,69.18,831259
19-Sep-16,70.40,70.49,69.40,69.69,1206205
16-Sep-16,70.09,70.40,69.43,70.23,1514794
15-Sep-16,68.75,70.41,68.75,70.26,2449557
14-Sep-16,68.99,69.36,68.54,68.90,1011943
13-Sep-16,71.04,71.05,68.50,69.03,1107866
12-Sep-16,69.01,70.66,68.71,70.62,1311062
9-Sep-16,70.19,70.38,69.29,69.43,1687493
8-Sep-16,70.66,70.73,70.18,70.46,973168
7-Sep-16,70.81,70.81,70.00,70.80,1460643
6-Sep-16,70.46,70.63,68.94,70.54,1179187
2-Sep-16,71.00,71.16,69.96,70.20,853026
1-Sep-16,69.56,70.77,69.34,70.74,1935572
31-Aug-16,68.12,69.32,67.94,69.26,2829976
30-Aug-16,68.87,69.03,68.03,68.36,1128562
29-Aug-16,68.58,69.74,68.30,68.73,1967604
26-Aug-16,67.28,67.64,66.89,67.52,1401487
25-Aug-16,67.21,67.47,66.97,67.30,1365572
24-Aug-16,68.00,68.14,67.02,67.17,1322386
23-Aug-16,70.76,71.14,67.71,68.05,2441822
22-Aug-16,70.80,71.22,70.35,70.52,1007467
19-Aug-16,69.90,71.14,69.87,70.95,1636694
18-Aug-16,69.54,69.88,69.40,69.73,608373
17-Aug-16,69.08,69.85,68.65,69.64,1044635
16-Aug-16,69.11,69.38,68.93,69.19,1218423
15-Aug-16,68.28,69.50,68.16,69.44,2021307
12-Aug-16,67.97,68.52,67.23,68.28,2896651
11-Aug-16,69.86,70.16,66.88,67.51,3423726
10-Aug-16,76.45,76.45,69.10,69.47,7369296
9-Aug-16,77.10,77.51,76.76,77.41,269918
8-Aug-16,77.61,77.63,77.02,77.02,516865
5-Aug-16,76.94,77.63,76.80,77.63,431291
4-Aug-16,75.95,76.81,75.95,76.80,401520
3-Aug-16,75.60,76.10,75.56,76.09,1000344
2-Aug-16,76.44,76.50,75.42,75.72,872900
1-Aug-16,75.62,76.58,75.58,76.58,763160
29-Jul-16,77.20,77.39,75.46,75.71,1446336
28-Jul-16,77.38,77.85,76.88,77.45,946068
27-Jul-16,76.98,77.32,76.62,77.00,491625
26-Jul-16,76.82,77.26,76.35,76.99,553845
25-Jul-16,76.09,76.49,75.97,76.49,344831
22-Jul-16,75.72,76.20,75.63,76.06,445515
21-Jul-16,76.47,76.51,75.62,75.74,473702
20-Jul-16,76.00,76.90,75.82,76.67,586708
19-Jul-16,75.70,76.18,75.61,75.95,651005
18-Jul-16,75.31,75.93,75.18,75.93,903964
15-Jul-16,75.38,75.58,74.96,75.13,1643886
14-Jul-16,76.00,76.10,74.87,75.22,1854248
13-Jul-16,75.54,75.89,75.37,75.55,543225
12-Jul-16,74.80,75.37,74.62,75.34,578588
11-Jul-16,73.52,74.56,73.52,74.38,560767
8-Jul-16,72.41,73.90,72.34,73.75,839294
7-Jul-16,72.16,72.90,72.08,72.24,1893686
6-Jul-16,71.96,72.34,71.51,72.26,1895486
5-Jul-16,72.23,72.36,71.68,72.11,1223996
1-Jul-16,73.00,73.11,72.47,72.50,1098739
30-Jun-16,72.37,73.25,72.02,73.25,1819624
29-Jun-16,72.30,73.14,71.55,72.08,1896463
28-Jun-16,71.61,72.20,71.55,71.99,2163501
27-Jun-16,72.19,72.22,70.98,71.27,1237149
24-Jun-16,72.97,74.46,72.50,72.55,1888278
23-Jun-16,74.88,75.17,74.57,74.85,1638338
22-Jun-16,73.96,74.47,73.85,74.30,1321210
21-Jun-16,73.75,74.05,73.66,73.86,1232829
20-Jun-16,73.30,74.01,73.28,73.65,1001155
17-Jun-16,72.79,73.03,72.43,73.03,1710880
16-Jun-16,72.69,73.02,72.30,72.79,594122
15-Jun-16,73.06,73.19,72.62,72.91,558083
14-Jun-16,72.44,72.75,72.16,72.63,508176
13-Jun-16,72.36,72.98,72.26,72.51,787209
10-Jun-16,73.12,73.12,72.56,72.67,717074
9-Jun-16,73.05,73.45,72.62,73.41,466057
8-Jun-16,73.08,73.39,72.81,73.18,593450
7-Jun-16,72.70,73.17,72.69,72.96,630934
6-Jun-16,72.93,73.31,72.68,72.74,749613
3-Jun-16,73.13,73.21,72.64,73.10,654399
2-Jun-16,72.98,73.65,72.74,73.27,1529840
1-Jun-16,72.83,73.19,72.55,73.13,934789
31-May-16,72.81,73.09,72.54,72.93,1157833
27-May-16,71.91,73.14,71.91,72.99,601079
26-May-16,71.68,71.99,71.54,71.92,457181
25-May-16,71.01,71.77,71.01,71.73,709325
24-May-16,70.00,71.08,69.96,70.99,944393
23-May-16,69.61,70.00,69.52,69.75,868436
20-May-16,68.44,69.75,68.37,69.59,1020849
19-May-16,68.00,68.25,67.73,67.88,708778
18-May-16,67.80,68.64,67.80,68.21,823911
17-May-16,67.84,68.24,67.60,67.77,1365052
16-May-16,68.12,68.16,67.32,67.90,1713956
13-May-16,68.66,68.89,68.44,68.60,632760
12-May-16,69.52,69.57,68.49,68.82,684554
11-May-16,69.71,69.97,69.58,69.70,1401972
10-May-16,69.45,69.86,69.12,69.85,683369
9-May-16,69.25,69.57,68.97,69.14,406123
6-May-16,69.19,69.42,68.92,69.36,784516
5-May-16,69.09,69.63,69.07,69.39,1121318
4-May-16,69.18,69.82,69.03,69.10,430310
3-May-16,70.00,70.00,69.38,69.63,880030
2-May-16,70.32,70.32,69.74,70.07,871725
29-Apr-16,70.61,70.67,69.54,69.94,872236
