Date,Open,High,Low,Close,Volume
26-May-17,30.99,31.15,30.70,31.13,2341080
25-May-17,30.61,31.10,30.56,30.93,3920105
24-May-17,30.74,30.79,30.32,30.53,6662236
23-May-17,30.83,31.16,30.68,30.90,5130779
22-May-17,30.27,30.94,30.15,30.85,6575250
19-May-17,30.02,30.56,29.93,30.12,5345805
18-May-17,29.52,30.22,29.48,29.95,3994464
17-May-17,29.23,30.14,29.15,29.44,6219604
16-May-17,30.28,30.34,29.22,29.46,5692563
15-May-17,30.32,30.37,29.99,30.02,3356315
12-May-17,30.24,30.57,30.24,30.29,5234853
11-May-17,30.17,30.41,30.03,30.21,4665560
10-May-17,30.64,30.90,30.15,30.22,4498785
9-May-17,31.82,31.82,30.80,30.85,4535608
8-May-17,33.50,33.50,31.33,31.61,7358182
5-May-17,33.89,34.33,33.80,34.27,1928815
4-May-17,34.57,34.77,33.75,33.83,2745798
3-May-17,35.57,35.65,34.27,34.42,1973439
2-May-17,35.64,35.94,35.19,35.55,1114762
1-May-17,35.56,35.91,35.32,35.69,1243111
28-Apr-17,35.91,35.95,35.33,35.42,1694220
27-Apr-17,36.05,36.26,35.80,35.85,1427938
26-Apr-17,35.84,36.26,35.83,35.94,1514398
25-Apr-17,35.00,35.88,34.26,35.77,1898921
24-Apr-17,35.17,35.40,34.74,34.78,2519715
21-Apr-17,34.80,34.90,34.43,34.53,1569983
20-Apr-17,34.69,35.05,34.64,34.67,2389636
19-Apr-17,34.25,34.62,34.08,34.57,3541085
18-Apr-17,34.07,34.31,33.87,34.12,2377953
17-Apr-17,34.43,34.55,34.13,34.33,1790054
13-Apr-17,34.59,34.72,34.23,34.26,1687639
12-Apr-17,34.56,34.76,34.31,34.57,2306213
11-Apr-17,34.85,35.06,34.28,34.56,2515445
10-Apr-17,35.32,35.58,35.00,35.01,1952201
7-Apr-17,35.41,35.73,35.30,35.33,1504524
6-Apr-17,35.13,35.63,35.02,35.33,1551332
5-Apr-17,34.93,35.87,34.84,35.13,1790918
4-Apr-17,34.72,35.26,34.70,35.00,1501277
3-Apr-17,35.91,36.00,34.74,34.75,2757317
31-Mar-17,35.80,35.95,35.39,35.87,2135957
30-Mar-17,35.16,35.90,35.03,35.70,1773537
29-Mar-17,35.12,35.51,34.91,35.14,2170877
28-Mar-17,35.12,35.45,33.50,35.13,3944934
27-Mar-17,34.98,35.60,34.59,35.50,2370515
24-Mar-17,35.16,35.69,35.04,35.13,2735219
23-Mar-17,35.02,35.79,34.74,35.15,3035240
22-Mar-17,35.65,35.73,34.74,35.17,2508044
21-Mar-17,36.61,36.82,35.42,35.55,2578845
20-Mar-17,37.46,37.64,36.61,36.64,1807390
17-Mar-17,37.43,37.45,36.78,37.36,3175518
16-Mar-17,36.91,37.28,36.69,37.13,2131183
15-Mar-17,35.90,37.61,35.56,36.78,6678825
14-Mar-17,35.96,35.96,35.43,35.79,1839865
13-Mar-17,35.50,36.03,35.40,35.94,2182184
10-Mar-17,35.31,36.30,34.96,35.69,2956967
9-Mar-17,35.33,35.60,35.01,35.29,3238269
8-Mar-17,35.33,36.07,35.10,35.48,2718430
7-Mar-17,35.12,35.43,34.94,35.26,2318915
6-Mar-17,34.92,35.63,34.58,35.24,1845019
3-Mar-17,34.70,34.96,34.41,34.88,1616865
2-Mar-17,35.15,35.15,34.46,34.79,4330471
