Date,Open,High,Low,Close,Volume
31-May-17,29.90,30.01,29.40,29.72,6866501
30-May-17,30.03,30.20,29.84,29.90,2489838
26-May-17,30.00,30.09,29.64,30.08,2217836
25-May-17,29.63,30.08,29.62,29.92,3645420
24-May-17,29.92,29.92,29.38,29.59,4646830
23-May-17,29.83,30.18,29.83,29.98,7091982
22-May-17,29.66,30.07,29.48,29.84,5925168
19-May-17,29.47,29.87,29.24,29.44,4992920
18-May-17,28.88,29.51,28.88,29.24,4538028
17-May-17,28.87,29.42,28.59,28.77,5010741
16-May-17,29.67,29.73,28.74,29.00,5883934
15-May-17,29.54,29.78,29.45,29.49,3246596
12-May-17,29.65,29.91,29.57,29.59,4726350
11-May-17,29.73,29.84,29.51,29.57,5376008
10-May-17,30.27,30.34,29.65,29.67,4847161
9-May-17,30.50,31.30,30.30,30.36,6839034
8-May-17,32.48,32.54,30.82,31.07,8692091
5-May-17,33.40,33.69,33.25,33.58,2789833
4-May-17,33.91,34.08,33.16,33.22,2896970
3-May-17,34.81,34.92,33.67,33.82,2960732
2-May-17,34.91,35.10,34.34,34.76,2638120
1-May-17,34.81,35.04,34.51,34.80,1630943
28-Apr-17,35.11,35.22,34.54,34.61,2376499
27-Apr-17,35.08,35.37,34.93,34.97,1798240
26-Apr-17,35.11,35.40,35.02,35.08,2707713
25-Apr-17,34.20,35.03,33.96,34.99,3833088
24-Apr-17,33.97,34.58,33.92,33.96,3953995
21-Apr-17,34.13,34.20,33.71,33.74,2520261
20-Apr-17,34.12,34.39,33.98,33.98,2202260
19-Apr-17,33.77,34.08,33.50,33.91,2886297
18-Apr-17,33.73,33.73,33.29,33.50,3006377
17-Apr-17,33.90,33.96,33.63,33.74,2163106
13-Apr-17,34.15,34.18,33.67,33.68,2050669
12-Apr-17,33.88,34.23,33.80,34.05,1847716
11-Apr-17,34.25,34.42,33.69,33.97,3188790
10-Apr-17,34.70,35.00,34.37,34.39,1697329
7-Apr-17,34.70,34.93,34.54,34.63,1779656
6-Apr-17,34.49,34.86,34.35,34.55,2195753
