Date,Open,High,Low,Close,Volume
31-May-17,20.55,21.03,20.35,20.96,6781317
30-May-17,20.55,20.73,20.43,20.50,1300641
26-May-17,20.80,21.15,20.40,20.56,805250
25-May-17,20.76,21.11,20.59,20.77,640008
24-May-17,20.99,21.11,20.59,20.73,694181
23-May-17,20.89,21.31,20.70,20.96,1336102
22-May-17,19.98,20.95,19.92,20.88,947175
19-May-17,19.87,20.67,19.82,19.93,1322923
18-May-17,20.31,20.42,19.87,20.03,818587
17-May-17,20.98,21.23,20.16,20.33,1309644
16-May-17,21.15,21.50,21.06,21.15,918294
15-May-17,20.58,21.26,20.46,21.10,716234
12-May-17,20.67,20.72,19.66,20.50,2110689
11-May-17,20.97,21.16,20.41,20.59,1290124
10-May-17,21.43,21.45,21.02,21.07,907112
9-May-17,22.38,22.42,21.41,21.52,1001133
8-May-17,21.20,22.66,19.97,22.40,1863894
5-May-17,20.65,21.18,20.56,21.14,1069274
4-May-17,21.48,21.66,20.39,20.50,2159798
3-May-17,21.72,21.79,21.43,21.55,862478
2-May-17,21.84,22.06,21.48,21.71,1215731
1-May-17,21.92,22.20,21.69,21.84,868754
28-Apr-17,22.14,22.14,21.80,21.84,975978
27-Apr-17,22.40,22.40,21.94,22.11,696819
26-Apr-17,22.31,22.51,22.25,22.41,839309
25-Apr-17,22.50,22.62,22.35,22.37,584793
24-Apr-17,22.55,22.73,22.31,22.42,704109
21-Apr-17,22.59,22.67,22.32,22.39,589957
20-Apr-17,22.59,22.83,22.44,22.61,516139
19-Apr-17,22.71,22.93,22.46,22.52,490655
18-Apr-17,23.06,23.15,22.46,22.54,512850
17-Apr-17,23.29,23.47,22.99,23.20,756747
13-Apr-17,23.59,23.59,23.09,23.25,507930
12-Apr-17,23.39,23.75,23.11,23.54,1295578
11-Apr-17,23.57,23.86,23.27,23.47,563292
10-Apr-17,23.48,23.80,23.45,23.63,283521
7-Apr-17,23.86,23.93,23.33,23.39,380243
6-Apr-17,23.56,24.04,23.53,23.78,468510
5-Apr-17,23.29,23.76,23.15,23.56,833439
4-Apr-17,22.93,23.44,22.92,23.29,505784
3-Apr-17,23.05,23.15,22.54,23.00,864585
31-Mar-17,23.31,23.32,22.67,23.04,641991
30-Mar-17,23.69,23.73,23.19,23.40,668030
29-Mar-17,22.75,23.69,22.59,23.63,940077
28-Mar-17,22.48,23.05,22.20,22.81,651315
27-Mar-17,22.09,22.56,21.97,22.51,680613
24-Mar-17,22.45,22.58,22.12,22.25,765607
23-Mar-17,22.50,22.55,22.14,22.37,843154
22-Mar-17,22.75,22.76,22.25,22.49,1089384
21-Mar-17,23.10,23.12,22.68,22.74,718100
20-Mar-17,23.18,23.28,22.89,23.09,475401
17-Mar-17,23.45,23.50,22.95,23.25,696379
16-Mar-17,23.11,23.55,23.11,23.32,711976
15-Mar-17,22.66,23.20,22.47,23.15,1361476
14-Mar-17,22.64,22.80,22.11,22.58,1079992
13-Mar-17,22.82,23.11,22.63,22.79,541535
10-Mar-17,23.15,23.32,22.85,22.90,1197130
9-Mar-17,23.15,23.30,22.78,23.03,964950
8-Mar-17,23.91,23.91,22.98,23.06,1344453
7-Mar-17,23.85,24.49,23.58,23.81,601951
6-Mar-17,23.65,24.29,23.27,24.23,1044254
3-Mar-17,23.55,23.71,23.32,23.52,547052
2-Mar-17,24.42,24.42,23.50,23.59,675411
1-Mar-17,24.81,24.81,23.91,24.51,753664
28-Feb-17,25.09,25.09,24.49,24.59,674633
27-Feb-17,25.16,25.38,24.98,25.19,521719
24-Feb-17,26.14,26.17,25.13,25.27,596651
23-Feb-17,26.52,26.55,25.70,26.07,649209
22-Feb-17,27.24,27.32,26.34,26.37,505978
21-Feb-17,26.51,27.82,26.50,27.20,1444702
17-Feb-17,25.55,26.66,24.95,26.54,1238425
