Date,Open,High,Low,Close,Volume
31-May-17,21.04,21.31,20.78,21.11,739262
30-May-17,21.18,21.19,20.96,21.01,124422
26-May-17,21.06,21.31,20.83,21.16,243059
25-May-17,21.17,21.43,20.90,21.00,256391
24-May-17,21.34,21.46,20.99,21.15,147961
23-May-17,21.33,21.85,21.23,21.34,261852
22-May-17,20.53,21.39,20.51,21.34,312461
19-May-17,20.20,20.82,20.07,20.51,514126
18-May-17,20.24,20.34,19.80,20.20,345263
17-May-17,21.19,21.40,20.21,20.24,434783
16-May-17,21.59,21.83,21.28,21.35,261119
15-May-17,21.00,21.73,20.98,21.48,206493
12-May-17,21.34,21.40,20.32,21.03,360485
11-May-17,21.50,21.64,20.82,21.29,599884
10-May-17,21.56,21.72,21.12,21.50,603152
9-May-17,22.09,22.10,21.27,21.66,630948
8-May-17,20.68,22.26,19.65,22.07,912743
5-May-17,20.29,20.76,20.25,20.73,475751
4-May-17,21.38,21.41,20.14,20.24,743377
3-May-17,21.35,21.49,21.16,21.40,504325
2-May-17,21.47,21.62,21.05,21.34,308089
1-May-17,21.48,21.80,21.30,21.43,191091
28-Apr-17,21.64,21.70,21.40,21.47,313233
27-Apr-17,21.92,21.92,21.40,21.62,292546
26-Apr-17,21.61,21.94,21.50,21.84,188756
25-Apr-17,21.67,21.90,21.46,21.53,262247
24-Apr-17,22.10,22.17,21.56,21.66,178095
21-Apr-17,22.02,22.02,21.68,21.79,181998
20-Apr-17,22.00,22.18,21.77,21.96,139752
19-Apr-17,22.00,22.25,21.74,21.82,119982
18-Apr-17,22.35,23.00,21.79,21.86,171825
17-Apr-17,22.40,22.67,22.24,22.45,200733
13-Apr-17,22.59,22.59,22.24,22.34,111407
12-Apr-17,22.64,22.76,22.27,22.62,233243
11-Apr-17,22.83,22.89,22.44,22.64,152571
10-Apr-17,22.52,22.94,22.52,22.80,84096
7-Apr-17,23.00,23.21,22.43,22.47,169739
6-Apr-17,22.65,23.18,22.47,22.94,249401
5-Apr-17,22.45,22.83,22.45,22.65,226278
4-Apr-17,22.06,22.53,21.89,22.37,253777
3-Apr-17,22.24,22.29,21.70,22.09,289494
31-Mar-17,22.49,22.49,21.77,22.24,353730
30-Mar-17,22.77,22.88,22.32,22.58,233860
29-Mar-17,21.97,22.88,21.82,22.80,443322
28-Mar-17,21.61,22.12,21.43,22.02,330629
27-Mar-17,21.24,21.67,21.10,21.61,411548
24-Mar-17,21.51,21.81,21.20,21.44,437267
23-Mar-17,21.67,21.72,21.37,21.51,463903
22-Mar-17,22.00,22.09,21.41,21.64,353927
21-Mar-17,22.42,22.56,21.94,22.00,268758
20-Mar-17,22.74,22.74,22.28,22.41,196286
17-Mar-17,22.81,22.81,22.43,22.69,417440
16-Mar-17,22.55,23.00,22.48,22.69,184800
15-Mar-17,22.15,22.60,22.14,22.48,345647
14-Mar-17,22.28,22.28,21.81,22.07,340506
13-Mar-17,22.56,22.75,22.30,22.39,216808
10-Mar-17,22.99,23.00,22.58,22.64,304409
9-Mar-17,23.09,23.19,22.65,22.86,364904
8-Mar-17,23.60,23.64,23.00,23.03,346934
7-Mar-17,24.08,24.26,23.48,23.64,267331
6-Mar-17,23.63,24.18,23.19,24.05,388710
3-Mar-17,23.40,23.77,23.09,23.45,191399
2-Mar-17,24.35,24.35,23.44,23.48,290973
1-Mar-17,24.50,24.62,23.71,24.37,299580
28-Feb-17,25.08,25.12,24.31,24.45,322953
27-Feb-17,25.20,25.51,24.99,25.18,345287
24-Feb-17,26.06,26.20,25.18,25.31,298016
23-Feb-17,26.44,26.62,25.73,26.13,443661
22-Feb-17,27.35,27.46,26.45,26.50,264581
21-Feb-17,26.63,28.11,26.50,27.35,709338
17-Feb-17,25.81,26.90,25.28,26.73,777859
16-Feb-17,23.58,25.95,23.00,25.89,1464021
15-Feb-17,22.36,22.51,22.08,22.29,501605
14-Feb-17,22.67,22.85,22.30,22.48,287652
13-Feb-17,23.31,23.33,22.58,22.62,121785
10-Feb-17,22.76,23.24,22.60,23.20,131474
9-Feb-17,22.55,22.77,22.19,22.66,226938
8-Feb-17,22.98,22.98,22.49,22.55,134350
7-Feb-17,23.34,23.37,22.68,23.01,189932
6-Feb-17,23.44,23.56,23.28,23.32,158780
3-Feb-17,23.02,23.61,23.02,23.54,177527
2-Feb-17,22.79,22.92,22.59,22.90,192860
1-Feb-17,23.10,23.32,22.61,22.90,182779
31-Jan-17,23.07,23.19,22.73,23.02,319881
30-Jan-17,23.28,23.56,22.69,23.08,377851
27-Jan-17,23.44,23.86,23.14,23.35,614794
26-Jan-17,23.10,23.57,23.10,23.36,378675
25-Jan-17,22.81,23.16,22.70,23.10,249127
24-Jan-17,22.66,23.07,22.51,22.72,222975
23-Jan-17,22.61,22.72,22.39,22.64,177280
20-Jan-17,22.68,22.91,22.30,22.59,160669
19-Jan-17,22.47,22.53,22.19,22.51,146051
18-Jan-17,23.04,23.04,22.34,22.51,232229
17-Jan-17,22.66,23.07,22.65,22.93,183926
13-Jan-17,22.43,22.81,22.40,22.65,133884
12-Jan-17,22.15,22.42,21.86,22.38,189410
11-Jan-17,22.55,22.58,21.94,22.18,180142
10-Jan-17,22.91,22.91,22.52,22.53,115568
9-Jan-17,23.40,23.40,22.93,22.96,159824
6-Jan-17,23.72,23.85,23.14,23.35,268239
5-Jan-17,23.55,23.86,23.47,23.62,224961
4-Jan-17,23.27,23.62,23.09,23.59,301328
3-Jan-17,22.10,23.55,22.10,23.31,417790
30-Dec-16,22.23,22.23,21.76,21.96,264104
29-Dec-16,22.60,22.80,22.16,22.26,221692
28-Dec-16,22.67,22.67,22.31,22.60,276366
27-Dec-16,22.76,23.15,22.54,22.65,291719
23-Dec-16,22.44,22.95,22.27,22.66,147434
22-Dec-16,22.37,22.66,22.04,22.45,580437
21-Dec-16,21.87,22.31,21.79,22.30,429592
20-Dec-16,22.25,22.48,21.80,21.95,287961
19-Dec-16,22.04,22.29,21.80,22.20,550508
16-Dec-16,21.98,22.24,21.91,22.06,1349835
15-Dec-16,22.18,22.47,21.80,22.04,409955
14-Dec-16,21.56,22.37,21.53,22.15,345340
13-Dec-16,20.20,21.82,20.03,21.68,981787
12-Dec-16,20.67,20.90,20.03,20.15,513497
9-Dec-16,21.21,21.46,20.65,20.85,317788
8-Dec-16,21.24,21.41,20.78,21.15,1020870
7-Dec-16,20.93,21.32,20.79,21.18,1328853
6-Dec-16,21.31,21.60,20.87,21.02,378143
5-Dec-16,21.17,21.38,20.96,21.33,441789
2-Dec-16,20.94,21.19,20.63,21.09,550846
1-Dec-16,21.49,21.64,20.87,21.02,564646
30-Nov-16,22.10,22.40,21.55,21.58,435828
29-Nov-16,22.55,22.90,22.09,22.10,251099
28-Nov-16,22.46,22.66,22.22,22.48,285512
25-Nov-16,21.90,22.59,21.71,22.55,112489
23-Nov-16,21.71,21.98,21.33,21.95,159391
22-Nov-16,22.01,22.08,21.64,21.69,411418
21-Nov-16,21.03,22.01,21.03,21.85,453029
18-Nov-16,20.18,21.14,20.17,20.98,294445
17-Nov-16,20.00,20.29,19.93,20.20,387584
16-Nov-16,20.21,20.25,19.90,20.09,191155
15-Nov-16,20.45,20.50,20.03,20.17,197114
14-Nov-16,20.31,20.73,20.16,20.36,487589
11-Nov-16,20.20,20.26,19.86,20.21,614389
10-Nov-16,20.39,20.74,20.02,20.20,778026
9-Nov-16,20.13,20.59,19.99,20.42,717677
8-Nov-16,19.91,20.47,19.90,20.27,1066969
7-Nov-16,19.51,20.26,19.51,19.91,1486742
4-Nov-16,26.45,26.45,19.10,19.10,3912546
3-Nov-16,27.05,27.37,26.44,26.52,286193
2-Nov-16,27.26,27.73,26.95,27.05,215902
1-Nov-16,27.67,27.81,27.17,27.40,189412
31-Oct-16,27.15,27.77,26.98,27.64,322067
28-Oct-16,26.92,27.41,26.74,27.16,441231
27-Oct-16,27.13,27.15,26.60,26.84,114955
26-Oct-16,27.19,27.28,26.69,27.04,244719
25-Oct-16,27.42,27.68,27.17,27.27,226137
24-Oct-16,27.59,27.82,27.40,27.55,159530
21-Oct-16,27.36,27.80,27.32,27.62,112811
20-Oct-16,27.88,27.89,27.45,27.59,73266
19-Oct-16,27.66,27.98,27.50,27.92,150088
18-Oct-16,27.89,27.95,27.68,27.72,110633
17-Oct-16,27.72,27.81,27.56,27.66,244204
14-Oct-16,27.88,28.11,27.64,27.71,139935
13-Oct-16,27.95,28.18,27.69,27.86,170036
12-Oct-16,28.02,28.13,27.78,27.99,179406
11-Oct-16,28.05,28.18,27.89,27.91,299991
10-Oct-16,28.07,28.13,28.02,28.07,100967
7-Oct-16,27.98,28.18,27.93,28.03,438020
6-Oct-16,28.33,28.33,27.85,27.95,409086
5-Oct-16,28.38,28.68,28.22,28.38,271755
4-Oct-16,28.18,28.42,28.02,28.24,445200
3-Oct-16,27.45,28.10,27.45,28.06,274060
30-Sep-16,27.75,28.12,27.54,27.59,373702
29-Sep-16,27.94,28.21,27.75,27.82,301440
28-Sep-16,27.81,28.09,27.71,28.09,247126
27-Sep-16,28.12,28.24,27.72,27.76,360625
26-Sep-16,28.06,28.18,27.58,28.05,376841
23-Sep-16,28.34,28.48,27.99,28.24,352182
22-Sep-16,28.56,28.91,28.44,28.46,251613
21-Sep-16,28.85,29.30,28.43,28.61,239131
20-Sep-16,28.89,29.22,28.32,28.91,104372
19-Sep-16,28.71,29.23,28.63,28.90,192561
16-Sep-16,29.09,29.39,28.19,28.64,1088172
15-Sep-16,28.80,29.38,28.71,29.26,152640
