Date,Open,High,Low,Close,Volume
19-May-17,50.75,51.35,50.75,50.91,414948
18-May-17,50.32,51.16,50.21,50.75,450016
17-May-17,51.74,51.87,50.37,50.45,866500
16-May-17,51.96,52.08,51.58,51.93,538599
15-May-17,52.02,52.31,51.63,51.89,556594
12-May-17,51.82,52.16,51.56,52.03,711123
11-May-17,51.50,52.12,51.34,52.00,928205
10-May-17,52.23,52.23,51.50,51.75,745547
9-May-17,52.50,52.50,51.42,52.05,759609
8-May-17,52.78,52.78,51.46,51.87,586114
5-May-17,52.02,52.80,51.73,52.76,1213158
4-May-17,52.04,52.13,51.12,51.76,1073576
3-May-17,53.56,53.56,51.48,51.91,800579
2-May-17,54.18,54.18,53.18,53.66,585019
1-May-17,53.91,54.30,53.55,54.10,553717
28-Apr-17,54.36,54.52,53.37,53.85,609461
27-Apr-17,54.99,54.99,54.19,54.27,504129
26-Apr-17,53.68,54.51,53.64,54.10,927510
25-Apr-17,53.20,53.56,52.16,53.49,847910
24-Apr-17,52.92,53.17,52.46,52.91,1053288
21-Apr-17,51.95,52.28,51.61,52.23,896062
20-Apr-17,51.43,52.12,51.28,51.76,822233
19-Apr-17,51.03,51.84,50.74,51.34,705520
18-Apr-17,51.16,51.16,50.49,50.94,734745
17-Apr-17,51.05,51.25,50.56,51.16,804760
13-Apr-17,52.01,52.01,50.85,50.87,724012
12-Apr-17,52.39,52.66,51.59,51.97,1449500
11-Apr-17,52.44,52.92,52.01,52.42,1180311
10-Apr-17,51.74,52.81,51.57,52.51,1285723
7-Apr-17,51.99,52.29,51.49,51.68,1164857
6-Apr-17,51.54,52.00,51.25,51.97,1033181
5-Apr-17,51.08,52.17,50.47,51.40,3167905
4-Apr-17,47.40,50.82,47.01,50.43,7105499
3-Apr-17,44.52,44.90,44.13,44.51,611005
31-Mar-17,44.41,44.98,44.24,44.48,846705
30-Mar-17,44.26,44.56,44.03,44.50,272500
29-Mar-17,43.74,44.23,43.69,44.16,254786
28-Mar-17,43.64,44.00,43.46,43.81,386374
27-Mar-17,43.16,43.76,42.66,43.66,359680
24-Mar-17,43.54,43.88,43.22,43.42,274513
23-Mar-17,42.59,43.36,42.30,43.29,253604
22-Mar-17,42.65,43.04,42.39,42.66,352304
21-Mar-17,44.05,44.08,42.44,42.60,522925
