Date,Open,High,Low,Close,Volume
19-May-17,22.08,22.33,21.93,22.15,6653855
18-May-17,22.21,22.21,21.83,22.08,5855457
17-May-17,22.14,22.49,21.92,22.16,6600721
16-May-17,22.46,22.78,22.35,22.65,8264826
15-May-17,22.74,22.81,22.33,22.46,5214878
12-May-17,22.27,22.79,22.22,22.68,5713178
11-May-17,22.43,22.50,22.13,22.41,4442075
10-May-17,22.33,22.68,22.26,22.58,3790531
9-May-17,22.20,22.48,22.02,22.43,3565757
8-May-17,22.13,22.28,22.01,22.22,3566110
5-May-17,21.86,22.16,21.79,22.12,3195011
4-May-17,21.77,21.96,21.61,21.78,4867726
3-May-17,22.09,22.12,21.57,21.74,5745742
2-May-17,22.00,22.14,21.90,22.06,5732073
1-May-17,22.51,22.51,21.98,21.99,6162342
28-Apr-17,22.45,22.61,22.20,22.42,5191792
27-Apr-17,22.44,22.60,22.27,22.57,5534777
26-Apr-17,22.10,22.63,22.08,22.39,7424686
25-Apr-17,21.61,22.21,21.60,22.13,11136627
24-Apr-17,22.03,22.05,21.55,21.60,13033284
21-Apr-17,23.75,24.08,21.78,21.79,36906553
20-Apr-17,25.23,25.42,25.04,25.21,5697284
19-Apr-17,25.37,25.57,25.03,25.11,3873650
18-Apr-17,25.13,25.35,25.07,25.24,2574588
17-Apr-17,25.09,25.26,24.95,25.24,3135276
13-Apr-17,25.74,25.78,25.01,25.01,4047281
12-Apr-17,25.68,25.97,25.62,25.73,4888728
11-Apr-17,25.39,25.74,25.20,25.73,2671672
10-Apr-17,24.92,25.41,24.92,25.39,3063256
7-Apr-17,25.35,25.39,24.88,24.92,3906436
6-Apr-17,25.16,25.52,25.10,25.33,3071869
5-Apr-17,25.00,25.55,24.96,25.14,3687940
4-Apr-17,25.47,25.60,24.87,24.97,3940206
3-Apr-17,25.65,25.84,25.44,25.54,4213037
31-Mar-17,25.43,25.77,25.41,25.61,3357150
30-Mar-17,25.35,25.50,25.22,25.40,3662519
29-Mar-17,25.38,25.45,25.06,25.36,4252632
28-Mar-17,25.05,25.60,25.05,25.44,5066750
27-Mar-17,25.03,25.21,24.72,25.16,3839065
24-Mar-17,25.11,25.26,24.96,25.16,2947288
23-Mar-17,25.04,25.19,24.95,25.08,3240821
22-Mar-17,24.96,25.09,24.60,25.06,6100622
21-Mar-17,25.48,25.54,24.87,24.96,8784755
20-Mar-17,25.65,25.66,25.19,25.31,4001467
17-Mar-17,25.56,25.78,25.44,25.66,7630849
16-Mar-17,25.59,25.68,25.08,25.37,4015372
15-Mar-17,25.27,25.65,25.00,25.59,3127493
14-Mar-17,25.33,25.45,25.11,25.18,2901959
13-Mar-17,25.61,25.63,25.31,25.46,4049188
10-Mar-17,25.41,25.57,25.23,25.54,4226809
9-Mar-17,25.16,25.24,24.92,25.20,3182619
8-Mar-17,25.05,25.27,24.99,25.13,2107992
7-Mar-17,25.40,25.49,25.00,25.02,3856052
6-Mar-17,25.41,25.54,25.28,25.47,2825100
3-Mar-17,25.37,25.49,25.19,25.45,3426525
2-Mar-17,25.54,25.68,25.34,25.36,4137124
1-Mar-17,25.93,26.02,25.45,25.55,5345042
28-Feb-17,26.00,26.04,25.67,25.73,5800261
27-Feb-17,25.66,26.12,25.48,26.00,5490723
24-Feb-17,25.47,25.82,25.30,25.76,3837186
23-Feb-17,25.85,25.86,25.47,25.53,6572881
22-Feb-17,25.88,25.88,25.41,25.77,5720309
21-Feb-17,26.10,26.30,25.65,25.79,4651977
17-Feb-17,25.67,26.15,25.57,26.10,7937211
16-Feb-17,26.00,26.13,25.58,25.67,5088342
15-Feb-17,25.63,26.09,25.61,26.00,5486838
14-Feb-17,26.28,26.30,25.54,25.69,6512154
13-Feb-17,25.90,26.05,25.55,25.91,5785490
10-Feb-17,25.96,25.99,25.56,25.73,6232135
9-Feb-17,26.00,26.23,25.78,25.83,8169451
8-Feb-17,25.94,26.15,25.73,25.95,5728838
7-Feb-17,26.02,26.80,25.83,25.88,8394798
6-Feb-17,26.18,26.29,25.91,25.92,5387707
3-Feb-17,25.85,25.94,25.54,25.82,5456849
2-Feb-17,25.59,25.87,25.17,25.77,5950186
1-Feb-17,26.28,26.28,25.35,25.51,7508840
31-Jan-17,26.29,26.33,25.97,26.21,10503199
30-Jan-17,26.71,26.71,25.83,26.32,7435932
27-Jan-17,26.05,26.89,25.95,26.49,11030734
26-Jan-17,27.27,27.84,25.79,25.99,36063554
25-Jan-17,31.23,31.60,31.22,31.56,4480553
24-Jan-17,30.26,31.23,30.25,31.19,3839242
23-Jan-17,30.09,30.51,29.69,30.24,2647611
20-Jan-17,30.20,30.46,29.88,30.02,3325533
19-Jan-17,30.55,30.74,30.05,30.07,2654683
18-Jan-17,31.00,31.20,30.30,30.47,4145060
17-Jan-17,29.80,31.22,29.61,30.91,5222422
13-Jan-17,29.62,29.78,29.41,29.52,2322764
12-Jan-17,29.35,29.75,28.98,29.59,3172398
11-Jan-17,29.94,30.06,29.28,29.51,3658674
10-Jan-17,30.50,30.50,29.89,29.91,4978440
9-Jan-17,30.38,30.80,30.24,30.52,5243085
6-Jan-17,30.99,31.10,30.41,30.47,5796369
5-Jan-17,29.06,31.00,28.94,30.94,9672413
4-Jan-17,28.58,29.40,28.51,29.26,4972658
3-Jan-17,27.67,28.51,27.60,28.48,5158504
30-Dec-16,27.74,27.76,27.44,27.55,2503869
29-Dec-16,27.64,27.85,27.36,27.63,3604120
28-Dec-16,27.88,27.89,27.54,27.59,2635805
27-Dec-16,28.43,28.54,27.78,27.83,3875630
23-Dec-16,28.47,28.49,28.22,28.34,1949869
22-Dec-16,28.51,28.65,27.27,28.34,7670112
21-Dec-16,29.00,29.03,28.29,28.52,2938225
20-Dec-16,28.51,29.00,28.45,28.90,4106069
19-Dec-16,28.41,28.88,28.21,28.36,4817901
16-Dec-16,29.38,29.42,28.69,28.81,5967978
15-Dec-16,29.80,29.81,28.78,29.07,5113789
14-Dec-16,29.68,29.88,29.46,29.65,3547701
13-Dec-16,29.44,29.83,29.25,29.65,2975237
