Date,Open,High,Low,Close,Volume
31-May-17,83.09,84.00,82.48,83.30,2546454
30-May-17,81.82,82.86,81.70,82.51,2492738
26-May-17,81.49,81.79,81.06,81.70,1806639
25-May-17,82.00,82.36,81.58,81.77,2383756
24-May-17,81.53,81.81,81.08,81.66,1871277
23-May-17,81.27,81.94,80.64,81.35,1922465
22-May-17,80.29,81.32,80.18,81.11,1689956
19-May-17,79.48,80.42,79.37,80.18,1766677
18-May-17,78.39,79.75,77.88,79.34,2616604
17-May-17,80.90,81.22,78.24,78.34,2899599
16-May-17,79.92,81.73,79.71,81.63,2588862
15-May-17,79.06,80.14,78.97,80.13,2269525
12-May-17,79.00,79.27,78.62,79.00,1922280
11-May-17,78.39,79.56,77.97,79.04,3706226
10-May-17,79.89,80.20,77.67,78.51,6538264
9-May-17,75.46,76.48,75.18,76.45,3838349
8-May-17,75.33,75.83,74.86,75.46,2215013
5-May-17,75.37,75.37,74.55,75.17,2147977
4-May-17,75.34,75.64,74.83,75.01,2306903
3-May-17,75.53,75.76,74.97,75.25,2452097
2-May-17,76.10,76.15,75.12,75.69,2194353
1-May-17,75.92,76.26,75.05,76.16,1240874
28-Apr-17,76.72,76.72,75.41,75.58,2217785
27-Apr-17,76.55,77.32,76.46,76.75,2070403
26-Apr-17,76.73,76.80,75.75,76.15,2319241
25-Apr-17,76.00,76.80,75.76,76.73,2741204
24-Apr-17,75.48,76.10,75.11,75.95,1611895
21-Apr-17,74.76,75.00,73.87,74.43,2963886
20-Apr-17,75.51,75.96,75.15,75.63,3209247
19-Apr-17,74.54,75.43,74.47,74.86,3279068
18-Apr-17,72.60,74.31,72.56,74.13,2330433
17-Apr-17,72.55,73.18,72.36,73.02,1431066
13-Apr-17,72.02,72.89,71.91,72.24,2721986
12-Apr-17,72.63,72.70,71.71,72.15,3231723
11-Apr-17,73.04,73.13,71.40,72.66,3510998
10-Apr-17,74.06,74.37,73.28,73.41,1908303
7-Apr-17,73.56,74.26,73.27,74.06,2489022
6-Apr-17,72.90,73.81,72.12,73.52,2064997
5-Apr-17,73.53,74.47,72.81,73.02,1945676
4-Apr-17,73.76,74.60,73.24,73.45,2198898
3-Apr-17,73.94,74.46,72.46,73.21,2101700
31-Mar-17,73.71,74.33,73.00,73.78,2373069
30-Mar-17,73.63,74.37,73.50,73.88,1326106
29-Mar-17,73.14,73.88,73.01,73.68,2546298
28-Mar-17,72.81,74.04,72.62,73.50,2031243
27-Mar-17,72.60,73.42,71.88,72.82,1899805
24-Mar-17,73.59,74.12,72.95,73.15,2015657
23-Mar-17,73.38,73.38,72.48,72.75,1786447
22-Mar-17,72.51,73.69,72.35,73.50,2236946
21-Mar-17,74.63,74.82,72.23,72.34,2579338
20-Mar-17,74.40,74.78,74.21,74.35,1430613
17-Mar-17,74.48,74.86,74.14,74.28,3404495
16-Mar-17,74.75,74.90,73.84,74.12,1696804
15-Mar-17,74.17,74.65,73.68,74.52,2247355
14-Mar-17,74.31,74.31,73.71,73.99,1786644
13-Mar-17,74.08,74.58,73.87,74.50,1616403
10-Mar-17,74.11,74.39,73.75,73.95,1530945
9-Mar-17,73.43,73.62,73.02,73.48,1715395
8-Mar-17,74.12,74.63,73.39,73.53,3535920
7-Mar-17,73.85,74.48,73.40,73.84,4417168
6-Mar-17,72.87,74.20,72.62,73.92,3590023
3-Mar-17,73.12,73.37,72.71,73.30,2373561
2-Mar-17,73.31,73.83,72.75,73.01,3085181
1-Mar-17,73.24,73.80,72.23,73.64,5526434
28-Feb-17,72.94,73.22,72.10,72.52,5667408
27-Feb-17,72.71,73.15,72.42,73.13,3338946
24-Feb-17,72.24,72.90,71.84,72.83,2793551
23-Feb-17,73.04,73.10,72.34,72.71,4276506
22-Feb-17,72.51,73.13,72.24,73.04,4322987
21-Feb-17,71.89,72.53,71.75,72.48,3901027
17-Feb-17,71.54,71.70,71.06,71.68,2295182
16-Feb-17,71.55,71.75,70.97,71.71,3261731
15-Feb-17,70.96,72.06,70.72,71.90,5638432
14-Feb-17,70.63,71.32,70.18,70.78,5396933
13-Feb-17,71.04,71.53,70.41,70.66,7496230
10-Feb-17,70.54,71.02,69.76,70.90,17639819
9-Feb-17,72.10,73.50,70.62,70.93,30441149
8-Feb-17,76.50,76.50,73.02,73.80,11809394
7-Feb-17,69.28,69.65,69.03,69.62,2322197
6-Feb-17,69.15,69.43,68.83,69.17,2244125
3-Feb-17,69.22,69.73,68.49,69.43,1849592
2-Feb-17,67.83,68.83,67.44,68.78,1760664
1-Feb-17,67.71,68.52,67.37,68.41,1937986
31-Jan-17,68.83,68.86,66.85,67.35,2398735
30-Jan-17,68.65,69.09,67.77,69.06,1652640
27-Jan-17,67.95,68.78,67.83,68.76,1420391
26-Jan-17,68.94,68.94,67.58,67.63,2653948
25-Jan-17,68.40,69.02,68.25,68.82,2127920
24-Jan-17,67.34,67.96,67.06,67.90,1752435
23-Jan-17,66.72,67.20,66.37,67.03,1758848
20-Jan-17,65.96,66.97,65.85,66.93,1952148
19-Jan-17,66.30,67.19,65.60,65.69,1595269
18-Jan-17,65.21,66.65,65.03,66.50,3159702
17-Jan-17,66.02,66.13,64.68,64.95,1485877
13-Jan-17,66.62,66.70,66.23,66.34,1382101
12-Jan-17,66.36,66.63,65.47,66.48,2440938
11-Jan-17,64.69,66.51,64.50,66.48,3248988
10-Jan-17,64.42,64.98,64.12,64.85,1158323
9-Jan-17,63.61,64.82,63.61,64.42,1953684
6-Jan-17,62.75,63.93,62.52,63.68,1368553
5-Jan-17,63.54,63.83,62.21,62.59,2712415
4-Jan-17,64.07,64.13,63.45,63.82,2230320
3-Jan-17,64.51,64.98,63.17,63.85,2553895
30-Dec-16,65.05,65.05,63.81,64.15,1006715
29-Dec-16,64.65,65.00,64.41,64.76,1241958
28-Dec-16,65.51,65.66,64.66,64.67,843672
27-Dec-16,65.36,66.06,65.31,65.40,898131
23-Dec-16,65.11,65.42,64.88,65.40,520347
22-Dec-16,65.53,65.53,64.83,65.38,1190829
21-Dec-16,65.46,65.71,64.76,65.17,1043011
20-Dec-16,65.36,65.78,65.01,65.30,1108509
19-Dec-16,64.57,65.49,64.48,65.01,1006691
16-Dec-16,66.19,66.24,64.42,64.53,2881311
15-Dec-16,65.32,66.29,64.90,65.83,3159124
14-Dec-16,64.96,65.60,64.90,65.05,1600794
13-Dec-16,64.18,65.40,64.01,65.10,1325631
12-Dec-16,64.37,64.58,62.95,63.61,1670508
9-Dec-16,65.32,65.36,64.14,64.53,1455713
8-Dec-16,64.56,65.27,64.19,65.19,1822343
7-Dec-16,63.52,64.59,63.04,64.50,1628599
6-Dec-16,63.22,63.70,62.98,63.49,2150219
5-Dec-16,62.73,63.71,62.39,63.23,2936764
2-Dec-16,61.19,62.70,60.85,62.05,2732365
1-Dec-16,66.33,66.39,60.77,61.23,8812416
30-Nov-16,66.01,66.76,65.54,66.18,3249798
29-Nov-16,65.76,66.32,65.49,66.03,1942515
28-Nov-16,65.98,66.81,65.64,65.90,2033614
25-Nov-16,65.96,66.25,65.84,66.08,625856
23-Nov-16,65.50,66.12,65.28,66.11,1712266
22-Nov-16,65.18,65.66,64.84,65.57,2328931
21-Nov-16,64.90,65.61,64.62,65.20,2913165
18-Nov-16,65.16,65.45,64.26,64.57,3068394
17-Nov-16,65.31,65.90,64.84,65.45,1578717
16-Nov-16,64.77,65.73,64.50,65.65,1831741
15-Nov-16,63.63,65.26,63.46,65.19,2296322
14-Nov-16,63.68,63.81,63.10,63.53,2413787
11-Nov-16,62.44,63.21,62.16,63.15,2409663
10-Nov-16,64.54,65.42,62.11,62.44,5048491
9-Nov-16,62.21,64.72,61.55,64.31,3321176
8-Nov-16,65.23,65.61,63.19,63.96,5088329
7-Nov-16,61.12,62.33,60.90,62.23,3442573
4-Nov-16,59.52,60.52,59.45,60.22,2109182
3-Nov-16,59.98,60.18,59.38,59.63,1211736
2-Nov-16,60.22,60.68,59.78,59.86,2063125
1-Nov-16,60.80,60.89,59.50,60.18,1993644
31-Oct-16,60.69,61.21,60.53,60.55,2411189
28-Oct-16,60.46,61.02,60.09,60.30,1062994
27-Oct-16,60.75,61.42,60.14,60.36,1613099
26-Oct-16,60.53,60.76,60.11,60.55,1552009
25-Oct-16,60.66,61.18,60.59,60.91,1654527
24-Oct-16,59.93,60.70,59.93,60.64,1159332
21-Oct-16,59.41,59.66,58.79,59.50,1004103
20-Oct-16,59.81,60.08,59.10,59.71,1301240
19-Oct-16,58.72,60.27,58.42,60.01,3082560
18-Oct-16,59.41,59.63,58.79,58.86,1740502
17-Oct-16,58.90,59.41,58.66,58.70,1347405
14-Oct-16,58.78,59.74,58.48,59.00,2029392
13-Oct-16,58.53,58.53,57.52,58.41,2022806
12-Oct-16,59.51,59.59,58.47,59.00,2898443
11-Oct-16,61.10,61.40,59.08,59.69,2434295
10-Oct-16,62.30,62.56,61.22,61.31,1362412
7-Oct-16,62.60,62.60,61.52,62.06,1184762
6-Oct-16,62.12,62.60,61.78,62.58,1516891
5-Oct-16,61.66,62.60,61.50,62.12,1401918
4-Oct-16,61.78,62.20,61.12,61.32,1282258
3-Oct-16,62.06,62.43,61.65,61.82,1216755
30-Sep-16,62.11,62.73,61.84,62.14,2632626
29-Sep-16,61.65,62.38,60.89,61.97,1971794
28-Sep-16,61.41,61.78,61.08,61.65,1335023
27-Sep-16,60.31,61.39,60.00,61.32,1529797
26-Sep-16,60.50,60.75,60.10,60.47,956099
23-Sep-16,61.24,61.34,60.60,60.64,985163
22-Sep-16,61.55,61.84,60.57,61.18,1690761
21-Sep-16,60.52,61.17,60.32,61.12,1424394
20-Sep-16,60.79,60.84,60.07,60.20,1487450
19-Sep-16,60.73,61.29,60.30,60.59,1232358
16-Sep-16,60.41,60.74,59.62,60.31,3382650
15-Sep-16,59.48,60.89,59.33,60.44,2934701
14-Sep-16,59.08,59.56,58.60,59.41,1411543
13-Sep-16,59.58,59.96,58.87,59.13,2435742
12-Sep-16,58.38,59.99,58.15,59.86,1953587
9-Sep-16,60.16,60.38,58.32,58.52,2946793
8-Sep-16,60.76,60.95,60.30,60.66,1752398
7-Sep-16,61.48,61.86,60.55,60.78,5061084
6-Sep-16,62.81,63.11,61.80,62.27,2755192
2-Sep-16,62.74,63.00,62.26,62.69,1865950
1-Sep-16,62.10,62.80,61.56,62.80,3413443
31-Aug-16,61.57,61.99,61.15,61.91,2265537
30-Aug-16,61.77,62.24,61.25,61.43,1516308
29-Aug-16,61.67,62.00,61.56,61.60,1116409
26-Aug-16,61.22,62.24,61.19,61.58,1537357
25-Aug-16,61.04,61.63,60.90,61.13,1770413
24-Aug-16,61.15,61.45,60.88,61.02,1457406
23-Aug-16,61.57,61.91,61.37,61.40,1740939
22-Aug-16,60.95,61.33,60.92,61.27,1234836
19-Aug-16,61.29,61.82,61.05,61.30,1705650
18-Aug-16,60.79,61.32,60.50,61.23,1736806
17-Aug-16,60.76,61.00,60.30,60.95,1117348
16-Aug-16,60.89,61.28,60.59,60.83,1397667
15-Aug-16,60.78,61.27,60.53,61.21,2375692
12-Aug-16,61.52,61.52,60.28,60.51,1470643
11-Aug-16,60.37,60.86,60.16,60.77,2574730
10-Aug-16,60.61,60.85,60.18,60.35,3542228
9-Aug-16,59.63,61.97,59.46,60.63,8230753
8-Aug-16,56.60,57.13,56.52,56.63,1953194
5-Aug-16,55.97,56.57,55.84,56.56,2003162
4-Aug-16,55.40,55.82,55.35,55.75,1787636
3-Aug-16,54.91,55.38,54.82,55.33,1585595
2-Aug-16,55.58,55.75,54.51,54.98,1813015
1-Aug-16,56.04,56.24,55.56,55.81,2159141
29-Jul-16,56.84,56.94,55.64,55.64,3721959
28-Jul-16,57.00,57.31,56.29,56.69,1668771
27-Jul-16,57.54,57.54,56.36,57.08,3222590
26-Jul-16,54.75,58.74,54.31,57.34,6199087
25-Jul-16,53.68,54.53,53.68,54.27,1734129
22-Jul-16,53.91,54.22,53.33,54.17,1615869
21-Jul-16,54.15,54.32,53.63,53.80,1718544
20-Jul-16,53.95,54.52,53.64,54.34,1490646
19-Jul-16,53.79,53.95,53.45,53.71,1341105
18-Jul-16,54.60,54.67,53.87,54.04,1554737
15-Jul-16,53.71,53.97,53.39,53.77,5844890
14-Jul-16,53.80,54.04,53.38,53.61,1514110
13-Jul-16,53.34,53.70,53.14,53.25,1778898
12-Jul-16,52.68,53.22,52.68,53.10,1826929
11-Jul-16,52.60,52.60,51.92,52.35,2199521
8-Jul-16,50.87,51.93,50.77,51.87,1561015
7-Jul-16,49.67,52.03,49.67,50.40,1957845
6-Jul-16,49.60,49.72,48.97,49.49,2513594
5-Jul-16,50.16,50.16,49.38,49.84,2147482
1-Jul-16,50.59,50.72,50.04,50.42,1450892
30-Jun-16,49.78,50.81,49.50,50.76,3357183
