Date,Open,High,Low,Close,Volume
19-May-17,45.00,45.79,44.87,45.73,6900586
18-May-17,44.75,45.22,44.60,45.00,6291119
17-May-17,45.54,45.64,44.84,44.86,9529880
16-May-17,45.80,45.90,45.32,45.51,10171597
15-May-17,45.11,45.89,44.87,45.81,11000691
12-May-17,44.59,44.98,44.25,44.87,7421896
11-May-17,44.93,44.93,44.22,44.66,5402924
10-May-17,44.31,44.50,43.96,44.25,5779465
9-May-17,44.53,44.65,44.20,44.30,5785249
8-May-17,44.77,45.01,44.46,44.59,7633026
5-May-17,45.18,45.39,44.61,44.83,7279657
4-May-17,45.25,45.72,44.81,45.05,10566756
3-May-17,45.00,45.88,44.82,45.03,12416370
2-May-17,44.22,44.24,43.46,43.74,13098165
1-May-17,45.04,45.12,44.02,44.06,9300523
28-Apr-17,45.03,45.10,44.77,45.03,4096969
27-Apr-17,45.16,45.39,44.94,45.00,5047009
26-Apr-17,45.57,45.66,45.08,45.12,5464300
25-Apr-17,45.42,45.67,45.39,45.51,6259371
24-Apr-17,45.25,45.66,45.13,45.39,8241347
21-Apr-17,44.98,45.06,44.82,44.94,5962197
20-Apr-17,44.72,45.25,44.46,44.98,4911730
19-Apr-17,44.80,44.93,44.56,44.62,4718511
18-Apr-17,44.20,44.90,44.13,44.74,6478145
17-Apr-17,44.22,44.29,43.98,44.14,4854363
13-Apr-17,44.49,44.55,44.04,44.04,3970291
12-Apr-17,43.84,44.47,43.79,44.39,4753490
11-Apr-17,44.29,44.50,43.94,44.06,5484046
10-Apr-17,44.23,44.56,44.16,44.40,6773694
7-Apr-17,44.13,44.38,43.94,44.18,5818047
6-Apr-17,43.94,44.30,43.66,44.11,7271955
5-Apr-17,43.57,44.41,43.46,44.01,8553659
4-Apr-17,43.64,43.73,43.21,43.46,9833255
3-Apr-17,43.23,43.30,42.92,43.05,12837478
31-Mar-17,43.18,43.50,43.08,43.08,8233911
30-Mar-17,43.65,43.66,43.21,43.28,6918390
29-Mar-17,43.57,43.86,43.33,43.75,5171082
28-Mar-17,43.40,43.93,43.06,43.70,6172754
27-Mar-17,43.64,43.86,43.46,43.53,9414101
24-Mar-17,44.11,44.11,43.60,43.80,5982633
23-Mar-17,43.90,44.28,43.80,44.02,4556113
22-Mar-17,44.19,44.34,43.76,44.00,5623529
21-Mar-17,44.51,44.54,44.06,44.10,6383944
20-Mar-17,44.64,44.71,44.28,44.44,6801122
17-Mar-17,45.06,45.12,44.66,44.75,15066957
16-Mar-17,44.55,44.90,44.32,44.88,6882590
15-Mar-17,44.12,44.96,44.01,44.55,7940485
14-Mar-17,44.13,44.26,43.82,43.86,9841477
13-Mar-17,43.74,44.24,43.55,44.21,5812394
10-Mar-17,44.00,44.02,43.72,43.85,7144638
9-Mar-17,43.27,43.93,43.11,43.80,7432330
8-Mar-17,43.22,43.43,43.08,43.14,7231202
7-Mar-17,43.48,43.70,43.18,43.23,7798969
6-Mar-17,43.42,43.84,43.34,43.65,5435737
3-Mar-17,43.85,43.90,43.46,43.73,5773893
2-Mar-17,44.23,44.23,43.72,43.78,7333986
1-Mar-17,44.16,44.40,43.93,44.04,11534800
28-Feb-17,43.85,44.08,43.65,43.92,8218917
27-Feb-17,44.74,44.75,43.73,43.77,9277306
24-Feb-17,44.98,45.39,44.86,45.38,5972154
23-Feb-17,44.69,45.12,44.17,44.89,6280262
22-Feb-17,44.61,44.85,44.33,44.65,8174906
21-Feb-17,44.26,45.04,43.94,44.97,17097555
17-Feb-17,41.86,42.91,41.30,42.50,29197389
16-Feb-17,45.23,45.29,43.02,43.20,20664028
15-Feb-17,44.79,45.48,44.50,45.37,5831927
14-Feb-17,45.01,45.17,44.72,44.99,5641025
13-Feb-17,45.07,45.17,44.40,45.03,6873107
10-Feb-17,44.80,45.30,44.61,44.99,9971159
9-Feb-17,44.60,45.21,44.49,44.70,11048840
8-Feb-17,43.59,45.23,43.58,44.47,15334541
7-Feb-17,44.04,44.14,43.83,43.93,7063229
6-Feb-17,44.35,44.48,43.91,44.01,4567120
3-Feb-17,44.32,44.53,44.00,44.36,5238745
2-Feb-17,43.88,44.35,43.88,44.01,5258323
1-Feb-17,44.18,44.35,43.65,43.89,6027189
31-Jan-17,44.42,44.55,43.92,44.28,10229475
30-Jan-17,44.18,44.89,44.03,44.43,7350161
27-Jan-17,44.68,44.76,44.15,44.20,9441413
26-Jan-17,45.09,45.09,44.58,44.61,4829774
25-Jan-17,45.15,45.37,44.92,45.09,6791357
24-Jan-17,44.84,45.16,44.67,44.93,8751913
23-Jan-17,45.06,45.20,44.52,44.86,7453399
20-Jan-17,44.93,45.45,44.69,45.20,9815208
19-Jan-17,45.01,45.03,44.40,44.59,6937740
18-Jan-17,45.00,45.46,44.90,45.03,5576951
17-Jan-17,44.56,44.90,44.40,44.90,5090852
13-Jan-17,44.97,45.17,44.41,44.60,5273094
12-Jan-17,45.00,45.18,44.74,44.89,4278782
11-Jan-17,44.12,45.28,44.11,45.07,8076803
10-Jan-17,44.56,44.76,44.11,44.17,10070531
9-Jan-17,45.28,45.28,44.62,44.69,6490133
6-Jan-17,45.08,45.37,44.60,45.06,5118553
5-Jan-17,44.77,45.13,44.65,45.00,7145764
4-Jan-17,44.85,45.20,44.67,44.80,4817667
3-Jan-17,44.71,44.88,44.42,44.85,6169941
30-Dec-16,44.96,44.97,44.21,44.33,5595138
29-Dec-16,44.70,45.03,44.67,44.84,3226681
28-Dec-16,44.98,45.12,44.64,44.72,8334290
