Date,Open,High,Low,Close,Volume
19-May-17,1.11,1.19,1.10,1.13,2078892
18-May-17,1.14,1.19,1.06,1.10,3215936
17-May-17,1.18,1.24,1.10,1.10,4026803
16-May-17,1.06,1.34,1.01,1.22,8386650
15-May-17,1.10,1.13,1.03,1.06,2982306
12-May-17,1.25,1.25,1.01,1.12,5591154
11-May-17,1.32,1.48,1.14,1.28,11872926
10-May-17,1.25,1.88,1.16,1.60,32460171
9-May-17,1.05,1.20,1.03,1.12,9231454
8-May-17,0.83,1.18,0.80,1.01,11391938
5-May-17,0.72,0.82,0.69,0.80,2932620
4-May-17,0.77,0.78,0.69,0.72,2052262
3-May-17,0.80,0.82,0.67,0.71,2349884
2-May-17,0.83,0.84,0.78,0.80,1455500
1-May-17,0.86,0.89,0.82,0.85,797052
28-Apr-17,0.87,0.91,0.85,0.87,1087860
27-Apr-17,0.85,0.92,0.80,0.88,1774634
26-Apr-17,0.91,0.91,0.82,0.83,2364896
25-Apr-17,0.93,0.96,0.90,0.90,1837857
24-Apr-17,0.90,0.96,0.85,0.90,3071657
21-Apr-17,1.08,1.09,0.88,0.92,6215372
20-Apr-17,1.12,1.15,1.05,1.07,2195292
19-Apr-17,1.24,1.25,1.07,1.12,3135808
18-Apr-17,1.26,1.27,1.21,1.22,810369
17-Apr-17,1.34,1.34,1.22,1.26,1679367
13-Apr-17,1.34,1.35,1.29,1.33,1230150
12-Apr-17,1.37,1.40,1.30,1.31,1287465
11-Apr-17,1.29,1.39,1.24,1.38,2269396
10-Apr-17,1.37,1.38,1.21,1.26,2052966
7-Apr-17,1.56,1.56,1.30,1.33,7711555
6-Apr-17,1.30,1.33,1.16,1.26,1996302
5-Apr-17,1.40,1.42,1.29,1.30,1534011
4-Apr-17,1.37,1.42,1.35,1.40,1601941
3-Apr-17,1.49,1.50,1.29,1.38,3201042
31-Mar-17,1.46,1.64,1.45,1.48,3133820
30-Mar-17,1.52,1.54,1.44,1.49,1725848
29-Mar-17,1.61,1.61,1.54,1.56,1701725
28-Mar-17,1.80,1.81,1.62,1.63,2118053
27-Mar-17,1.84,1.87,1.80,1.82,896156
24-Mar-17,1.97,1.97,1.87,1.89,1024069
23-Mar-17,2.01,2.05,1.89,1.95,1160666
22-Mar-17,2.04,2.04,1.95,2.02,1245490
