Date,Open,High,Low,Close,Volume
19-May-17,46.86,47.90,46.66,47.69,2221310
18-May-17,47.64,47.64,46.66,46.81,2493353
17-May-17,46.70,47.15,46.50,46.80,2167812
16-May-17,47.59,47.65,46.71,46.81,2083754
15-May-17,47.50,47.65,47.28,47.46,1965316
12-May-17,47.88,48.05,47.49,47.62,1379434
11-May-17,47.68,48.12,47.54,47.88,1479216
10-May-17,47.97,48.29,47.68,47.85,2892172
9-May-17,48.40,48.48,47.44,47.99,3150849
8-May-17,47.49,48.69,47.48,48.48,5824044
5-May-17,46.96,48.10,46.75,47.45,6051498
4-May-17,45.13,46.30,45.02,45.93,3683441
3-May-17,44.72,45.21,44.68,44.93,2372417
2-May-17,44.59,44.89,44.35,44.68,2405895
1-May-17,45.44,45.58,44.51,44.56,2308821
28-Apr-17,45.38,45.58,45.08,45.38,2536228
27-Apr-17,45.20,45.53,45.03,45.29,1885612
26-Apr-17,45.31,45.50,45.04,45.11,1934586
25-Apr-17,45.55,45.59,44.98,45.37,2207902
24-Apr-17,45.68,45.92,45.04,45.47,2494538
21-Apr-17,45.68,45.87,45.37,45.39,1792671
20-Apr-17,44.99,45.92,44.94,45.74,2049058
19-Apr-17,45.50,45.66,45.00,45.10,1352700
18-Apr-17,44.97,45.46,44.88,45.31,1852846
17-Apr-17,44.80,45.03,44.38,45.01,2808249
13-Apr-17,45.51,45.63,44.84,44.90,1328282
12-Apr-17,45.20,45.53,45.15,45.40,1848388
11-Apr-17,45.79,45.79,45.16,45.36,1589591
10-Apr-17,45.92,45.99,45.42,45.82,1722408
7-Apr-17,45.74,45.91,45.34,45.85,1754222
6-Apr-17,46.04,46.34,45.68,45.75,1619354
5-Apr-17,45.83,46.29,45.60,45.93,1919761
4-Apr-17,45.77,46.05,45.40,46.02,1890597
3-Apr-17,46.23,46.42,45.56,45.76,2281753
31-Mar-17,46.15,46.52,45.76,46.17,2071164
30-Mar-17,47.09,47.24,46.09,46.26,1955328
29-Mar-17,46.73,47.27,46.62,47.23,2002699
28-Mar-17,46.96,47.29,46.57,46.99,1323032
27-Mar-17,46.78,47.03,46.42,46.90,1315628
24-Mar-17,46.65,47.11,46.46,46.94,1963723
23-Mar-17,46.93,47.28,46.52,46.56,1525643
22-Mar-17,46.73,47.22,46.42,47.13,2153571
21-Mar-17,47.01,47.36,46.67,46.69,2293565
20-Mar-17,46.57,47.01,46.37,46.80,1845219
17-Mar-17,47.13,47.17,46.44,46.47,3814734
16-Mar-17,46.37,47.17,46.37,46.88,1931670
15-Mar-17,46.50,47.21,46.37,47.09,1991438
14-Mar-17,46.30,46.40,45.95,46.27,1799691
