Date,Open,High,Low,Close,Volume
19-May-17,46.54,47.15,46.54,46.85,2440584
18-May-17,45.47,46.61,45.34,46.45,2458599
17-May-17,46.53,46.79,45.49,45.51,1880007
16-May-17,46.79,47.00,46.59,46.94,1882509
15-May-17,46.05,46.83,45.91,46.82,1836677
12-May-17,45.71,46.21,45.57,46.03,1856372
11-May-17,45.95,46.07,45.60,45.72,1396987
10-May-17,46.09,46.41,45.96,46.12,1685859
9-May-17,45.75,45.94,45.70,45.90,1650561
8-May-17,45.51,45.88,45.51,45.69,2171078
5-May-17,45.45,45.58,45.24,45.51,1628284
4-May-17,44.95,45.45,44.93,45.38,2037140
3-May-17,45.04,45.13,44.74,44.89,1706212
2-May-17,44.63,45.16,44.42,45.08,2631209
1-May-17,44.36,44.76,43.99,44.71,1546081
28-Apr-17,45.12,45.12,43.78,44.15,3408239
27-Apr-17,44.99,45.53,44.98,45.08,1793949
26-Apr-17,45.12,45.35,44.71,44.72,2090231
25-Apr-17,45.04,45.34,44.51,45.12,4009793
24-Apr-17,45.39,45.54,44.64,44.75,3792813
21-Apr-17,43.86,45.01,43.35,44.92,8503892
20-Apr-17,44.80,45.70,44.74,45.45,3186394
19-Apr-17,44.66,44.94,44.32,44.59,1786490
18-Apr-17,43.86,44.55,43.69,44.42,1481184
17-Apr-17,43.91,44.21,43.83,44.11,1411494
13-Apr-17,43.69,44.18,43.44,43.77,1338262
12-Apr-17,44.17,44.31,43.35,43.69,1632505
11-Apr-17,44.39,44.61,43.50,44.31,1890238
10-Apr-17,44.96,45.00,44.52,44.67,1198688
7-Apr-17,44.54,45.09,44.41,45.02,2334449
6-Apr-17,44.37,44.56,44.17,44.49,1215223
5-Apr-17,44.73,45.01,44.34,44.37,1638666
4-Apr-17,44.28,44.57,44.24,44.53,1670166
3-Apr-17,44.98,45.08,44.28,44.50,1530057
31-Mar-17,45.08,45.16,44.72,44.96,2439372
30-Mar-17,44.80,45.12,44.73,44.92,999250
29-Mar-17,44.85,44.90,44.57,44.77,1820391
28-Mar-17,45.05,45.21,44.87,44.92,1587533
27-Mar-17,45.03,45.26,44.67,45.09,1393356
24-Mar-17,45.71,45.97,45.20,45.23,1727447
23-Mar-17,45.48,45.60,45.14,45.14,1228537
22-Mar-17,45.10,45.63,44.67,45.58,1001558
21-Mar-17,45.89,46.04,44.91,45.00,1544900
20-Mar-17,45.63,46.22,45.52,45.80,1635323
17-Mar-17,45.69,45.72,45.37,45.62,3812202
16-Mar-17,46.09,46.14,45.24,45.36,1911245
15-Mar-17,45.74,46.10,45.61,46.00,2179793
14-Mar-17,45.63,45.72,45.38,45.57,1326686
13-Mar-17,45.06,45.84,44.94,45.78,2058463
10-Mar-17,45.08,45.20,44.77,45.02,1766020
9-Mar-17,44.85,45.05,44.54,44.83,1643721
8-Mar-17,44.73,45.04,44.62,44.84,1303249
7-Mar-17,44.46,45.16,44.36,44.73,1823736
6-Mar-17,44.19,44.74,43.95,44.64,1673717
3-Mar-17,44.28,44.39,44.04,44.32,1864921
2-Mar-17,44.62,44.68,44.09,44.18,1853165
1-Mar-17,44.66,44.74,44.04,44.64,1813838
28-Feb-17,44.72,44.72,44.20,44.30,1536436
27-Feb-17,44.97,45.00,44.50,44.96,2013929
24-Feb-17,44.55,45.09,44.16,45.06,1270754
23-Feb-17,45.31,45.38,44.71,44.86,1308829
22-Feb-17,45.18,45.46,45.08,45.35,1360060
21-Feb-17,45.05,45.44,45.04,45.37,1317455
17-Feb-17,44.92,45.12,44.62,45.11,1593389
