Date,Open,High,Low,Close,Volume
19-May-17,38.13,38.47,37.92,37.94,3434774
18-May-17,38.76,38.80,37.96,38.15,4891101
17-May-17,38.78,39.22,38.60,38.65,4540129
16-May-17,39.01,39.34,38.67,39.15,4942208
15-May-17,39.08,39.13,38.55,38.68,4695515
12-May-17,39.30,39.54,38.86,38.94,5020896
11-May-17,38.51,39.77,38.32,39.43,9857136
10-May-17,38.65,38.94,36.79,38.21,12114902
9-May-17,37.80,38.48,37.26,38.01,7378703
8-May-17,37.66,37.72,37.14,37.38,3878084
5-May-17,38.10,38.20,37.32,37.90,5568919
4-May-17,37.22,38.24,37.16,38.01,4808496
3-May-17,38.00,38.00,36.59,37.19,6301534
2-May-17,37.47,38.39,37.24,38.17,5166236
1-May-17,37.64,37.83,37.39,37.40,2460473
28-Apr-17,37.73,37.83,37.12,37.35,3499415
27-Apr-17,37.40,37.84,37.32,37.72,3467280
26-Apr-17,36.92,38.02,36.83,37.44,6161221
25-Apr-17,37.47,37.50,36.57,36.85,5844133
24-Apr-17,37.25,37.70,37.14,37.47,4490466
21-Apr-17,37.11,37.45,36.54,36.83,3876749
20-Apr-17,37.18,37.22,36.60,37.08,3597191
19-Apr-17,37.17,37.29,36.85,36.96,3848901
18-Apr-17,36.96,37.31,36.75,37.03,4422877
17-Apr-17,37.74,37.85,37.00,37.55,3634333
13-Apr-17,37.80,37.95,37.10,37.67,2967990
12-Apr-17,38.33,38.50,37.68,38.04,4225830
11-Apr-17,39.16,39.16,38.25,38.45,7015986
10-Apr-17,39.75,40.07,39.24,39.25,4782142
7-Apr-17,38.86,39.82,38.68,39.60,6607454
6-Apr-17,39.03,39.31,38.79,38.96,4102395
5-Apr-17,38.74,39.24,38.59,38.82,5372521
4-Apr-17,38.98,39.02,38.34,38.70,5425727
3-Apr-17,38.63,39.16,38.57,39.01,7582231
31-Mar-17,39.48,39.66,38.95,38.99,6588060
30-Mar-17,40.21,40.43,39.50,39.59,7331495
29-Mar-17,41.50,41.89,40.13,40.35,10250610
28-Mar-17,41.94,42.48,41.55,41.72,4381423
27-Mar-17,40.86,41.75,40.79,41.71,8049698
24-Mar-17,40.28,41.27,40.25,40.96,24463423
23-Mar-17,41.20,42.06,41.12,41.60,5029960
22-Mar-17,41.60,41.86,41.36,41.70,4364730
21-Mar-17,42.17,42.17,41.58,41.67,4241458
20-Mar-17,42.10,42.52,41.95,42.17,5027254
17-Mar-17,42.59,42.63,41.94,42.03,6070643
16-Mar-17,42.71,42.89,42.30,42.49,4394457
15-Mar-17,42.89,43.00,42.60,42.83,6844232
14-Mar-17,42.68,42.93,42.32,42.77,3593080
13-Mar-17,43.50,43.50,42.89,42.98,3195234
10-Mar-17,43.68,43.73,42.97,43.40,3671441
9-Mar-17,43.62,43.66,42.90,43.23,4391539
8-Mar-17,43.32,43.88,43.07,43.47,4298419
7-Mar-17,43.45,43.75,42.79,43.33,6585147
6-Mar-17,45.31,45.44,43.98,44.04,5353290
3-Mar-17,45.21,45.75,44.91,45.18,5382298
2-Mar-17,44.67,45.73,44.40,45.28,7235878
1-Mar-17,44.34,45.87,44.10,44.87,15930341
28-Feb-17,42.45,42.48,41.42,41.85,6874112
27-Feb-17,42.04,42.50,41.77,42.44,4060275
24-Feb-17,42.31,42.35,41.76,42.16,4857746
23-Feb-17,42.03,42.54,41.77,42.33,4395227
22-Feb-17,42.21,42.30,41.86,42.00,5059524
21-Feb-17,42.46,42.70,42.07,42.30,7442762
17-Feb-17,41.86,42.33,41.78,42.05,6616387
16-Feb-17,42.60,42.65,41.56,42.00,4437549
15-Feb-17,40.67,42.59,40.59,42.44,10793852
14-Feb-17,39.59,40.91,39.56,40.75,5501861
13-Feb-17,39.71,39.88,39.56,39.78,3920308
10-Feb-17,39.09,39.46,39.00,39.31,2521887
9-Feb-17,39.36,39.60,39.00,39.30,5517734
8-Feb-17,39.22,39.65,39.00,39.19,5939525
7-Feb-17,40.26,40.30,39.21,39.39,6061655
6-Feb-17,39.36,40.25,39.34,39.98,6182779
3-Feb-17,39.27,39.50,38.52,39.21,5719534
2-Feb-17,38.26,39.35,38.16,39.00,6225389
1-Feb-17,38.68,38.75,38.07,38.66,5917169
31-Jan-17,37.02,38.09,36.41,38.05,7353697
30-Jan-17,36.57,36.73,35.50,36.34,5237857
27-Jan-17,36.16,36.83,36.01,36.66,2982078
26-Jan-17,36.54,36.59,35.83,36.10,3517896
25-Jan-17,36.00,36.64,35.98,36.48,5150249
24-Jan-17,36.03,36.13,35.16,35.81,5067774
23-Jan-17,36.87,37.19,35.82,36.03,4735328
20-Jan-17,36.93,37.35,36.80,37.07,3587008
19-Jan-17,37.11,37.30,36.71,36.95,4062738
18-Jan-17,37.18,37.38,36.71,37.19,4247697
17-Jan-17,36.86,37.36,36.45,37.07,4542867
13-Jan-17,36.79,37.02,36.35,36.73,5031791
12-Jan-17,37.44,37.44,36.17,36.77,7167246
11-Jan-17,39.55,39.58,37.08,37.28,11809823
10-Jan-17,39.23,39.37,38.67,38.95,3410246
9-Jan-17,38.50,39.13,38.41,38.95,3382719
6-Jan-17,38.87,39.08,37.95,38.50,5723567
5-Jan-17,38.95,39.47,38.77,39.16,5799320
4-Jan-17,39.32,40.08,39.25,39.63,6581808
3-Jan-17,38.48,39.28,38.42,39.11,5031866
30-Dec-16,37.98,38.79,37.84,38.15,6312717
29-Dec-16,37.47,38.00,37.18,37.38,3553008
28-Dec-16,37.69,37.79,36.90,37.21,5533599
27-Dec-16,37.48,38.24,37.46,37.58,3860116
23-Dec-16,37.26,37.55,37.20,37.50,2077667
22-Dec-16,37.39,37.81,37.13,37.31,3122957
21-Dec-16,37.40,37.89,37.05,37.52,4093743
20-Dec-16,37.56,37.83,37.14,37.29,2480694
19-Dec-16,37.63,38.29,37.38,37.49,2727895
16-Dec-16,38.09,38.23,37.63,37.82,6542310
15-Dec-16,37.64,38.10,37.32,37.76,4591679
14-Dec-16,38.15,38.17,37.13,37.69,5845650
13-Dec-16,37.70,38.45,37.64,38.30,7035612
12-Dec-16,36.69,37.30,36.35,37.13,4876606
9-Dec-16,36.08,37.15,36.07,36.51,6118816
8-Dec-16,34.50,36.08,34.24,36.06,9101676
7-Dec-16,35.52,35.52,33.79,34.50,11556368
6-Dec-16,35.45,36.02,34.91,35.86,5788874
5-Dec-16,36.31,36.66,35.37,35.65,3528345
2-Dec-16,36.07,36.42,35.68,35.99,3543448
1-Dec-16,36.62,37.16,35.92,36.03,5125269
30-Nov-16,36.03,36.72,35.69,36.61,5523736
29-Nov-16,36.76,37.00,35.95,36.06,3698152
28-Nov-16,36.72,37.15,36.66,36.74,3607636
25-Nov-16,36.93,37.04,36.58,36.68,1306383
