Date,Open,High,Low,Close,Volume
26-May-17,51.97,52.32,50.80,50.84,1798836
25-May-17,49.83,51.01,49.78,50.68,1273225
24-May-17,49.80,49.80,49.20,49.64,1069853
23-May-17,50.26,50.53,49.46,49.58,1421244
22-May-17,49.24,50.62,49.11,50.51,1928255
19-May-17,49.23,49.75,48.83,49.34,1467851
18-May-17,48.00,49.28,47.76,49.12,2613225
17-May-17,50.03,50.25,47.96,48.07,2399415
16-May-17,51.48,51.55,50.18,50.31,2226472
15-May-17,51.54,51.95,51.20,51.50,2064293
12-May-17,52.90,53.09,51.21,51.50,2743580
11-May-17,53.85,54.46,52.50,52.95,2622555
10-May-17,54.44,55.93,53.10,54.07,4096954
9-May-17,55.25,56.15,55.05,55.78,2651542
8-May-17,55.57,55.83,54.91,55.10,1490252
5-May-17,55.00,55.80,55.00,55.49,914316
4-May-17,55.17,55.49,54.82,54.84,1128785
3-May-17,55.02,55.32,54.59,54.90,1187224
2-May-17,55.01,55.32,54.45,55.06,1160931
1-May-17,54.00,56.29,53.72,54.90,2339954
28-Apr-17,53.92,54.87,53.09,53.93,2909026
27-Apr-17,52.75,53.27,52.62,52.68,1698494
26-Apr-17,51.02,52.86,51.02,52.76,1665662
25-Apr-17,50.57,51.37,50.54,51.08,1036566
24-Apr-17,50.84,51.13,50.12,50.35,1054272
21-Apr-17,50.35,50.44,49.60,50.13,971591
20-Apr-17,49.53,50.75,49.53,50.14,1289838
19-Apr-17,48.95,49.63,48.70,49.21,1069163
18-Apr-17,48.90,48.90,48.30,48.82,717337
17-Apr-17,48.07,49.01,47.96,48.96,1129330
13-Apr-17,47.83,48.64,47.76,48.03,1706506
12-Apr-17,47.55,48.00,46.96,47.85,1933759
11-Apr-17,48.64,48.64,47.29,47.47,1464276
10-Apr-17,48.49,48.94,48.12,48.54,1520113
7-Apr-17,50.01,50.04,48.15,48.31,5706644
6-Apr-17,49.75,50.01,49.39,49.91,997178
5-Apr-17,49.93,50.75,49.59,49.78,1141622
4-Apr-17,50.04,50.15,49.32,49.76,1484365
3-Apr-17,50.74,50.95,50.00,50.19,1302954
31-Mar-17,50.99,51.20,50.44,50.73,1108156
30-Mar-17,50.89,51.37,50.89,51.24,753959
29-Mar-17,51.09,51.30,50.65,50.86,1261483
28-Mar-17,51.80,52.10,51.13,51.30,1548051
27-Mar-17,50.15,51.17,49.92,51.02,887426
24-Mar-17,51.34,51.53,50.30,50.48,1306949
23-Mar-17,50.98,51.66,50.88,51.11,1081511
22-Mar-17,50.11,51.13,49.55,50.97,1128996
21-Mar-17,51.30,51.72,49.95,50.00,1158056
20-Mar-17,51.36,51.53,50.81,51.10,846766
17-Mar-17,51.71,51.85,51.25,51.31,1241097
16-Mar-17,51.35,51.45,51.06,51.43,844527
15-Mar-17,51.05,51.49,50.71,51.41,1141492
14-Mar-17,51.21,51.22,50.40,50.96,1066023
13-Mar-17,51.83,51.83,51.11,51.32,1086292
10-Mar-17,50.23,51.22,50.07,51.10,1160833
9-Mar-17,49.77,50.06,49.48,49.92,765686
8-Mar-17,49.59,49.83,49.40,49.52,776663
7-Mar-17,49.56,49.76,49.04,49.42,806869
6-Mar-17,49.90,50.00,49.16,49.76,1207284
3-Mar-17,51.00,51.00,49.79,50.11,849170
2-Mar-17,50.79,51.25,50.63,50.98,878774
1-Mar-17,51.12,51.61,50.42,51.05,1199364
28-Feb-17,50.82,51.20,50.45,50.70,934959
27-Feb-17,49.93,50.83,49.57,50.77,1326575
24-Feb-17,50.51,50.63,49.77,50.02,1443274
23-Feb-17,52.48,52.50,50.61,50.68,1869803
22-Feb-17,49.24,52.14,48.68,51.64,4043069
21-Feb-17,47.74,48.52,47.74,48.20,1802151
17-Feb-17,47.62,47.85,47.27,47.69,1653718
16-Feb-17,47.95,48.14,47.24,47.63,1236250
15-Feb-17,47.66,48.12,47.00,47.92,1464834
14-Feb-17,47.82,47.97,47.58,47.77,1048707
13-Feb-17,48.02,48.10,47.56,47.87,1449892
10-Feb-17,48.43,48.90,47.54,47.80,1611014
9-Feb-17,47.81,48.31,47.70,48.06,1249178
8-Feb-17,47.88,48.14,47.51,47.86,1065787
7-Feb-17,47.58,48.09,47.46,47.70,1477247
6-Feb-17,47.76,48.02,47.28,47.52,1139099
3-Feb-17,48.13,48.36,47.41,47.74,760795
2-Feb-17,48.17,48.50,47.55,47.66,694731
1-Feb-17,47.30,48.45,46.83,48.08,1296482
31-Jan-17,47.88,48.11,46.83,47.00,1625213
30-Jan-17,48.80,48.88,47.94,48.03,1337131
27-Jan-17,49.35,49.56,48.61,49.02,945318
26-Jan-17,49.22,50.05,48.77,49.33,2613556
25-Jan-17,47.22,48.24,46.96,48.09,1275823
24-Jan-17,45.92,46.95,45.83,46.84,1239446
23-Jan-17,45.47,46.14,45.15,46.00,826780
20-Jan-17,45.93,46.41,45.41,45.63,735986
19-Jan-17,45.76,46.36,45.38,45.62,1031295
18-Jan-17,44.97,45.77,44.56,45.67,942996
17-Jan-17,45.08,45.22,44.20,44.74,905427
13-Jan-17,45.49,45.49,44.84,44.95,547673
12-Jan-17,45.47,45.83,44.67,45.35,731462
11-Jan-17,45.01,45.82,44.72,45.75,870469
10-Jan-17,44.33,45.36,44.33,45.22,1065488
9-Jan-17,44.14,44.70,43.90,44.39,855769
6-Jan-17,44.75,44.92,44.06,44.25,932858
5-Jan-17,44.51,44.79,44.02,44.55,933743
4-Jan-17,43.10,44.89,42.78,44.77,1854498
3-Jan-17,43.13,43.87,42.64,42.79,1618472
30-Dec-16,42.62,42.97,42.10,42.53,856919
29-Dec-16,42.93,43.44,42.04,42.66,2178419
28-Dec-16,43.68,43.68,42.89,42.93,718788
27-Dec-16,43.62,44.53,43.53,43.69,442700
