Date,Open,High,Low,Close,Volume
19-May-17,285.00,290.96,283.57,286.75,1335199
18-May-17,280.97,289.13,276.20,282.74,1649270
17-May-17,285.80,286.80,278.50,283.02,2329952
16-May-17,284.99,295.33,284.00,289.70,1847552
15-May-17,272.47,286.67,271.29,284.25,1732367
12-May-17,277.25,279.47,270.31,271.29,1618254
11-May-17,287.88,289.70,271.34,276.76,3548731
10-May-17,275.27,281.87,274.32,279.05,2255614
9-May-17,270.00,275.51,270.00,271.90,1369220
8-May-17,266.90,269.78,262.00,268.95,909096
5-May-17,265.00,266.45,259.06,264.50,1059502
4-May-17,270.99,270.99,264.32,265.34,842412
3-May-17,266.04,269.37,265.04,268.37,726401
2-May-17,272.03,272.45,264.91,265.59,962594
1-May-17,265.36,271.04,265.36,269.81,572391
28-Apr-17,266.70,266.85,261.31,265.39,819561
27-Apr-17,266.90,271.24,264.79,265.69,1134726
26-Apr-17,278.58,278.80,265.07,265.40,1680184
25-Apr-17,276.18,278.82,274.36,277.96,1058683
24-Apr-17,272.69,275.55,271.86,274.14,1282585
21-Apr-17,268.11,269.54,265.46,268.97,977820
20-Apr-17,264.50,266.53,262.01,266.14,749741
19-Apr-17,263.47,264.99,255.64,262.88,1406591
18-Apr-17,266.12,268.00,261.38,264.20,1088485
17-Apr-17,266.02,268.15,265.31,266.22,547032
13-Apr-17,265.00,267.35,262.72,265.68,959768
12-Apr-17,268.75,271.89,264.35,265.43,972808
11-Apr-17,272.55,275.88,267.61,268.00,1269341
10-Apr-17,277.88,278.91,271.50,272.33,918679
7-Apr-17,274.99,280.00,273.51,277.22,781605
6-Apr-17,277.63,279.17,273.00,276.01,791106
5-Apr-17,275.19,282.35,272.52,276.46,1466832
4-Apr-17,284.77,286.30,271.57,273.09,1649231
3-Apr-17,283.34,286.88,283.30,285.22,861625
31-Mar-17,282.00,285.69,280.35,284.00,795714
30-Mar-17,284.31,286.50,282.13,282.35,1018027
29-Mar-17,289.83,290.17,282.76,283.32,973798
28-Mar-17,291.75,292.81,288.87,289.35,675931
27-Mar-17,285.56,292.63,285.04,289.25,880579
24-Mar-17,287.08,290.88,285.97,288.98,878653
23-Mar-17,286.57,290.20,284.36,286.27,946609
22-Mar-17,283.65,287.84,280.31,286.19,1083378
21-Mar-17,295.95,298.39,281.64,282.67,1143602
20-Mar-17,291.50,296.75,291.05,294.12,1295033
17-Mar-17,286.17,292.00,285.01,291.50,1373184
16-Mar-17,288.40,288.44,282.92,283.27,879594
15-Mar-17,288.96,289.43,284.41,286.86,808430
14-Mar-17,286.60,289.95,286.13,289.44,744885
13-Mar-17,290.95,290.99,285.88,289.85,996472
10-Mar-17,291.30,291.62,288.00,289.40,678270
9-Mar-17,290.00,292.41,288.58,291.27,746072
8-Mar-17,294.60,296.50,290.79,291.44,850272
7-Mar-17,290.71,294.50,289.06,292.08,905283
6-Mar-17,294.00,294.05,287.26,292.28,902438
3-Mar-17,288.50,294.74,287.20,293.47,1028939
2-Mar-17,298.50,300.00,284.50,289.38,2312687
1-Mar-17,307.52,308.66,296.21,302.58,1451396
28-Feb-17,302.92,308.50,302.01,305.06,1163758
27-Feb-17,297.56,306.78,297.51,301.76,1055998
24-Feb-17,297.00,306.62,295.61,299.93,1727086
23-Feb-17,305.00,305.42,287.51,298.99,2423448
22-Feb-17,293.54,307.79,292.16,304.07,2242170
21-Feb-17,296.30,297.50,290.02,293.44,1264624
17-Feb-17,295.74,297.93,289.38,297.25,1960172
16-Feb-17,283.39,299.68,278.80,298.73,3737276
15-Feb-17,258.99,263.05,256.21,261.85,1239607
14-Feb-17,260.55,261.29,254.00,256.12,1094575
13-Feb-17,258.78,261.66,252.54,260.78,1127744
10-Feb-17,261.23,261.43,256.19,257.42,1397072
9-Feb-17,261.41,265.84,256.68,257.56,2342132
8-Feb-17,259.27,266.15,258.23,265.52,1237837
7-Feb-17,260.04,260.82,255.51,258.03,671710
6-Feb-17,254.25,263.33,253.01,258.67,1091018
3-Feb-17,256.86,257.00,253.67,255.00,565981
2-Feb-17,252.40,256.31,250.14,255.99,682460
1-Feb-17,256.39,256.76,250.85,253.82,670127
31-Jan-17,249.60,254.09,248.32,253.90,453654
30-Jan-17,250.36,251.86,248.29,250.49,400049
27-Jan-17,251.30,253.17,249.28,252.89,355600
26-Jan-17,252.00,252.46,245.83,251.94,818640
25-Jan-17,255.99,256.00,250.71,251.59,684439
24-Jan-17,252.99,257.68,248.70,254.45,1307448
23-Jan-17,242.09,250.11,242.01,248.59,1096640
20-Jan-17,239.21,244.40,239.21,242.34,961106
19-Jan-17,236.31,240.39,236.08,238.98,637621
18-Jan-17,241.63,243.95,233.50,235.78,1207658
17-Jan-17,239.47,243.96,235.71,243.08,1171832
13-Jan-17,236.79,239.49,233.62,237.68,686409
12-Jan-17,238.90,239.15,232.14,235.43,954250
11-Jan-17,237.45,241.75,235.63,239.27,665003
10-Jan-17,237.95,243.97,236.61,239.98,1233707
9-Jan-17,227.81,236.49,227.46,234.90,1133124
6-Jan-17,229.42,230.25,225.27,226.96,782655
5-Jan-17,219.85,230.71,219.80,229.21,2168621
4-Jan-17,220.00,221.19,216.89,218.70,1120458
3-Jan-17,219.38,220.30,215.63,218.16,798082
30-Dec-16,222.55,223.00,214.75,215.34,677449
29-Dec-16,224.32,224.94,221.68,223.00,441203
28-Dec-16,226.57,228.48,223.13,223.92,547101
27-Dec-16,224.50,228.80,223.51,223.99,561989
23-Dec-16,216.00,224.93,216.00,223.67,858081
22-Dec-16,221.51,221.90,216.15,217.10,778687
21-Dec-16,217.47,226.24,216.77,223.12,1283171
20-Dec-16,217.00,218.97,215.47,216.90,454474
19-Dec-16,213.21,218.03,211.11,216.77,1025929
16-Dec-16,213.99,218.50,212.63,213.05,1141486
15-Dec-16,215.01,218.35,212.40,213.33,860284
14-Dec-16,219.36,223.02,216.83,217.49,995679
13-Dec-16,218.58,226.10,216.60,220.46,992385
12-Dec-16,219.00,219.68,211.44,218.58,1697174
9-Dec-16,225.90,227.42,221.76,223.55,590763
8-Dec-16,222.70,227.39,220.33,225.21,928693
7-Dec-16,222.77,224.88,218.62,223.16,1131216
6-Dec-16,226.60,226.60,219.06,222.65,854279
5-Dec-16,217.00,226.88,216.94,226.17,849457
2-Dec-16,217.57,221.58,215.67,220.59,834840
1-Dec-16,225.11,225.84,215.01,217.82,1212563
30-Nov-16,230.70,234.70,223.86,224.10,1074111
29-Nov-16,231.16,233.36,227.17,230.04,1015312
28-Nov-16,230.49,235.98,228.63,231.78,1720243
25-Nov-16,233.08,233.88,223.19,227.09,1161223
23-Nov-16,231.27,233.70,229.14,231.58,875430
22-Nov-16,235.11,236.91,231.02,231.82,796669
21-Nov-16,231.11,237.24,231.07,234.16,780681
18-Nov-16,237.04,239.62,229.86,230.81,761159
17-Nov-16,230.13,237.14,229.61,236.83,954464
16-Nov-16,226.31,231.98,223.83,230.13,862200
15-Nov-16,227.61,232.90,225.56,228.10,1717427
14-Nov-16,234.27,235.61,216.39,217.91,1964456
11-Nov-16,229.01,235.88,218.00,234.57,2844504
10-Nov-16,239.76,252.10,224.71,228.62,4628985
9-Nov-16,241.45,255.70,240.66,251.86,1610769
8-Nov-16,251.00,251.90,247.00,248.96,876665
7-Nov-16,251.43,256.00,250.03,251.18,1210693
4-Nov-16,240.40,245.88,240.20,243.43,696290
3-Nov-16,243.12,246.15,237.66,243.42,908693
2-Nov-16,248.77,249.00,241.03,242.94,1665073
1-Nov-16,259.00,259.89,246.64,249.03,2587559
31-Oct-16,265.48,268.98,256.86,256.99,1122320
28-Oct-16,267.00,267.05,263.21,264.97,711006
27-Oct-16,268.22,271.66,263.27,267.05,1029503
26-Oct-16,268.26,268.26,265.21,265.74,607470
25-Oct-16,268.13,270.44,265.67,269.60,977029
24-Oct-16,267.98,268.36,265.00,267.18,928606
21-Oct-16,263.37,264.99,261.00,263.53,443205
20-Oct-16,263.89,265.55,262.00,264.50,840747
19-Oct-16,267.38,268.69,261.98,263.89,622930
18-Oct-16,264.64,268.99,264.48,265.57,880064
17-Oct-16,261.48,263.87,258.59,261.10,831958
14-Oct-16,265.88,272.58,259.82,261.37,1666999
