Date,Open,High,Low,Close,Volume
26-May-17,245.00,249.01,243.23,248.48,1148979
25-May-17,242.26,244.67,241.08,243.85,1161242
24-May-17,239.53,241.38,234.50,240.01,2222423
23-May-17,239.00,243.00,234.14,240.18,3453371
22-May-17,251.65,251.80,248.26,248.46,1831379
19-May-17,248.91,251.53,247.16,251.36,1212265
18-May-17,249.16,253.50,248.67,249.78,1544922
17-May-17,253.50,255.26,248.65,248.91,1328497
16-May-17,256.83,257.05,254.42,254.91,1592793
15-May-17,254.71,260.31,254.59,258.13,1118249
12-May-17,256.45,258.05,254.72,255.50,1242790
11-May-17,257.65,257.99,254.25,256.28,1744644
10-May-17,255.52,258.19,254.13,257.49,1569456
9-May-17,253.64,255.98,252.52,255.75,1213346
8-May-17,252.51,254.88,252.19,253.82,1144932
5-May-17,251.11,252.95,249.60,252.70,1183645
4-May-17,247.93,250.96,246.51,250.82,1215183
3-May-17,245.45,247.84,245.21,246.94,1026995
2-May-17,240.34,247.61,240.32,245.82,1764420
1-May-17,248.44,248.75,239.12,241.70,2891810
28-Apr-17,257.00,257.00,245.74,248.15,3198743
27-Apr-17,262.49,268.09,245.01,257.19,3446954
26-Apr-17,265.12,268.73,263.31,265.07,1427849
25-Apr-17,265.15,268.32,262.78,263.96,1470876
24-Apr-17,267.15,270.10,265.60,269.28,1270320
21-Apr-17,263.46,266.08,262.85,265.36,721597
20-Apr-17,260.00,263.81,258.51,263.00,742190
19-Apr-17,257.66,263.62,257.50,258.87,982443
18-Apr-17,251.95,256.87,251.86,256.06,794967
17-Apr-17,252.69,254.57,252.07,253.95,657230
13-Apr-17,252.94,254.01,251.59,251.99,763322
12-Apr-17,252.63,254.03,250.54,253.03,840803
11-Apr-17,254.60,254.90,252.62,254.74,713701
10-Apr-17,253.23,257.40,252.05,254.91,728139
7-Apr-17,255.54,256.10,252.60,253.19,963525
6-Apr-17,255.75,256.67,253.76,254.37,883718
5-Apr-17,255.51,258.07,254.97,255.17,791245
4-Apr-17,258.00,260.20,255.12,255.51,1380656
3-Apr-17,266.00,266.00,253.86,258.69,2433935
31-Mar-17,271.55,272.78,269.23,269.84,785407
30-Mar-17,275.15,275.23,270.61,272.41,828001
29-Mar-17,275.00,275.52,271.29,274.78,1010805
28-Mar-17,269.47,270.62,267.90,269.71,705874
27-Mar-17,270.80,272.03,268.57,269.80,593505
24-Mar-17,272.40,273.03,270.97,271.76,415785
23-Mar-17,271.30,272.88,269.62,271.45,578244
22-Mar-17,271.33,272.80,269.15,271.40,711829
21-Mar-17,273.71,274.87,270.09,270.50,546257
20-Mar-17,274.99,275.94,271.90,273.08,642856
17-Mar-17,274.33,274.92,272.14,274.20,1434326
16-Mar-17,271.00,272.92,270.35,272.06,651066
15-Mar-17,275.76,276.45,268.82,270.71,1498399
14-Mar-17,274.43,276.74,274.06,275.39,924199
13-Mar-17,269.47,275.07,268.69,274.43,1091500
10-Mar-17,270.58,271.23,268.47,269.63,726528
9-Mar-17,271.46,271.86,268.40,269.14,753764
8-Mar-17,269.42,271.90,267.04,271.45,616874
7-Mar-17,269.05,270.17,268.22,269.82,821679
6-Mar-17,270.26,271.49,268.45,268.86,811939
3-Mar-17,272.05,273.03,268.39,270.65,1141759
2-Mar-17,270.90,272.27,269.71,271.98,799857
1-Mar-17,273.24,274.40,271.12,271.52,1006899
28-Feb-17,267.97,271.93,267.30,271.71,1345795
27-Feb-17,267.63,269.73,264.56,268.25,550983
24-Feb-17,265.74,269.28,264.37,268.73,719193
23-Feb-17,269.18,269.18,265.31,265.94,921407
22-Feb-17,269.10,269.37,266.30,268.09,776077
21-Feb-17,269.11,272.64,267.16,268.70,1048196
17-Feb-17,266.85,268.16,264.47,268.12,738614
16-Feb-17,270.67,270.98,266.56,266.85,756579
15-Feb-17,268.72,271.16,268.72,270.62,665015
14-Feb-17,268.49,270.26,267.66,269.52,917229
13-Feb-17,272.46,272.63,268.19,268.48,867937
10-Feb-17,273.75,275.44,269.58,271.80,1267490
9-Feb-17,275.26,277.40,271.12,274.78,1783312
8-Feb-17,263.20,273.84,259.94,271.65,2786225
7-Feb-17,259.36,263.29,259.09,262.19,2041304
6-Feb-17,259.05,261.07,257.80,258.40,1182267
3-Feb-17,258.39,261.84,257.16,259.84,970659
2-Feb-17,254.19,258.20,253.54,256.69,998377
1-Feb-17,262.19,263.00,254.21,254.35,1648902
31-Jan-17,261.46,263.35,259.19,262.27,915020
30-Jan-17,262.00,263.98,259.15,261.89,1496008
27-Jan-17,263.57,265.28,261.66,263.79,972657
26-Jan-17,265.48,267.42,262.83,263.00,971968
25-Jan-17,268.33,268.68,265.72,266.07,990329
24-Jan-17,265.56,268.75,265.23,267.46,1017499
23-Jan-17,269.50,269.50,263.13,264.99,1418437
20-Jan-17,276.76,277.41,273.37,274.01,980105
19-Jan-17,280.04,281.50,274.80,275.05,561625
18-Jan-17,280.16,281.16,278.50,280.81,574077
17-Jan-17,278.50,281.71,276.27,278.76,660194
13-Jan-17,281.87,282.83,278.88,279.15,468198
12-Jan-17,280.12,281.98,279.21,281.58,464952
11-Jan-17,281.78,283.82,279.27,281.33,477059
10-Jan-17,279.67,283.18,278.84,281.30,443671
9-Jan-17,280.76,281.98,278.79,279.40,524792
6-Jan-17,282.81,283.97,281.34,281.78,472643
5-Jan-17,280.84,283.12,280.22,282.81,643996
4-Jan-17,280.82,282.80,279.30,282.11,492577
3-Jan-17,280.00,281.07,278.06,280.82,967683
30-Dec-16,282.59,283.37,277.37,278.41,577989
29-Dec-16,281.30,282.46,280.91,281.64,401525
28-Dec-16,284.30,284.99,280.24,280.67,446576
27-Dec-16,283.01,284.74,283.01,283.65,437030
23-Dec-16,282.88,283.78,282.07,283.22,295953
22-Dec-16,285.28,285.40,282.52,282.99,719468
21-Dec-16,285.00,286.57,283.78,285.53,506574
20-Dec-16,284.31,285.71,282.56,285.15,459010
19-Dec-16,279.30,284.16,278.01,283.11,674059
16-Dec-16,279.45,281.13,278.36,279.30,970170
15-Dec-16,276.39,282.57,275.74,278.04,609520
