Date,Open,High,Low,Close,Volume
26-May-17,59.22,59.33,58.76,59.28,1345764
25-May-17,58.68,59.27,58.45,59.11,1454169
24-May-17,58.23,58.59,58.01,58.40,1305548
23-May-17,58.10,58.26,57.80,58.05,1288360
22-May-17,57.74,58.04,57.61,57.82,1517980
19-May-17,57.50,57.70,57.23,57.51,1939135
18-May-17,57.00,57.68,56.77,57.43,1849072
17-May-17,56.83,57.28,56.57,56.94,2695608
16-May-17,57.61,57.81,56.97,57.16,2066158
15-May-17,57.16,57.78,57.16,57.61,2343912
12-May-17,57.23,57.25,56.93,57.13,1667292
11-May-17,57.38,57.44,56.94,57.19,1956093
10-May-17,57.95,58.10,57.44,57.54,1879479
9-May-17,58.05,58.24,57.65,58.02,1603257
8-May-17,58.46,58.72,57.86,58.06,1980336
5-May-17,58.89,58.89,58.48,58.87,1524195
4-May-17,57.91,58.73,57.79,58.68,1357316
3-May-17,58.50,58.52,57.40,57.90,2777600
2-May-17,59.22,59.50,59.00,59.25,942174
1-May-17,59.33,59.48,58.96,59.16,1109437
28-Apr-17,59.94,59.94,59.11,59.28,1542966
27-Apr-17,59.72,60.06,59.50,59.84,1338499
26-Apr-17,59.62,59.74,59.25,59.70,1682757
25-Apr-17,59.66,60.07,59.55,59.55,2090430
24-Apr-17,59.67,59.88,59.03,59.42,1950108
21-Apr-17,58.77,59.23,58.68,59.14,1939395
20-Apr-17,58.39,58.73,58.18,58.65,1707234
19-Apr-17,58.21,58.76,57.97,58.08,2048028
18-Apr-17,57.76,58.26,57.76,58.22,1420447
17-Apr-17,58.02,58.15,57.68,58.06,1488763
13-Apr-17,58.47,58.52,57.89,57.89,1661609
12-Apr-17,58.36,58.65,58.22,58.45,2093499
11-Apr-17,58.26,58.72,58.01,58.72,2070701
10-Apr-17,58.16,58.53,58.04,58.24,1323494
7-Apr-17,58.17,58.34,58.02,58.19,1583405
6-Apr-17,58.29,58.34,57.86,58.15,1458737
5-Apr-17,58.33,58.88,58.04,58.30,2301020
4-Apr-17,58.31,58.35,57.95,58.06,1543271
3-Apr-17,58.75,58.89,58.10,58.44,2322500
31-Mar-17,59.10,59.26,58.84,58.90,2537779
30-Mar-17,58.94,59.33,58.75,59.13,2874074
29-Mar-17,60.51,61.00,58.58,59.06,5436839
28-Mar-17,60.70,61.05,60.51,60.58,4956367
27-Mar-17,61.22,61.46,60.70,60.89,2748394
24-Mar-17,61.79,62.04,61.31,61.62,1296488
23-Mar-17,61.77,61.97,61.45,61.52,1885476
22-Mar-17,61.75,62.10,61.49,62.00,1248306
21-Mar-17,62.48,62.60,61.53,61.67,1845845
20-Mar-17,62.87,62.95,62.05,62.31,1352715
17-Mar-17,62.78,63.03,62.63,62.84,2026617
16-Mar-17,62.85,63.03,62.34,62.63,1115913
15-Mar-17,62.54,63.02,62.31,62.86,1406210
14-Mar-17,62.51,62.55,62.08,62.31,888548
13-Mar-17,62.33,62.63,62.10,62.56,1969214
10-Mar-17,62.22,62.54,61.79,62.38,893275
9-Mar-17,62.25,62.48,61.81,62.12,969580
8-Mar-17,62.15,62.60,62.01,62.32,1178930
7-Mar-17,62.14,62.58,62.06,62.16,1097391
6-Mar-17,62.24,62.59,62.07,62.41,1244794
3-Mar-17,62.18,62.54,61.84,62.50,1778954
2-Mar-17,62.56,62.59,62.21,62.36,1382992
1-Mar-17,61.71,63.01,61.65,62.81,2816968
28-Feb-17,61.58,61.81,61.21,61.42,1618247
27-Feb-17,61.58,62.13,61.24,61.53,2122795
24-Feb-17,60.44,61.94,60.20,61.81,3372648
23-Feb-17,59.85,60.54,59.56,60.41,1894701
22-Feb-17,58.95,59.63,58.95,59.60,1507651
21-Feb-17,59.23,59.35,58.75,59.10,2218893
17-Feb-17,59.46,59.46,58.74,59.13,1708140
16-Feb-17,59.47,59.59,59.09,59.49,1276209
15-Feb-17,59.33,59.52,58.85,59.38,1526344
14-Feb-17,58.88,59.33,58.83,59.27,1113730
13-Feb-17,58.75,59.23,58.70,59.04,1471217
10-Feb-17,58.62,58.99,58.42,58.46,1303093
9-Feb-17,57.69,58.67,57.66,58.49,2017717
8-Feb-17,57.48,57.83,57.17,57.65,1671210
7-Feb-17,57.65,57.99,57.07,57.57,2810298
6-Feb-17,58.02,58.40,57.35,57.62,4610225
3-Feb-17,58.90,59.17,57.71,57.97,4003329
2-Feb-17,58.41,58.81,58.12,58.55,2649473
1-Feb-17,59.50,59.50,58.43,58.52,4522152
31-Jan-17,60.45,60.76,60.09,60.29,1684077
30-Jan-17,60.73,60.99,60.42,60.81,1272935
27-Jan-17,61.55,61.56,60.98,61.17,1009834
26-Jan-17,61.54,61.61,61.25,61.45,1053615
25-Jan-17,62.01,62.17,61.40,61.62,1529386
24-Jan-17,61.18,61.96,61.18,61.87,1472049
23-Jan-17,61.36,61.49,60.98,61.11,1716851
20-Jan-17,61.10,61.70,60.95,61.47,1517933
19-Jan-17,61.04,61.11,60.79,60.90,1173448
18-Jan-17,61.00,61.14,60.72,61.04,1145814
17-Jan-17,61.33,61.47,60.64,60.85,1357477
13-Jan-17,61.32,61.69,61.26,61.47,938987
12-Jan-17,60.97,61.41,60.71,61.34,1070209
11-Jan-17,61.11,61.38,60.80,61.15,1424554
10-Jan-17,61.08,61.29,60.69,60.81,1392941
9-Jan-17,61.23,61.40,60.90,61.02,1429824
6-Jan-17,60.85,61.55,60.55,61.27,1271373
5-Jan-17,61.12,61.48,60.62,60.85,1646510
4-Jan-17,61.31,61.59,61.04,61.29,1610098
3-Jan-17,61.15,61.75,60.61,61.06,1922270
30-Dec-16,61.26,61.26,60.44,60.88,1574977
29-Dec-16,61.47,61.95,61.24,61.40,989502
28-Dec-16,61.84,61.93,61.28,61.34,1286012
27-Dec-16,61.83,62.18,61.61,61.65,944861
23-Dec-16,61.52,61.88,61.43,61.73,994176
22-Dec-16,61.35,61.55,60.85,61.50,1311387
21-Dec-16,61.71,61.86,60.26,61.39,3353047
20-Dec-16,61.89,62.14,61.49,61.93,2487761
19-Dec-16,61.53,62.04,61.29,61.55,1815693
16-Dec-16,61.76,61.97,61.01,61.24,3470891
15-Dec-16,60.43,61.03,60.18,60.74,1704685
14-Dec-16,60.38,61.20,60.25,60.48,2762172
13-Dec-16,60.14,60.66,60.03,60.25,1715733
12-Dec-16,59.97,60.33,59.86,60.19,1085329
9-Dec-16,60.02,60.46,59.80,60.16,1381310
8-Dec-16,60.29,60.45,59.84,60.27,1370752
7-Dec-16,58.70,60.45,58.58,60.24,1665799
6-Dec-16,58.98,59.02,58.30,58.67,1342626
5-Dec-16,58.65,58.89,58.31,58.83,2711931
