Date,Open,High,Low,Close,Volume
31-May-17,62.81,62.98,62.01,62.96,1730229
30-May-17,62.52,62.91,62.39,62.64,942750
26-May-17,62.69,63.00,62.44,62.63,988061
25-May-17,62.77,63.12,62.15,62.69,1288379
24-May-17,62.95,63.01,62.23,62.69,1462160
23-May-17,63.07,63.10,62.28,62.81,1122444
22-May-17,63.06,63.38,62.72,62.88,2025674
19-May-17,62.42,63.28,62.33,62.83,2348368
18-May-17,63.04,63.26,62.09,62.33,2235700
17-May-17,63.67,63.96,63.25,63.38,1981370
16-May-17,64.02,64.46,63.57,64.44,2541523
15-May-17,63.39,63.90,63.36,63.78,1905900
12-May-17,64.14,64.23,63.12,63.37,2344448
11-May-17,64.35,64.89,63.51,64.37,4377985
10-May-17,66.08,66.41,65.69,65.97,1468427
9-May-17,66.25,66.59,66.03,66.29,1251544
8-May-17,67.05,67.08,65.82,66.32,2136830
5-May-17,67.00,67.42,66.60,67.04,1112147
4-May-17,67.46,67.88,66.40,66.90,1509080
3-May-17,69.17,69.17,67.08,67.36,1378956
2-May-17,67.33,68.16,67.07,68.06,2411387
1-May-17,66.97,66.97,65.92,66.18,1671293
28-Apr-17,66.50,66.94,65.78,66.73,1895201
27-Apr-17,65.40,66.44,64.99,66.41,2247255
26-Apr-17,65.71,66.59,65.14,65.34,3118685
25-Apr-17,66.35,67.21,65.00,65.76,3950676
24-Apr-17,67.26,68.11,67.10,67.73,2878458
21-Apr-17,66.09,66.40,65.44,65.76,2285595
20-Apr-17,65.00,66.08,64.49,65.88,1401067
19-Apr-17,64.55,65.00,64.30,64.56,1948555
18-Apr-17,64.26,64.98,64.01,64.20,2442489
17-Apr-17,64.98,65.39,64.43,65.34,1678277
13-Apr-17,65.62,65.96,64.59,64.63,1891263
12-Apr-17,67.46,67.52,65.55,65.65,1844177
11-Apr-17,67.33,67.67,66.65,67.53,1531612
10-Apr-17,66.98,68.03,66.58,67.65,1441319
7-Apr-17,67.08,67.79,66.83,67.16,1603917
6-Apr-17,66.92,67.38,66.70,67.16,1243846
5-Apr-17,66.95,68.12,66.67,66.75,2326769
4-Apr-17,66.62,66.96,66.28,66.62,1653448
3-Apr-17,67.31,67.34,65.84,66.84,1522179
31-Mar-17,67.29,67.79,67.03,67.20,1336709
30-Mar-17,67.36,67.83,67.20,67.64,884630
29-Mar-17,66.90,67.94,66.89,67.65,1347731
28-Mar-17,66.37,67.37,66.25,67.09,1167219
27-Mar-17,66.99,67.25,65.76,66.49,1662284
24-Mar-17,67.74,68.06,67.29,67.62,1432881
23-Mar-17,67.55,67.86,67.04,67.59,1584289
22-Mar-17,67.52,67.90,67.06,67.53,1412631
21-Mar-17,69.24,69.43,67.35,67.65,2888546
20-Mar-17,69.44,69.60,68.79,69.11,2038010
17-Mar-17,69.18,69.61,68.80,69.52,5316568
16-Mar-17,68.95,69.20,68.69,68.89,1679351
15-Mar-17,67.81,69.13,67.75,68.87,1859469
14-Mar-17,67.67,67.67,66.64,67.35,1160471
13-Mar-17,67.76,68.16,67.71,67.87,1295407
10-Mar-17,67.37,67.85,67.03,67.71,1621530
9-Mar-17,67.02,67.47,66.23,66.72,2287329
8-Mar-17,67.73,67.97,67.11,67.31,1490635
7-Mar-17,67.91,68.63,67.52,67.57,1688532
6-Mar-17,68.23,68.76,67.51,68.27,1761044
3-Mar-17,67.58,68.72,67.41,68.63,2127145
2-Mar-17,68.94,68.98,67.28,67.38,2739201
1-Mar-17,67.91,69.51,67.49,69.19,2703574
28-Feb-17,67.53,67.65,66.65,66.81,1827122
27-Feb-17,67.31,67.69,67.01,67.61,1747506
24-Feb-17,67.40,67.58,66.66,67.42,1646585
23-Feb-17,68.34,68.49,67.11,67.44,1362297
22-Feb-17,68.40,68.54,67.71,68.04,1420377
21-Feb-17,68.93,69.18,68.38,68.77,1870661
17-Feb-17,68.50,68.88,67.65,68.85,1455370
16-Feb-17,69.88,69.92,68.44,68.72,1492971
15-Feb-17,69.68,70.07,69.27,69.80,1416240
14-Feb-17,69.74,70.12,69.53,70.07,2006624
13-Feb-17,69.00,69.89,68.94,69.87,1835160
10-Feb-17,68.21,68.87,67.88,68.73,1899608
9-Feb-17,67.00,68.32,66.70,68.19,2137244
8-Feb-17,67.58,67.58,66.67,66.84,1911572
7-Feb-17,68.07,68.59,67.53,67.63,1237192
6-Feb-17,68.05,68.57,67.57,68.07,1623691
3-Feb-17,67.32,68.87,67.32,68.49,1981162
2-Feb-17,68.24,68.97,67.38,67.59,1875749
1-Feb-17,67.64,69.80,67.37,68.63,3058770
31-Jan-17,65.92,68.64,64.96,67.31,6319054
30-Jan-17,67.36,67.75,66.40,67.62,3627583
27-Jan-17,68.17,68.19,67.13,67.59,1601188
26-Jan-17,68.28,68.44,67.72,68.08,1614351
25-Jan-17,67.00,68.69,66.82,68.40,2295294
24-Jan-17,65.65,66.91,65.65,66.70,1639076
23-Jan-17,65.99,66.00,65.23,65.47,2356529
20-Jan-17,66.00,66.31,65.42,66.00,1880617
19-Jan-17,66.54,66.70,65.48,65.74,2068205
18-Jan-17,66.90,66.91,66.18,66.31,2454089
17-Jan-17,67.00,67.46,66.61,66.92,1238555
13-Jan-17,67.07,67.65,66.78,67.52,1512772
12-Jan-17,66.80,66.80,65.69,66.33,1480635
11-Jan-17,66.25,66.82,66.02,66.80,1602024
10-Jan-17,65.27,66.31,65.11,66.25,2035508
9-Jan-17,65.75,65.99,64.76,65.07,1483803
6-Jan-17,65.55,66.35,64.95,65.88,1741057
5-Jan-17,65.90,66.23,64.97,65.14,1658250
4-Jan-17,65.70,66.39,65.65,66.22,2448430
3-Jan-17,64.62,65.93,64.61,65.32,2115795
30-Dec-16,64.54,64.96,63.77,63.90,2123223
29-Dec-16,64.97,65.30,64.32,64.37,1133558
28-Dec-16,65.87,65.98,64.82,64.96,1198588
27-Dec-16,65.54,66.01,65.36,65.63,522744
23-Dec-16,65.18,65.83,65.01,65.43,1140854
22-Dec-16,65.35,65.37,64.77,65.14,1046899
21-Dec-16,65.68,66.02,65.14,65.36,1503059
20-Dec-16,65.27,65.84,65.01,65.70,1707965
19-Dec-16,64.94,65.80,64.80,65.21,1413100
16-Dec-16,65.66,65.94,64.99,65.10,3208662
15-Dec-16,65.72,66.25,65.14,65.37,2860751
14-Dec-16,66.37,66.90,65.50,65.71,1750818
13-Dec-16,67.44,67.74,66.78,67.17,2416643
12-Dec-16,67.67,68.02,66.75,67.10,1915578
9-Dec-16,68.50,68.50,67.07,67.68,3819356
8-Dec-16,67.42,68.41,67.03,68.07,3093424
7-Dec-16,64.71,67.97,64.25,67.63,3658831
6-Dec-16,65.10,65.50,64.04,64.43,3578597
5-Dec-16,63.91,65.50,63.65,65.41,3724806
2-Dec-16,62.77,63.31,62.08,63.10,1797219
1-Dec-16,58.78,63.30,58.78,63.04,2210928
30-Nov-16,61.69,62.62,61.35,62.15,2213104
29-Nov-16,60.93,61.46,60.49,61.27,1954168
28-Nov-16,61.88,62.00,60.94,61.00,1486978
25-Nov-16,62.19,62.19,61.38,62.00,717003
23-Nov-16,60.92,62.22,60.63,61.98,1959935
22-Nov-16,60.38,60.84,60.15,60.75,1536169
21-Nov-16,60.04,60.52,59.89,60.14,1241498
18-Nov-16,59.80,60.12,59.61,59.78,1366479
17-Nov-16,59.98,60.37,59.86,60.02,1470006
16-Nov-16,60.39,60.41,59.79,60.30,1809668
15-Nov-16,59.48,60.70,59.19,60.63,2283279
14-Nov-16,59.33,59.89,58.73,59.55,2195779
11-Nov-16,59.90,60.44,58.38,59.17,2461369
10-Nov-16,58.12,60.40,58.12,60.33,4372947
9-Nov-16,53.38,58.25,53.38,57.96,2749915
8-Nov-16,55.66,55.88,54.81,55.56,1630297
7-Nov-16,55.44,55.88,55.16,55.76,1800881
4-Nov-16,53.62,55.15,53.62,54.52,2283467
3-Nov-16,54.62,54.95,54.00,54.14,2022843
2-Nov-16,54.59,55.16,54.35,54.53,2207730
1-Nov-16,55.03,55.54,54.11,54.60,1639886
31-Oct-16,55.61,55.85,54.88,54.92,2472817
28-Oct-16,55.34,55.82,55.10,55.39,2617797
27-Oct-16,55.42,55.56,54.52,55.28,2131217
26-Oct-16,54.56,55.50,54.04,55.26,2709566
25-Oct-16,55.01,56.78,54.25,54.80,4700499
24-Oct-16,56.88,57.54,56.33,56.34,2273040
21-Oct-16,55.93,56.69,55.32,56.49,2059400
20-Oct-16,56.94,56.94,55.93,56.63,1570276
19-Oct-16,56.45,57.18,56.35,56.95,1418726
18-Oct-16,57.46,57.70,56.79,56.92,1519395
17-Oct-16,56.89,57.19,56.75,56.81,986128
14-Oct-16,57.04,57.41,56.68,56.82,1084132
13-Oct-16,56.84,57.02,56.29,56.69,1526816
12-Oct-16,57.35,58.05,56.58,57.45,2283684
11-Oct-16,58.44,58.61,57.16,57.43,2183573
10-Oct-16,59.35,59.50,58.42,58.51,1185110
7-Oct-16,59.95,60.21,58.74,59.03,1563971
6-Oct-16,59.80,59.83,59.35,59.76,1084214
5-Oct-16,59.24,60.00,58.70,59.82,1215825
4-Oct-16,58.76,59.83,58.68,59.09,1921397
3-Oct-16,58.48,58.92,58.36,58.77,984811
30-Sep-16,58.40,59.30,57.99,58.78,2219689
29-Sep-16,58.38,58.88,57.79,57.89,1425713
28-Sep-16,57.49,58.55,57.49,58.51,1251870
27-Sep-16,57.10,57.44,56.77,57.38,1501399
26-Sep-16,57.57,57.83,57.14,57.19,1331922
