Date,Open,High,Low,Close,Volume
31-May-17,1862.38,1877.09,1850.00,1877.09,559726
30-May-17,1857.67,1863.65,1845.60,1857.45,484059
26-May-17,1861.55,1869.48,1852.64,1863.90,419645
25-May-17,1850.00,1870.39,1848.40,1860.43,532733
24-May-17,1829.13,1850.00,1829.13,1848.74,408929
23-May-17,1825.44,1832.98,1814.50,1827.94,346402
22-May-17,1815.90,1832.46,1813.37,1828.42,367475
19-May-17,1800.00,1822.22,1799.67,1808.28,457743
18-May-17,1795.00,1814.17,1791.40,1796.03,502975
17-May-17,1818.44,1820.46,1793.60,1795.69,621996
16-May-17,1819.83,1835.22,1817.56,1829.80,487203
15-May-17,1817.97,1827.27,1811.00,1813.81,521947
12-May-17,1824.33,1827.56,1814.00,1818.18,638719
11-May-17,1819.75,1824.76,1800.71,1813.56,775308
10-May-17,1853.78,1853.78,1801.00,1824.77,1761068
9-May-17,1911.44,1915.97,1898.04,1911.13,771471
8-May-17,1907.00,1927.13,1896.00,1903.91,585033
5-May-17,1918.00,1922.26,1897.38,1903.65,580275
4-May-17,1880.00,1917.90,1870.58,1910.41,675793
3-May-17,1884.65,1884.99,1865.47,1876.79,301111
2-May-17,1874.38,1882.96,1862.45,1880.52,260221
1-May-17,1849.90,1890.83,1849.90,1869.92,481924
28-Apr-17,1851.49,1858.61,1838.48,1846.82,477366
27-Apr-17,1807.00,1839.56,1800.28,1835.87,436093
26-Apr-17,1799.20,1806.05,1793.20,1804.12,321654
25-Apr-17,1807.78,1807.78,1795.31,1799.09,356429
24-Apr-17,1778.46,1805.78,1773.90,1798.62,852348
21-Apr-17,1759.90,1765.97,1746.37,1752.01,459493
20-Apr-17,1764.27,1771.86,1760.24,1760.80,346550
19-Apr-17,1766.90,1771.24,1757.41,1763.20,291148
18-Apr-17,1768.59,1770.99,1755.39,1763.31,287207
17-Apr-17,1743.00,1772.85,1739.70,1770.61,425663
13-Apr-17,1754.63,1757.18,1738.34,1738.77,418307
12-Apr-17,1774.58,1774.90,1750.01,1750.01,426815
11-Apr-17,1770.01,1780.55,1756.60,1768.40,353316
10-Apr-17,1770.00,1782.12,1767.20,1775.97,262001
7-Apr-17,1773.94,1773.99,1761.26,1769.56,289700
6-Apr-17,1764.75,1774.94,1755.37,1773.52,327409
5-Apr-17,1770.66,1787.57,1758.75,1761.77,324137
4-Apr-17,1772.99,1774.50,1761.41,1767.38,258457
3-Apr-17,1776.26,1785.00,1766.01,1773.99,360029
31-Mar-17,1784.74,1790.78,1778.78,1779.97,420527
30-Mar-17,1788.48,1795.56,1779.64,1789.20,278237
29-Mar-17,1789.83,1797.46,1783.30,1785.05,288372
28-Mar-17,1767.65,1798.75,1766.51,1788.45,454890
27-Mar-17,1736.00,1774.34,1733.00,1772.00,400413
24-Mar-17,1753.60,1757.49,1748.19,1753.11,300374
23-Mar-17,1752.95,1758.80,1747.67,1748.33,220854
22-Mar-17,1747.14,1754.90,1739.00,1751.99,278518
21-Mar-17,1772.00,1772.00,1744.08,1747.14,432755
20-Mar-17,1773.50,1776.69,1762.57,1765.44,262391
17-Mar-17,1774.73,1774.73,1766.78,1772.63,414638
16-Mar-17,1771.00,1775.00,1768.94,1773.98,302241
15-Mar-17,1772.78,1773.38,1759.78,1767.98,353244
14-Mar-17,1767.93,1769.86,1756.24,1769.00,321166
13-Mar-17,1757.00,1772.49,1754.94,1767.12,327936
10-Mar-17,1757.14,1759.17,1750.81,1754.24,330910
9-Mar-17,1738.15,1756.32,1738.15,1749.42,419507
8-Mar-17,1735.20,1749.64,1731.67,1743.49,421157
7-Mar-17,1720.00,1737.62,1720.00,1736.46,282612
6-Mar-17,1730.00,1736.85,1727.00,1730.21,354605
3-Mar-17,1731.00,1742.00,1729.41,1735.10,292797
2-Mar-17,1737.52,1747.26,1730.80,1734.37,503317
1-Mar-17,1741.00,1742.02,1726.23,1733.18,623667
28-Feb-17,1703.89,1748.39,1698.10,1724.13,1739807
27-Feb-17,1631.11,1635.32,1612.41,1632.01,812957
24-Feb-17,1627.55,1640.68,1622.02,1631.62,562914
23-Feb-17,1661.90,1664.99,1633.40,1637.26,412834
22-Feb-17,1641.52,1653.46,1639.00,1651.74,278868
21-Feb-17,1642.98,1657.24,1637.42,1647.00,460327
17-Feb-17,1648.78,1648.78,1634.06,1637.40,413956
16-Feb-17,1647.45,1658.97,1642.50,1648.88,301723
15-Feb-17,1631.30,1651.27,1628.00,1648.96,281001
14-Feb-17,1646.18,1646.31,1630.34,1637.29,391013
13-Feb-17,1652.00,1652.00,1640.00,1646.18,414147
10-Feb-17,1617.47,1649.65,1614.02,1646.51,843784
9-Feb-17,1602.84,1616.08,1598.05,1611.83,414258
8-Feb-17,1595.18,1604.30,1589.00,1601.19,373637
7-Feb-17,1590.00,1598.93,1588.00,1598.70,295491
6-Feb-17,1581.34,1588.87,1571.32,1587.18,210247
3-Feb-17,1576.49,1587.99,1572.81,1583.38,318032
2-Feb-17,1570.03,1585.45,1567.00,1574.09,444754
1-Feb-17,1584.09,1586.59,1562.86,1575.31,330688
31-Jan-17,1599.00,1599.41,1569.03,1575.13,517992
30-Jan-17,1598.65,1603.58,1571.00,1602.31,469914
27-Jan-17,1581.00,1605.47,1577.67,1602.92,428544
26-Jan-17,1576.56,1587.51,1575.45,1581.44,294924
25-Jan-17,1569.00,1581.47,1565.26,1578.82,308820
24-Jan-17,1558.38,1566.06,1552.13,1563.33,360258
23-Jan-17,1541.47,1555.73,1534.63,1554.99,430332
20-Jan-17,1547.56,1547.56,1528.01,1545.01,596473
19-Jan-17,1541.40,1549.00,1532.72,1539.02,279178
18-Jan-17,1545.22,1547.25,1529.21,1541.86,246014
17-Jan-17,1544.00,1546.99,1534.01,1540.13,330472
13-Jan-17,1535.75,1548.94,1531.26,1545.82,327038
12-Jan-17,1531.56,1539.93,1516.00,1538.59,314981
11-Jan-17,1532.21,1546.67,1527.02,1536.11,405273
10-Jan-17,1534.96,1544.56,1529.50,1535.25,325352
9-Jan-17,1518.00,1538.77,1518.00,1529.64,397497
6-Jan-17,1501.54,1526.47,1501.21,1520.57,473400
5-Jan-17,1489.89,1504.94,1489.89,1503.70,447540
4-Jan-17,1484.64,1493.65,1480.75,1487.29,388519
3-Jan-17,1476.91,1487.36,1459.49,1477.57,458853
30-Dec-16,1483.49,1483.49,1462.34,1466.06,407379
29-Dec-16,1477.21,1487.43,1473.35,1480.16,200861
28-Dec-16,1494.73,1496.05,1476.48,1480.46,248715
27-Dec-16,1490.01,1503.39,1486.43,1493.42,193927
23-Dec-16,1477.54,1490.08,1470.34,1486.20,275867
22-Dec-16,1501.40,1503.18,1475.42,1481.34,406420
21-Dec-16,1498.11,1512.71,1495.00,1505.76,291489
20-Dec-16,1488.06,1503.96,1483.98,1502.25,306567
19-Dec-16,1484.27,1501.47,1477.99,1488.83,390571
16-Dec-16,1507.50,1507.97,1473.13,1484.28,714549
15-Dec-16,1520.00,1523.00,1500.57,1501.20,584618
14-Dec-16,1542.74,1549.13,1525.72,1528.45,307587
13-Dec-16,1545.19,1560.00,1538.26,1540.11,387983
12-Dec-16,1560.55,1566.63,1528.57,1536.78,396630
9-Dec-16,1555.50,1559.18,1549.94,1557.98,333919
8-Dec-16,1535.36,1551.77,1522.76,1548.67,506505
7-Dec-16,1504.69,1527.80,1501.87,1527.04,389907
6-Dec-16,1506.96,1508.09,1493.99,1504.82,255320
5-Dec-16,1476.19,1502.87,1475.22,1499.76,350058
2-Dec-16,1481.48,1488.80,1466.98,1473.00,336892
1-Dec-16,1501.69,1504.12,1468.97,1479.66,572693
30-Nov-16,1523.25,1528.58,1500.21,1503.68,375620
29-Nov-16,1528.65,1532.90,1515.00,1520.27,327065
28-Nov-16,1517.30,1536.00,1513.11,1525.07,348940
25-Nov-16,1523.12,1527.99,1511.40,1521.68,174009
23-Nov-16,1530.92,1533.56,1510.89,1520.99,319016
22-Nov-16,1530.25,1535.90,1525.64,1535.42,320070
21-Nov-16,1512.00,1531.02,1507.20,1524.18,296359
18-Nov-16,1512.28,1529.00,1504.53,1507.35,426312
17-Nov-16,1502.54,1530.95,1500.19,1512.90,413476
16-Nov-16,1492.39,1517.00,1488.23,1503.23,366913
15-Nov-16,1499.97,1507.76,1485.60,1497.45,669081
14-Nov-16,1540.46,1541.92,1482.23,1489.18,801850
11-Nov-16,1548.10,1557.70,1530.87,1540.65,643516
10-Nov-16,1584.44,1600.93,1520.30,1554.32,1102306
9-Nov-16,1565.00,1575.00,1546.58,1570.26,912686
8-Nov-16,1540.00,1589.20,1540.00,1578.13,1560975
7-Nov-16,1437.45,1485.20,1435.79,1480.33,1395456
4-Nov-16,1429.05,1442.14,1422.19,1424.28,435291
3-Nov-16,1449.35,1456.52,1435.41,1438.10,367738
2-Nov-16,1468.48,1469.55,1441.79,1445.33,540224
1-Nov-16,1474.23,1480.01,1453.93,1467.00,562866
31-Oct-16,1478.30,1479.61,1472.28,1474.23,284405
28-Oct-16,1465.08,1483.00,1460.00,1474.82,600851
27-Oct-16,1475.10,1480.00,1461.08,1463.02,358829
26-Oct-16,1475.00,1477.55,1465.48,1469.16,416808
25-Oct-16,1466.24,1481.85,1465.87,1479.03,365694
24-Oct-16,1470.45,1479.83,1465.48,1471.80,274599
21-Oct-16,1460.77,1468.00,1455.50,1467.39,379658
20-Oct-16,1473.93,1473.99,1461.01,1468.29,300405
19-Oct-16,1457.35,1474.70,1455.21,1469.20,344781
18-Oct-16,1450.63,1459.90,1446.51,1454.97,326060
17-Oct-16,1436.63,1443.36,1429.60,1437.65,263753
14-Oct-16,1450.00,1456.35,1435.05,1439.57,329273
13-Oct-16,1445.80,1449.16,1429.58,1442.52,483908
12-Oct-16,1458.00,1469.30,1452.81,1454.84,288733
11-Oct-16,1470.00,1475.52,1455.01,1459.02,418446
10-Oct-16,1481.00,1486.59,1470.24,1475.18,441838
7-Oct-16,1498.74,1498.74,1478.01,1479.82,414723
6-Oct-16,1492.73,1497.26,1485.28,1490.44,362074
5-Oct-16,1493.56,1501.79,1490.00,1497.58,399188
4-Oct-16,1494.35,1498.83,1483.02,1489.02,386451
3-Oct-16,1463.83,1490.43,1459.42,1486.72,514271
30-Sep-16,1478.07,1480.69,1463.92,1471.49,436543
29-Sep-16,1459.01,1481.78,1455.31,1472.98,652881
28-Sep-16,1459.48,1461.56,1449.25,1458.03,394664
27-Sep-16,1446.65,1460.52,1441.22,1453.49,471871
26-Sep-16,1452.62,1453.77,1440.23,1447.15,327638
23-Sep-16,1465.00,1465.00,1452.41,1456.76,321210
22-Sep-16,1464.85,1469.93,1458.00,1465.87,337806
21-Sep-16,1452.64,1464.68,1442.51,1464.00,412516
20-Sep-16,1457.89,1459.53,1440.00,1449.00,289731
19-Sep-16,1469.00,1473.17,1446.55,1448.06,503035
16-Sep-16,1453.31,1462.91,1442.22,1460.05,740407
15-Sep-16,1431.98,1458.91,1426.16,1457.22,733999
14-Sep-16,1418.70,1431.20,1416.01,1429.38,394022
13-Sep-16,1426.00,1439.99,1405.53,1415.95,524339
12-Sep-16,1402.67,1443.13,1402.67,1436.21,504645
9-Sep-16,1432.66,1443.00,1413.23,1413.90,496124
8-Sep-16,1443.33,1454.11,1441.93,1445.83,350790
7-Sep-16,1434.75,1447.32,1429.83,1444.01,302258
6-Sep-16,1421.92,1436.96,1416.25,1436.96,387261
2-Sep-16,1427.00,1429.98,1415.76,1422.85,264067
1-Sep-16,1422.50,1424.37,1408.53,1418.59,307241
31-Aug-16,1414.15,1418.41,1408.00,1416.73,167289
30-Aug-16,1422.69,1430.51,1412.00,1416.55,199040
29-Aug-16,1423.00,1433.97,1419.76,1425.19,316637
26-Aug-16,1415.55,1429.69,1410.50,1419.79,412011
25-Aug-16,1404.13,1418.60,1404.13,1415.55,309617
24-Aug-16,1419.21,1429.53,1404.01,1410.18,369254
23-Aug-16,1425.32,1433.00,1419.50,1422.47,306488
22-Aug-16,1434.44,1434.45,1421.00,1423.99,405731
19-Aug-16,1438.00,1443.07,1428.08,1432.00,476843
18-Aug-16,1440.00,1449.90,1437.50,1443.07,523477
17-Aug-16,1408.66,1429.27,1404.03,1427.20,479748
16-Aug-16,1397.95,1410.37,1392.44,1408.66,365673
15-Aug-16,1408.00,1412.10,1396.75,1399.16,429164
12-Aug-16,1400.95,1408.34,1400.95,1407.98,282017
11-Aug-16,1408.75,1416.43,1405.37,1406.92,301355
10-Aug-16,1411.00,1412.00,1401.05,1406.28,268372
9-Aug-16,1404.51,1409.40,1398.25,1407.01,428147
8-Aug-16,1415.54,1418.58,1402.02,1405.00,637030
5-Aug-16,1435.00,1435.00,1406.99,1414.22,1456551
4-Aug-16,1358.40,1363.68,1344.32,1359.99,1321562
3-Aug-16,1341.60,1376.68,1336.03,1371.14,861817
2-Aug-16,1353.31,1363.00,1325.72,1345.38,597354
1-Aug-16,1353.73,1363.59,1342.40,1356.08,547920
29-Jul-16,1314.99,1353.99,1313.42,1350.81,1413587
28-Jul-16,1310.00,1329.87,1310.00,1326.10,500475
27-Jul-16,1319.40,1340.00,1315.46,1324.48,482154
26-Jul-16,1322.75,1331.32,1316.03,1324.53,456085
25-Jul-16,1330.45,1330.72,1305.09,1321.67,592944
22-Jul-16,1336.23,1336.70,1323.07,1327.40,405747
21-Jul-16,1349.01,1350.80,1325.82,1332.50,523119
20-Jul-16,1330.11,1362.99,1323.68,1352.83,650081
19-Jul-16,1332.00,1338.59,1325.00,1327.00,381864
18-Jul-16,1332.50,1349.43,1328.10,1341.36,300251
15-Jul-16,1327.89,1334.00,1322.59,1330.57,562035
14-Jul-16,1345.26,1351.00,1340.24,1346.18,290939
13-Jul-16,1342.38,1359.71,1337.89,1338.65,351473
12-Jul-16,1362.00,1366.99,1334.01,1345.43,489838
11-Jul-16,1342.90,1360.99,1341.49,1351.03,648173
8-Jul-16,1306.94,1330.62,1304.22,1329.46,713010
7-Jul-16,1289.64,1305.94,1289.64,1297.26,495034
6-Jul-16,1269.86,1294.43,1260.00,1292.04,562266
5-Jul-16,1259.56,1275.05,1246.21,1275.03,568815
1-Jul-16,1249.01,1275.70,1245.51,1267.37,644221
30-Jun-16,1271.25,1275.57,1240.01,1248.41,921489
29-Jun-16,1220.00,1248.96,1216.00,1239.41,778492
28-Jun-16,1217.98,1235.70,1188.85,1204.25,1205971
27-Jun-16,1220.12,1233.91,1148.06,1186.05,1760037
24-Jun-16,1293.78,1313.77,1217.33,1232.14,3179187
23-Jun-16,1374.00,1394.00,1371.00,1390.20,679196
22-Jun-16,1373.25,1374.50,1352.33,1360.10,685491
21-Jun-16,1344.35,1351.00,1329.29,1343.05,453436
20-Jun-16,1323.64,1359.90,1322.30,1341.96,723182
17-Jun-16,1324.20,1324.20,1304.01,1309.24,536430
16-Jun-16,1304.00,1335.00,1303.39,1323.89,629057
15-Jun-16,1306.10,1319.00,1302.27,1305.42,490888
14-Jun-16,1310.91,1321.00,1291.02,1304.10,527348
13-Jun-16,1313.50,1337.96,1312.69,1315.47,415529
10-Jun-16,1327.61,1331.36,1315.40,1318.90,479558
9-Jun-16,1347.02,1351.31,1336.31,1340.07,450659
8-Jun-16,1360.00,1368.90,1352.01,1354.83,495123
7-Jun-16,1348.01,1373.98,1345.01,1360.00,865528
6-Jun-16,1302.52,1351.74,1299.08,1349.10,842668
3-Jun-16,1280.79,1303.77,1276.05,1301.71,596705
2-Jun-16,1279.40,1290.35,1272.17,1290.00,447371
1-Jun-16,1259.06,1282.57,1249.51,1278.00,755661
31-May-16,1278.45,1286.35,1255.00,1264.33,784182
27-May-16,1267.02,1273.60,1262.50,1273.00,305742
26-May-16,1270.93,1280.00,1261.57,1269.02,268806
25-May-16,1258.51,1277.23,1251.00,1270.18,344805
24-May-16,1237.86,1262.66,1236.95,1256.63,391922
23-May-16,1246.35,1253.92,1234.72,1237.49,399740
20-May-16,1254.21,1258.83,1245.68,1249.29,443969
19-May-16,1250.78,1258.90,1233.89,1250.31,548816
18-May-16,1271.21,1288.00,1255.38,1267.27,378451
17-May-16,1284.89,1295.95,1274.16,1278.02,456647
16-May-16,1281.95,1289.45,1269.06,1283.47,432438
13-May-16,1274.00,1289.00,1271.01,1278.64,480504
12-May-16,1273.49,1290.20,1270.22,1282.25,670995
11-May-16,1266.68,1274.14,1260.00,1267.31,496032
10-May-16,1252.75,1274.55,1250.51,1268.27,539846
9-May-16,1250.10,1253.00,1231.12,1244.92,425366
6-May-16,1231.01,1253.00,1231.01,1250.10,571341
5-May-16,1253.88,1263.92,1239.02,1240.85,816856
4-May-16,1258.00,1266.00,1205.25,1253.04,2856782
3-May-16,1346.22,1358.54,1335.08,1354.64,856243
2-May-16,1349.00,1358.78,1325.00,1356.69,508104
29-Apr-16,1332.41,1368.46,1332.41,1343.66,1016371
28-Apr-16,1330.00,1355.91,1310.14,1317.59,732906
27-Apr-16,1331.75,1357.00,1327.00,1353.74,395476
