Date,Open,High,Low,Close,Volume
19-May-17,49.15,49.71,49.06,49.39,7813796
18-May-17,49.03,49.58,48.89,49.11,9932138
17-May-17,49.87,50.10,49.02,49.05,6598437
16-May-17,49.63,50.35,49.57,50.34,5347215
15-May-17,49.31,50.00,49.25,49.77,4705853
12-May-17,49.58,49.75,49.24,49.37,4933734
11-May-17,49.63,49.71,49.11,49.70,5547776
10-May-17,49.18,49.80,49.02,49.79,6507686
9-May-17,49.06,49.37,48.90,49.22,4774764
8-May-17,49.43,49.45,48.81,49.17,6641007
5-May-17,48.62,49.44,48.40,49.30,4876241
4-May-17,48.93,49.38,48.82,48.91,7148798
3-May-17,49.16,49.29,48.62,49.02,11613055
2-May-17,47.41,49.07,47.40,49.05,16820809
1-May-17,47.39,47.71,47.32,47.54,14537516
28-Apr-17,47.03,47.76,46.87,47.72,11642778
27-Apr-17,47.25,48.10,46.75,47.15,34420209
26-Apr-17,45.04,45.04,44.25,44.41,9846931
25-Apr-17,44.49,45.01,44.35,44.71,7827949
24-Apr-17,44.09,44.28,43.95,44.27,4643797
21-Apr-17,43.86,44.00,43.60,43.81,8015796
20-Apr-17,43.32,43.80,43.26,43.69,4811155
19-Apr-17,43.03,43.47,42.90,43.30,4913855
18-Apr-17,43.20,43.20,42.86,43.09,3711648
17-Apr-17,42.60,43.14,42.60,43.10,3151602
13-Apr-17,42.50,42.89,42.32,42.55,3631442
12-Apr-17,42.10,42.81,42.06,42.49,5800144
11-Apr-17,42.99,43.09,42.61,42.69,4856260
10-Apr-17,43.07,43.55,43.01,43.05,4579501
7-Apr-17,42.89,43.18,42.71,43.04,4861189
6-Apr-17,42.90,43.00,42.72,42.90,5395420
5-Apr-17,42.83,43.34,42.74,42.89,5292287
4-Apr-17,42.74,42.74,42.26,42.72,4681835
3-Apr-17,43.20,43.30,42.51,42.63,7772986
31-Mar-17,43.44,43.48,43.01,43.02,5177925
30-Mar-17,43.15,43.80,43.00,43.54,5691682
29-Mar-17,43.15,43.30,42.96,43.24,3951121
28-Mar-17,42.87,43.25,42.84,43.15,4396544
27-Mar-17,42.69,43.20,42.58,43.08,3850321
24-Mar-17,43.48,43.50,42.94,43.13,5739538
23-Mar-17,43.13,43.61,43.00,43.14,7176360
22-Mar-17,42.60,43.24,42.45,43.19,6513341
21-Mar-17,43.33,43.40,42.46,42.64,7838436
20-Mar-17,43.10,43.32,42.81,43.16,6686901
17-Mar-17,42.57,43.30,42.37,43.08,12309652
16-Mar-17,42.50,42.58,42.14,42.40,3998562
15-Mar-17,42.29,42.57,41.89,42.39,4291806
14-Mar-17,42.51,42.64,41.74,42.10,5888061
13-Mar-17,42.87,42.96,42.45,42.59,5527468
10-Mar-17,43.19,43.28,42.76,42.99,4636199
9-Mar-17,42.66,43.00,42.45,42.92,3487918
8-Mar-17,42.84,43.18,42.72,42.79,4573934
7-Mar-17,42.80,43.20,42.71,42.89,4404707
6-Mar-17,42.98,43.03,42.63,42.87,6032844
