Date,Open,High,Low,Close,Volume
31-May-17,23.75,23.75,23.15,23.46,2907747
30-May-17,23.78,23.98,23.53,23.67,1883577
26-May-17,23.77,23.80,23.52,23.72,1660551
25-May-17,23.56,24.02,23.39,23.72,2439899
24-May-17,23.57,23.71,23.40,23.40,1917351
23-May-17,24.02,24.02,23.53,23.53,1627863
22-May-17,23.69,24.03,23.24,23.96,2104189
19-May-17,23.33,23.88,23.29,23.74,1504570
18-May-17,23.35,23.64,23.23,23.39,1836080
17-May-17,23.42,23.67,23.23,23.29,2319950
16-May-17,23.69,23.78,23.42,23.55,2498662
15-May-17,23.63,23.84,23.53,23.55,2710560
12-May-17,23.63,23.78,23.33,23.67,1865243
11-May-17,23.98,24.02,23.58,23.69,1907393
10-May-17,23.94,24.08,23.71,24.03,3507648
9-May-17,21.76,23.72,21.73,23.70,7331052
8-May-17,21.23,21.29,21.07,21.27,2542754
5-May-17,21.08,21.20,20.94,21.18,2845135
4-May-17,21.00,21.07,20.78,21.05,2984642
3-May-17,21.38,21.39,20.98,21.00,3414084
2-May-17,21.33,21.52,21.28,21.39,3589668
1-May-17,21.19,21.57,21.06,21.33,1621281
28-Apr-17,21.34,21.34,21.08,21.18,2632451
27-Apr-17,21.10,21.38,20.94,21.37,1747230
26-Apr-17,21.08,21.12,20.74,21.07,9544355
25-Apr-17,21.20,21.26,20.93,20.95,3350781
24-Apr-17,21.44,21.62,21.06,21.11,3019403
21-Apr-17,21.37,21.38,21.05,21.17,2396747
20-Apr-17,21.35,21.70,21.23,21.31,2013316
19-Apr-17,21.28,21.40,21.17,21.33,1791814
18-Apr-17,21.09,21.20,20.94,21.16,1408809
17-Apr-17,21.06,21.25,20.92,21.17,1471052
13-Apr-17,21.24,21.36,20.99,21.02,1900147
12-Apr-17,21.33,21.51,21.16,21.19,1796360
11-Apr-17,21.24,21.44,20.99,21.39,2821896
10-Apr-17,20.67,21.27,20.66,21.21,3319150
7-Apr-17,20.70,20.80,20.56,20.74,2115003
6-Apr-17,20.48,20.68,20.39,20.65,2230847
5-Apr-17,20.58,20.82,20.45,20.47,3022887
4-Apr-17,20.50,21.09,20.15,20.42,8704353
3-Apr-17,19.95,20.05,19.81,19.97,2916618
31-Mar-17,19.84,20.04,19.70,20.02,3095994
30-Mar-17,19.67,19.91,19.60,19.90,1816421
29-Mar-17,19.67,19.82,19.50,19.72,3602200
28-Mar-17,19.44,19.82,19.44,19.66,2529428
27-Mar-17,19.31,19.55,19.20,19.50,3702916
24-Mar-17,19.37,19.51,19.26,19.44,1686879
23-Mar-17,19.18,19.34,19.08,19.29,1782664
22-Mar-17,19.14,19.25,18.91,19.15,2062731
21-Mar-17,20.29,20.29,19.03,19.11,3253161
20-Mar-17,19.99,20.02,19.46,19.54,2025712
17-Mar-17,20.33,20.33,19.88,20.00,3504286
16-Mar-17,19.98,20.51,19.93,20.07,3191896
15-Mar-17,19.50,19.94,19.43,19.84,3604418
14-Mar-17,19.43,19.55,19.06,19.40,2121290
13-Mar-17,19.74,19.89,19.32,19.50,2399076
10-Mar-17,19.84,20.06,19.66,19.80,3400371
9-Mar-17,19.35,19.64,19.24,19.59,3484079
8-Mar-17,18.81,19.36,18.79,19.26,3524596
7-Mar-17,19.38,19.38,18.72,18.81,3538938
6-Mar-17,18.84,19.30,18.75,19.21,3785146
3-Mar-17,19.09,19.20,18.64,18.86,4477595
2-Mar-17,19.01,19.17,18.85,19.00,3480304
1-Mar-17,19.44,19.44,18.50,19.01,5979061
28-Feb-17,19.50,19.75,17.24,18.88,15114650
27-Feb-17,19.95,20.05,19.74,19.95,5432790
24-Feb-17,20.14,20.35,19.71,20.01,2949115
23-Feb-17,20.58,20.88,20.02,20.06,2528102
22-Feb-17,19.89,20.70,19.79,20.54,4623299
21-Feb-17,19.41,19.77,19.23,19.71,2265634
17-Feb-17,19.28,19.52,19.16,19.30,1772473
16-Feb-17,19.61,19.66,19.20,19.24,1777310
15-Feb-17,19.17,19.64,19.17,19.62,1602087
14-Feb-17,18.94,19.26,18.90,19.21,1518122
13-Feb-17,19.34,19.51,18.97,19.03,1862186
