Date,Open,High,Low,Close,Volume
26-May-17,456.70,459.25,453.34,455.17,475520
25-May-17,460.04,460.04,455.02,455.70,671881
24-May-17,461.37,461.94,452.11,458.24,468844
23-May-17,462.00,464.25,458.79,461.37,573858
22-May-17,448.48,464.40,448.39,460.99,782901
19-May-17,456.06,458.49,448.00,450.01,996846
18-May-17,448.00,462.96,446.05,457.33,1107622
17-May-17,451.29,458.58,445.30,446.72,750078
16-May-17,451.79,456.74,445.80,454.75,943112
15-May-17,440.38,450.78,439.61,450.41,772102
12-May-17,441.54,452.88,438.59,442.05,1213708
11-May-17,429.79,441.71,428.85,440.43,895992
10-May-17,427.13,431.74,422.95,431.57,518969
9-May-17,422.83,428.72,421.55,427.18,567081
8-May-17,427.76,436.47,421.88,423.38,864606
5-May-17,434.79,438.47,426.40,429.00,1060607
4-May-17,410.19,437.32,410.19,434.31,2320333
3-May-17,402.00,408.12,400.39,407.03,1265473
2-May-17,396.65,402.98,392.70,402.04,884408
1-May-17,388.80,399.98,388.22,396.17,1246852
28-Apr-17,368.51,393.50,368.30,388.49,2180107
27-Apr-17,370.90,371.71,360.00,366.62,1981461
26-Apr-17,372.12,375.40,369.47,371.39,516438
25-Apr-17,373.09,376.24,370.00,372.32,711724
24-Apr-17,373.83,374.94,369.04,371.93,714988
21-Apr-17,376.40,379.20,368.81,370.12,640254
20-Apr-17,371.92,377.48,368.05,376.40,767957
19-Apr-17,368.12,371.31,366.52,370.96,501250
18-Apr-17,371.04,374.72,363.39,366.06,520307
17-Apr-17,373.00,374.36,369.10,373.45,574429
13-Apr-17,367.61,373.87,366.50,370.37,699818
12-Apr-17,367.00,372.60,364.23,366.33,660995
11-Apr-17,372.50,373.89,363.99,367.07,851473
10-Apr-17,380.01,382.89,372.83,373.26,896536
7-Apr-17,379.60,381.36,375.61,380.55,741730
6-Apr-17,379.00,381.98,376.36,379.48,1120083
5-Apr-17,382.93,384.51,375.72,377.36,772871
4-Apr-17,383.94,386.06,379.28,382.92,681157
3-Apr-17,388.00,392.75,382.26,383.19,994847
31-Mar-17,385.75,390.00,382.60,387.51,570333
30-Mar-17,394.89,397.21,385.82,386.18,967019
29-Mar-17,382.46,401.21,382.06,394.14,1945473
28-Mar-17,383.47,388.82,376.22,382.55,1651254
27-Mar-17,371.69,384.96,371.04,383.68,1386403
24-Mar-17,367.92,374.85,366.72,373.00,881363
23-Mar-17,369.19,370.73,364.44,365.02,677088
22-Mar-17,373.12,374.74,366.12,369.14,684628
21-Mar-17,382.89,383.08,370.24,370.98,1224616
20-Mar-17,380.83,385.71,377.72,382.02,576945
17-Mar-17,380.05,386.69,370.68,380.29,2839916
16-Mar-17,397.46,399.00,389.29,392.59,770860
15-Mar-17,393.64,399.72,391.83,397.80,808206
14-Mar-17,386.87,393.59,386.87,391.10,548963
