Date,Open,High,Low,Close,Volume
26-May-17,63.15,63.69,62.79,63.52,1923722
25-May-17,62.35,63.27,62.11,63.00,4110197
24-May-17,62.03,62.51,61.68,61.95,3020449
23-May-17,62.30,62.63,61.75,62.02,3343399
22-May-17,62.30,62.92,61.88,62.45,3686059
19-May-17,62.91,63.95,61.23,62.20,6901192
18-May-17,61.85,62.16,61.01,61.07,3702876
17-May-17,61.31,62.43,61.22,61.52,4108658
16-May-17,60.54,61.87,59.67,61.50,8804297
15-May-17,63.45,63.62,62.28,62.35,5505106
12-May-17,64.98,65.12,63.47,63.49,3332452
11-May-17,65.59,65.80,64.57,65.23,2691075
10-May-17,65.27,66.53,64.94,66.05,3073188
9-May-17,64.59,65.59,64.36,65.22,1696417
8-May-17,64.75,64.89,64.43,64.63,1532107
5-May-17,64.70,64.90,64.41,64.70,1922288
4-May-17,65.14,65.39,64.33,64.57,1876213
3-May-17,64.85,65.22,64.66,65.14,1741869
2-May-17,64.07,64.76,63.96,64.72,2524271
1-May-17,65.30,65.43,64.07,64.08,1813992
28-Apr-17,65.59,65.59,64.65,65.00,2823968
27-Apr-17,65.03,65.89,65.02,65.54,2349525
26-Apr-17,65.13,65.51,64.93,65.05,1910586
25-Apr-17,65.21,65.34,64.52,64.75,1804019
24-Apr-17,65.42,65.70,64.66,65.06,2119081
21-Apr-17,64.66,64.93,64.11,64.90,2150086
20-Apr-17,63.79,65.00,63.79,64.66,2857768
19-Apr-17,63.74,64.08,63.56,63.73,2007550
18-Apr-17,63.32,63.61,63.17,63.41,1756518
17-Apr-17,63.56,63.64,63.02,63.28,1869409
13-Apr-17,63.89,64.02,63.19,63.20,1742964
12-Apr-17,64.08,64.09,63.64,63.73,2225369
11-Apr-17,63.46,63.99,63.22,63.91,2060472
10-Apr-17,63.00,63.81,63.00,63.50,2197473
7-Apr-17,63.54,63.58,62.96,63.09,3140820
6-Apr-17,62.93,64.00,62.87,63.45,4468617
5-Apr-17,63.69,63.82,62.46,62.53,4965872
4-Apr-17,65.10,65.17,63.54,63.66,2788596
3-Apr-17,66.05,66.05,65.02,65.18,2313769
31-Mar-17,66.40,66.52,65.81,65.87,1655255
30-Mar-17,65.94,66.63,65.87,66.61,1741351
29-Mar-17,65.77,66.38,65.46,66.06,1593310
28-Mar-17,65.27,65.86,64.76,65.77,2075302
27-Mar-17,65.76,65.91,65.21,65.34,2326272
24-Mar-17,66.09,66.54,65.69,66.12,1857415
23-Mar-17,66.24,66.60,65.69,65.77,1740464
22-Mar-17,66.00,66.49,65.41,66.35,1821990
21-Mar-17,66.71,66.75,65.44,65.77,2453218
20-Mar-17,67.46,67.64,66.28,66.46,2135786
17-Mar-17,67.91,67.91,67.09,67.65,3324776
16-Mar-17,67.24,67.95,67.22,67.31,1863461
15-Mar-17,67.23,67.76,66.83,67.54,1357530
14-Mar-17,66.88,67.46,66.71,67.28,1648637
13-Mar-17,66.94,67.20,66.54,66.95,2354716
10-Mar-17,67.11,67.14,66.44,66.96,2016916
9-Mar-17,66.73,66.83,66.37,66.65,1867593
8-Mar-17,66.71,67.11,66.43,66.71,1965765
7-Mar-17,67.16,67.58,66.69,66.87,2495965
6-Mar-17,67.06,67.54,66.64,67.40,2819433
3-Mar-17,67.80,67.91,66.55,67.07,2605977
2-Mar-17,66.73,68.38,66.62,67.81,3312086
1-Mar-17,68.02,68.25,65.63,66.80,7923587
28-Feb-17,68.85,68.85,68.05,68.58,3499444
27-Feb-17,68.98,69.39,68.67,69.15,2380433
24-Feb-17,67.75,69.37,67.52,69.01,3232916
23-Feb-17,68.84,68.93,67.56,67.64,2618070
22-Feb-17,68.93,69.40,68.72,69.04,2540905
21-Feb-17,68.99,69.53,68.55,68.81,2788230
17-Feb-17,68.22,68.59,67.87,68.55,4137520
16-Feb-17,69.08,69.08,67.97,68.26,2542583
15-Feb-17,68.51,68.95,68.39,68.92,2377656
14-Feb-17,68.05,68.72,67.94,68.70,1994691
13-Feb-17,69.00,69.03,67.99,68.05,2116662
10-Feb-17,68.32,68.96,67.84,68.79,2219189
9-Feb-17,67.80,68.44,67.70,68.17,1818388
8-Feb-17,66.36,67.86,66.32,67.67,1950442
7-Feb-17,66.35,66.68,66.08,66.36,1368177
6-Feb-17,65.81,66.46,65.66,66.34,1734936
3-Feb-17,65.91,66.58,65.62,65.96,1698715
2-Feb-17,65.73,66.18,65.46,65.64,1654769
1-Feb-17,66.02,66.32,65.48,65.88,2148230
31-Jan-17,65.15,66.13,64.58,66.11,1832657
30-Jan-17,65.26,65.68,64.68,65.39,1655363
27-Jan-17,65.82,65.87,64.94,65.33,1967582
26-Jan-17,66.14,66.35,65.52,65.57,2090545
25-Jan-17,66.34,66.50,65.71,65.96,2194208
24-Jan-17,65.19,66.22,65.19,66.11,1676624
23-Jan-17,65.81,66.07,64.88,65.11,2048752
20-Jan-17,66.28,66.44,65.48,66.00,1732699
19-Jan-17,66.77,67.00,65.83,65.96,1469307
18-Jan-17,67.40,67.40,66.72,66.90,1935592
17-Jan-17,66.90,68.36,66.81,67.12,1611861
13-Jan-17,66.51,67.09,66.49,66.93,1418126
12-Jan-17,66.35,66.69,65.90,66.59,1209884
11-Jan-17,66.79,67.21,66.08,66.55,1919558
10-Jan-17,65.31,67.20,65.26,66.77,3020623
9-Jan-17,65.27,65.98,65.27,65.45,2182208
6-Jan-17,65.79,65.98,65.26,65.31,2183152
5-Jan-17,65.72,66.59,65.55,65.69,2799080
4-Jan-17,65.66,66.76,65.62,66.55,2970630
3-Jan-17,66.02,66.97,65.39,65.61,3023889
30-Dec-16,66.69,66.96,65.49,65.60,2777536
29-Dec-16,66.49,67.14,66.28,66.37,1670181
28-Dec-16,67.28,67.59,66.48,66.52,1808563
27-Dec-16,67.26,67.71,67.14,67.15,1266398
23-Dec-16,67.15,67.58,67.07,67.11,1411535
22-Dec-16,67.83,67.96,66.99,67.11,2058542
21-Dec-16,68.45,68.73,67.97,68.00,2105935
20-Dec-16,68.52,69.00,68.14,68.43,3205888
19-Dec-16,69.00,69.24,68.34,68.41,4173781
16-Dec-16,67.49,69.53,67.29,69.53,11132690
15-Dec-16,67.68,67.94,67.07,67.27,3237709
14-Dec-16,68.40,68.46,67.21,67.44,2827267
13-Dec-16,67.69,68.69,67.44,68.27,2698604
12-Dec-16,67.45,67.81,67.01,67.39,1786673
9-Dec-16,67.78,67.78,66.91,67.62,2198682
8-Dec-16,68.13,68.44,67.47,67.70,2451256
7-Dec-16,67.38,68.30,67.05,68.26,2360186
6-Dec-16,67.26,67.50,66.70,67.26,2626176
5-Dec-16,67.69,67.92,66.87,67.15,2765717
2-Dec-16,67.45,67.88,67.19,67.36,2248663
1-Dec-16,67.46,67.95,67.09,67.38,2925465
30-Nov-16,68.45,68.72,67.58,67.59,4411627
29-Nov-16,68.60,68.85,68.21,68.57,2221271
28-Nov-16,68.79,69.00,68.28,68.36,2693812
25-Nov-16,69.55,69.55,68.86,69.04,1036448
23-Nov-16,68.81,69.74,68.53,69.25,2833186
22-Nov-16,68.65,69.81,68.55,68.94,7715524
21-Nov-16,68.02,68.36,67.56,67.93,4024478
18-Nov-16,67.72,68.84,66.60,68.00,6999124
17-Nov-16,64.11,65.53,63.11,65.53,4006257
16-Nov-16,63.09,64.09,62.92,63.86,3744476
15-Nov-16,64.00,64.01,61.98,63.09,4099789
14-Nov-16,63.73,64.47,63.57,63.60,3865045
11-Nov-16,63.13,63.90,62.52,63.64,3390878
10-Nov-16,63.13,64.64,62.93,63.24,3491177
9-Nov-16,61.53,63.00,61.00,62.86,2880823
8-Nov-16,62.59,63.69,62.28,62.85,2801695
7-Nov-16,61.91,62.88,61.63,62.59,3191896
4-Nov-16,61.03,62.14,61.03,61.40,2293754
3-Nov-16,62.32,62.39,61.20,61.28,2118712
2-Nov-16,62.18,62.41,61.83,62.11,1843283
1-Nov-16,62.40,62.69,61.82,62.11,3157912
31-Oct-16,62.43,62.57,61.90,62.54,3183384
28-Oct-16,62.19,62.55,61.78,62.28,2324665
27-Oct-16,63.50,63.62,62.08,62.31,2236454
26-Oct-16,63.06,63.98,63.00,63.50,2040013
25-Oct-16,63.04,63.33,62.56,63.13,1758017
24-Oct-16,63.73,63.93,63.14,63.39,2108066
21-Oct-16,63.19,63.42,62.77,63.40,1800110
20-Oct-16,63.47,64.00,63.24,63.41,2043059
19-Oct-16,64.60,64.60,63.03,63.36,3018958
18-Oct-16,64.66,64.90,63.54,63.55,2262729
17-Oct-16,64.70,65.05,64.28,64.39,2152897
14-Oct-16,64.94,65.14,64.54,64.66,1626664
13-Oct-16,64.62,64.83,64.05,64.81,2001996
12-Oct-16,63.92,64.95,63.85,64.90,2141609
11-Oct-16,64.15,64.16,63.54,63.75,1944584
10-Oct-16,64.68,64.99,64.08,64.20,1823514
7-Oct-16,64.67,65.29,63.95,64.28,1945338
6-Oct-16,64.24,64.54,63.83,64.37,1757512
5-Oct-16,64.25,65.40,64.24,64.48,2318339
4-Oct-16,64.14,64.69,64.02,64.26,1597497
3-Oct-16,63.97,64.64,63.74,64.23,2091079
30-Sep-16,63.87,64.53,63.53,64.30,2041974
29-Sep-16,63.41,63.95,63.19,63.35,1981956
28-Sep-16,64.49,64.51,63.23,63.43,2197746
27-Sep-16,63.64,64.60,63.64,64.39,2200689
26-Sep-16,64.12,64.26,63.48,63.76,1762763
23-Sep-16,63.58,64.62,63.58,64.26,1814476
22-Sep-16,63.58,64.28,63.50,63.98,2083184
21-Sep-16,63.46,63.46,62.50,63.35,2288204
20-Sep-16,62.54,63.01,62.37,62.91,2622345
19-Sep-16,62.07,62.81,61.93,62.53,2338934
16-Sep-16,61.81,62.02,61.31,61.93,2934647
15-Sep-16,61.09,62.09,60.84,61.95,1846312
14-Sep-16,61.17,61.61,61.04,61.30,1902895
13-Sep-16,61.41,62.00,60.81,61.17,2409674
12-Sep-16,60.86,61.79,60.79,61.71,2244050
9-Sep-16,62.20,62.42,60.77,60.78,3021015
8-Sep-16,62.64,63.00,62.45,62.72,2082880
7-Sep-16,62.10,63.03,62.10,62.86,2233449
6-Sep-16,62.53,62.75,61.83,62.75,2361336
2-Sep-16,62.55,62.84,62.13,62.73,1314830
1-Sep-16,62.46,62.51,61.63,62.38,1813488
31-Aug-16,62.22,62.42,61.82,62.24,2604329
30-Aug-16,62.91,63.08,62.08,62.30,2190701
29-Aug-16,63.23,63.61,62.91,63.11,2540311
26-Aug-16,63.46,63.90,62.95,63.26,2222529
