Date,Open,High,Low,Close,Volume
26-May-17,63.01,63.42,62.97,63.30,6097990
25-May-17,62.01,63.11,61.90,62.90,8931804
24-May-17,61.40,62.00,60.94,61.89,7283789
23-May-17,61.40,61.50,60.86,61.15,5622524
22-May-17,61.03,61.72,61.03,61.23,6392124
19-May-17,59.94,61.92,59.94,61.36,12530995
18-May-17,59.73,59.94,58.87,59.82,8602411
17-May-17,59.97,60.32,59.55,59.73,7581230
16-May-17,60.68,60.70,59.88,59.98,6303480
15-May-17,60.42,60.49,60.12,60.45,5904094
12-May-17,60.28,60.34,59.83,59.93,5647531
11-May-17,60.45,60.51,60.03,60.27,5516893
10-May-17,60.88,60.98,60.21,60.66,7198414
9-May-17,60.58,61.08,60.57,60.98,5806562
8-May-17,61.07,61.07,60.70,60.94,5588371
5-May-17,60.95,60.99,60.58,60.95,6443309
4-May-17,60.65,60.85,60.39,60.83,6874286
3-May-17,60.52,60.66,60.26,60.59,7706367
2-May-17,60.15,60.52,60.04,60.50,9152088
1-May-17,60.00,60.60,59.76,60.18,10910341
28-Apr-17,59.41,60.18,58.99,60.06,25046130
27-Apr-17,61.63,61.94,61.19,61.30,15285342
26-Apr-17,61.23,61.75,60.98,61.56,8525419
25-Apr-17,60.65,61.21,59.92,60.96,11031475
24-Apr-17,61.00,61.38,60.89,61.11,10721276
21-Apr-17,60.20,60.69,60.15,60.61,8799985
20-Apr-17,59.71,60.34,59.56,60.08,12445862
19-Apr-17,58.60,59.49,58.50,59.04,12000639
18-Apr-17,57.59,58.48,57.59,58.35,5449699
17-Apr-17,57.68,58.25,57.68,58.08,5626042
13-Apr-17,57.61,57.79,57.45,57.51,4871717
12-Apr-17,57.88,57.90,57.48,57.58,5450298
11-Apr-17,57.74,58.16,57.38,57.88,5855091
10-Apr-17,58.00,58.21,57.73,57.95,5266312
7-Apr-17,57.80,58.25,57.55,58.02,6773752
6-Apr-17,58.13,58.36,57.73,57.92,9112533
5-Apr-17,57.96,59.27,57.81,58.22,13656221
4-Apr-17,58.37,58.41,58.01,58.32,6474781
3-Apr-17,58.28,58.47,57.89,58.44,8989831
31-Mar-17,58.10,58.66,58.06,58.39,9156707
30-Mar-17,57.45,58.30,57.42,58.16,8677916
29-Mar-17,57.17,57.85,57.13,57.54,7001635
28-Mar-17,57.10,57.52,57.02,57.35,8331644
27-Mar-17,56.66,57.45,56.46,57.23,8861799
24-Mar-17,56.11,57.38,55.90,56.81,15763000
23-Mar-17,56.15,56.42,55.78,55.85,7357207
22-Mar-17,55.68,56.04,55.51,55.89,8452070
21-Mar-17,56.05,56.45,55.48,55.54,8030642
20-Mar-17,55.87,56.05,55.51,55.81,7948425
17-Mar-17,55.04,56.13,54.95,55.78,15822141
16-Mar-17,54.85,54.98,54.66,54.80,8074278
15-Mar-17,54.39,54.65,54.09,54.54,8712006
14-Mar-17,54.62,54.74,54.19,54.27,7892888
13-Mar-17,54.57,54.88,54.40,54.63,9090230
10-Mar-17,55.39,55.40,54.42,54.53,13886431
9-Mar-17,55.75,55.80,54.81,55.19,17844248
8-Mar-17,56.15,56.35,55.54,55.74,13061632
7-Mar-17,56.58,56.75,56.02,56.20,10890313
6-Mar-17,56.78,56.81,56.33,56.68,9159983
3-Mar-17,56.70,57.26,56.70,57.10,7738064
2-Mar-17,57.07,57.19,56.85,57.12,6595418
1-Mar-17,57.27,57.40,56.94,57.14,7197973
28-Feb-17,56.71,57.06,56.55,56.87,8750655
27-Feb-17,57.24,57.30,56.66,56.78,7702400
24-Feb-17,57.61,57.71,57.14,57.48,7806190
23-Feb-17,57.60,57.79,57.39,57.64,7178627
22-Feb-17,57.52,57.85,57.35,57.57,7876599
21-Feb-17,57.41,57.81,57.40,57.54,8289185
17-Feb-17,56.80,57.57,56.71,57.35,11008366
16-Feb-17,56.96,56.99,56.53,56.73,8524519
15-Feb-17,56.56,56.88,56.30,56.86,6967179
14-Feb-17,56.02,56.61,56.02,56.58,8865947
13-Feb-17,56.50,56.66,56.03,56.11,8027939
10-Feb-17,55.73,56.40,55.56,56.22,11178950
9-Feb-17,55.23,56.12,55.21,55.81,11106757
8-Feb-17,55.19,55.50,55.10,55.22,11681938
7-Feb-17,55.79,55.84,55.18,55.24,9910498
6-Feb-17,55.01,55.75,54.90,55.73,13029829
3-Feb-17,54.21,55.10,54.01,55.06,14161693
2-Feb-17,54.04,54.39,53.85,53.87,15289650
1-Feb-17,55.49,55.50,53.81,53.90,18796871
31-Jan-17,55.80,55.87,54.88,55.22,14307985
30-Jan-17,56.00,56.24,55.58,55.90,13322010
27-Jan-17,55.75,56.59,55.65,56.12,28884899
26-Jan-17,58.70,59.00,58.26,58.46,12382416
25-Jan-17,58.67,58.93,58.45,58.70,7124547
24-Jan-17,57.93,58.50,57.76,58.44,10704103
23-Jan-17,57.42,57.90,57.15,57.76,6814368
20-Jan-17,58.14,58.20,57.41,57.66,7651562
19-Jan-17,58.31,58.45,57.72,57.89,7850480
18-Jan-17,58.32,58.58,58.03,58.45,7375725
17-Jan-17,57.62,58.25,57.41,58.00,5734666
13-Jan-17,58.03,58.10,57.65,57.85,4745840
12-Jan-17,58.00,58.13,57.64,58.03,4733015
11-Jan-17,57.80,58.12,57.59,58.10,6027960
10-Jan-17,58.22,58.26,57.83,57.88,6672024
9-Jan-17,57.26,58.34,57.25,58.20,12640515
6-Jan-17,56.63,57.27,56.08,57.13,8587812
5-Jan-17,56.08,56.53,55.81,56.46,7602321
4-Jan-17,55.56,56.20,55.38,55.99,7796290
3-Jan-17,55.91,55.95,55.04,55.35,7809307
30-Dec-16,56.28,56.45,55.40,55.52,8344508
29-Dec-16,56.35,56.47,56.14,56.32,3781721
28-Dec-16,56.80,56.90,56.25,56.35,5548726
