Date,Open,High,Low,Close,Volume
19-May-17,4.83,4.95,4.83,4.91,17732546
18-May-17,4.74,4.95,4.73,4.86,32711100
17-May-17,4.78,4.79,4.73,4.73,24757735
16-May-17,4.79,4.82,4.78,4.79,12754876
15-May-17,4.79,4.85,4.76,4.78,23660727
12-May-17,4.85,4.85,4.79,4.81,15995095
11-May-17,4.83,4.85,4.78,4.83,19255030
10-May-17,4.86,4.89,4.82,4.85,18227979
9-May-17,4.90,4.94,4.84,4.87,27200306
8-May-17,4.88,4.92,4.86,4.90,19786077
5-May-17,4.86,4.91,4.84,4.89,14496797
4-May-17,4.87,4.87,4.81,4.84,16014536
3-May-17,4.84,4.91,4.81,4.85,28376340
2-May-17,4.97,4.98,4.75,4.84,58874401
1-May-17,4.95,4.98,4.88,4.96,38089846
28-Apr-17,5.04,5.04,4.89,4.95,40927197
27-Apr-17,5.01,5.05,4.90,5.02,60646136
26-Apr-17,5.19,5.20,5.07,5.11,34773127
25-Apr-17,5.14,5.21,5.13,5.20,27229024
24-Apr-17,5.08,5.13,5.03,5.13,58074153
21-Apr-17,5.08,5.12,5.00,5.07,79330638
20-Apr-17,5.08,5.12,4.97,5.07,38430907
19-Apr-17,5.00,5.08,4.95,5.07,50429810
18-Apr-17,5.06,5.10,5.02,5.06,20346146
17-Apr-17,5.12,5.13,5.04,5.05,16404196
13-Apr-17,5.12,5.13,5.06,5.10,21715787
12-Apr-17,5.06,5.12,5.05,5.09,20892389
11-Apr-17,5.11,5.11,5.05,5.06,20427231
10-Apr-17,5.16,5.17,5.10,5.10,16337141
7-Apr-17,5.15,5.18,5.12,5.16,17357487
6-Apr-17,5.12,5.16,5.10,5.13,12840849
5-Apr-17,5.14,5.21,5.10,5.11,24344875
4-Apr-17,5.07,5.14,5.07,5.12,18324458
3-Apr-17,5.16,5.19,5.05,5.10,22411391
31-Mar-17,5.19,5.22,5.14,5.15,13604019
30-Mar-17,5.14,5.22,5.13,5.21,13840954
29-Mar-17,5.13,5.14,5.09,5.14,17380379
28-Mar-17,5.12,5.18,5.09,5.11,25445659
27-Mar-17,5.06,5.14,5.04,5.10,19520373
24-Mar-17,5.15,5.15,5.06,5.10,25606808
23-Mar-17,5.08,5.16,5.06,5.13,26404475
22-Mar-17,5.14,5.15,5.06,5.10,32553291
21-Mar-17,5.33,5.34,5.17,5.19,33384047
20-Mar-17,5.34,5.37,5.29,5.31,13595645
17-Mar-17,5.38,5.39,5.27,5.36,37674654
16-Mar-17,5.27,5.35,5.24,5.33,19257089
15-Mar-17,5.41,5.45,5.30,5.30,32033986
14-Mar-17,5.40,5.44,5.32,5.39,30020468
13-Mar-17,5.20,5.53,5.18,5.44,64034207
10-Mar-17,5.14,5.19,5.13,5.19,25657718
9-Mar-17,5.16,5.18,5.10,5.15,18787020
8-Mar-17,5.13,5.17,5.12,5.16,18605729
7-Mar-17,5.09,5.14,5.08,5.12,17325655
6-Mar-17,5.09,5.10,5.06,5.09,16144722
3-Mar-17,5.11,5.14,5.08,5.10,16033978
2-Mar-17,5.14,5.15,5.10,5.13,24661144
1-Mar-17,5.13,5.18,5.12,5.16,17826982
28-Feb-17,5.19,5.19,5.08,5.09,31917052
27-Feb-17,5.13,5.18,5.12,5.18,24265233
24-Feb-17,5.08,5.13,5.05,5.12,15519907
23-Feb-17,5.17,5.18,5.05,5.07,22439026
22-Feb-17,5.19,5.22,5.10,5.15,44246686
21-Feb-17,4.99,5.07,4.95,5.04,24486825
17-Feb-17,4.96,4.96,4.92,4.94,24734513
16-Feb-17,4.94,5.00,4.88,4.91,31892389
15-Feb-17,4.83,4.92,4.76,4.88,38959643
14-Feb-17,4.77,4.78,4.73,4.74,21646112
13-Feb-17,4.74,4.76,4.72,4.76,13661223
10-Feb-17,4.71,4.74,4.69,4.73,17518211
9-Feb-17,4.72,4.74,4.69,4.70,20447778
8-Feb-17,4.74,4.74,4.67,4.70,16709418
7-Feb-17,4.78,4.79,4.71,4.72,18467049
6-Feb-17,4.81,4.81,4.76,4.78,15205183
3-Feb-17,4.75,4.80,4.75,4.80,15099553
2-Feb-17,4.82,4.82,4.73,4.75,28321767
1-Feb-17,4.74,4.78,4.72,4.77,28270838
31-Jan-17,4.79,4.79,4.71,4.72,20486227
30-Jan-17,4.73,4.76,4.69,4.76,23972083
27-Jan-17,4.79,4.80,4.74,4.75,22676120
26-Jan-17,4.69,4.76,4.68,4.75,22979803
25-Jan-17,4.65,4.70,4.64,4.68,16501211
24-Jan-17,4.58,4.63,4.58,4.63,20400619
23-Jan-17,4.60,4.62,4.58,4.59,15005907
20-Jan-17,4.60,4.61,4.57,4.59,15345144
19-Jan-17,4.58,4.60,4.55,4.59,14409570
18-Jan-17,4.59,4.60,4.54,4.60,20555141
17-Jan-17,4.59,4.60,4.56,4.57,13021562
13-Jan-17,4.58,4.64,4.58,4.61,25423720
12-Jan-17,4.59,4.61,4.52,4.58,20030042
11-Jan-17,4.62,4.63,4.55,4.59,32473085
10-Jan-17,4.60,4.66,4.57,4.63,20563047
9-Jan-17,4.56,4.61,4.54,4.60,33707872
6-Jan-17,4.65,4.65,4.56,4.56,25179385
5-Jan-17,4.56,4.64,4.56,4.64,36249771
4-Jan-17,4.46,4.55,4.45,4.53,26824624
3-Jan-17,4.49,4.51,4.40,4.44,34124349
30-Dec-16,4.48,4.50,4.42,4.45,37080538
29-Dec-16,4.49,4.52,4.46,4.48,18442105
28-Dec-16,4.53,4.55,4.50,4.50,14938453
27-Dec-16,4.50,4.58,4.50,4.52,19641113
23-Dec-16,4.51,4.53,4.51,4.51,11110005
22-Dec-16,4.52,4.55,4.50,4.51,11433145
21-Dec-16,4.54,4.57,4.52,4.53,15025070
20-Dec-16,4.52,4.56,4.52,4.53,17072231
19-Dec-16,4.52,4.54,4.51,4.53,26722948
16-Dec-16,4.51,4.54,4.48,4.52,31024651
15-Dec-16,4.52,4.55,4.48,4.49,26275059
14-Dec-16,4.51,4.59,4.49,4.51,28339181
13-Dec-16,4.47,4.54,4.47,4.54,31613344
12-Dec-16,4.51,4.54,4.45,4.45,20662651
9-Dec-16,4.57,4.58,4.52,4.54,24422142
8-Dec-16,4.51,4.57,4.48,4.54,23204492
7-Dec-16,4.40,4.55,4.38,4.50,31742376
6-Dec-16,4.33,4.42,4.32,4.41,28000642
5-Dec-16,4.32,4.37,4.28,4.33,47752071
2-Dec-16,4.53,4.60,4.22,4.30,93331520
1-Dec-16,4.57,4.61,4.51,4.56,30968272
30-Nov-16,4.62,4.65,4.56,4.57,31387372
29-Nov-16,4.56,4.63,4.55,4.61,36473120
28-Nov-16,4.58,4.61,4.54,4.54,21318391
25-Nov-16,4.59,4.63,4.58,4.60,10666387
23-Nov-16,4.63,4.65,4.59,4.59,17718165
22-Nov-16,4.58,4.65,4.54,4.61,30531942
21-Nov-16,4.56,4.59,4.55,4.57,30447202
18-Nov-16,4.56,4.62,4.56,4.56,17834051
17-Nov-16,4.51,4.59,4.50,4.58,21795042
16-Nov-16,4.57,4.58,4.51,4.52,44046769
15-Nov-16,4.49,4.60,4.44,4.58,79195732
14-Nov-16,4.36,4.56,4.36,4.48,77276695
11-Nov-16,4.28,4.38,4.27,4.36,47189775
10-Nov-16,4.30,4.37,4.28,4.31,63629886
9-Nov-16,4.14,4.33,4.13,4.29,65588628
8-Nov-16,4.21,4.29,4.21,4.27,49969477
7-Nov-16,4.16,4.22,4.15,4.22,38840633
4-Nov-16,4.12,4.18,4.11,4.14,46380682
3-Nov-16,4.14,4.16,4.12,4.13,47261052
2-Nov-16,4.16,4.18,4.12,4.13,43124291
1-Nov-16,4.18,4.19,4.14,4.16,52575240
31-Oct-16,4.11,4.17,4.10,4.17,51452568
28-Oct-16,4.09,4.15,4.09,4.11,75986924
27-Oct-16,4.27,4.27,4.07,4.11,109802687
26-Oct-16,4.19,4.25,4.17,4.24,64212600
25-Oct-16,4.16,4.19,4.15,4.19,36836752
24-Oct-16,4.16,4.19,4.15,4.18,57320990
21-Oct-16,4.13,4.15,4.11,4.15,26274257
20-Oct-16,4.14,4.16,4.12,4.13,46044341
19-Oct-16,4.10,4.15,4.10,4.14,34371897
18-Oct-16,4.12,4.14,4.10,4.10,33193233
17-Oct-16,4.11,4.13,4.08,4.11,52503335
14-Oct-16,4.11,4.14,4.10,4.11,45339431
13-Oct-16,4.09,4.11,4.05,4.10,43000790
12-Oct-16,4.09,4.11,4.07,4.10,42036584
11-Oct-16,4.14,4.14,4.07,4.08,44560786
10-Oct-16,4.16,4.18,4.13,4.14,32851648
7-Oct-16,4.17,4.17,4.12,4.16,40665724
6-Oct-16,4.16,4.17,4.14,4.16,31686421
5-Oct-16,4.18,4.19,4.16,4.16,30974279
4-Oct-16,4.20,4.22,4.15,4.18,44344745
3-Oct-16,4.17,4.21,4.17,4.19,47291995
30-Sep-16,4.17,4.19,4.15,4.17,37873541
29-Sep-16,4.16,4.20,4.14,4.14,46136226
28-Sep-16,4.16,4.18,4.15,4.16,45448302
27-Sep-16,4.16,4.19,4.15,4.16,22051566
26-Sep-16,4.18,4.19,4.15,4.16,44585115
23-Sep-16,4.20,4.22,4.18,4.20,43030687
22-Sep-16,4.19,4.22,4.18,4.20,49313756
21-Sep-16,4.13,4.19,4.12,4.18,51731957
20-Sep-16,4.14,4.16,4.11,4.13,40210705
19-Sep-16,4.12,4.17,4.11,4.14,52422944
16-Sep-16,4.15,4.15,4.10,4.11,59261356
15-Sep-16,4.09,4.17,4.07,4.16,56750773
14-Sep-16,4.09,4.12,4.07,4.09,49752500
13-Sep-16,4.12,4.15,4.07,4.09,63960409
12-Sep-16,4.09,4.16,4.07,4.14,47750998
9-Sep-16,4.19,4.20,4.10,4.10,55138577
8-Sep-16,4.17,4.21,4.15,4.20,44900598
7-Sep-16,4.16,4.19,4.15,4.18,59805485
6-Sep-16,4.17,4.18,4.14,4.16,64786749
2-Sep-16,4.18,4.19,4.15,4.18,57129628
1-Sep-16,4.16,4.19,4.12,4.15,59516384
31-Aug-16,4.17,4.18,4.12,4.14,40136220
30-Aug-16,4.18,4.19,4.15,4.16,44488099
29-Aug-16,4.17,4.20,4.15,4.16,63129638
26-Aug-16,4.19,4.20,4.11,4.16,68545484
25-Aug-16,4.13,4.20,4.12,4.15,64344034
24-Aug-16,4.20,4.20,4.12,4.14,49723982
23-Aug-16,4.19,4.22,4.17,4.19,58757982
22-Aug-16,4.17,4.20,4.15,4.17,53188981
19-Aug-16,4.17,4.20,4.15,4.19,39233803
18-Aug-16,4.24,4.25,4.17,4.19,52287868
17-Aug-16,4.21,4.24,4.19,4.24,48104037
16-Aug-16,4.22,4.24,4.20,4.20,54071154
15-Aug-16,4.22,4.26,4.21,4.24,35726585
12-Aug-16,4.22,4.25,4.20,4.20,17488012
11-Aug-16,4.22,4.28,4.21,4.23,25016349
10-Aug-16,4.19,4.23,4.18,4.21,23944941
9-Aug-16,4.23,4.24,4.18,4.19,46236009
8-Aug-16,4.25,4.26,4.17,4.22,51230418
5-Aug-16,4.25,4.29,4.22,4.24,87020552
4-Aug-16,4.23,4.28,4.20,4.23,68734132
3-Aug-16,4.22,4.27,4.21,4.23,63001118
2-Aug-16,4.32,4.32,4.20,4.23,88283537
1-Aug-16,4.39,4.40,4.33,4.34,60966649
29-Jul-16,4.34,4.44,4.34,4.39,50087441
28-Jul-16,4.39,4.42,4.32,4.36,55096032
27-Jul-16,4.34,4.43,4.32,4.40,61113350
26-Jul-16,4.28,4.41,4.20,4.35,136526573
25-Jul-16,4.21,4.23,4.13,4.15,60544510
22-Jul-16,4.17,4.22,4.15,4.21,31966093
21-Jul-16,4.17,4.20,4.16,4.16,39750923
20-Jul-16,4.17,4.20,4.14,4.18,42948133
19-Jul-16,4.16,4.19,4.14,4.17,51727130
18-Jul-16,4.15,4.19,4.14,4.17,43133659
15-Jul-16,4.16,4.16,4.12,4.16,41015632
14-Jul-16,4.11,4.16,4.10,4.14,45735822
13-Jul-16,4.10,4.12,4.07,4.09,49663603
12-Jul-16,4.14,4.17,4.09,4.10,60077581
11-Jul-16,4.13,4.16,4.10,4.14,53374242
8-Jul-16,4.05,4.13,4.04,4.12,68799572
7-Jul-16,4.00,4.06,3.99,4.03,86291181
6-Jul-16,3.93,4.00,3.92,3.99,59320372
5-Jul-16,3.96,3.96,3.92,3.94,60213006
1-Jul-16,3.95,4.01,3.94,3.97,55401835
30-Jun-16,3.93,3.98,3.91,3.95,44080463
29-Jun-16,3.87,3.94,3.86,3.92,47483821
28-Jun-16,3.81,3.85,3.79,3.83,61772683
27-Jun-16,3.85,3.87,3.74,3.76,93624388
24-Jun-16,3.89,3.98,3.86,3.88,104860342
23-Jun-16,3.97,4.01,3.95,4.00,51563684
22-Jun-16,3.98,3.99,3.93,3.96,49253119
21-Jun-16,3.97,3.98,3.94,3.98,41603030
20-Jun-16,3.94,3.99,3.94,3.98,40272847
17-Jun-16,3.95,3.97,3.91,3.92,56275618
16-Jun-16,3.90,3.95,3.87,3.94,52423675
15-Jun-16,3.91,3.96,3.90,3.91,56474660
14-Jun-16,3.90,3.94,3.88,3.91,34914376
13-Jun-16,3.91,3.95,3.90,3.90,37399660
10-Jun-16,3.96,3.98,3.92,3.92,41811948
9-Jun-16,3.97,3.99,3.95,3.98,22327596
8-Jun-16,3.99,4.01,3.97,3.98,18786511
7-Jun-16,4.00,4.02,3.97,3.99,21537205
6-Jun-16,4.00,4.03,3.99,3.99,21271234
3-Jun-16,4.01,4.02,3.97,4.00,27937430
2-Jun-16,4.01,4.04,3.99,4.01,17620052
1-Jun-16,4.00,4.02,3.97,4.02,40332372
31-May-16,3.96,4.02,3.96,4.02,34802504
27-May-16,3.98,4.00,3.95,3.96,22310911
26-May-16,4.00,4.02,3.96,3.98,24766604
25-May-16,3.95,4.00,3.95,4.00,37282156
24-May-16,3.91,3.98,3.91,3.96,35125743
23-May-16,3.92,3.95,3.91,3.91,23250623
20-May-16,3.91,3.95,3.90,3.94,40996889
19-May-16,3.87,3.92,3.86,3.91,31037748
18-May-16,3.89,3.90,3.85,3.89,19237397
17-May-16,3.91,3.92,3.88,3.89,29081163
16-May-16,3.90,3.93,3.88,3.91,23407594
13-May-16,3.91,3.95,3.89,3.89,23655187
12-May-16,3.94,3.95,3.90,3.91,23906965
11-May-16,3.96,3.98,3.93,3.93,13513037
10-May-16,3.93,3.98,3.91,3.98,24581726
9-May-16,3.92,3.95,3.91,3.93,21671374
6-May-16,3.86,3.94,3.86,3.93,28243526
5-May-16,3.89,3.93,3.88,3.88,19066266
4-May-16,3.94,3.95,3.87,3.88,45230539
3-May-16,3.97,3.99,3.92,3.95,34182936
2-May-16,3.97,3.99,3.93,3.97,29049195
29-Apr-16,3.91,3.96,3.89,3.95,39226472
28-Apr-16,4.02,4.05,3.92,3.92,54332127
27-Apr-16,3.98,4.01,3.96,3.98,30256267
26-Apr-16,3.97,4.00,3.96,3.97,18693298
