Date,Open,High,Low,Close,Volume
26-May-17,9.03,9.10,8.96,8.98,4192050
25-May-17,8.84,9.35,8.78,9.06,9778273
24-May-17,8.71,8.85,8.67,8.78,5438050
23-May-17,8.80,8.84,8.61,8.68,4115881
22-May-17,8.73,8.80,8.71,8.78,5179154
19-May-17,8.81,8.87,8.69,8.72,8343582
18-May-17,8.83,8.91,8.73,8.75,4850961
17-May-17,8.90,9.04,8.78,8.85,6114958
16-May-17,9.17,9.30,8.81,8.99,9262086
15-May-17,9.29,9.41,9.18,9.32,6823823
12-May-17,9.42,9.42,9.23,9.25,3682126
11-May-17,9.68,9.74,9.40,9.43,4204646
10-May-17,9.63,9.72,9.51,9.72,3754458
9-May-17,9.69,9.70,9.57,9.62,3443786
8-May-17,9.65,9.73,9.62,9.65,3671630
5-May-17,9.62,9.68,9.56,9.59,4881633
4-May-17,9.68,9.69,9.54,9.61,5249988
3-May-17,9.77,9.81,9.58,9.66,4751293
2-May-17,9.69,10.25,9.61,9.78,7938795
1-May-17,9.80,9.81,9.63,9.65,3300647
28-Apr-17,9.86,9.86,9.68,9.77,3289702
27-Apr-17,9.79,9.89,9.65,9.83,3364182
26-Apr-17,9.83,9.95,9.82,9.83,3001533
25-Apr-17,9.90,9.92,9.73,9.83,4458239
24-Apr-17,9.81,9.93,9.72,9.88,4496324
21-Apr-17,9.71,9.80,9.59,9.72,4386391
20-Apr-17,9.65,9.84,9.62,9.74,3530857
19-Apr-17,9.66,9.75,9.60,9.62,4576432
18-Apr-17,9.58,9.68,9.52,9.60,4964974
17-Apr-17,9.55,9.64,9.51,9.60,5239213
13-Apr-17,9.50,9.62,9.50,9.52,5778668
12-Apr-17,9.64,9.65,9.42,9.51,8480602
11-Apr-17,9.71,9.74,9.61,9.68,4597778
10-Apr-17,9.90,9.93,9.69,9.70,10487050
7-Apr-17,9.81,9.87,9.66,9.75,8770977
6-Apr-17,9.86,10.18,9.76,9.82,13663805
5-Apr-17,9.71,10.06,9.61,9.76,21342799
4-Apr-17,8.63,10.00,8.62,9.51,31296655
3-Apr-17,8.76,8.83,8.59,8.66,3920240
31-Mar-17,8.73,8.90,8.71,8.77,5150843
30-Mar-17,8.58,8.76,8.52,8.74,6184733
29-Mar-17,8.49,8.61,8.48,8.57,4270387
28-Mar-17,8.30,8.50,8.30,8.49,4258217
27-Mar-17,8.37,8.48,8.30,8.36,5853746
24-Mar-17,8.50,8.55,8.41,8.47,5546316
23-Mar-17,8.54,8.68,8.48,8.52,4345509
22-Mar-17,8.53,8.56,8.42,8.51,4850330
21-Mar-17,8.85,8.89,8.60,8.64,7240046
20-Mar-17,8.98,9.00,8.76,8.83,5438544
