Date,Open,High,Low,Close,Volume
26-May-17,42.67,43.00,42.20,42.53,3272703
25-May-17,42.88,43.42,42.48,43.11,2951187
24-May-17,43.05,43.20,42.59,42.73,2388530
23-May-17,43.10,43.17,42.44,42.63,2702305
22-May-17,42.84,43.16,42.22,42.77,2506213
19-May-17,42.38,42.78,42.36,42.51,3272094
18-May-17,42.66,42.66,41.67,42.25,4102516
17-May-17,43.46,43.63,42.12,42.16,5852820
16-May-17,43.67,44.06,43.40,44.00,4080477
15-May-17,43.16,43.57,42.99,43.48,4448747
12-May-17,42.48,43.07,42.27,43.04,3544703
11-May-17,43.01,43.17,42.43,42.48,5224768
10-May-17,42.90,43.20,42.78,43.11,3493564
9-May-17,42.87,43.10,42.49,42.83,2798045
8-May-17,43.61,43.62,42.75,42.87,3002068
5-May-17,42.34,43.56,42.15,43.55,4885380
4-May-17,42.58,42.70,42.35,42.58,4947387
3-May-17,42.32,42.72,42.08,42.51,5381411
2-May-17,42.23,42.46,41.97,42.44,6508914
1-May-17,42.08,42.30,41.73,42.18,7376814
28-Apr-17,42.71,42.73,41.20,42.13,8613105
27-Apr-17,42.17,43.00,41.78,42.30,9673220
26-Apr-17,44.61,44.86,41.76,42.01,34476550
25-Apr-17,49.81,50.96,49.53,50.51,7791453
24-Apr-17,49.08,49.68,48.73,49.42,4584579
21-Apr-17,48.52,48.71,47.89,48.26,3359447
20-Apr-17,47.88,48.68,47.22,48.55,5842421
19-Apr-17,48.54,49.19,48.44,48.56,2957039
18-Apr-17,48.19,48.60,47.83,48.54,3322851
17-Apr-17,48.36,48.78,47.97,48.49,2974408
13-Apr-17,48.10,48.82,47.84,48.17,3791164
12-Apr-17,49.01,49.09,47.71,48.34,4226662
11-Apr-17,48.50,49.47,47.56,49.09,7672388
10-Apr-17,47.16,48.27,47.13,47.60,5389126
7-Apr-17,46.26,46.97,45.68,46.85,3589341
6-Apr-17,46.25,46.59,45.67,46.25,2958206
5-Apr-17,46.34,47.20,45.88,46.00,3669945
4-Apr-17,45.22,46.09,45.08,45.97,2353885
3-Apr-17,45.63,46.00,44.69,45.30,6306739
31-Mar-17,46.92,47.04,45.91,45.93,3387302
30-Mar-17,45.56,47.39,45.40,47.12,5955211
29-Mar-17,45.15,45.69,44.53,45.67,2608148
28-Mar-17,44.90,45.44,44.63,45.28,3418152
27-Mar-17,44.67,45.10,44.28,44.91,3164923
24-Mar-17,46.44,46.68,44.87,45.24,5278240
23-Mar-17,44.85,45.47,44.54,45.13,3662901
22-Mar-17,44.42,45.11,43.70,45.01,4311053
21-Mar-17,46.07,46.23,44.26,44.51,4693437
20-Mar-17,46.24,46.78,45.79,46.08,3441462
17-Mar-17,47.46,47.54,46.76,46.87,6829485
16-Mar-17,47.30,47.62,46.80,47.23,3191636
15-Mar-17,46.78,47.19,46.01,47.06,4057235
14-Mar-17,47.24,47.36,46.01,46.70,3493241
13-Mar-17,47.35,47.71,46.92,47.57,2949496
10-Mar-17,47.22,47.29,46.60,47.28,3527035
9-Mar-17,47.55,47.80,45.58,46.68,6329496
8-Mar-17,48.22,48.74,47.96,48.11,2081073
7-Mar-17,48.55,48.70,47.96,48.28,2285351
6-Mar-17,48.59,48.82,48.00,48.51,3474135
3-Mar-17,49.02,49.65,48.75,48.96,3098879
2-Mar-17,49.44,49.79,48.42,48.92,4130213
1-Mar-17,48.65,49.70,48.35,49.48,4625317
28-Feb-17,47.40,48.68,47.37,48.19,5592772
27-Feb-17,47.22,47.81,46.89,47.69,5420598
24-Feb-17,46.98,47.75,46.72,47.75,3172622
23-Feb-17,47.50,47.74,47.04,47.39,4064626
22-Feb-17,47.40,47.51,47.19,47.35,2658385
21-Feb-17,47.43,47.73,47.04,47.43,3217132
17-Feb-17,47.41,47.48,46.88,47.14,3270914
16-Feb-17,48.30,48.35,47.35,47.57,4450836
15-Feb-17,47.93,48.53,47.50,48.15,5004179
14-Feb-17,47.65,48.14,47.37,47.85,4105112
13-Feb-17,46.89,48.08,46.58,47.80,5521563
10-Feb-17,46.51,46.60,45.83,46.46,3658189
9-Feb-17,46.45,46.63,45.75,46.37,3452439
8-Feb-17,45.55,46.09,45.14,45.80,4852602
7-Feb-17,45.48,46.46,45.14,46.10,4946803
6-Feb-17,46.04,46.39,45.08,45.44,4651821
3-Feb-17,45.31,46.36,45.30,46.29,5767989
2-Feb-17,44.29,45.73,44.29,45.27,5447299
1-Feb-17,45.61,45.65,44.05,44.78,5382069
31-Jan-17,44.85,45.19,44.23,45.15,5597625
30-Jan-17,44.40,45.21,44.11,44.90,6863584
27-Jan-17,44.07,44.99,43.62,44.50,7679943
26-Jan-17,42.62,44.79,42.62,43.90,14711949
25-Jan-17,42.45,46.68,42.16,42.67,46164733
24-Jan-17,37.86,38.00,36.60,37.44,8551301
23-Jan-17,36.67,36.68,35.54,36.37,4955502
20-Jan-17,36.36,37.04,36.32,36.47,3041380
19-Jan-17,37.10,37.31,36.13,36.34,2958673
18-Jan-17,37.11,37.48,36.75,37.24,2866839
17-Jan-17,37.14,37.82,36.75,37.02,3291286
13-Jan-17,36.75,37.39,36.75,36.90,2515820
12-Jan-17,36.79,36.84,35.64,36.75,3849645
11-Jan-17,37.60,38.06,36.22,36.87,6268895
10-Jan-17,38.10,38.64,37.57,37.63,4266857
9-Jan-17,38.49,38.74,38.02,38.05,3263995
6-Jan-17,39.06,39.20,38.18,38.49,4529885
5-Jan-17,39.07,39.23,38.57,39.05,2890121
4-Jan-17,39.73,40.27,38.93,39.12,3842717
3-Jan-17,38.46,40.10,38.40,39.62,5129251
30-Dec-16,38.18,38.66,37.99,38.17,2897495
29-Dec-16,38.79,39.14,37.83,38.02,2710850
28-Dec-16,39.39,39.56,38.68,38.79,2592751
27-Dec-16,39.03,39.52,39.00,39.38,1940042
23-Dec-16,38.87,39.22,38.58,39.11,2473037
22-Dec-16,39.27,39.64,38.75,39.02,3098787
21-Dec-16,38.61,39.55,38.61,38.91,3136363
20-Dec-16,38.88,39.30,38.50,38.76,3301296
19-Dec-16,38.50,39.09,38.33,38.71,4271289
16-Dec-16,40.86,40.87,39.01,39.10,8418473
15-Dec-16,40.33,40.97,39.66,40.60,2927816
14-Dec-16,40.87,40.99,40.00,40.20,4504900
13-Dec-16,39.22,41.45,39.08,40.84,5722053
12-Dec-16,39.37,39.39,38.44,39.17,3836444
9-Dec-16,39.40,40.14,36.50,39.38,4125494
8-Dec-16,40.29,40.37,39.14,39.23,3584324
7-Dec-16,39.76,40.36,38.90,40.27,7636382
6-Dec-16,39.03,39.49,39.00,39.15,3408928
5-Dec-16,37.40,39.63,37.40,39.16,3813200
2-Dec-16,38.30,39.02,38.05,38.87,4144608
1-Dec-16,40.73,40.97,38.03,38.11,5532711
30-Nov-16,39.63,40.26,39.56,40.10,3961930
29-Nov-16,39.41,40.27,39.33,39.50,3996239
28-Nov-16,38.91,39.52,38.52,39.37,3177685
25-Nov-16,38.90,39.24,38.45,39.07,1802333
23-Nov-16,38.68,39.09,38.38,38.82,2805721
22-Nov-16,39.95,40.10,38.91,38.96,4799845
21-Nov-16,39.32,39.93,39.11,39.82,2177737
18-Nov-16,39.20,39.48,38.50,39.29,2394385
17-Nov-16,38.40,39.30,38.35,39.23,4719184
16-Nov-16,38.17,38.74,38.07,38.26,2607373
15-Nov-16,38.14,38.60,37.81,38.51,3527102
14-Nov-16,37.15,38.44,37.15,38.00,5205752
11-Nov-16,35.87,37.32,35.61,37.25,4736554
10-Nov-16,35.00,36.63,34.92,36.17,6204126
9-Nov-16,33.40,35.32,32.58,34.76,6166980
8-Nov-16,34.43,34.77,33.86,34.49,2676833
7-Nov-16,33.56,34.80,33.47,34.65,4564570
4-Nov-16,32.96,33.67,32.80,33.00,3641374
3-Nov-16,32.64,33.28,32.45,33.08,3855880
2-Nov-16,33.67,33.85,32.62,32.65,5446241
1-Nov-16,34.37,34.63,33.06,33.71,4147084
31-Oct-16,34.39,34.65,34.27,34.31,3121404
28-Oct-16,34.22,34.80,34.03,34.15,3142923
27-Oct-16,35.35,35.78,34.21,34.24,6846022
26-Oct-16,34.16,35.10,34.10,34.84,5638805
25-Oct-16,35.04,35.04,34.15,34.27,4172327
24-Oct-16,34.70,34.82,34.48,34.52,2949576
21-Oct-16,34.80,35.00,34.13,34.50,4484120
20-Oct-16,34.49,35.28,34.40,34.98,5159227
19-Oct-16,34.95,35.30,33.54,34.32,10115441
18-Oct-16,35.34,35.62,34.82,35.34,5505109
17-Oct-16,35.23,35.57,34.65,35.01,4548281
14-Oct-16,35.36,36.01,34.97,35.16,5413491
13-Oct-16,34.76,35.53,33.58,35.18,7302333
12-Oct-16,35.51,36.00,35.15,35.23,5153129
11-Oct-16,38.22,38.22,34.83,35.10,14457875
10-Oct-16,38.14,38.56,37.66,37.97,4466576
7-Oct-16,37.93,38.25,37.58,37.89,3340221
6-Oct-16,38.21,38.31,37.47,37.81,4165294
5-Oct-16,38.39,38.91,38.03,38.54,2679674
4-Oct-16,38.61,38.99,38.05,38.24,3593579
3-Oct-16,38.56,39.33,38.20,38.41,3671026
30-Sep-16,37.94,38.84,37.94,38.55,3839954
29-Sep-16,38.12,38.86,37.41,37.79,4046487
28-Sep-16,38.71,39.04,37.64,38.21,4971532
27-Sep-16,37.02,38.53,37.00,38.42,6853033
26-Sep-16,36.37,37.42,36.18,37.20,5411656
23-Sep-16,36.17,36.85,36.17,36.46,2497642
22-Sep-16,36.76,37.10,36.36,36.40,2585414
21-Sep-16,35.40,36.72,35.40,36.69,3641139
20-Sep-16,36.17,36.21,35.33,35.53,2624883
19-Sep-16,36.28,36.50,35.50,35.95,4950122
16-Sep-16,37.32,37.32,36.11,36.40,8966569
15-Sep-16,36.13,36.64,36.03,36.45,4246882
14-Sep-16,36.09,36.63,35.46,36.07,4074408
13-Sep-16,36.05,36.50,35.47,36.14,4716852
12-Sep-16,35.83,36.70,35.06,36.55,6149656
9-Sep-16,36.77,37.96,35.99,36.09,7724186
8-Sep-16,36.48,36.58,35.86,36.31,4738335
7-Sep-16,35.56,36.65,35.28,36.51,9483771
6-Sep-16,34.10,34.57,33.82,34.47,4357244
2-Sep-16,33.79,34.25,33.47,33.92,2720816
1-Sep-16,33.76,34.08,33.34,33.71,4149525
31-Aug-16,33.60,34.14,33.32,33.74,5297539
30-Aug-16,33.50,34.14,33.50,33.92,2929512
29-Aug-16,33.42,33.97,33.42,33.73,3972347
26-Aug-16,32.23,33.48,32.21,33.33,6087210
25-Aug-16,31.41,32.25,31.41,32.05,2591551
24-Aug-16,32.13,32.40,31.43,31.58,2772664
23-Aug-16,32.18,32.48,31.97,32.12,2565773
22-Aug-16,32.21,32.33,31.35,31.87,2807031
19-Aug-16,31.91,32.72,31.91,32.33,2659053
18-Aug-16,31.82,32.49,31.64,32.07,2352497
17-Aug-16,32.49,32.51,31.50,31.78,3514741
16-Aug-16,32.00,32.75,31.90,32.46,3174104
15-Aug-16,31.57,32.38,31.57,32.00,3627412
12-Aug-16,31.76,31.87,31.33,31.55,2250186
11-Aug-16,31.40,31.98,31.40,31.75,2330737
10-Aug-16,32.53,32.63,31.30,31.38,4537644
9-Aug-16,32.60,32.65,32.25,32.49,3238934
8-Aug-16,32.23,32.75,32.19,32.61,5216973
5-Aug-16,31.48,32.48,31.48,32.13,5094903
4-Aug-16,30.94,31.39,30.71,31.26,4459376
3-Aug-16,30.64,31.10,30.09,30.73,6056926
2-Aug-16,33.30,33.75,30.27,30.65,14366976
1-Aug-16,32.00,32.44,31.80,32.43,7349615
29-Jul-16,32.09,32.41,31.26,32.03,6415998
28-Jul-16,32.07,32.63,31.76,32.60,4133094
27-Jul-16,32.53,33.04,31.80,32.05,4490376
26-Jul-16,31.28,32.47,31.00,32.45,4435535
25-Jul-16,31.62,31.83,31.30,31.44,4319300
22-Jul-16,31.38,31.76,31.06,31.58,4602621
21-Jul-16,30.48,31.55,30.40,31.22,7436719
20-Jul-16,30.03,30.50,29.71,30.50,3760916
19-Jul-16,30.35,30.55,29.70,29.99,3351584
18-Jul-16,29.20,30.47,29.00,30.15,7112983
15-Jul-16,29.40,29.43,28.30,28.90,6444387
14-Jul-16,30.03,30.29,29.04,29.19,7786522
13-Jul-16,29.35,30.15,28.97,29.83,10546628
12-Jul-16,27.48,29.54,27.47,29.35,29492343
11-Jul-16,24.14,24.33,23.94,24.09,5236863
8-Jul-16,24.20,24.21,23.51,24.01,6370427
7-Jul-16,24.02,24.34,23.51,23.73,7494165
6-Jul-16,22.35,23.64,22.09,23.52,6386761
5-Jul-16,23.78,23.80,22.89,23.16,3784992
1-Jul-16,24.21,24.21,23.93,24.03,4944421
30-Jun-16,23.80,24.37,23.20,24.36,8335366
29-Jun-16,23.24,24.06,22.91,23.95,8996995
28-Jun-16,21.48,22.60,21.42,22.53,6165136
27-Jun-16,23.00,23.07,20.76,20.87,6675247
24-Jun-16,23.41,23.92,23.01,23.16,6496845
23-Jun-16,24.16,24.68,24.11,24.48,4714601
22-Jun-16,23.86,24.24,23.77,23.87,3949339
21-Jun-16,23.38,23.92,23.20,23.86,3550523
20-Jun-16,23.53,23.99,23.30,23.43,4353930
17-Jun-16,22.81,23.36,22.72,23.22,7652428
16-Jun-16,22.61,22.70,22.07,22.69,4273259
15-Jun-16,22.92,23.27,22.56,22.72,4369937
14-Jun-16,22.54,23.08,22.30,22.76,4012295
13-Jun-16,23.11,23.45,22.66,22.68,5400295
10-Jun-16,23.79,23.93,23.11,23.14,5599269
9-Jun-16,24.07,24.23,23.64,24.14,6315259
8-Jun-16,24.75,24.90,24.05,24.25,7107775
7-Jun-16,23.96,24.79,23.94,24.65,5741136
6-Jun-16,23.59,23.98,23.57,23.89,4050709
3-Jun-16,23.68,23.90,23.32,23.64,7702280
2-Jun-16,23.25,23.81,23.10,23.75,8292347
1-Jun-16,22.29,23.06,22.04,23.01,6727601
31-May-16,21.79,22.60,21.60,22.56,8221701
27-May-16,21.52,21.95,21.22,21.66,4164503
26-May-16,21.43,21.66,21.16,21.55,5240159
25-May-16,21.22,21.76,21.20,21.48,6800046
24-May-16,21.07,21.10,20.68,20.88,4850080
23-May-16,20.65,21.08,20.41,20.80,4299263
20-May-16,20.54,20.92,20.29,20.41,7197806
19-May-16,20.15,20.56,20.01,20.52,8912317
18-May-16,19.58,20.54,19.57,20.24,7859979
17-May-16,19.03,20.26,19.03,19.64,7164494
16-May-16,19.08,19.36,18.98,19.16,7247718
13-May-16,18.72,19.47,18.63,19.09,6501746
