Date,Open,High,Low,Close,Volume
26-May-17,106.00,106.34,104.50,105.89,1051595
25-May-17,105.65,107.18,105.13,106.04,1303718
24-May-17,105.49,105.98,104.70,105.42,970720
23-May-17,105.02,105.38,103.56,105.17,958695
22-May-17,104.45,105.10,104.12,104.96,1214684
19-May-17,103.65,104.32,103.31,103.87,1236841
18-May-17,100.63,103.87,100.22,103.20,1889107
17-May-17,104.50,104.72,100.47,100.55,2079328
16-May-17,104.05,105.51,103.46,105.50,1686953
15-May-17,102.99,104.23,102.63,103.76,1293815
12-May-17,102.60,102.88,101.90,102.52,1032913
11-May-17,102.20,102.92,101.35,102.61,1089686
10-May-17,102.65,103.07,101.66,102.50,1240553
9-May-17,101.33,102.34,101.16,101.93,1094838
8-May-17,101.57,101.81,100.60,101.02,1102313
5-May-17,101.35,101.68,100.31,101.46,1113112
4-May-17,101.32,102.44,100.88,100.92,1514622
3-May-17,100.18,101.78,99.60,101.43,2382868
2-May-17,100.00,100.73,99.33,100.67,1759863
1-May-17,100.26,100.81,98.51,99.81,2295236
28-Apr-17,102.79,104.33,99.57,99.74,4690246
27-Apr-17,103.42,104.38,103.05,104.20,3035082
26-Apr-17,104.30,104.30,102.07,102.97,2170002
25-Apr-17,104.26,104.79,103.96,104.00,2726777
24-Apr-17,103.00,105.34,102.67,103.91,3582970
21-Apr-17,101.56,101.76,100.35,101.60,1530427
20-Apr-17,99.50,101.88,99.35,101.63,1900532
19-Apr-17,99.80,100.60,99.09,99.24,1695821
18-Apr-17,98.18,99.60,98.05,99.03,1564127
17-Apr-17,97.92,98.88,97.92,98.76,927867
13-Apr-17,96.82,99.44,96.15,97.47,2097643
12-Apr-17,100.23,100.40,96.98,97.59,3726969
11-Apr-17,100.50,100.82,99.11,100.14,2914741
10-Apr-17,101.90,102.54,100.66,101.53,1994143
7-Apr-17,99.43,102.64,99.11,101.82,3974689
6-Apr-17,98.97,99.81,97.73,99.42,1388186
5-Apr-17,99.56,100.58,98.61,98.89,2024960
4-Apr-17,98.68,100.70,98.14,99.35,2907723
3-Apr-17,98.15,98.48,96.95,97.72,1149443
31-Mar-17,98.31,98.49,97.71,97.98,1065287
30-Mar-17,97.29,98.50,97.06,98.14,1200076
29-Mar-17,97.85,97.85,97.00,97.23,1088837
28-Mar-17,97.31,98.70,96.55,97.93,1152861
27-Mar-17,96.41,97.71,95.33,97.19,1203234
24-Mar-17,97.36,98.35,96.88,97.30,1270823
23-Mar-17,96.54,97.29,96.03,96.50,1111649
22-Mar-17,95.47,96.78,94.59,96.74,1736058
21-Mar-17,98.37,98.64,95.34,95.52,1804767
20-Mar-17,97.95,98.81,97.15,98.19,1290754
17-Mar-17,98.51,98.61,97.51,97.93,2423569
16-Mar-17,99.22,99.22,98.00,98.11,1796943
15-Mar-17,98.71,99.38,98.12,99.11,1528958
14-Mar-17,98.74,98.94,97.95,98.79,1214414
13-Mar-17,98.48,99.34,98.06,99.04,2399531
10-Mar-17,97.74,98.70,97.50,98.18,2259550
9-Mar-17,96.21,97.67,95.06,97.14,2826163
8-Mar-17,96.36,96.91,95.39,96.69,4069504
7-Mar-17,95.22,95.49,94.21,95.05,1545443
6-Mar-17,94.21,95.71,93.42,95.45,3186353
3-Mar-17,95.03,95.32,94.16,94.92,1505851
2-Mar-17,96.98,97.57,94.71,94.76,2348763
1-Mar-17,95.97,97.15,94.37,96.74,2322497
28-Feb-17,95.61,95.85,94.00,94.81,1722652
27-Feb-17,94.54,95.68,93.85,95.63,1243010
24-Feb-17,94.24,95.00,93.02,94.70,1448447
23-Feb-17,96.86,96.94,94.30,95.31,1640306
22-Feb-17,96.49,97.17,96.04,96.71,1397948
21-Feb-17,96.63,97.51,95.70,96.57,2578203
17-Feb-17,92.24,96.67,91.92,96.35,5406554
16-Feb-17,92.34,92.56,91.60,92.43,1287095
15-Feb-17,92.02,92.61,91.25,92.13,1562561
14-Feb-17,92.32,92.48,90.53,91.80,1610538
13-Feb-17,92.69,93.30,92.27,92.63,1290117
10-Feb-17,92.73,92.75,91.41,92.21,1947332
9-Feb-17,92.07,93.13,91.24,92.47,2753403
8-Feb-17,91.61,92.34,90.94,91.69,1861650
7-Feb-17,91.40,92.20,91.17,91.78,1305566
6-Feb-17,91.45,91.58,90.71,91.39,1458764
3-Feb-17,91.32,91.91,90.88,91.56,1272523
2-Feb-17,90.80,91.54,90.06,91.11,2524583
1-Feb-17,93.54,94.49,91.31,91.74,3804797
31-Jan-17,92.32,92.48,90.28,91.74,2486505
30-Jan-17,91.43,93.08,90.22,92.99,2482193
