Date,Open,High,Low,Close,Volume
26-May-17,29.90,29.95,29.50,29.61,7196796
25-May-17,29.90,30.24,29.84,29.95,6848133
24-May-17,29.93,30.07,29.73,29.87,7556122
23-May-17,29.69,29.84,29.22,29.79,6329305
22-May-17,29.16,29.64,29.01,29.58,8235789
19-May-17,29.61,29.74,28.89,29.02,14225247
18-May-17,29.96,30.06,29.25,29.74,10483104
17-May-17,31.03,31.16,29.90,30.12,13582908
16-May-17,32.17,32.21,31.21,31.32,7881578
15-May-17,32.43,32.65,31.83,32.00,15341374
12-May-17,31.49,31.50,30.93,31.01,8377225
11-May-17,31.00,32.10,30.91,31.46,21625102
10-May-17,32.45,33.22,32.39,33.14,8958980
9-May-17,32.51,32.54,32.23,32.37,4616445
8-May-17,32.33,32.45,32.04,32.45,5363371
5-May-17,32.34,32.41,32.03,32.30,4320769
4-May-17,32.20,32.55,31.99,32.22,6600490
3-May-17,31.96,32.07,31.79,31.92,3572942
2-May-17,32.12,32.18,31.80,31.91,5525660
1-May-17,31.66,32.21,31.60,32.12,5220479
28-Apr-17,31.55,31.67,31.28,31.63,5017090
27-Apr-17,31.30,31.54,31.10,31.48,3181850
26-Apr-17,31.31,31.44,31.03,31.25,4173090
25-Apr-17,31.06,31.25,30.99,31.25,5075218
24-Apr-17,31.08,31.20,30.89,30.97,4631873
21-Apr-17,30.58,30.83,30.56,30.70,4896326
20-Apr-17,30.62,30.62,30.35,30.50,3766148
19-Apr-17,30.59,30.74,30.34,30.41,3566094
18-Apr-17,30.23,30.57,30.12,30.40,3528155
17-Apr-17,30.06,30.37,30.06,30.25,4553709
13-Apr-17,30.06,30.50,29.90,30.04,5023938
12-Apr-17,30.07,30.40,29.99,30.05,4874288
11-Apr-17,30.61,30.74,30.10,30.40,4322454
10-Apr-17,30.71,30.95,30.52,30.66,4687467
7-Apr-17,30.51,30.81,30.29,30.81,5680116
6-Apr-17,30.28,30.56,30.16,30.56,5197385
5-Apr-17,30.47,30.63,30.15,30.28,4913035
4-Apr-17,30.29,30.48,30.13,30.38,5559256
3-Apr-17,30.69,30.86,30.03,30.24,5509831
31-Mar-17,30.44,30.95,30.38,30.68,7294717
30-Mar-17,30.82,30.96,30.53,30.65,6491061
29-Mar-17,30.26,30.96,30.25,30.83,6798219
28-Mar-17,30.51,30.71,30.22,30.36,8159171
27-Mar-17,30.19,30.56,29.76,30.47,7228895
24-Mar-17,30.74,30.95,30.38,30.47,4623135
23-Mar-17,30.63,30.90,30.63,30.70,3431461
22-Mar-17,30.18,30.77,30.15,30.66,4899219
21-Mar-17,30.91,30.95,29.95,30.00,6221143
20-Mar-17,30.72,31.02,30.64,30.78,4179714
17-Mar-17,30.81,30.98,30.63,30.70,7362748
16-Mar-17,30.76,30.93,30.58,30.73,4501960
15-Mar-17,30.79,30.81,30.43,30.72,5717493
14-Mar-17,30.70,30.79,30.28,30.64,4172250
13-Mar-17,30.11,31.10,30.04,30.75,9691116
10-Mar-17,29.84,30.06,29.58,30.03,8442754
9-Mar-17,29.60,29.75,29.39,29.60,8591001
8-Mar-17,29.25,29.70,29.22,29.63,5740655
7-Mar-17,29.13,29.38,29.00,29.29,4059747
6-Mar-17,28.33,29.18,28.22,29.12,5779870
3-Mar-17,29.11,29.30,28.90,29.22,6371223
2-Mar-17,28.96,29.47,28.71,29.20,9702742
1-Mar-17,28.75,29.19,28.67,29.09,4361137
28-Feb-17,28.62,28.72,28.42,28.57,3889824
27-Feb-17,28.80,28.84,28.49,28.68,2732665
24-Feb-17,28.64,28.84,28.40,28.84,3740755
23-Feb-17,28.64,28.76,28.50,28.58,4043872
22-Feb-17,28.80,28.92,28.56,28.60,7240753
21-Feb-17,28.77,29.18,28.70,28.81,7516272
17-Feb-17,28.46,28.83,28.33,28.80,5580407
16-Feb-17,28.29,28.63,27.97,28.47,9734590
15-Feb-17,28.55,28.63,28.20,28.52,8520452
14-Feb-17,29.02,29.11,28.54,28.68,11324198
13-Feb-17,29.10,29.35,29.01,29.06,3748501
10-Feb-17,29.08,29.26,28.94,29.02,4720263
9-Feb-17,28.62,29.14,28.52,28.99,6465410
8-Feb-17,28.40,28.71,28.28,28.61,5696325
7-Feb-17,28.34,28.60,28.16,28.44,5406782
6-Feb-17,28.37,28.46,28.12,28.26,7386244
3-Feb-17,27.87,28.52,27.66,28.41,6991006
2-Feb-17,26.62,27.84,26.44,27.76,15998170
1-Feb-17,27.65,27.70,26.96,27.25,12311307
31-Jan-17,27.12,27.56,27.00,27.55,9917927
30-Jan-17,27.34,27.40,27.05,27.27,5014878
27-Jan-17,27.29,27.41,27.13,27.35,6373144
26-Jan-17,27.31,27.43,27.05,27.21,8121556
25-Jan-17,27.43,27.63,27.19,27.26,16575391
24-Jan-17,26.75,27.46,26.75,27.35,6056952
23-Jan-17,26.65,26.83,26.56,26.76,5430363
20-Jan-17,26.70,26.83,26.57,26.65,5620118
19-Jan-17,26.45,26.68,26.38,26.56,7631845
18-Jan-17,26.25,26.69,26.21,26.41,9641811
17-Jan-17,26.07,26.23,25.78,26.20,6600653
13-Jan-17,25.71,26.18,25.64,26.14,5102714
12-Jan-17,25.38,25.73,25.20,25.70,4597993
11-Jan-17,25.10,25.50,25.05,25.47,3968070
10-Jan-17,25.04,25.25,24.93,25.13,3859933
9-Jan-17,25.07,25.10,24.96,24.99,4309056
6-Jan-17,24.65,25.06,24.55,25.01,6615400
5-Jan-17,24.20,24.72,24.14,24.65,7982791
