Date,Open,High,Low,Close,Volume
19-May-17,76.42,78.34,76.18,77.98,4143616
18-May-17,76.32,77.18,75.62,75.98,3559591
17-May-17,78.06,78.63,75.94,76.18,5673018
16-May-17,78.22,79.10,77.44,79.06,3320403
15-May-17,76.20,78.34,76.19,77.79,3461684
12-May-17,76.75,77.45,76.20,76.41,2051322
11-May-17,78.18,78.19,76.53,77.36,2780920
10-May-17,78.48,78.96,78.02,78.55,3308365
9-May-17,75.64,79.15,75.64,78.55,5841176
8-May-17,75.34,75.85,74.77,74.98,3082015
5-May-17,74.97,75.36,74.65,75.30,2166201
4-May-17,74.56,75.17,73.92,74.91,2886331
3-May-17,73.30,74.45,73.10,74.21,2690265
2-May-17,70.43,73.99,70.40,73.94,5434735
1-May-17,70.56,71.48,70.24,70.27,3317381
28-Apr-17,70.87,71.26,70.00,70.21,2909321
27-Apr-17,69.77,70.76,68.62,70.70,5512195
26-Apr-17,71.09,71.92,70.66,71.33,4739677
25-Apr-17,71.40,72.07,70.76,70.97,3519768
24-Apr-17,70.50,71.03,70.15,71.00,4638888
21-Apr-17,69.70,69.89,68.88,69.56,3274073
20-Apr-17,69.81,70.09,69.51,69.80,4103691
19-Apr-17,68.47,69.79,67.77,69.29,6768437
18-Apr-17,70.97,70.98,67.55,67.75,11002889
17-Apr-17,69.51,70.81,69.01,70.77,4761937
13-Apr-17,69.90,70.14,69.07,69.07,5185216
12-Apr-17,71.65,71.73,69.69,69.93,7622861
11-Apr-17,70.15,70.72,68.36,70.71,17696474
10-Apr-17,70.55,72.10,70.25,71.52,3460363
7-Apr-17,69.97,71.02,69.72,70.88,2471072
6-Apr-17,70.16,70.93,69.56,70.22,1874235
5-Apr-17,70.23,71.35,69.81,70.06,2640252
4-Apr-17,70.76,71.08,69.58,69.76,2658310
3-Apr-17,70.69,71.42,69.42,71.35,2947489
31-Mar-17,70.68,71.19,70.45,70.64,2406804
30-Mar-17,69.66,70.96,69.66,70.78,2463137
29-Mar-17,70.45,71.00,69.53,69.85,3409875
28-Mar-17,68.41,71.09,68.18,70.74,4972851
27-Mar-17,66.72,68.74,66.26,68.37,2943107
24-Mar-17,67.55,68.51,67.53,67.93,2626887
23-Mar-17,67.02,68.56,66.90,67.50,4444429
22-Mar-17,64.92,66.96,64.16,66.95,4928795
21-Mar-17,67.76,67.87,65.15,65.28,4923320
20-Mar-17,67.15,68.05,66.60,67.49,4326005
17-Mar-17,67.82,67.91,66.65,66.79,5837467
16-Mar-17,67.90,67.96,66.44,67.56,8794385
15-Mar-17,65.00,68.37,64.32,68.17,11321559
14-Mar-17,69.38,69.42,66.34,66.55,8262398
13-Mar-17,72.19,72.70,69.66,69.85,6741902
10-Mar-17,72.33,73.20,71.64,72.34,4552742
9-Mar-17,73.21,74.60,72.43,72.54,3732151
8-Mar-17,72.97,73.65,72.31,73.44,3508372
7-Mar-17,72.69,73.23,72.15,72.64,3763972
6-Mar-17,74.85,74.85,71.90,73.14,5898779
3-Mar-17,73.70,75.99,73.44,75.59,4256153
2-Mar-17,74.35,74.74,73.21,73.28,2862130
1-Mar-17,74.64,76.65,74.63,75.39,3726488
28-Feb-17,75.37,75.37,73.61,74.09,3003613
27-Feb-17,74.91,75.52,74.35,75.28,1898087
24-Feb-17,73.96,75.11,73.54,75.08,2056301
23-Feb-17,75.87,76.46,73.88,74.56,4967269
22-Feb-17,75.21,75.57,74.35,75.43,1703613
21-Feb-17,75.90,76.23,74.42,75.41,2663485
17-Feb-17,75.49,75.97,74.60,75.96,1890788
16-Feb-17,75.93,76.30,75.10,75.67,2199193
15-Feb-17,75.29,76.23,74.82,75.75,5001592
14-Feb-17,73.44,73.88,72.00,73.74,2538148
13-Feb-17,72.85,74.16,72.84,73.84,3283778
10-Feb-17,73.37,73.37,72.20,72.60,1942369
9-Feb-17,71.38,73.30,71.23,72.98,3759680
8-Feb-17,71.50,71.76,70.73,71.70,2970552
7-Feb-17,73.96,74.00,71.25,71.29,4972040
6-Feb-17,73.40,74.78,72.78,73.50,3934382
3-Feb-17,72.53,73.25,72.05,73.06,2517938
2-Feb-17,70.73,72.34,70.55,72.14,3104856
1-Feb-17,70.95,71.86,70.69,71.48,3414188
31-Jan-17,71.78,71.78,69.34,70.47,5455341
30-Jan-17,72.99,72.99,70.00,71.72,3905667
27-Jan-17,75.75,75.98,74.04,74.42,4382496
26-Jan-17,74.47,76.00,74.12,75.38,5429674
25-Jan-17,73.58,74.60,73.04,73.59,2786805
24-Jan-17,73.08,73.58,72.66,73.18,2665299
23-Jan-17,74.66,75.09,72.64,72.75,4420161
20-Jan-17,74.30,75.48,74.09,75.24,2966243
19-Jan-17,74.06,74.84,73.26,74.02,2768092
18-Jan-17,73.00,74.93,72.41,74.00,4569545
17-Jan-17,73.94,75.09,73.55,73.74,4151458
13-Jan-17,74.03,74.75,73.89,74.32,2949516
12-Jan-17,74.64,75.64,72.90,74.00,4144393
11-Jan-17,75.51,76.75,74.94,75.04,5185872
10-Jan-17,71.47,74.34,71.44,73.66,3545162
9-Jan-17,71.06,72.00,70.88,71.28,1937664
6-Jan-17,70.98,71.89,69.75,71.37,3648292
5-Jan-17,71.99,73.00,70.31,70.93,3578981
4-Jan-17,72.45,73.79,72.45,73.02,2199290
3-Jan-17,74.02,74.02,72.15,72.71,2517563
30-Dec-16,73.43,73.43,72.37,72.88,1720816
29-Dec-16,73.53,74.19,72.93,73.28,1272532
28-Dec-16,75.00,75.18,73.35,73.53,1946793
27-Dec-16,74.78,75.22,74.50,74.67,1092508
23-Dec-16,74.40,74.83,74.13,74.79,1623393
22-Dec-16,75.62,75.73,73.80,74.19,2292793
21-Dec-16,75.73,76.10,75.16,75.72,1562154
20-Dec-16,75.32,76.31,74.78,76.05,2820425
19-Dec-16,74.25,75.38,73.77,74.48,2589856
16-Dec-16,74.91,76.20,74.06,74.42,6567057
15-Dec-16,73.82,76.80,73.82,74.79,4753692
14-Dec-16,72.60,74.00,72.00,72.94,3826676
